Label,Predicted_Probability
afa,0.8519418237514305
control,0.08919763361835313
control,0.07147155825176872
control,0.0737417197910282
control,0.08325459501106738
afa,0.7875246653552256
afa,0.5652294849710581
control,0.07428870138806239
afa,0.8154525900411492
control,0.09470163335902326
afa,0.5893165254199888
control,0.3026347923818116
afa,0.8337319231486596
control,0.09872480605248131
afa,0.8149496892251218
control,0.08249901963711515
afa,0.6026089980791931
control,0.1648355927160981
afa,0.6037545466710096
control,0.09156775770653088
afa,0.5607552123569592
afa,0.624711620777975
control,0.1981216719548951
afa,0.806273154767241
control,0.11337678116410391
control,0.14277693950678788
control,0.11697938834424015
afa,0.32514106751728883
control,0.07861471671850655
afa,0.13655782078145723
control,0.08817957116902372
control,0.3248099485700129
control,0.11157609777393888
control,0.11495927695317634
afa,0.8411455078169665
control,0.2753497561957138
afa,0.12126029526552273
control,0.1947608969673623
afa,0.808964386390645
control,0.1263438685817773
afa,0.812147358957688
control,0.16714815406042252
control,0.18994638963665952
afa,0.7906441977944281
control,0.5579976173171319
control,0.08834127230911595
control,0.1316942946368199
control,0.11971617165183306
afa,0.8489652422504648
control,0.13658016304143789
afa,0.6330476527473785
control,0.1403900848319758
afa,0.2897768386848937
control,0.19391009682492172
control,0.09008392729808437
control,0.10446473340138887
control,0.23215213857023712
control,0.23604035046283176
control,0.08466919718266272
control,0.1544957834403665
control,0.33597505817766354
afa,0.2826247759882362
control,0.12006817155232334
control,0.09393551929366398
control,0.06852353548544395
control,0.06634777203622662
control,0.13066334056537685
control,0.2810997101824674
control,0.08441933750500039
control,0.27398045699496987
control,0.13904919586612513
control,0.10600606752232285
control,0.14839236063725708
control,0.08818548423304925
afa,0.7040372983599942
control,0.08981655982783991
control,0.09183324242880711
afa,0.8444758727130303
control,0.11583817361955377
control,0.38715465528925647
control,0.09093974126675822
afa,0.8536704167732292
control,0.2149139294680787
afa,0.6935907203869125
afa,0.6342016517880771
control,0.16503598895633106
control,0.12051360549508847
control,0.08840514221284143
control,0.08911133036581438
afa,0.6435568616696786
control,0.11705541187333053
afa,0.20138223616287246
control,0.08137283433310136
control,0.22051450647666754
control,0.1099636526083512
afa,0.3241450698755352
afa,0.31259328528044433
control,0.4022138141144545
control,0.07494688161175189
afa,0.780760114163089
control,0.06229867146974364
control,0.13030880371565118
control,0.09458424724939303
control,0.09990074429997782
afa,0.5080217242676005
afa,0.6669311259338132
control,0.08896523101152867
afa,0.8500709201721482
afa,0.7444444055256286
control,0.09197979672502477
control,0.08028508374944368
control,0.13015681018598735
control,0.19541506800500127
control,0.14487073027049185
control,0.07781671508295504
afa,0.8441468371799015
control,0.13552285741405204
control,0.2789859287028242
control,0.08580990416829251
control,0.1193440417660617
control,0.09441613479857631
afa,0.6214295999475512
control,0.24636513631254436
afa,0.8529108578944313
control,0.12577987302875152
control,0.21021472119325785
control,0.06108121699209954
control,0.29188013991532563
afa,0.8227613434782055
control,0.567994296446865
afa,0.8485251515841421
afa,0.827798081783983
afa,0.340903472633854
control,0.11102092610256131
control,0.3028987163474174
control,0.06300495719710493
control,0.12223993257483756
control,0.10433824372126388
control,0.37687546456375187
control,0.10105480294680605
control,0.11325416737360079
control,0.10830753209280837
afa,0.40993732181220943
afa,0.8367730812435227
control,0.7194718758347941
afa,0.4491307306034951
control,0.07660673500549768
control,0.16099735234713003
control,0.19566741858306
control,0.08122292023149898
control,0.117613800771933
control,0.11955237515194947
control,0.08530591499526337
afa,0.6232245318708729
control,0.10965833378046597
control,0.1094416037883548
afa,0.822302333290381
control,0.1506533419350886
control,0.11329037965218089
afa,0.6932138676129032
control,0.3511262494519846
control,0.08079892615388809
afa,0.8076847934675074
control,0.11927470130977587
control,0.08117969729848762
control,0.10744791275810657
control,0.07941426542991961
control,0.3760473641460977
control,0.09741639927805534
control,0.15643130485532636
control,0.5843721582287094
control,0.08998214198924756
afa,0.7974812176493156
control,0.21852280418747413
afa,0.5678964050725092
control,0.10576732120256618
control,0.18617799460466702
control,0.513386078555538
afa,0.7153592664617099
control,0.076663533419752
afa,0.38783633528762407
control,0.10174304772269398
control,0.15105402386258165
afa,0.7571240091824407
control,0.16924920415118044
control,0.24910457861611973
control,0.10023435092367242
afa,0.6472926751037649
afa,0.7888019889626168
afa,0.715528063269202
control,0.08171050563017201
afa,0.3315908239473716
control,0.6508021769833647
control,0.0939993667716807
control,0.2301688298609325
control,0.1256173740783692
control,0.1278657654883558
afa,0.8252705839988439
control,0.13287286303169296
control,0.2084917236518971
control,0.11737599400743144
control,0.14259553697967559
control,0.07692159112372117
control,0.07803832091616099
afa,0.6875226260346663
afa,0.7603200193892041
afa,0.8336485590918834
afa,0.848381073044095
control,0.12551045568721259
afa,0.8091411765543647
control,0.17220641974702283
afa,0.792678923348631
afa,0.7239852729734334
control,0.08459426104433712
control,0.08015568635698944
afa,0.5580995658612743
control,0.1143316964875775
afa,0.3935479742324824
control,0.12035187781878975
afa,0.8238080511571463
afa,0.741283287908799
control,0.09115580436798972
control,0.37091976327434784
control,0.09580244900350228
control,0.08463315662034183
control,0.14190976210521217
control,0.09037422678798242
control,0.08043318089507565
afa,0.8126831769491561
afa,0.7640750457107367
afa,0.428673328018981
control,0.07861949452994166
control,0.09999593702108071
control,0.1749360971890503
afa,0.7652484738124818
control,0.08002916846004984
control,0.28779175629400167
control,0.1755657182132769
control,0.22317321100467108
control,0.1558203660771199
afa,0.6731407881678919
control,0.12069440389421038
control,0.12397983101053094
control,0.08089224761200484
control,0.1742250736323368
control,0.13424627151471766
control,0.11818155157346441
control,0.1687923974344338
control,0.18864403877081404
control,0.10031678313886264
control,0.07812015306109485
control,0.1249366221432007
control,0.12190389785641617
control,0.10189163625853641
control,0.15635632595569154
afa,0.8002801527833707
control,0.2794392863869381
afa,0.7551777617195042
control,0.21924461732901027
control,0.4674067098383258
control,0.11871075027783014
afa,0.7523737157488919
control,0.38692763884351394
control,0.07951690237091127
control,0.33919898498748857
control,0.08029394003495538
control,0.19937530805053422
control,0.18900287516193706
afa,0.8389019993109755
control,0.08009840390318305
control,0.11089073719281242
