Label,Predicted_Probability
control,3.0660413474723834e-05
dac,0.9816198494447468
dac,0.9535064053642588
control,0.0012146276865457719
dac,0.9881539291517619
dac,0.8278859495995441
control,0.014463184724066547
control,0.03215558303847995
dac,0.9152708295013416
control,0.10748940972133818
control,0.07870702836581153
control,0.09003268960857833
control,0.0165010527459642
control,0.028154174442977263
control,0.2781519590395516
control,0.007110244135564291
control,0.0033404003981674863
control,0.0012527798375096477
dac,0.8683934176561181
dac,0.9329015107941714
control,0.0079084598339624
control,0.7197089887376682
control,0.04069808387139194
control,0.0006266243579979255
dac,0.7173031346869374
control,0.004669419591725615
control,0.14664808273964566
control,0.028417690901310577
control,0.006248886278913539
control,0.007909016392200655
control,0.1979692494218873
dac,0.9844039995271963
control,0.07490055241497745
dac,0.950524725217783
control,0.0016267966127682752
control,0.010266660809960115
control,0.0010332158777240975
control,0.06226538792129388
dac,0.9838390135252819
dac,0.5751407988141157
dac,0.3696084384257695
control,0.03189960815310109
control,0.07584751097260975
control,0.007796919827885283
control,0.004122804775668802
control,0.003565454351473149
control,0.00405630947920402
control,0.025250588787854446
dac,0.09137681426038782
dac,0.8030820708120497
control,0.017771199291409575
control,0.2649971877872546
dac,0.8319805320720652
control,0.0068444106426634845
control,0.03193398790205556
control,0.02152580231618509
dac,0.9040818520212455
control,0.006594343481369511
control,0.01949763835572716
control,0.038004777181690416
dac,0.9473816248342837
control,0.010610101160218816
control,0.06305459940335609
control,0.03657647894198017
dac,0.8816988840920856
dac,0.172581038599548
control,0.00492594951397712
dac,0.9959374741150959
control,0.009709433656207859
control,0.14004710318386035
control,0.11907240196954025
control,0.003003458588298009
control,0.03625389724515553
control,0.032747123452562824
dac,0.11796907660178464
control,0.00647558834104914
control,0.02735768038671498
control,0.06712946823347146
control,0.010539940325570896
control,0.022960214736940602
control,0.004682580154908085
dac,0.7241043309767089
control,0.01199490964844553
dac,0.866832608968845
control,0.004835309621803794
dac,0.5613409411382806
control,0.006592426525064654
control,0.014824448309303299
control,0.002834673004468853
dac,0.9613206997740761
control,0.06408085816029829
control,0.0053859111392561484
control,0.05641504532500903
control,0.026863983482931703
control,0.039203794421841555
dac,0.7730727135108078
control,0.03452411466266
control,0.03346584755776144
dac,0.9406563369687022
control,0.02794830430653436
dac,0.9939709562628929
control,0.00549825726887153
control,0.2534043876697005
control,0.004074680732492729
dac,0.908592220629072
control,0.007419269494486467
control,0.005808619532705972
dac,0.911334139165646
control,0.028417248676777508
dac,0.9437953913983183
control,0.010257885109676814
control,0.002138655284919807
control,0.051589970009711314
control,0.007059751992463259
dac,0.9425043398159575
control,0.01032157420109638
dac,0.9866946450526035
control,0.0030844126446613745
control,0.08065287129362243
control,0.007737237623234916
control,0.006745063200436249
control,0.0013605230662963653
control,0.010834706087416128
dac,0.9633045253134955
control,0.013815839770400174
control,0.04041999726397649
control,0.03462479604451232
control,0.018845691676725042
control,0.003186086106565281
control,0.24510937551254663
control,0.1163861184543599
dac,0.9554430108075251
dac,0.853892471479918
dac,0.3196342446206176
control,0.02694215427464399
dac,0.9248391560605501
control,0.01230367552404375
control,0.005396017669159141
control,0.312489980794584
control,0.00211874835362306
control,0.07171469817880846
control,0.005913007640753369
dac,0.9658003836910372
control,0.014969883475599475
control,0.011966248445700139
control,0.0031323650032792
dac,0.6829550355885643
control,0.02143928097944242
control,0.0019130326568108224
dac,0.9351994733551414
control,0.0077390414287048055
control,0.008734798245283846
control,0.10951865784366814
control,0.03476507625257005
dac,0.07101917167848885
dac,0.8499669244209043
control,0.008167834214531156
dac,0.31210599668985917
dac,0.9629693818601567
control,0.0024122959026427323
control,0.01973874066224742
