Label,Predicted_Probability
control,0.06994227290520094
control,0.07294279755997045
gef,0.8630213491867733
control,0.10955437876959781
control,0.10778257223070742
control,0.1338650833233089
gef,0.8266850096608704
control,0.10110323190798429
control,0.09235050917704887
gef,0.8360265253755103
control,0.09700951438050787
gef,0.7433437114309539
control,0.07997062619894343
control,0.09414896617109832
gef,0.8524466455974679
control,0.07286849849182045
control,0.11845281714150124
gef,0.8453787613365211
control,0.09550026177111863
control,0.19115690927783546
gef,0.6403993773691468
control,0.20208750569553321
control,0.09060438730134257
gef,0.7347369620818885
control,0.1912227537973175
control,0.20327502272571799
control,0.2656261929701455
control,0.1612802629957931
control,0.16050930905089245
control,0.1100790384759647
gef,0.8256438474631365
control,0.07828178638175007
control,0.09954911464432184
gef,0.8182876924580583
gef,0.7896866821767352
control,0.17210291144454054
control,0.6475965201158216
control,0.11142706344729687
control,0.1723034582151269
control,0.07168751115618119
control,0.08715923387070863
control,0.07809072309766654
control,0.2839531702168402
control,0.12431799474194438
gef,0.24110210589021958
control,0.0788408145342672
control,0.07537834785513757
gef,0.8152566389609458
control,0.08139356522805066
control,0.18940943307423885
control,0.08853726280066239
control,0.10964712538798808
control,0.07789819495520173
control,0.11026767356512364
control,0.14341823688873484
control,0.08721357227992511
gef,0.7942162265160658
gef,0.8474530076182434
control,0.16342063180684435
gef,0.8113202691849093
control,0.08757234455918071
gef,0.7015219247829371
control,0.08242136395815282
control,0.15900103368367863
gef,0.8619583749693138
control,0.0721227431990362
gef,0.8599300919416184
control,0.1091798955755551
gef,0.7395467295893455
gef,0.6454610762720445
control,0.07960303897459604
control,0.08920154886525147
gef,0.821839309852342
control,0.10906870693198742
control,0.08005373141585559
gef,0.8630586492286507
control,0.11113793436666927
gef,0.29925731458931737
control,0.1623057923387908
control,0.1775350381039334
gef,0.8232911905310974
control,0.07301388388450882
control,0.11394079333916414
control,0.11534681379719999
control,0.1622183338308279
gef,0.5610935050090002
control,0.1993725022028041
gef,0.8549458709274816
control,0.08562296961108465
gef,0.8130933742386646
control,0.07404515352708453
gef,0.27896125575107467
gef,0.8561122726296613
control,0.22225741865350157
control,0.09951427685567688
control,0.07081256479961248
gef,0.8467518672694203
control,0.08261544811899346
gef,0.7816184091464218
control,0.07888596665609783
control,0.08044310927452832
control,0.41449975730841454
gef,0.8546932174914572
control,0.17862296469046876
control,0.1449524732346485
control,0.2389396865737174
control,0.07514597599075336
gef,0.8169481930842372
control,0.19137251319641532
gef,0.8615667813522065
control,0.12667151715647118
control,0.18034814037138586
control,0.10159926093980656
control,0.09608710833223866
gef,0.8552781579578463
control,0.09215267316553558
gef,0.789474999490577
control,0.14434763201352369
control,0.12586157013267024
control,0.09281877695491318
gef,0.8499323707646897
control,0.15320220614304686
control,0.1293289754144144
control,0.1480462386925761
control,0.10191591644089729
control,0.07456142867038702
gef,0.809347257441883
control,0.21268957511078873
gef,0.32791236302337384
control,0.1443192320443306
control,0.096791081133654
control,0.18683328778570205
gef,0.8355445113621187
control,0.09804703191986172
control,0.08038009924075795
control,0.10379591302178844
control,0.11214334418884704
gef,0.6557103934937969
gef,0.8618381038348991
control,0.19335739384566705
gef,0.6475433674991038
gef,0.8531585950213678
control,0.08683413185936019
gef,0.24478177734260392
gef,0.6412919684745875
control,0.06565155370413124
control,0.783994584017576
control,0.0982329856262999
gef,0.8624476244981985
control,0.14664597329709372
control,0.17814237955501705
control,0.0766130360660265
control,0.08968252817029183
control,0.10691627289233488
control,0.08884930398180307
gef,0.8320280664437394
control,0.06833751624670208
gef,0.8638818141283098
control,0.08355396310410654
control,0.23086922369446333
control,0.4034635306715842
control,0.06741529156385445
gef,0.8381805776798503
control,0.08106306399437278
control,0.13450572183397252
control,0.08301724412109136
gef,0.6732898979811852
control,0.19699329453645253
control,0.0863194188015581
gef,0.7303477697348768
gef,0.49963256200798034
control,0.09428875737613777
gef,0.7670623443699967
gef,0.8586510966316846
control,0.06597651770554816
gef,0.8576164744364222
control,0.2689117980163669
control,0.18322502105359623
gef,0.7776459613329096
gef,0.7083235046119101
control,0.07048619702489038
control,0.24459662245805375
control,0.10838654243642912
control,0.0773006861835472
gef,0.8304281597679122
gef,0.8099371964802143
gef,0.8185197264124501
gef,0.8480925073821289
control,0.297662088983826
control,0.10510311495782457
gef,0.7700954051992172
control,0.14679505748140173
gef,0.8512304006448215
gef,0.5882004799247225
control,0.07312359344205158
control,0.08057261067292162
gef,0.8511619798844933
control,0.093212178344805
control,0.10164402507035333
control,0.07075822520462828
control,0.14328918417525244
control,0.10050483646607336
gef,0.8476592770578163
gef,0.12903562545522634
control,0.07124715076072745
control,0.08800116960163087
control,0.082823049758451
control,0.16258324838751123
control,0.07943339302185676
control,0.1483340335706901
control,0.0705348886433195
gef,0.6927225059221233
gef,0.8155400715307891
gef,0.8567165725771577
control,0.09925083131843015
control,0.1569646296289707
control,0.26443165808780866
gef,0.8346252518377192
control,0.317325422959328
control,0.4249979390012636
control,0.07712560354885147
control,0.1320715847981242
control,0.11246274727406122
control,0.25751880541147487
gef,0.7838878558608715
control,0.08309027799399774
gef,0.6028146773067125
control,0.07043568111152673
control,0.2888823534471419
control,0.09214447777754861
gef,0.8264526024189276
control,0.09873877098722275
control,0.13922593195912508
control,0.12662959922213585
gef,0.8320242039885098
gef,0.5563499497884367
gef,0.775044024301016
control,0.09074272000561892
control,0.0894609773079534
gef,0.8517243915716415
control,0.09279489161469336
gef,0.7651639834106189
gef,0.4359118322842367
control,0.07740590846756115
control,0.13166459990821333
control,0.4594350567112677
control,0.23214308378122123
control,0.1066905620953635
control,0.09302617696865549
control,0.08832661771066061
gef,0.7936056841155682
control,0.08327865022567443
control,0.09731921666618452
gef,0.8626687138300593
gef,0.8459240357255471
gef,0.8008932596215393
control,0.16308881681714998
control,0.1312338942071765
gef,0.850886939661596
gef,0.8263455546526994
control,0.18980107023078902
gef,0.8590626706220803
gef,0.8564493649303888
control,0.22488174263437538
control,0.09271741913752317
control,0.06752284777911291
control,0.13454176418629116
control,0.10985551893566681
gef,0.5699910222721156
control,0.08909402063895665
control,0.07315953910558037
control,0.3627011291562991
control,0.07504535830059392
gef,0.5492510722031875
gef,0.6681973672017141
control,0.07999458144460392
control,0.07433825215256105
control,0.14446532130887052
gef,0.6685735929818996
control,0.08330936325798091
control,0.12151652492370069
control,0.06773153986365103
control,0.08682500164877535
gef,0.8461553339132092
control,0.07533308904010352
gef,0.7933130744854267
control,0.07219336126981538
control,0.08005438257062839
control,0.8513187338256198
control,0.08199706569164153
control,0.07203272849966884
gef,0.6419310468874508
control,0.09418497282313036
control,0.09006648173244709
gef,0.8611371132660601
control,0.08921656991249889
gef,0.4575404693851005
control,0.08094757630360909
control,0.07634416962361737
gef,0.7841614557737887
control,0.20673881845486944
control,0.11251571982999176
control,0.8638561489065202
control,0.0760476836403591
gef,0.8555318421633359
control,0.07107560344836197
gef,0.8028838578143553
control,0.07304642335600016
control,0.07522176926458175
control,0.07475518228942674
control,0.6901651465843693
control,0.27702316170765473
control,0.06931432500549843
control,0.1055743550801234
control,0.12893734042283048
gef,0.8312658189802761
gef,0.63356471957436
control,0.12944650709877453
control,0.35466195266358364
control,0.07458924213614533
gef,0.587604851645243
gef,0.8548701015663782
control,0.22990523196765572
gef,0.8632433751493538
control,0.07847870966438701
gef,0.8048257731920637
gef,0.6281801350903385
gef,0.8520436070910545
control,0.0920936364869529
gef,0.8575026452426021
control,0.0716492653975955
control,0.11315897380511734
control,0.10451945022208917
control,0.07173017465716965
gef,0.6028688782332283
control,0.06744871275260489
gef,0.8580434129129987
gef,0.6503628053475604
control,0.06895003773585356
control,0.2653792570001052
control,0.10750053562264958
control,0.07693902580719177
gef,0.18086799522877514
gef,0.32740569002250397
