Label,Predicted_Probability
control,0.08965567681619442
control,0.1457139824174849
gef,0.858460215888728
control,0.07183427339503691
control,0.06890916983441132
control,0.08655604808395623
gef,0.8647332795097661
control,0.08797852970161762
control,0.07876833676208159
gef,0.8607135805414853
control,0.11661952906441016
gef,0.637545210097035
control,0.07189884309513626
control,0.07155082704562762
gef,0.8495198363495413
control,0.06739583338720286
control,0.06701402475355211
gef,0.8620731747580646
control,0.06838128497109072
control,0.06696340806306232
gef,0.8628244796632754
control,0.12117212276563669
control,0.09351539669673359
gef,0.8626863434014748
control,0.08259723048033754
control,0.11622280317644285
control,0.07657763582225291
control,0.07761591289568448
control,0.08106077816756982
control,0.07356747860407635
gef,0.8652487337833079
control,0.06848043089210261
control,0.0770229588866237
gef,0.5283890866654225
gef,0.8543324566440763
control,0.09137998957469877
control,0.10758359992693589
control,0.0733576391651787
control,0.06844585915320014
control,0.07340601014020783
control,0.13350963341373895
control,0.07092961674727141
control,0.07245823791101327
control,0.1897520392052651
gef,0.6996633782097323
control,0.07498253155154966
control,0.07042282102833711
gef,0.8594758657197922
control,0.07703032612049938
control,0.07364205647466501
control,0.1193394886706313
control,0.1150598446002021
control,0.07507847316751587
control,0.07625766144447323
control,0.07201364347002699
control,0.08779150892923
gef,0.8622346902076975
gef,0.8349553191515389
control,0.06753559860308547
gef,0.8373260841796425
control,0.19377373329839123
gef,0.8550742499007168
control,0.08182005384084357
control,0.0719540510959942
gef,0.8530989127896673
control,0.06781249934972047
gef,0.8593262108984575
control,0.07548221509000728
gef,0.8398035318682556
gef,0.7666736481112455
control,0.0722917945959521
control,0.0706013135883827
gef,0.8611139316654572
control,0.11261348932156282
control,0.12761237872283437
gef,0.8510290010710924
control,0.06962515036119757
gef,0.8594330884211605
control,0.08042124974712887
control,0.11576830042083357
gef,0.830311404119984
control,0.07844544204396924
control,0.06832365771104729
control,0.0700532924691514
control,0.07139710063396232
gef,0.8161173547836036
control,0.07075987849789524
gef,0.8580376350896218
control,0.0794849668636263
gef,0.8533146602814465
control,0.5999195679640812
gef,0.8363375055793622
gef,0.7964408362646368
control,0.06744950495028154
control,0.07095463473476682
control,0.06752225154621354
gef,0.8637017296164679
control,0.09262075744285493
gef,0.8190253230260021
control,0.08568999299625105
control,0.06871125702203885
control,0.16906948276760492
