Label,Predicted_Probability
afa,0.8571403348184748
control,0.08420920627451826
control,0.08693393287632685
control,0.13258246297346768
control,0.08725240122937328
afa,0.7915773838657757
afa,0.7962152502446103
control,0.13314420573397986
afa,0.8273981195370554
control,0.06529243104907809
afa,0.4240753559308635
control,0.12411826625684522
afa,0.8281391240593872
control,0.1689392467151416
afa,0.6926120635436499
control,0.09761112852644822
afa,0.8588450402857175
control,0.10373176977835463
afa,0.7221825087302067
control,0.10023628909838574
afa,0.20985144413325782
afa,0.8071584358061207
control,0.3124093650320052
afa,0.7160183300878373
control,0.19410276362931436
control,0.18608681722635975
control,0.0954442742317541
afa,0.5450519042482358
control,0.09065125918809318
afa,0.7757593883127156
control,0.1754346558880255
control,0.07360929175468463
control,0.07085515810370129
control,0.08829010010537648
afa,0.6100643349845295
control,0.13335922251152038
afa,0.5895493450718227
control,0.14552171404014186
afa,0.714505111319013
control,0.1137076794305126
afa,0.7669176875386117
control,0.09103642675345706
control,0.0750385832748542
afa,0.7896200277579273
control,0.7085319365359224
control,0.22555118921920644
control,0.08719816532603952
control,0.19620138179994892
afa,0.7909369171378182
control,0.1224336985077206
afa,0.3964255209336273
control,0.09555404182253927
afa,0.255347209220835
control,0.27498664677319307
control,0.072845798675729
control,0.08903091349630225
control,0.08260283674850191
control,0.06796549231464888
control,0.2726459560376613
control,0.10604417828506967
control,0.10684369313833016
afa,0.7679569588985273
control,0.09943692753955116
control,0.13243312420153167
control,0.08215274008808907
control,0.19997409406668143
control,0.1118429700145118
control,0.1757298662328274
control,0.21013587730990002
control,0.1042063587775716
control,0.19416072616774535
control,0.09333211582377088
control,0.0801998897457384
control,0.09275432344863241
afa,0.8546574193678579
control,0.2008911696453679
control,0.15238059523367636
afa,0.3251021877761683
control,0.07600425873877104
control,0.2481149193691635
control,0.08662377508634163
afa,0.2500875913307935
control,0.165929261216874
afa,0.8254306374737002
afa,0.4943890320784984
control,0.14691015103787033
control,0.09745360847287679
control,0.09800485691839758
control,0.17298122376268293
afa,0.4391658534863111
control,0.1363620302783089
afa,0.6623508154608911
control,0.10334809397564464
control,0.15329773024926527
control,0.11494410549148992
afa,0.30185111301667883
afa,0.4355303659100581
control,0.14919860533330892
control,0.08279210759854187
afa,0.726054329786206
control,0.0760079559598837
control,0.10506565064633892
control,0.10757594493988532
control,0.22924546581979807
afa,0.775204674084475
afa,0.8549941591540376
control,0.08865507179265415
afa,0.7367464113622726
afa,0.8049759930845685
control,0.11230775244963562
control,0.1013926706948007
control,0.22691075738818003
control,0.455680446009756
control,0.07305556571755585
control,0.08210540917012765
afa,0.7808571634664173
control,0.20955951315929564
control,0.3302069581022047
control,0.10249561771204622
control,0.12465791076469561
control,0.09218223021385832
afa,0.1988977049755342
control,0.10047646636656715
afa,0.7020448469211319
control,0.08774644271964141
control,0.09474876622739756
control,0.11504306111326112
control,0.24339119981818663
afa,0.8568833783648764
control,0.27259660908191685
afa,0.8365795658066594
afa,0.8027566990976425
afa,0.8298438249447331
control,0.0742502362457165
control,0.255032705963552
control,0.10057463645300013
control,0.09719547125245556
control,0.08213211805800782
control,0.1423438021978572
control,0.10097914156491708
control,0.08713121453829156
control,0.7907207138616237
afa,0.4788879263677354
afa,0.8136622226775196
control,0.6763846778606089
afa,0.7945989867646006
control,0.08871696503796485
control,0.12694380198025912
control,0.11842609590807376
control,0.0975955036330876
control,0.08181380985924366
control,0.09605296146379934
control,0.0648638328994929
afa,0.840767469314336
control,0.07378161302999364
control,0.15455935223495754
afa,0.801043970587499
control,0.11536845766211017
control,0.3069749770131855
afa,0.5160807741135113
control,0.153791563318976
control,0.11109871183301571
afa,0.7825108749698904
control,0.15991778766095516
control,0.1482259030972419
control,0.09813314575619378
control,0.07293464007604138
control,0.08962138090851364
control,0.08595923736878937
control,0.07152226887874205
control,0.09564503591794263
control,0.17250468516874923
afa,0.8396800866188558
control,0.2816331831798669
afa,0.5414159060050411
control,0.13720536740228842
control,0.11871734513841839
control,0.788299237170178
afa,0.7067297987594398
control,0.2459463708353673
afa,0.6338040275056067
control,0.40007674611099703
control,0.10573853106570459
afa,0.6824287522965538
control,0.17326971314938716
control,0.08441178602387356
control,0.08157185933888707
afa,0.8341095935419608
afa,0.6655198781809495
afa,0.6746647710940035
control,0.12056165429310653
afa,0.7405278499245807
control,0.14884167499485004
control,0.18334563354579492
control,0.584549487069548
control,0.10705918136012864
control,0.12447231672362746
afa,0.5574279703940512
control,0.09957905861935767
control,0.71776535873601
control,0.32350853759483966
control,0.09022421347632563
control,0.10740252974248046
control,0.08683819960823187
afa,0.8227805453041768
afa,0.7041650045475476
afa,0.5653395457798647
afa,0.8171236284978345
control,0.06856356934841926
afa,0.7004738957455183
control,0.1026654768650945
afa,0.8537110705069256
afa,0.760378256909326
control,0.20165795632790245
control,0.07678653085310523
afa,0.8599282032400595
control,0.07633122811694362
afa,0.7648941566897955
control,0.07649305973988203
afa,0.5171175395004372
afa,0.8198330758738956
control,0.14772823682949915
control,0.09507066139174307
control,0.1888601073136448
control,0.08814965781204778
control,0.08523010195771034
control,0.0885927014572839
control,0.19284579014683287
afa,0.48114727650716904
