Label,Predicted_Probability
alm,0.9935823469596047
control,0.04461068101077568
alm,0.961606863557608
control,0.02117121478549633
alm,0.9724717338817743
control,0.010796753335708042
control,0.0030438741061414197
control,0.016017627929978184
control,0.002287802670055683
control,0.0037640370775116282
alm,0.032777307343386373
control,0.00270299013530888
control,0.010954914282163997
control,0.013471918485533285
control,0.026688967061883173
alm,0.9342673824720504
control,0.019456050982832207
control,0.039312361345374434
alm,0.9922747376637672
alm,0.9973173307711628
alm,0.9960550184665389
control,0.004485661406975305
control,0.02268830345505062
alm,0.9209489227544575
control,0.021753345846917217
control,0.003995541576602024
control,0.001381403149371474
control,0.0038105410738470623
control,0.009765612320313876
control,0.009173553545686075
control,0.004506460888807418
alm,0.9857824254300424
alm,0.8065277602169332
alm,0.9094971956551264
control,0.021009299654905854
alm,0.9829942144509636
control,0.004563718055890442
control,0.00820469356191078
alm,0.9796965837833869
alm,0.9475533009266041
control,0.023276555339353844
control,0.04087422610857856
control,0.0030954607855725458
control,0.0023653552029305747
control,0.041781349546655286
control,0.004625091154106631
control,0.007331626824685666
control,0.08400730469892896
control,0.053903628446271924
control,0.004623835472128901
alm,0.585866810417965
control,0.0049291933722870555
control,0.007684010743817327
alm,0.8832999888430892
control,0.07233869544268472
control,0.05033479289748719
alm,0.9300722354260774
alm,0.9967862790632228
control,0.021402836264426028
alm,0.9906717931802508
control,0.004055451524250198
alm,0.970029182971302
control,0.0117536073306324
control,0.002862412764547484
alm,0.9436520984815566
control,0.005920253119821028
alm,0.8847462387938698
alm,0.9829985963705343
alm,0.9494997538926928
control,0.03368937188314889
control,0.018176464612123612
control,0.026829968608695243
alm,0.7645820797838274
alm,0.9448198098773695
control,0.007835536750544315
control,0.05067938270223282
control,0.010424903604307544
control,0.013018477586518085
control,0.09369806468912793
alm,0.9482260345754053
control,0.013708831974030566
alm,0.9928684195714872
control,0.013594085755208374
alm,0.9619967143473076
control,0.004880841490375864
alm,0.9491414914644875
alm,0.9959949501667831
control,0.0005843600727808874
control,0.030235790069522327
alm,0.8056635506862448
control,0.009287719304433372
control,0.027820472690199473
alm,0.9970257832727762
control,0.00507483878487347
alm,0.9888314518969004
alm,0.9825768128634955
alm,0.9782148547166798
control,0.004855804871045533
alm,0.9789693033535262
control,0.012388573478894327
control,0.017006626656468838
control,0.012877346911040921
alm,0.9911899263007358
control,0.0029896010632148194
control,0.005321864647903673
control,0.007062181239683096
control,0.011012694211124408
control,0.13155711018905772
alm,0.977291523572578
control,0.0033700881810638573
control,0.004411229917037529
alm,0.9989662141393488
alm,0.9365209917403957
control,0.05409192058761314
control,0.029594827815035286
alm,0.9093281851521621
alm,0.9943375657274132
alm,0.9769396282433348
control,0.04521071477308092
control,0.012560265991811748
alm,0.39000783261807015
control,0.020541780932653176
control,0.02767368877225742
control,0.015511762011867148
control,0.006275077582287958
control,0.0016010092895486273
control,0.055384429400824595
control,0.02495469770076848
control,0.03205024601885016
alm,0.9465029260772854
control,0.03412026229297027
control,0.023590693161518184
alm,0.966050995850636
control,0.012895983473678952
control,0.05219086718831434
control,0.0035244674446219594
control,0.029661669180482873
alm,0.9300278169979943
control,0.013973391908561172
control,0.019338851114988807
alm,0.9877459877710069
control,0.020971587275730695
control,0.012791912426581375
alm,0.9655772133766186
control,0.007959337820692091
control,0.010731131536705551
control,0.0053141071558052925
control,0.05620474595061118
control,0.028517142920594173
control,0.0059308571419793175
control,0.010840870579006534
alm,0.8576002534516501
control,0.034322023124542356
alm,0.9955095586225979
control,0.005315647395327194
control,0.01728990403840447
alm,0.9412883508342988
control,0.023879933372217898
alm,0.9872824565173437
alm,0.9739964752611927
alm,0.9769243677107774
control,0.0031587231196814614
alm,0.9575945257382094
alm,0.9944750597386973
alm,0.8199778375500528
control,0.020214453426994218
alm,0.9996361463454303
control,0.004297032596736328
control,0.023358694195870576
alm,0.8702509564705435
alm,0.9745725098068588
alm,0.9721535418304581
control,0.002840170591659108
alm,0.8588133562798062
control,0.004724546464965229
control,0.03362509307045909
control,0.004780290853774382
control,0.03489903886021486
control,0.12843509343483084
control,0.051785585143724264
control,0.005515922487066871
alm,0.9785771099522108
alm,0.751329456773753
alm,0.9955498034751311
control,0.0019114748175873997
control,0.023417670730527695
alm,0.9847965493477734
control,0.024276703854442604
control,0.026680863306428382
control,0.04468895998245133
alm,0.9819986436491039
control,0.006656033074958568
control,0.0040608715693091655
control,0.010065712485132262
control,0.005504020276458266
control,0.03737577625495123
alm,0.9809834290903499
control,0.016621579760055672
alm,0.9819607539822682
control,0.009342620973251937
control,0.01202183401969743
alm,0.711838280309429
alm,0.8978660497278541
control,0.0013145467263887545
alm,0.9977659325951977
control,0.01969810028834775
alm,0.865502428876538
alm,0.9659516278512777
control,0.001835452066917731
alm,0.9793615683499766
control,0.014889834872865859
control,0.06315067687209774
control,0.15957597038225876
alm,0.8472094154070533
alm,0.9052221924020039
control,0.007646310579836779
alm,0.07925433374572106
alm,0.8628951349361339
control,0.009433778695225192
alm,0.9857652441787625
control,0.012121381885328564
alm,0.6787023779516613
alm,0.9406596545847712
control,0.013773722721104598
control,0.018680194403251214
alm,0.5705595103992485
control,0.0020227492155552975
control,0.01508220624537413
alm,0.9909845501456243
alm,0.9925899047710341
control,0.19402326310789259
control,0.003493897086095421
alm,0.9233173444758365
control,0.004851027758975191
control,0.11283874999546528
control,0.0083188724016388
alm,0.9816411395757125
control,0.02457880536730701
alm,0.9741317739567308
control,0.027610252600498163
control,0.18282643209069674
control,0.0027184770280741953
control,0.0070786978907589225
control,0.0027758010243333466
alm,0.995577151387906
alm,0.9652239796412247
control,0.021473862593371806
control,0.0055279762220502345
control,0.044783408197834794
alm,0.9743384548720101
control,0.04403285925831546
control,0.0007320112461635774
control,0.05629698406232484
control,0.1468778100952572
control,0.029894409529506793
control,0.003262597371960818
alm,0.9964780682034278
alm,0.9955971002469927
control,0.016686408415860575
alm,0.9897163244994616
alm,0.7372970928574158
alm,0.9971888874428538
control,0.008931869402169256
control,0.005513859803641652
control,0.0296812462948677
control,0.021472518388916905
control,0.002251443064765324
control,0.01082294842133349
control,0.03977860945868692
control,0.1408261029086303
control,0.021461779658791768
alm,0.990578651039851
alm,0.9935980362111261
alm,0.7825260353821359
control,0.06102723194441724
control,0.00938474784267156
