Label,Predicted_Probability
osi,0.9913095543565855
control,0.9429182313770564
osi,0.418194564080287
osi,0.9623282033070361
osi,0.7761185844445604
control,0.016149709676150054
osi,0.9299851029961355
control,0.36117674340068523
osi,0.9013285610727173
osi,0.9560534993374237
osi,0.9943325106936258
osi,0.9911201089805081
control,0.02466245657501659
osi,0.9201217042455122
osi,0.9466751578933614
osi,0.9721996587429509
osi,0.5489156816121763
osi,0.8099568967702737
control,0.44371210538898415
osi,0.9639292636527921
osi,0.8105367831008025
osi,0.9209348160094848
osi,0.9803093716235564
control,0.004367285653772936
control,0.01192032372635009
osi,0.9759695757958727
osi,0.9788109504952602
control,0.014555097054968536
control,0.009987260661924752
osi,0.954266401522476
osi,0.9639971095251291
control,0.023055665330620756
osi,0.9977336911527356
control,0.2944678429593098
osi,0.9986388326097538
osi,0.9569839402157374
control,0.00874684817842782
control,0.001606972810104167
control,0.007585066448309315
control,0.03925390660482646
control,0.31389445216028333
control,0.29685875153621344
control,0.03300778495512145
control,0.016933093241955396
control,0.04223802484460394
osi,0.9633216209765495
osi,0.8492206466577212
control,0.10377456937013178
osi,0.9981954574867806
control,0.008464991331300258
control,0.02705568274566067
control,0.048501785007321815
control,0.007905537664254749
control,0.11876676062374965
osi,0.9079396183758048
osi,0.9431118580923592
osi,0.9978285723932123
control,0.13336099201613794
control,0.017613022032068697
control,0.05293248621867639
control,0.2080027928438458
osi,0.8217309618002947
control,0.12263024099387476
osi,0.8182993759518407
control,0.8507058874290591
control,0.10169813566332109
control,0.03275940666461215
osi,0.4342822272722759
control,0.014374013324847185
osi,0.33317657773213777
osi,0.9639371285436347
osi,0.9952971531544124
osi,0.9998512447840782
control,0.02803206945550373
osi,0.9665632357533971
control,0.01943282531918395
control,0.1030793738224205
osi,0.886438577509138
control,0.014095149087879247
osi,0.9568733647032476
control,0.13422702982505952
control,0.0916824015003111
osi,0.910631209612558
control,0.6395077676297368
control,0.03928428510179184
control,0.0701255398873418
control,0.010705899942303296
osi,0.9080892454266231
osi,0.9443329649831493
osi,0.9460310882839635
osi,0.9945409249907785
osi,0.9980342878883542
osi,0.9943567797841049
osi,0.9905716889391538
osi,0.9957833162448546
osi,0.9847933953527426
osi,0.5504180670794381
control,0.020239837286279514
osi,0.9142472807166893
osi,0.9449581775454956
control,0.19606113625576707
control,0.016872016049920613
osi,0.7704548566920835
osi,0.9897568743736371
control,0.014989782788015252
osi,0.6969244103772356
control,0.0022450157621068745
control,0.029839616252217795
control,0.06993508654391231
control,0.4204988589696499
control,0.08712775310838769
osi,0.9762687661515426
control,0.03321709982978742
osi,0.9928132764745051
osi,0.9724137253155958
control,0.016105468339639058
osi,0.972682607702913
osi,0.8630188097127448
osi,0.9742524620111543
control,0.04239027457944053
control,0.4633175721438228
osi,0.9983529204014973
control,0.44097504555029576
control,0.008807157412545974
control,0.012396115799504667
control,0.05528514579776299
osi,0.9907324777606226
osi,0.9975552563143999
control,0.13374535802857565
control,0.004485394440137383
control,0.11353506068728574
osi,0.8670768312318323
control,0.0018745870267963052
osi,0.45311200396348816
osi,0.9999117232822654
osi,0.959707251623343
control,0.0666563109556919
osi,0.9580442133553697
osi,0.9941753764872269
osi,0.7801712813734699
control,0.07492945690875533
control,0.023156278079878363
control,0.006885841138777051
control,0.05023733597340281
control,0.27706679057405975
osi,0.7601258582245656
control,0.025091252448161787
osi,0.8833471263127578
control,0.006768718260783025
control,0.03311633952673881
osi,0.4684241202734694
osi,0.9886167966881139
control,0.08392967118316554
osi,0.8560503351618467
osi,0.7300878703669844
control,0.013501514395570558
osi,0.906893387769282
control,0.017282111993444864
osi,0.9726727505215589
control,0.05656714352946689
osi,0.7672998785285797
control,0.30523497989107434
osi,0.9492470756823497
osi,0.9950615914644768
osi,0.901398588163276
control,0.003615599853419278
osi,0.9621131478956622
control,0.005008775988470116
osi,0.9996046082100453
osi,0.9933825344531405
osi,0.9377053199868234
osi,0.9712186729951586
osi,0.9923310861124349
osi,0.9673812573857958
osi,0.9993625503859975
control,0.08498958428445033
control,0.005507690744470277
osi,0.23719026201365975
osi,0.5716811037889272
control,0.08939719062630949
control,0.08286427021431605
control,0.07344431661751943
osi,0.9967902988863673
control,0.011281799362825431
control,0.06940884639779225
osi,0.1503191733454205
osi,0.9989201656091357
