Label,Predicted_Probability
control,0.0027843693969280825
control,0.01117901782390363
vin,0.990342247579069
vin,0.9953931140971204
control,0.4088672221074262
control,0.02001181399094508
vin,0.9882015310962917
vin,0.11835440243193643
vin,0.9108018301375592
vin,0.9916374968871082
vin,0.9993115049888532
vin,0.9957553586218898
control,0.11778454517124104
control,0.006168340841776588
control,0.0033417880981977573
control,0.010739246187481464
vin,0.9970153582597059
vin,0.9838520653770685
control,0.008665484238395926
control,0.009922684787570146
vin,0.981893501709519
control,0.0017775094609116227
vin,0.8540817294177507
control,0.08475218084450616
vin,0.876972350429229
control,0.2561925001893181
control,0.0956961165315811
vin,0.666649293925085
vin,0.9869270787804985
vin,0.9986387361610756
vin,0.9749390415395659
control,0.020435319782521496
control,0.010337735484272326
control,0.009014792387186981
control,0.0019988199810458563
vin,0.9851080346302566
control,0.014661488899386909
vin,0.9959239092945671
vin,0.9981630860311972
vin,0.9987864731645558
control,0.01856583966377095
vin,0.9776514989100829
control,0.004612063366620953
control,0.0027548350779119336
vin,0.9320788916126588
vin,0.998751607798949
vin,0.923487690782282
vin,0.9628641437420399
vin,0.9988288252979688
vin,0.986930734045402
vin,0.9951096610955983
control,0.007613352476487964
control,0.001399824215895864
vin,0.9962993837247012
control,0.023852110682490237
vin,0.9968066880926839
control,0.16861281661055505
vin,0.9627294977650944
vin,0.16195005867358003
vin,0.99876082325521
vin,0.7842103436554131
control,0.6182898561104215
control,0.010055818964616204
vin,0.9960875707301003
vin,0.9964365769174789
vin,0.9998541385485618
control,0.35414939614060764
control,0.018416336491403913
vin,0.9886896718730057
vin,0.9174526502844715
vin,0.895339949931684
control,0.0002430627203938154
control,0.07441920001432915
vin,0.9948354987737797
control,0.00368897434099458
control,0.10471545499503403
control,0.009159953758476044
control,0.001436323610616148
control,0.010895232989588817
vin,0.9995171707656809
control,0.10046234049161025
vin,0.8375582597881996
control,0.006606083021990852
control,0.04517029603098712
control,0.36247806799570415
vin,0.9887750614478013
control,0.002304374613294466
control,0.04199186295281794
vin,0.9872693612078794
vin,0.980916028864011
vin,0.40560613762210773
vin,0.9934947492957029
vin,0.9953332306319794
control,0.840374825838434
control,0.2203562520277024
control,0.2015712227214494
vin,0.9868647603989155
vin,0.9965698864586402
control,0.014098379698776827
vin,0.29040484747022166
vin,0.9613276264621915
control,0.005634785845944692
vin,0.9950130733749013
control,0.171548027469527
vin,0.8460718952080502
vin,0.9607954059258585
vin,0.9861732625090165
control,0.07177115918685753
control,0.0009800652345482864
control,0.009162635143397633
vin,0.9544459307747729
control,0.011654726741748767
vin,0.9992095264768335
control,0.09626356766254149
control,0.07019020758922281
vin,0.9560503275784354
vin,0.9916147775241868
control,0.008611658523270723
vin,0.8533621852818175
vin,0.9995301957829612
vin,0.9191737485919879
control,0.09805605401753223
vin,0.9037708986254966
control,0.001354272732653634
vin,0.8502425122637914
control,0.10076923645504061
vin,0.9934530702163855
vin,0.9651336914250841
vin,0.9998392053268986
vin,0.9989606796599908
vin,0.9812969138321028
vin,0.9959908534581932
vin,0.998348243240823
vin,0.9180932159305939
vin,0.9708517719206569
control,0.013434711094262714
vin,0.8729800243369145
control,0.006530382527363897
control,0.16053432870238674
vin,0.9474524238667771
vin,0.9956213240425459
control,0.5734352513227015
vin,0.5392268116379094
vin,0.9594063173674778
vin,0.8661816593497216
control,0.027073984372752012
vin,0.9903633637097554
control,0.06601735902793666
vin,0.9880301746312374
vin,0.9960229712813554
vin,0.5593568849201151
control,0.009185509288037071
control,0.007226580963920502
control,0.0593629749572704
control,0.044249710376987474
vin,0.9366829263199984
vin,0.9739264517876842
control,0.21171605997085466
vin,0.9968708331763297
control,0.3269418557313739
vin,0.2736504797712261
control,0.011713912840720295
vin,0.942622234224252
vin,0.837603528312858
control,0.008061913388676206
vin,0.9981629072663099
control,0.011354027546235854
control,0.3270532488169712
control,0.1751014190981009
vin,0.985454388674213
control,0.14678043892746762
control,0.16172719340018213
control,0.019480516142908577
control,0.029887467509810296
control,0.000463648314137517
vin,0.9954932582456119
control,0.2940567370791844
control,0.08201241245739094
