Label,Predicted_Probability
afa,0.9767814556468387
control,0.025737417817090935
control,0.007772158721733558
control,0.017934503188382876
control,0.03198917221081068
control,0.013449771375010378
afa,0.9679588528230028
control,0.021809580186329523
control,0.009649582041672811
control,0.06058871791080531
afa,0.9720901165129548
afa,0.9063928008246325
control,0.1974640555012914
control,0.05895490422902405
control,0.014071156957493747
control,0.005566762314263873
control,0.016643068686665274
control,0.011109324361116247
control,0.05272045572309632
control,0.006636605182672528
control,0.010670211511246874
afa,0.9893155408466118
afa,0.9999043362407203
afa,0.9881244011032801
control,0.03865097903838335
control,0.1169535472416788
control,0.03601702246648515
control,0.1435195099925472
control,0.015196878388798152
control,0.00787841316812865
afa,0.9962526869119064
afa,0.9970691911545393
control,0.01349939120286332
afa,0.9957937841415774
control,0.03476379826788636
control,0.011482455602232489
afa,0.9984075725725422
control,0.008313179232052614
control,0.06577019575349057
afa,0.869325413519024
afa,0.7000183787491302
control,0.02817190575018751
control,0.01643383972744066
afa,0.9995551752924581
control,0.010653200412570585
control,0.031554353014420736
control,0.041480935644171726
control,0.01913604474857209
afa,0.9882769278779865
afa,0.8414186932882906
control,0.04134964563683492
afa,0.9864275918702239
afa,0.9946412288771846
control,0.02408717879223916
control,0.008887991897242365
control,0.012660826271137404
control,0.005527598933283339
afa,0.9983065573672796
afa,0.9765084174970851
control,0.015242603260920862
afa,0.9925444696429805
afa,0.8593791858993626
control,0.09268243696067313
control,0.009275683428219873
afa,0.9326478449803035
control,0.07397114439811195
afa,0.9968585244004611
afa,0.9934823102673397
afa,0.9970001960419779
control,0.02402594398983913
control,0.008901573822740927
control,0.022610284136545356
control,0.009490818476511297
afa,0.9999999931578364
control,0.07028378306855813
afa,0.995257119013336
control,0.06405725059019018
afa,0.9543344671732434
control,0.06294200648104706
afa,0.9643813387070619
control,0.03533953832627457
control,0.016661964920936457
afa,0.8296431943774621
afa,0.9920892120440004
control,0.07599354803497767
control,0.041975468161305464
control,0.005795172430079054
afa,0.9924919009254518
afa,0.922615670292507
control,0.007405074794153399
control,0.023526055773596632
control,0.023244479227007918
afa,0.9961524665718148
control,0.03041482542077445
control,0.0345201023224108
control,0.0044977716079480645
control,0.13079017964383027
afa,0.9636943279758237
afa,0.9924490278141391
afa,0.9857361372723658
control,0.02685815281865587
control,0.024619914155685207
control,0.013902697798303266
control,0.05427596722304513
control,0.08718882556375684
control,0.06132026003683135
control,0.01812867964101823
control,0.0630604311298961
control,0.04328800896648812
control,0.012800065567457742
control,0.03264147033236244
control,0.015143220311275818
control,0.007165924151846692
control,0.012859355940784179
control,0.01776448593238298
control,0.008624581007246257
afa,0.9873948376704064
afa,0.9993617891790875
control,0.5172075694932037
control,0.02631953609851634
control,0.06120304826157765
control,0.020225489635001613
afa,0.9923300328475111
afa,0.9840518200327821
afa,0.960115223070954
control,0.01227651242141623
control,0.009727525173441842
control,0.03076983757442948
control,0.006875947997333242
control,0.031014769171691704
afa,0.9868189862398239
afa,0.9585762985222865
control,0.003058800561053965
control,0.016833199618072482
control,0.025922025163762585
control,0.0034165344185194567
afa,0.9768022251977955
control,0.010034317925173397
control,0.01021502808535757
afa,0.9863087263008248
control,0.13145151840392386
control,0.0027107760361906098
control,0.053523601163453914
control,0.03385380891098362
control,0.011177684601104155
afa,0.9942623798734473
afa,0.9956926018716269
control,0.07723456831609517
control,0.0411304896069586
control,0.016755003425762482
control,0.007914341453949602
afa,0.9327613613992531
control,0.0344322904766519
control,0.08054686070799559
control,0.013789482668744779
control,0.03558623065884212
control,0.013962106659432672
afa,0.7833967207646102
control,0.03552300404286475
afa,0.645576719108588
control,0.009358778467301732
control,0.011325736256130559
control,0.009011969475384518
control,0.01947062167996605
control,0.01108017157965906
afa,0.874008900282567
control,0.013195630275038183
control,0.005407612424172559
control,0.013354566110132481
afa,0.9939712927855379
afa,0.9079926000489096
control,0.009277209153788536
afa,0.9170781694795129
control,0.006408178123691544
control,0.01813287715933203
control,0.0020148718180925894
control,0.028151177368094936
control,0.020395151069698268
control,0.008646097106747996
afa,0.9934612122929666
control,0.008698303440490851
control,0.021392979600796936
control,0.020810862030833887
control,0.02521586323507181
afa,0.9977806402853371
control,0.029397018949020515
afa,0.6357566409302822
control,0.008531900374354274
afa,0.942612376545015
control,0.0018962640287389255
afa,0.9999818613947191
control,0.012339485081281154
control,0.019482106951118204
control,0.005323452478788226
control,0.015275228007124308
control,0.012206191933721789
control,0.024724193431769615
control,0.013432288077597688
control,0.02159462594898003
control,0.03142766739874683
afa,0.9928323092019073
afa,0.9964164728965514
