Label,Predicted_Probability
control,0.018166196419122316
control,0.03953700342140705
control,0.05512972365703119
control,0.015560933445209434
control,0.031574883776213605
alm,0.9967373986457577
control,0.014716157663958573
control,0.0404607698315393
alm,0.9951864542958185
alm,0.9592411586954164
control,0.008115966902746474
control,0.07724326377129616
control,0.023326472269820632
control,0.02870069206429493
alm,0.9880231589573814
control,0.03691669697550355
alm,0.9651121321708607
control,0.04720787830100224
control,0.029465844627469862
alm,0.9549687470885463
control,0.011141141864715775
alm,0.9941951558260829
control,0.02554861489980209
alm,0.9454921273644293
control,0.012101032298070913
alm,0.9820220020229631
control,0.02544901639766073
alm,0.4530349565904913
control,0.03940911416941415
alm,0.9569192527919361
control,0.03718832512718817
control,0.006212349403009987
control,0.017765353057690204
control,0.008904240545761355
alm,0.9836605670552423
control,0.04348811007944962
alm,0.9123219502388225
control,0.018754273882968065
control,0.014075487956858024
alm,0.9725493465380131
control,0.0358595194749074
control,0.00523892259018417
control,0.013572362357961753
control,0.005493669260085143
alm,0.9821982416005733
control,0.039427427036319476
control,0.007880637615465359
control,0.0046125403259444035
alm,0.9916023891483089
control,0.8004476818630014
control,0.036534939191610015
control,0.020046503347568724
control,0.0839966689022869
control,0.05795582072224166
control,0.018973992782900774
control,0.17456567143477225
control,0.01374794986578276
alm,0.9596513894958993
alm,0.980009549456575
alm,0.9890404006381261
alm,0.999163557247979
alm,0.3736084206368508
alm,0.6624768828428406
alm,0.9977504593486545
alm,0.9875998886019237
alm,0.8600524663429475
control,0.014755797219522093
alm,0.7984766795310714
control,0.014085881062325578
control,0.008153614326461023
alm,0.9866806626936026
alm,0.9891182619770087
control,0.00432629970646028
control,0.005905880136961206
alm,0.9735850681318988
control,0.002486793665327114
control,0.06489893524547234
alm,0.964584881173806
control,0.010357255065839977
control,0.036504150084732886
alm,0.9344411855120083
control,0.10211637763856474
control,0.06117447405122729
alm,0.9817194417871576
alm,0.9845399711349362
control,0.022624418073918306
control,0.016149323185813413
alm,0.9445284172266071
alm,0.9887475076646121
control,0.04956471019749009
alm,0.9971774514369833
control,0.019949432065290585
alm,0.9966670860752338
control,0.018306151959280627
control,0.00982131646604154
control,0.0063613374413777676
alm,0.983431954844945
control,0.028964907222661585
control,0.054324612334061426
alm,0.997116013250811
control,0.004573589644173248
control,0.010556775110951521
control,0.007349671481606324
control,0.006186761728851487
control,0.028983458258119744
control,0.011512636732108094
control,0.022030963921512558
control,0.0102243201535132
control,0.006855994609101223
control,0.044114131187152884
control,0.01805373305708522
control,0.01752453382377763
control,0.0066198541983352845
alm,0.9950063692722102
control,0.015137262814046926
control,0.08130922190826947
alm,0.7224311512236739
control,0.0026091705691925872
control,0.006601531065437083
control,0.023960967255909925
control,0.03417665639844023
alm,0.993810672320407
control,0.017207433502031556
alm,0.832928885539608
alm,0.9672239472685377
alm,0.9744288687946199
control,0.07890931708789235
control,0.007757567470173754
control,0.14006415511411469
alm,0.9909641501433903
control,0.014783516986214829
control,0.006732664802831678
control,0.016045062111484286
control,0.02697591666515333
control,0.008914773879680737
control,0.0057363356791769295
control,0.019199009071841577
alm,0.9979337976350522
alm,0.9945589595181984
alm,0.9937929809112072
control,0.02138715322422944
control,0.022401875728125
control,0.08211861115095094
control,0.020962234165249914
alm,0.9974505330827735
control,0.029941375260270055
alm,0.9950056225897137
control,0.024573763869973786
alm,0.9798708458654971
control,0.002836331575622886
control,0.012232109841435013
control,0.03942009889786082
alm,0.9769420463303243
alm,0.9875767335412557
control,0.15077399516507492
