Label,Predicted_Probability
alm,0.8194047921839568
alm,0.8615121515307772
alm,0.705960942981115
alm,0.7588805033966177
control,0.5175519096892828
alm,0.5108722258709462
control,0.5957086153242104
control,0.19462987537532553
alm,0.8626846121235493
alm,0.8935956710087691
alm,0.7964349493569942
control,0.2147705901665379
control,0.5048207692207556
alm,0.4166792720982741
control,0.5835931600614168
control,0.24028806127067562
alm,0.8835611145304997
alm,0.8260874089198126
control,0.41660068646251647
alm,0.944368031413781
control,0.536490059654741
control,0.3201260287163671
alm,0.9119030671419436
alm,0.9175252837372712
alm,0.7563702604311837
alm,0.5695309866289258
alm,0.8014723156318088
control,0.3303587483058875
control,0.4080000794978103
alm,0.25308433788656987
alm,0.9237586210938925
alm,0.8631029436955895
control,0.16886104590499829
alm,0.9262598920433005
alm,0.6445233520935911
alm,0.9023653430041856
control,0.14597363972815053
control,0.28794547784150076
alm,0.8948742649212515
alm,0.9306260041328074
alm,0.31665522993671386
alm,0.14203648413190736
control,0.091302772782402
control,0.13233457743709726
control,0.12138139406522123
control,0.11705837347910797
control,0.43182742407350344
control,0.11660447178201898
control,0.1282476279325587
alm,0.8151905961139903
alm,0.908269871903061
alm,0.938803353383434
alm,0.9613243418777383
alm,0.889778367207389
control,0.39744198428235566
control,0.9070227577178983
control,0.24998764165548773
alm,0.9026462688315808
alm,0.9128947815653314
alm,0.4682620278511534
alm,0.8925529090618218
control,0.26603733928830575
alm,0.7963109976849658
alm,0.5724677948769656
control,0.3358677834415423
alm,0.36841946187961605
alm,0.8441880010657761
control,0.2298921791493938
alm,0.9205128054292967
alm,0.8168890825490547
control,0.3593238525543284
control,0.12328744562130116
control,0.20632014010147212
control,0.05376019148255975
alm,0.8685802372446281
control,0.17086144648424795
control,0.5947685434487063
control,0.384731827268101
control,0.23403564305345056
alm,0.7951580548437475
control,0.6544632899980393
alm,0.6559936880567152
alm,0.5701787173012673
control,0.15751781063422754
alm,0.8034605914870315
control,0.2966924646493971
alm,0.9042664183342527
alm,0.7321469667934278
alm,0.7763606456441552
alm,0.752470980050504
control,0.6208596691620567
control,0.18257691602631707
alm,0.9167177643372586
alm,0.7312092355495057
alm,0.830477934796557
alm,0.4903540748506339
control,0.09581935624723
control,0.45257665011297804
control,0.3813707751003709
control,0.4839615920906611
alm,0.7199412685426523
alm,0.9180658139947594
control,0.245705479384629
control,0.5320041117771955
alm,0.8518738197996566
control,0.3712911683778924
alm,0.8717988765203017
control,0.36244043201998644
alm,0.8803397477612878
control,0.003470426832848883
alm,0.752384241295874
alm,0.9300114812596657
control,0.16949922748641777
alm,0.9066782349564333
alm,0.7100970477447307
control,0.5431369987539281
alm,0.3595821689484856
alm,0.7451282837683099
control,0.2893737599556718
control,0.2812651491646509
alm,0.8534083141279207
alm,0.7462511409398226
alm,0.5599628401980774
alm,0.7180791179813162
alm,0.8648856073020003
control,0.12072913868697646
control,0.057720883145730914
control,0.07675643218158998
control,0.12731669104694154
alm,0.9057783672323936
alm,0.9068644958716143
control,0.26253324297843583
control,0.37928291843257245
alm,0.9169452460422539
control,0.15015866488034238
alm,0.912723910391802
alm,0.7445775722485956
alm,0.41527666388273554
alm,0.8021569622964275
alm,0.6843125460274304
control,0.7400799951313539
alm,0.9164048465500017
control,0.6281454810022253
control,0.21720189935294387
control,0.42249413995265084
alm,0.8496238564046056
alm,0.9201257434591504
control,0.19275599426250173
alm,0.8462263577362201
alm,0.33342623025915763
alm,0.8534907043668205
control,0.6911572139138227
alm,0.8272772644892257
alm,0.8173416245493563
control,0.1878937397834493
control,0.24605937067527517
control,0.22664483352860887
control,0.4489032521452542
control,0.4111063741626291
alm,0.9179431861857438
alm,0.8799690026746353
alm,0.8981929468096823
alm,0.7676725398809015
alm,0.8669267099463049
alm,0.837409122984633
alm,0.9114887147175603
control,0.332977558528448
alm,0.8058535391533119
control,0.13733280167169884
control,0.8016897307240007
control,0.17710454581250473
alm,0.9610385157869453
alm,0.768857577863457
control,0.12061085866334678
control,0.06995039431434517
alm,0.8593198251786495
alm,0.7616340127561566
alm,0.7973732129554039
control,0.8598755972989938
alm,0.7983862109840312
alm,0.729020188370432
alm,0.1321868280678802
alm,0.9002311278429002
control,0.3726985582094347
alm,0.7046138393763612
alm,0.059997474630481974
alm,0.37924646094384906
control,2.4847694497509565e-06
control,0.20155364491368655
alm,0.9115817247713144
alm,0.577592071557396
alm,0.8959826443184461
control,0.08142191272569979
control,0.24388377607144088
control,0.19763118666757104
control,0.08643699603152093
alm,0.8285735285270122
control,0.1874388713714105
control,0.15081789581640873
alm,0.9280344512866782
control,0.7125911095291093
control,0.16513354253867152
control,0.32754917553396257
control,0.24095998064907667
control,0.33792622800394767
control,0.2275667570524113
control,0.09311607568423522
alm,0.8913226312353754
alm,0.8655465816653862
control,0.121550727363653
alm,0.6194142325661659
control,0.3010083823613721
control,0.1398008648981604
control,0.16458539574701392
alm,0.7091158552980267
alm,0.7921940661274256
control,0.12262214321842564
alm,0.9231082022808662
alm,0.743556844300455
alm,0.9338993725442979
control,0.18102961620192162
control,0.7234076312554765
alm,0.9314757158173904
control,0.1551188392234767
alm,0.6018108114021051
control,0.17810087826831494
alm,0.8892046155848352
control,0.25479527727969
alm,0.9180722537298704
alm,0.9132001416500017
alm,0.7809966324089703
alm,0.7290540026829729
alm,0.8889697167184594
