Label,Predicted_Probability
gef,0.6867219592779149
control,0.5320981293522985
gef,0.7781701428349332
gef,0.47040467555712145
gef,0.5690348805776445
control,0.22917185934673778
gef,0.8169694694713254
gef,0.754203662967799
control,0.32308574699309034
control,0.8053325811424754
control,0.2933508678877134
control,0.27520324528084783
control,0.3705245166460852
gef,0.794974939439465
gef,0.70283468282055
gef,0.5460047818641913
control,0.20377041519252598
gef,0.7246865459011888
control,0.5500467092329833
control,0.19762365735121346
gef,0.8256448294679982
gef,0.8833151584968062
gef,0.5416559679251314
gef,0.6819149263171562
gef,0.521250730943751
control,0.2845591533410633
gef,0.6019934591242013
control,0.39835259986305227
gef,0.491229347928617
gef,0.7648321372676312
gef,0.8149848122285916
control,0.5494115698631142
control,0.6403457808026141
gef,0.7246018148887726
control,0.1620756058829982
gef,0.7476422761743585
gef,0.7647429672270082
gef,0.6987185246039147
control,0.28590884358290486
control,0.24998610477330746
control,0.749438122576767
gef,0.7186363107947644
gef,0.8672842629694971
gef,0.6872179992029104
gef,0.6663166532881246
gef,0.7859680150311661
control,0.2371226502930659
control,0.27973305809173143
control,0.2986163829282301
control,0.4374433325933163
control,0.5920776189743531
control,0.7211317465630331
gef,0.7121731106859428
gef,0.5675858675832672
gef,0.48915944731167216
gef,0.5875782181179062
control,0.31139826166869555
gef,0.6107615927581287
gef,0.5168468003111288
control,0.48259752525468513
gef,0.5208922017315805
control,0.35540808896426107
gef,0.3640272444501271
gef,0.6151284757083886
gef,0.6054502371750647
control,0.9586359640884705
gef,0.8236714116552027
control,0.26951280852155035
gef,0.6566538426461318
control,0.28809264612348995
gef,0.1139606480065185
gef,0.6880134960192927
control,0.1990314527976555
gef,0.8468634586486641
control,0.11942321068295522
control,0.43157163476746063
control,0.08587082716155664
control,0.3804443750672474
control,0.5628629357770418
control,0.18397059150217504
control,0.19151620685950171
control,0.3828607434400004
control,0.3616097677647145
gef,0.6606549145635621
gef,0.8279836239185213
control,0.2810856190340817
control,0.16825674817547248
gef,0.5367896118698021
control,0.19177143136774089
gef,0.7079574174397941
control,0.07342403430603021
gef,0.801514445535933
gef,0.833500363573371
control,0.19559608133821577
control,0.8351209676025408
control,0.2358379323379908
control,0.14226697822991904
control,0.3046988292316911
control,0.664269395886952
gef,0.8192113355366197
gef,0.4746405942331876
gef,0.9231269614676986
control,0.4398939908578018
gef,0.8170742538603122
control,0.2834886797394184
control,0.4468402368008049
control,0.2917446933435388
gef,0.7169171750409836
control,0.26183293675201325
control,0.5689216596520864
gef,0.5627022867538984
gef,0.8142387936298043
control,0.21368882874301817
gef,0.7382482144257173
control,0.23598806015805102
control,0.4428994886384686
control,0.35265788974953666
control,0.2657786456339678
control,0.47517845493407096
control,0.3040250080505703
gef,0.8237485601666741
control,0.2725040974103875
gef,0.5827205674796588
control,0.37357057714537223
control,0.13633098613998812
control,0.36669216697800094
gef,0.547722194363019
gef,0.34909958280853387
control,0.22005171957945646
control,0.215927441495742
gef,0.9445546461736237
gef,0.06253738451540773
control,0.24953016054179328
control,0.24185513637934974
gef,0.6004434827816271
gef,0.833136023210292
gef,0.654689641235833
gef,0.5288712181232447
gef,0.564802761481218
gef,0.48702829027325556
control,0.24826568128404425
control,0.3515275893813266
gef,0.787340490157963
gef,0.6847973490080372
gef,0.8864519871743022
control,0.18438142411395053
gef,0.8614455530152391
gef,0.5902727409770808
gef,0.7202282882199926
control,0.23893670453250965
gef,0.6404216786242718
control,0.3916060175170536
gef,0.8144285742837842
control,0.06000713069169743
control,0.15774725187245803
gef,0.7796754755372022
control,0.8073141942615625
control,0.581105028013196
gef,0.8502022075162374
control,0.44984539230408627
control,0.16898197858756675
control,0.04520142159918205
gef,0.8618358626561735
control,0.4174785499230156
control,0.36379514933882595
control,0.2768726429456465
control,0.35105576509000525
control,0.21907516701702695
control,0.2823131655083045
gef,0.810535567655992
control,0.5001593659466196
control,0.19583306466006103
gef,0.5501856858872454
control,0.2378199719748177
gef,0.5863188826667713
gef,0.7543746906378914
control,0.2739636989069206
control,0.42817639602997526
control,0.13294783704593027
gef,0.6274685794832235
control,0.7291185526545453
gef,0.9198691717716496
control,0.10264698980401829
gef,0.3734351750566828
gef,0.8464270068912271
control,0.4261903354094107
gef,0.75099312910587
control,0.28969867591108245
control,0.2703247126699262
gef,0.7366343065883052
gef,0.7671064444366352
control,0.0768060928147185
gef,0.47050595301727266
control,0.3487253600573457
gef,0.839786849371087
gef,0.6559236440458911
control,0.23511314569705372
control,0.5990947116140477
gef,0.7696432811990769
gef,0.8227511760941313
gef,0.8146128816413052
gef,0.5483132784356093
control,0.17252321010804844
