Label,Predicted_Probability
control,0.4722801623218514
osi,0.5593510530528977
osi,0.43342596755196483
osi,0.7778489425656938
control,0.38913629390515514
osi,0.7590714348584389
control,0.507052426994513
osi,0.9098200175838006
control,0.18869080949681855
osi,0.6849983319579391
osi,0.7587880728673134
control,0.024149579182200294
control,0.055543334964844246
control,0.3674858027103378
control,0.29862296605959954
control,0.09270645168486888
control,0.3316826316709753
control,0.2398152086954978
osi,0.817957332423662
osi,0.7145749230937691
control,0.32825069747282387
osi,0.5933420866970576
osi,0.7483216290305121
osi,0.4382573031546639
control,0.13939448406046098
control,0.519863038157337
osi,0.5900581483718127
osi,0.4697475837603061
control,0.16109715625844873
control,0.17213123645862033
osi,0.7376637082673708
osi,0.6900597979649297
osi,0.21324792282038296
control,0.22032350699391196
control,0.12444115230594222
control,0.13965346914220003
control,0.15446820467570738
control,0.7690013397357538
control,0.5701561123630283
control,0.20316669135198975
osi,0.6819580060230509
control,0.10526215474116378
control,0.2815991385511995
osi,0.443867911933295
osi,0.32895755981699515
osi,0.7167651297255497
osi,0.6454914381330883
osi,0.24416096101505555
osi,0.7701932730598365
control,0.743809716377028
osi,0.8194631915601714
control,0.4439997961081207
control,0.40972220441522655
control,0.20948487973062058
control,0.4891913165304477
osi,0.8589106679062052
control,0.3440999166566746
osi,0.5496367091512081
control,0.6491930755920773
control,0.6112113175267988
osi,0.376311095596512
control,0.2801444391474485
control,0.29386982897782044
control,0.38019425307702137
osi,0.4608469511021191
osi,0.5433598834142722
control,0.23163253104305856
osi,0.6268983199635366
control,0.5336690004908149
osi,0.5079063621183064
control,0.47162576391213784
control,0.2780307239162224
osi,0.35632260001764354
osi,0.8765207654174377
osi,0.7802721770160833
osi,0.6224813064194283
control,0.661330280085818
control,0.14576054410316308
osi,0.8128162602215661
osi,0.5870270232598573
osi,0.21313416384449746
control,0.5154660221650124
osi,0.35980730574457237
osi,0.7464626899374199
control,0.3432970131957256
control,0.300806176161936
control,0.39277456499874214
osi,0.5854261077925431
osi,0.8012418449247065
control,0.12570135214910083
osi,0.6506336636478788
osi,0.6958579361676216
osi,0.6898661418826009
osi,0.7793075506305509
osi,0.5584544761325014
control,0.6508571220462168
control,0.28920846828907754
control,0.46264869312033524
osi,0.018304196930083883
control,0.3750481663118008
osi,0.8015099861415909
control,0.6350537352628682
control,0.41281801874181323
control,0.5687665344195422
osi,0.835742292097259
osi,0.6017537589554369
osi,0.7340729104033796
osi,0.5843847632227254
osi,0.648053705000533
control,0.3170883183999619
control,0.4062524752752859
osi,0.80251923904976
control,0.38299054862463844
control,0.7207286135315897
control,0.4048872212131263
control,0.5279133479127089
osi,0.777107811690296
osi,0.2433997524165865
control,0.1575658259357602
osi,0.8166467212605075
osi,0.7512073233961781
osi,0.6672191233880798
osi,0.4311815730032148
control,0.42673685944875295
osi,0.6356191170201939
osi,0.5276941272991683
osi,0.7112868007816495
control,0.1915117840239355
control,0.19158938095305938
osi,0.783258297808314
osi,0.6008222886816033
osi,0.6303530894017129
control,0.2803928057476962
control,0.208697412637569
control,0.8207436438165304
osi,0.7865002897694094
osi,0.4443229643515963
control,0.5604681372931899
osi,0.41657700509475404
osi,0.6427457787123079
osi,0.5973464405480067
osi,0.595604928091395
control,0.42892148276673703
osi,0.4970670187069848
osi,0.4891196335596083
control,0.09236774937911336
control,0.5863618810647312
osi,0.47119450719784517
control,0.3049022802503262
osi,0.8301424712408799
control,0.23256734940400747
control,0.24275340879168827
osi,0.5381507837869757
osi,0.6187952092911443
osi,0.7072952440685984
osi,0.767116589000423
control,0.038125984028298796
control,0.1900070864891303
osi,0.7372881641273611
osi,0.8154513052199203
osi,0.6911579474130067
osi,0.6986547283875983
osi,0.7349218821714619
control,0.2694682307583993
osi,0.4581383736377278
osi,0.7990307076224943
osi,0.47777310012390534
control,0.41243238980200647
osi,0.39888320641527414
control,0.2935609378289346
control,0.24570751921810702
control,0.49871604677991
control,0.4850730535888477
control,0.626387148986246
osi,0.5577604186162041
control,0.4892498208171995
osi,0.4931419597559339
osi,0.7209065755435073
control,0.6084392295949381
osi,0.6183080460782986
control,0.388852417310686
control,0.40836660025914534
osi,0.7281345828494027
osi,0.9479670987570744
osi,0.6928366722577669
control,0.27964009147821717
control,0.4683345367327026
osi,0.5274608714568797
osi,0.8501848120351145
control,0.28590246024963994
control,0.3928935844286114
control,0.12595429264804628
control,0.41535531065205317
control,0.8091421539477472
osi,0.4649932835135622
osi,0.6684551166251097
osi,0.8417051857083229
osi,0.8138261150559606
control,0.4198259440982561
control,0.5390213513081883
control,0.2326843825505905
control,0.3065614405396668
control,0.20512642191730732
control,0.2774498725503051
control,0.1147231723362325
osi,0.670822973009634
osi,0.8821400182258913
control,0.3634776320457319
osi,0.2707650251471751
osi,0.5877761509687809
osi,0.5529331957802635
osi,0.7014531074273352
control,0.2267556551612397
control,0.16129496505079474
osi,0.5844897281831998
osi,0.5298168130657196
osi,0.5623403110960586
control,0.5755663305154511
control,0.26620850479483493
control,0.3540730255270713
osi,0.5926376750098713
osi,0.6827309179258589
control,0.5800527003075671
control,0.271004403408404
control,0.3059786086187278
osi,0.6623539123307632
control,0.30644702299804516
control,0.44266044795548654
control,0.5625329158101915
osi,0.3889451637436629
control,0.3789681138957428
control,0.07227864235558831
osi,0.6190592879960322
osi,0.5733468043263521
control,0.1624001898301454
control,0.2864220299647662
control,0.13240858301786043
osi,0.8250887014435071
