Label,Predicted_Probability
afa,0.9799563897697068
control,0.0914402872946521
afa,0.8884990657299128
control,0.6276197878661062
control,0.0674085382138345
afa,0.6919376279634616
afa,0.9844031796614857
control,0.10298885310816519
afa,0.8037095766308768
control,0.08380400222278621
control,0.2664932347134473
afa,0.7433320823778646
afa,0.6881965104195451
afa,0.5350815376280501
control,0.01852857125729157
control,0.028513408098854987
control,0.17029641937106194
afa,0.9579060231954705
afa,0.6627462230246641
control,0.04388381639941665
afa,0.3930969043273744
control,0.449196271999058
control,0.03128063775603189
afa,0.5796285725579435
control,0.2243504413394361
control,0.20031535714864757
afa,0.8625235899152832
afa,0.9544563524594791
afa,0.955749114247839
afa,0.9416164731602535
afa,0.6453136841320163
afa,0.9874754070148501
afa,0.9671017978895373
afa,0.9500120450588367
afa,0.8287379203774414
control,0.08312236546549934
afa,0.44389678460034554
control,0.06492226898208335
afa,0.9033501294334412
afa,0.7845127991590165
afa,0.8931049896924554
control,0.12039503777396746
afa,0.8479151891062277
control,0.08111041719208423
afa,0.7495508062833107
control,0.2391570721529804
control,0.07543196081342644
afa,0.900741820679005
afa,0.8334675704058346
afa,0.9536673180179006
control,0.3957780454590437
control,0.18436765725828533
afa,0.015434875956786654
afa,0.9949938823274241
control,0.01705086882707385
control,0.09502784004546541
afa,0.7735400589742073
control,0.05743198641477827
control,0.6450184847228957
control,0.5662256133870139
afa,0.7074887578953025
afa,0.9747362919829701
control,0.1423646370878971
control,0.3373276327916327
control,0.1358665834094998
afa,0.735466947595573
control,0.5423061945509697
control,0.012241890558137292
control,0.06069457308765107
afa,0.7942292313923331
control,0.5619195536078665
control,0.031221372857880136
control,0.09405621309431142
control,0.7229260698112203
afa,0.5896617746241092
afa,0.6463275604536624
afa,0.9948686806784369
control,0.14234555187957426
afa,0.8331578349633041
control,0.13643345218710096
afa,0.9858629734108592
afa,0.9703195877442244
control,0.5349133255411795
control,0.09461498531051762
control,0.1024653415864319
afa,0.3809551587920383
afa,0.7047611731743715
control,0.08199362651895781
afa,0.9080022133359256
afa,0.8862440283323298
afa,0.9406052150554466
control,0.03747673199569892
afa,0.2531430807828692
control,0.05888851628519565
afa,0.8137393123695844
afa,0.09424668248720676
control,0.16500039678849981
control,0.7068504619948766
afa,0.914296772849081
control,0.43726072801346183
afa,0.87215845074853
control,0.43633336607293965
control,0.12524094261004032
afa,0.926418551298166
control,0.04410386034661344
afa,0.9037978893520597
control,0.060357264034860726
afa,0.29210250532146453
afa,0.8994385110062637
afa,0.7076687233026455
afa,0.9651377309282025
control,0.8205405899173286
control,0.2968393584635093
afa,0.5998189752612698
control,0.06970392052368327
control,0.3046016663252592
afa,0.8163618237591189
afa,0.7114179697757376
afa,0.9623517830238185
afa,0.8990271052478663
control,0.4144726638832575
control,0.10049928240046024
control,0.27926561418410695
control,0.39804032543419376
afa,0.6926749393505169
afa,0.9543582653357289
control,0.27420498412781846
afa,0.9367391728403639
control,0.21621334863042008
afa,0.5508914364502129
control,0.6420131408422833
control,0.027555962247963972
afa,0.8698813306258636
afa,0.9742468024234331
afa,0.9766313482443996
control,0.10513704239234023
afa,0.9276302638396748
afa,0.9482880212637331
control,0.09994447317450836
control,0.2736146324368821
control,0.7619240330733594
control,0.6677881276720872
control,0.1847962846042592
control,0.0338794097897714
control,0.5185068116970224
control,0.06301061006447584
control,0.0997509077931564
control,0.3906098838931499
control,0.08128040926584885
control,0.10543930310048846
control,0.21118055992092266
afa,0.7000231407513167
control,0.49346554084199995
control,0.14769405748648357
afa,0.9754123469155752
control,0.08375865089603814
control,0.1429125292205088
afa,0.349139226109422
afa,0.8585911786762279
afa,0.8423162946777667
control,0.07740957777950726
control,0.38079488738461376
afa,0.9917061747548777
control,0.1630007898421558
afa,0.8210189445980607
control,0.06191062677741825
afa,0.7001152779395354
afa,0.8819670905067202
afa,0.5984850410922805
afa,0.8287829744722375
afa,0.8213245050453837
afa,0.702208231744636
afa,0.8680625232118719
control,0.04717352472530258
afa,0.9305622929457256
control,0.03372533896727514
control,0.11600427940747327
afa,0.9687845477163302
afa,0.972946659513028
afa,0.8599150577850836
control,0.395555291350589
afa,0.9515515265183438
afa,0.9428142038858482
control,0.4007549715374804
afa,0.9667483191993167
afa,0.9483629819201292
afa,0.7820945542840905
control,0.135514371403685
afa,0.7874098164695595
control,0.7618485136690503
afa,0.5377856947082634
control,0.40003852449408284
control,0.16200615612229707
control,0.029780340596928512
afa,0.7847136198667648
afa,0.9863322523211193
control,0.09046320572809355
afa,0.9127190719361288
control,0.12061135567436823
afa,0.9464592327365043
control,0.20978814007189409
afa,0.23680943398953427
afa,0.17541930214409557
control,0.0973708045257446
afa,0.6068726507237792
afa,0.36273241309623805
control,0.42139094161944995
afa,0.3680656597340957
control,0.2782902005051266
afa,0.994573086847924
control,0.020883014856176718
control,0.5814347127183602
afa,0.910887721856748
afa,0.9382300819830046
afa,0.6422337458130042
afa,0.8835781171357947
afa,0.5153338537413795
control,0.10765785217740804
afa,0.7153314750270406
afa,0.8404320205557239
