Label,Predicted_Probability
control,0.5149666940312335
vin,0.5943161475545541
vin,0.2462808285031298
vin,0.8042660233613101
vin,0.8218853855433028
vin,0.3812339565386821
control,0.20704296231498112
vin,0.512262432107714
control,0.7285913609747571
vin,0.8058485603473471
control,0.2978339847860086
control,0.17076832499639144
vin,0.7305315689471868
control,0.5578684531617292
control,0.5191763476016995
control,0.39557232220946986
control,0.4460567018054859
control,0.356374978350907
vin,0.33895711932403927
vin,0.5341214569961196
vin,0.69642990381688
vin,0.6270969267658586
control,0.15626702800645045
control,0.6657867153100882
vin,0.701649035182622
control,0.18755590076703121
vin,0.5489796673767363
vin,0.6688398206431554
vin,0.7844288001142316
vin,0.5417590872043622
vin,0.8859939390374384
control,0.18538817397836757
control,0.7967073199823412
control,0.5301710435475682
control,0.18071679741786856
vin,0.5165388031142852
control,0.2691915184224219
control,0.4029072299689287
vin,0.9079993918402426
vin,0.6235565429427028
vin,0.7639937288659284
vin,0.6926337972400216
vin,0.5718317900516323
control,0.5802127163510052
vin,0.8140424500672425
control,0.7425310023531801
vin,0.4761610085646396
vin,0.4853205421376835
vin,0.8604338109208323
vin,0.7763255121408086
control,0.4348237834254178
control,0.4299454682634578
vin,0.824443575407266
control,0.3668643406613823
vin,0.6822320316279198
vin,0.31559550055903185
control,0.1671944761672268
control,0.5716594275391811
control,0.6234532437503386
vin,0.4072382787505706
vin,0.7660085059434311
control,0.7316619024052449
control,0.22539884056742848
control,0.3893159046691099
vin,0.49575454386565276
vin,0.7515285292539348
vin,0.856414656109236
vin,0.8858298862906807
vin,0.23138902388430704
vin,0.8399144686717908
vin,0.7974265106695425
vin,0.7696622414067487
vin,0.8227157201490399
control,0.14196987110607656
control,0.16472252038672722
vin,0.8831749644427077
vin,0.7893870522357421
vin,0.5185832636292373
control,0.3180949274820203
vin,0.5167958940215401
vin,0.899512581289218
vin,0.7433872443668821
vin,0.535296684421138
vin,0.9566984452663323
vin,0.6827103584577981
control,0.3005569174671554
vin,0.9298322072422065
vin,0.5802144756244169
vin,0.7534953282505427
vin,0.8025122499869575
control,0.626896233549788
control,0.20164204869097188
vin,0.8852092832352628
vin,0.5473507481194593
vin,0.47420092779471146
control,0.40582070936328735
vin,0.7182499328976238
control,0.25042388505837687
vin,0.3979084475756716
vin,0.6495862858671163
control,0.4177599748736712
control,0.5171166524807417
control,0.7824498410508369
vin,0.7793396407100543
vin,0.9298741803536874
control,0.5073636692912753
vin,0.6513928929060591
vin,0.6386463073352214
vin,0.5795500942744453
control,0.21310171585412632
vin,0.49622706882918755
vin,0.7463244336085229
control,0.17393660598870447
control,0.8036225161688086
vin,0.7847383566138622
vin,0.7321171761634238
control,0.3959956234118988
vin,0.7093557949794704
vin,0.8753702536481803
vin,0.40416856826707387
control,0.4032975046193002
vin,0.8353116504773679
control,0.4259985067909173
control,0.2677021471321547
control,0.07040648436051032
control,0.42827658686213343
vin,0.7575174054046689
vin,0.868337496416196
control,0.44225867802322244
vin,0.7650731591041049
control,0.271421437923268
vin,0.6963969523940428
control,0.17095252781488754
vin,0.9256151742397373
vin,0.4960603621969407
vin,0.6221080225689222
vin,0.8611817361402349
control,0.7495016452300897
vin,0.38430035437829974
control,0.049830752785036334
control,0.4568840309476426
vin,0.7808652978217322
control,0.8003698678356997
vin,0.631982202853373
control,0.3613219675161436
control,0.3637058622254272
vin,0.8441252187162605
vin,0.4734364031314984
vin,0.911443616822047
vin,0.559037860851568
control,0.48008777102246086
control,0.30404740678493697
vin,0.8693903785739179
vin,0.6393695679835124
vin,0.8905250657047372
vin,0.46810136018034754
vin,0.6950624027613406
control,0.6488161973065381
vin,0.1836570531941325
vin,0.9236651483353695
control,0.392563994726849
vin,0.9472634910291168
control,0.46235605100510035
control,0.1806107831244433
control,0.7606085908490947
control,0.6087521920892287
control,0.13026600962232754
vin,0.5222486038170636
control,0.4090582745718157
vin,0.7682193290653282
vin,0.8071588408385175
control,0.0011370864279183057
vin,0.7970288065882049
control,0.46126726770920345
control,0.2704253348751337
vin,0.8575352688454883
vin,0.6022137452999062
vin,0.8415538860685612
vin,0.7154870379891479
control,0.35270975245752645
vin,0.7892613713534075
control,0.01426134323887233
control,0.01550295592194543
control,0.14113575684813937
control,0.345420643336935
control,0.12641983094010842
vin,0.39426470073823927
vin,0.875355393619332
vin,0.6585130472625755
vin,0.9300192570134286
control,0.42751064731808064
control,0.49695644638193537
control,0.7907581793770051
control,0.6966167020781512
control,0.2789973731501235
control,0.5696970003796138
control,0.10503976795854912
vin,0.7932818473933219
vin,0.8603937301182605
control,0.20288272199192167
vin,0.819247961555266
vin,0.42432991579650176
vin,0.656951376203674
vin,0.9511115066277054
control,0.23309517604790164
control,0.121515143231628
vin,0.8992692117831602
vin,0.8920154431608452
vin,0.7060101443635518
control,0.4444725912658124
control,0.7807719997403513
control,0.27497294421983876
vin,0.6421725861511953
vin,0.9211551670118181
control,0.14721242937691453
control,0.6893644817281658
control,0.18624456620097152
vin,0.9414333291449772
control,0.5380896313907229
control,0.15699974476594453
control,0.5334084396331731
vin,0.8318456119584348
vin,0.3283871633206528
control,0.6750159892622319
vin,0.5379242444229834
control,0.2320381721708996
control,0.6533509238438299
vin,0.48331417960107687
vin,0.7430711021496765
control,0.9710838240780735
vin,0.39249738357375263
control,0.4804034082901226
vin,0.32537132254321655
vin,0.7249395041425346
control,0.4254760504188984
vin,0.9161200670677576
vin,0.5464517986906484
control,0.005457349933565829
