ObjectNumber,Ed_cell_mean_value,Ed_cell_variance,Ed_agg_mean_value,Ed_agg_max_value,Ed_agg_min_value,Ed_agg_top_50_value,Ed_agg_top_25_value,Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,current_Metadata_concentration
1,0.3781012594699859,0.0176169890910387,0.1596302092075348,0.34274375438690186,0.06334627419710159,0.19546256959438324,0.21820445358753204,A549,4.0,afa,0,1,0.0
2,0.1794406175613403,0.0211935918778181,0.1385476440191269,0.31316885352134705,0.0012250046711415052,0.1840464025735855,0.21609264612197876,A549,4.0,afa,0,1,0.0
3,0.5896707773208618,0.0460683479905128,0.3752610385417938,0.6746766567230225,0.22479839622974396,0.44527173042297363,0.5173129439353943,A549,4.0,afa,0,1,0.0
4,0.1939495354890823,0.0056187994778156,0.11727898567914963,0.25964707136154175,0.001395858940668404,0.1543801873922348,0.1795455515384674,A549,4.0,afa,0,1,0.0
1,0.0297303795814514,0.0012592888670042,0.02076416276395321,0.10329688340425491,0.0001343938201898709,0.03407694399356842,0.045003823935985565,A549,4.0,afa,1,1,0.0
2,0.1341862082481384,0.0153551865369081,0.12387198954820633,0.2832818925380707,0.007911956869065762,0.1707116663455963,0.20548836886882782,A549,4.0,afa,1,1,0.0
3,0.1009444817900657,0.0124670602381229,0.10245313495397568,0.2494775950908661,0.009490970522165298,0.14798496663570404,0.18450531363487244,A549,4.0,afa,1,1,0.0
4,0.1951550245285034,0.0044541130773723,0.154432475566864,0.26675835251808167,0.021476132795214653,0.19401012361049652,0.21319110691547394,A549,4.0,afa,1,1,0.0
5,0.1920156627893448,0.0174751542508602,0.20117171108722687,0.43034759163856506,0.002674076473340392,0.26431024074554443,0.3022920787334442,A549,4.0,afa,1,1,0.0
1,0.060613740235567,0.0088396370410919,0.09920348972082138,0.22942587733268738,0.0089818574488163,0.13556627929210663,0.16047874093055725,A549,4.0,afa,10,1,0.0
2,0.2708143889904022,0.0111500704661011,0.20142625272274017,0.37142565846443176,0.0720805898308754,0.24834570288658142,0.2816092371940613,A549,4.0,afa,10,1,0.0
1,0.266447365283966,0.0148078259080648,0.21329817175865173,0.4280308485031128,0.015903683379292488,0.2881124019622803,0.33907896280288696,A549,4.0,afa,11,1,0.0
2,0.1521089076995849,0.004782386124134,0.07403720170259476,0.19586428999900818,0.002851540921255946,0.1022338941693306,0.1255405694246292,A549,4.0,afa,11,1,0.0
3,0.1115408763289451,0.0300482660531997,0.2759057283401489,0.5435006618499756,0.007311075925827026,0.368325412273407,0.4169127643108368,A549,4.0,afa,11,1,0.0
1,0.1411074846982956,0.0053004459477961,0.06986366212368011,0.1338786780834198,0.002635969314724207,0.09344103932380676,0.1059248149394989,A549,4.0,afa,12,1,0.0
2,0.0535642877221107,0.0014058202505111,0.029024917632341385,0.07794248312711716,0.0005202640895731747,0.04292210191488266,0.05303129926323891,A549,4.0,afa,12,1,0.0
1,0.3369954228401184,0.0153090944513678,0.28400492668151855,0.5546272993087769,0.11534567922353745,0.3311971127986908,0.36391231417655945,A549,4.0,afa,13,1,0.0
2,0.3686607778072357,0.0134653337299823,0.1832910031080246,0.3423978090286255,0.07993614673614502,0.22035722434520721,0.25140127539634705,A549,4.0,afa,13,1,0.0
3,0.2503508329391479,0.0239515081048011,0.23570023477077484,0.47883304953575134,0.04948874190449715,0.28432175517082214,0.3201240003108978,A549,4.0,afa,13,1,0.0
4,0.1475903540849685,0.004696465563029,0.09228592365980148,0.2428281158208847,0.009596825577318668,0.1303231418132782,0.1647588014602661,A549,4.0,afa,13,1,0.0
5,0.007219810038805,0.0020455939229577,0.2603433430194855,0.36202600598335266,0.12490665167570114,0.30822667479515076,0.33566492795944214,A549,4.0,afa,13,1,0.0
1,0.071546234190464,0.0032729674130678,0.03107432834804058,0.09080546349287033,0.0002975793613586575,0.044433798640966415,0.053132109344005585,A549,4.0,afa,14,1,0.0
2,0.1652509421110153,0.0116484435275197,0.09894165396690369,0.2746149003505707,0.00019870187679771334,0.15168271958827972,0.19247208535671234,A549,4.0,afa,14,1,0.0
1,0.0822036564350128,0.0016104846727102,0.04409462958574295,0.14850129187107086,0.0004306916962377727,0.059932224452495575,0.07207309454679489,A549,4.0,afa,15,1,0.0
2,0.0442180708050727,0.0081475907936692,0.05002342537045479,0.10077103972434998,0.0014216186245903373,0.07326336205005646,0.08433256298303604,A549,4.0,afa,15,1,0.0
3,0.0512629635632038,0.0008480079122819,0.027289995923638344,0.06527119874954224,0.00013518286868929863,0.04058340564370155,0.04828547686338425,A549,4.0,afa,15,1,0.0
4,0.0025951873976737,0.0005504740984179,0.14043064415454865,0.2787824273109436,0.04999757558107376,0.18671512603759766,0.21751129627227783,A549,4.0,afa,15,1,0.0
5,0.0508793368935585,0.00885462295264,0.14046970009803772,0.2080199122428894,0.07918304949998856,0.16887404024600983,0.1823318898677826,A549,4.0,afa,15,1,0.0
1,0.172407642006874,0.0062069771811366,0.1411360651254654,0.2749471962451935,0.02151385508477688,0.17984257638454437,0.20009344816207886,A549,4.0,afa,2,1,0.0
2,0.0869430676102638,0.0126489093527197,0.16384345293045044,0.41050219535827637,0.006355998571962118,0.21923890709877014,0.2571777105331421,A549,4.0,afa,2,1,0.0
3,0.0021835013758391,0.0004138625226914,0.15109799802303314,0.27505600452423096,0.052233725786209106,0.19914908707141876,0.23781448602676392,A549,4.0,afa,2,1,0.0
4,0.0905401557683944,0.0082287257537245,0.0777854472398758,0.19278541207313538,0.0026747300289571285,0.10525162518024445,0.12545478343963623,A549,4.0,afa,2,1,0.0
5,0.1002767607569694,0.0014940632972866,0.07946782559156418,0.14612603187561035,0.014758561737835407,0.09950651228427887,0.11114253848791122,A549,4.0,afa,2,1,0.0
6,0.0264381561428308,0.0075041446834802,0.2681513726711273,0.4548971652984619,0.08247394859790802,0.33295968174934387,0.3610716462135315,A549,4.0,afa,2,1,0.0
7,0.1168219372630119,0.0041899401694536,0.035099148750305176,0.11560145765542984,0.0011262836633250117,0.04980262368917465,0.06069837138056755,A549,4.0,afa,2,1,0.0
8,0.1360346674919128,0.0027736867778003,0.07628187537193298,0.14313478767871857,0.000657226424664259,0.10143031179904938,0.11513090878725052,A549,4.0,afa,2,1,0.0
9,0.1156962066888809,0.0083808060735464,0.07671114057302475,0.20290936529636383,0.0003236859920434654,0.11552315205335617,0.14262408018112183,A549,4.0,afa,2,1,0.0
1,0.0539571084082126,0.0085674338042736,0.18043377995491028,0.31058430671691895,0.06177297979593277,0.22650547325611115,0.25517645478248596,A549,4.0,afa,3,1,0.0
2,0.0141563890501856,0.0026571180205792,0.11729785799980164,0.34203094244003296,0.0010901294881477952,0.17171013355255127,0.21023237705230713,A549,4.0,afa,3,1,0.0
3,0.065653771162033,0.0019207103177905,0.03138003125786781,0.08745989948511124,3.733456469490193e-05,0.04524825140833855,0.053860194981098175,A549,4.0,afa,3,1,0.0
4,0.1064300686120987,0.0028541120700538,0.0523163340985775,0.12521325051784515,0.0013128917198628187,0.07078196108341217,0.08262710273265839,A549,4.0,afa,3,1,0.0
1,0.0003691010351758,2.9377069949987344e-05,0.016218166798353195,0.031017515808343887,0.0021908991038799286,0.025191809982061386,0.028833845630288124,A549,4.0,afa,4,1,0.0
2,0.1395224630832672,0.0064403465948998,0.052875638008117676,0.14497555792331696,0.0023122266866266727,0.07800008356571198,0.09439700841903687,A549,4.0,afa,4,1,0.0
