Label,Predicted_Probability
dac,0.5598217409061208
control,0.24755694872905049
control,0.39335610618262795
control,0.27033767799225805
control,0.23462390584928547
dac,0.5135718876870998
control,0.30743432079593724
control,0.8144300874074796
control,0.4429348197860931
dac,0.3194470836641556
control,0.42596925119546614
dac,0.4722953276026699
control,0.4418554646716128
dac,0.3144316391656795
control,0.23785926637821203
control,0.18863121291334908
dac,0.7202074451422005
dac,0.7143001714449886
dac,0.42109871388916015
dac,0.35463203695633416
dac,0.5198900062276333
dac,0.6135212395864628
control,0.4199109572380763
control,0.5841858172853213
control,0.2588371326706647
dac,0.7383220641564817
control,0.28325211794615524
control,0.41837791937894214
dac,0.620699473975915
dac,0.5918318976636634
control,0.18123727590223765
control,0.39274181733955726
dac,0.5278130772168101
control,0.39890557247787484
control,0.16407029929787012
dac,0.569568017615173
control,0.6669583136483306
control,0.6886508328574358
dac,0.6026288854007904
control,0.5480151375014001
dac,0.41936172306678765
control,0.4654828612143277
dac,0.5661147682737551
dac,0.4940163219737908
control,0.2401891677739813
dac,0.5180654996155452
dac,0.6071942136908548
dac,0.9152466769089838
dac,0.2969473676573558
dac,0.7333728667612286
control,0.7091370909146769
dac,0.5023591017129719
control,0.2432650437028982
dac,0.44258587633489654
dac,0.49647235293655284
dac,0.6310486697152602
control,0.6095197955833639
dac,0.7680214299536723
control,0.5528269322743211
control,0.47340533295925935
control,0.3743293272823424
dac,0.6283483488604338
control,0.34287028221508137
dac,0.5498861566674731
control,0.3300538983151089
control,0.3348692930878803
dac,0.5602081604212219
dac,0.7413259979745681
dac,0.6448025722038133
dac,0.5041059469384626
dac,0.7428675615223046
dac,0.5663525917982545
control,0.15310930097654235
control,0.4382721026840569
dac,0.5890428942997477
control,0.08839771783660412
control,0.5210681301136562
control,0.5246381595093526
dac,0.4897858494633206
control,0.3466319763097231
dac,0.7295043212579773
dac,0.48328015535006924
control,0.513097719412278
dac,0.31839583587923787
control,0.762988768640081
control,0.34343855473238594
control,0.32213150443782085
dac,0.6810808108349724
control,0.38946450817735057
dac,0.7191183603897618
dac,0.7316414018975466
control,0.49873944807051684
dac,0.6876896797305201
dac,0.7182509042213885
control,0.1225684161502459
dac,0.7018091042831724
control,0.42651872472576746
control,0.4207181477609657
dac,0.5797268280913044
dac,0.47633651207729966
dac,0.6662864655057018
control,0.3314227288249304
control,0.43193823935682707
control,0.5059576050487897
control,0.289200093813833
dac,0.49620169711138784
dac,0.354283345860789
dac,0.4557393752210199
control,0.4750325323242082
dac,0.5944688825449508
dac,0.4656918231245992
control,0.18494943344273324
dac,0.800736153429002
control,0.5176018244605192
control,0.6035808255019222
control,0.47361024889047976
control,0.36527067759144793
dac,0.8010805512250778
dac,0.46316191803312695
dac,0.7185906962312552
dac,0.285764270555695
control,0.6413554135054692
dac,0.7537667546806903
control,0.33815596975649853
control,0.32366245727164283
dac,0.4611913398169086
dac,0.34924960250452497
dac,0.6083336583200902
dac,0.6511309461795582
dac,0.7250518928221944
dac,0.6866214618477058
dac,0.3934149378288975
dac,0.40627659456297566
dac,0.495796410473361
control,0.4982209334191012
dac,0.5867122633749036
dac,0.7084698033447799
control,0.6215474061283595
dac,0.6939321194517257
dac,0.49654237764075243
control,0.5956956896643067
control,0.5380969718683002
dac,0.538394774590503
dac,0.6323239958525975
control,0.3157939078310647
control,0.22887200300788307
dac,0.7695275037443777
control,0.2379820513430339
control,0.5470817524256704
control,0.48086604823025514
control,0.5205950246445992
dac,0.7316168986392207
control,0.4998805170751529
control,0.28994698731266133
dac,0.6806148998559662
control,0.3736945640973982
dac,0.5780188595473195
dac,0.3731518244483676
control,0.6722055431394747
control,0.26057663862727093
dac,0.636079004720502
control,0.35965598270170046
control,0.5217215277769928
control,0.5636893626299722
control,0.6730171055247547
dac,0.5809413915280986
dac,0.6989770634207999
dac,0.43357549824690267
control,0.5724565059346249
dac,0.6402139111212876
dac,0.7010773843400863
dac,0.3448457214938824
dac,0.4614209650854306
control,0.4069333695546435
dac,0.43203232918692525
control,0.4936901738618058
dac,0.6786938183746342
control,0.23084346378125414
dac,0.6891581985877944
control,0.4756730534038378
control,0.47176398683904724
dac,0.7105631358975144
control,0.3398662823042916
control,0.40923079454197503
dac,0.4674977100852768
control,0.4549356320643431
dac,0.6813014839286415
dac,0.3891966466911848
control,0.5038645974188565
dac,0.486369609800773
control,0.3067731742127043
control,0.5987215904808805
dac,0.5889730887126563
dac,0.635987026281196
dac,0.3660951840764227
control,0.3570791561805876
control,0.3346407661749247
dac,0.714410559372135
dac,0.6336214039420097
dac,0.46439898979998223
dac,0.6080850789859895
dac,0.509358537335469
dac,0.6851628878310697
dac,0.5618594987401812
control,0.4210301141613987
control,0.5574761673361304
control,0.5530318031969117
control,0.3251357979796179
dac,0.4906991062016731
control,0.4124840191133396
dac,0.6376166717904623
dac,0.7334214186799213
control,0.6624757100837447
dac,0.40193139536055533
control,0.5722875712067677
control,0.1651716057785329
control,0.32845495377143996
control,0.3833708532499293
