Label,Predicted_Probability
control,0.001959392140894829
osi,0.8396788478693482
control,0.10616946691407181
control,0.05429536380321147
control,0.028140095830665013
osi,0.2822489044311213
osi,0.965173303991097
control,0.9287352776350662
control,0.11046748590381465
control,0.027560173511003372
osi,0.9682825123702384
osi,0.6653292966375541
control,0.2631750926839311
osi,0.901927929830553
osi,0.9567360760085581
osi,0.8555915572248898
control,0.03290967755795092
osi,0.9619305710408831
control,0.023394066278628365
osi,0.8822147989680003
osi,0.9595117307359903
osi,0.9421195801993653
osi,0.637087550750948
control,0.07131349676071652
control,0.10991940382641988
osi,0.9775170720838192
control,0.5889120363226557
control,0.17569138886744096
osi,0.8487493361738434
osi,0.710921257439416
control,0.042886325906122603
osi,0.9263237643570615
control,0.21313815938987232
osi,0.7633809369604898
control,0.41291475346763484
control,0.034651041159847615
osi,0.9722072678188972
osi,0.24838159810807933
control,0.009048182018515441
osi,0.2827085377712335
osi,0.775254088040905
osi,0.6333969929590431
osi,0.8429972831437256
control,0.1290343671172564
osi,0.9579203984963737
control,0.06435017105424905
control,0.006442276039287628
osi,0.9838343690519433
control,0.1890768553127705
control,0.04758786163713848
control,0.06415502071330088
osi,0.9481650206999321
osi,0.9269461255212171
control,0.05577269296293278
control,0.2964649994157951
osi,0.9245261824906695
osi,0.5466510266055141
control,0.004910767256736931
osi,0.9442878023744459
control,0.17486453808029195
control,0.26724612219901817
osi,0.8689363960959724
osi,0.9525522638490361
control,0.15023811110053703
control,0.4088065052303729
control,0.009566889838401505
control,0.0007169001234435443
control,0.03279069548469391
control,0.05952299692801133
control,0.12630882431712673
control,0.037335965535979156
osi,0.9327455012059591
osi,0.9260995367829992
control,0.11028486910526838
control,0.0296330319676117
osi,0.9514776851464269
osi,0.9927361089245089
osi,0.886079830182179
osi,0.8508120494612932
osi,0.9230566434390527
osi,0.9922240361933342
control,0.10814634658428687
control,0.06126414553820718
osi,0.9687406719427392
control,0.05440401268297577
osi,0.8858160512699615
control,0.047667816815817776
osi,0.9576385603707249
osi,0.847593970960056
control,0.03202342564764323
osi,0.9328090091415759
osi,0.9516235999909769
control,0.07334101202386525
osi,0.9249430647532728
osi,0.9206997966690406
control,0.041603900687720005
osi,0.7956703128373999
control,0.02454814979349674
osi,0.898651834082521
osi,0.48837716428529665
control,0.019400245910368402
osi,0.9301244244207238
osi,0.9707408253501564
control,0.033758634382470586
control,0.013712772664572742
control,0.06411827703468012
osi,0.7552177231107519
osi,0.9215054868956603
osi,0.9484681776562095
osi,0.9299121733351449
osi,0.8643688891869665
control,0.003660272649800421
control,0.05303816935366411
osi,0.9404044166361624
control,0.15449552643172565
control,0.21138185790055655
control,0.01696207069973473
control,0.00869027212738142
osi,0.8641645584139079
osi,0.9126361102490185
control,0.01106311650216042
control,0.0970174815070042
osi,0.7369821929782863
control,0.09591643979469597
osi,0.9031649105450581
osi,0.14933225386043428
osi,0.9300986710153495
osi,0.9412823637801313
control,0.04005718754641901
control,0.06062039933353689
osi,0.949266446063481
osi,0.3896060642696969
control,0.07376788164125786
control,0.020710158908647913
osi,0.7818469685499252
control,0.03292274777502209
control,0.07772223039313753
control,0.06847640564569757
control,0.38605125192439527
osi,0.8213428826185891
osi,0.9246787256753052
osi,0.9603016376891066
osi,0.961816709659179
osi,0.9736376812977475
osi,0.7958925954001254
osi,0.8509996442498793
control,0.01533456096713525
osi,0.7760758411014983
control,0.008253682614277917
osi,0.9270806150744196
control,0.06245662534807901
osi,0.9505578060208126
control,0.07601297179695635
control,0.0448189383056735
osi,0.9630063681689798
control,0.01579722969514128
control,0.039583412157636534
control,0.03647321606292955
osi,0.794083018106081
osi,0.7132408135528367
control,0.03941893669771156
osi,0.7670101586113103
control,0.026484403065340473
control,0.9999862045728218
osi,0.748983620548592
osi,0.8048478121556475
osi,0.831270522468543
control,0.02207417715310042
control,0.34816273123632435
osi,0.5778958693172398
osi,0.826999426103705
osi,0.9691693506302013
osi,0.6094427926665749
osi,0.9486021965376782
osi,0.8413676655787935
osi,0.5215913877206336
control,0.11805628206742111
control,0.04622700611254912
osi,0.8680503995246116
osi,0.942446416376878
osi,0.9497893811246623
osi,0.8260860626931134
control,0.28223961589485214
osi,0.8920361995164715
control,0.08069083500426177
osi,0.9629911558556193
control,0.011575611447122446
osi,0.8424292765153174
control,0.0515987784379629
control,0.009189630226699563
control,0.08079816188273084
control,0.05676968695315632
osi,0.929440804665704
control,0.34171519578664344
control,0.06867402296495514
osi,0.9265223658002186
control,0.04441227508979478
control,0.06069746846866007
control,0.9978901109618384
osi,0.7842394632426901
control,0.0315845978734919
control,0.06798927649249933
osi,0.9219663199421216
control,0.024193515554063648
control,0.007298923846922818
control,0.5302668169024501
control,0.011688593952879776
osi,0.9411213668459742
control,0.0129087102882421
control,0.23040962390704775
osi,0.9488309410360515
control,0.044555333678797854
