Label,Predicted_Probability
control,0.06838417525720344
osi,0.5498384865965125
control,0.7581590458523568
control,0.07073855404916374
control,0.4136985757567433
osi,0.8554697484717005
osi,0.7888353195725708
control,0.7972819402359745
control,0.2301621267633017
control,0.22545991179620226
osi,0.6550848365368406
osi,0.8005549642095712
control,0.8084010749098439
osi,0.478423457225085
osi,0.875403061015587
osi,0.798932488219535
control,0.13831633459894752
osi,0.8593753723789742
control,0.06593515412313446
osi,0.8266382324542135
osi,0.7032632567625658
osi,0.8018081980559721
osi,0.5705876033628808
control,0.3154377081066537
control,0.21637692497364985
osi,0.7212616679725724
control,0.10823415465176545
control,0.3639481188430459
osi,0.7495359231784893
osi,0.5932038067170555
control,0.4300650538119209
osi,0.35344003241507777
control,0.058202433977285195
osi,0.7528586650378761
control,0.19883946642939304
control,0.4739950714831849
osi,0.8587091883922415
osi,0.8136466688765781
control,0.06227787337286859
osi,0.8946167754071448
osi,0.898305427686298
osi,0.725364890684913
osi,0.9052521763765998
control,0.1872259625290718
osi,0.8396288005699193
control,0.27331236557986555
control,0.3528772331625631
osi,0.930107974268858
control,0.7086753503771858
control,0.26485292106403563
control,0.342106877837565
osi,0.9557370003817109
osi,0.736005288544159
control,0.565108306563338
control,0.5805245268158551
osi,0.9880989269817553
osi,0.7354467133862354
control,0.15637896819723404
osi,0.8279451785396358
control,0.1526918000046421
control,0.3027949651603252
osi,0.8539631105118944
osi,0.7961618887498114
control,0.11108494836265026
control,0.10431093982372205
control,0.10781571534148685
control,0.38768178383096535
control,0.11474145915864906
control,0.26865865953854523
control,0.18418910245698322
control,0.16300968262648502
osi,0.5619340032031881
osi,0.63539735313097
control,0.22282931286084864
control,0.20803590866101987
osi,0.7868344438466615
osi,0.8006020874619596
osi,0.5200341730471673
osi,0.29389306463282444
osi,0.8918622803839948
osi,0.7511201755765832
control,0.4182904654850875
control,0.5296415644219711
osi,0.8072678349782922
control,0.09840210037704611
osi,0.9379750164126885
control,0.09033113084504465
osi,0.9549417975492325
osi,0.7284116275656047
control,0.2896649469188674
osi,0.6001836331543726
osi,0.44784690693238105
control,0.16943832845453569
osi,0.34910725352578303
osi,0.7433328788055722
control,0.11228773111230576
osi,0.551726974744336
control,0.16569321954892519
osi,0.7452587831319051
osi,0.6520612564710281
control,0.4155241702058968
osi,0.7386735688261252
osi,0.8342864662793715
control,0.10300518840276336
control,0.12887855011841426
control,0.5701683235240023
osi,0.49323203828470163
osi,0.9340000396532412
osi,0.5680525356425818
osi,0.9301807319462825
osi,0.8797094496490099
control,0.2856154299501727
control,0.22295402208409132
osi,0.7625158628023969
control,0.35827087572708427
control,0.7194679024127085
control,0.12043561462241496
control,0.23506761681400917
osi,0.4755987655483363
osi,0.485462460584027
control,0.0473500311566102
control,0.08254976346504399
osi,0.7833360136705438
control,0.12792830066127278
osi,0.7383844964631544
osi,0.6243596050178979
osi,0.5727233136875526
osi,0.9814450475834631
control,0.12275208583899153
control,0.17172679918587175
osi,0.8253582357086311
osi,0.8861749500258764
control,0.24075172040364148
control,0.4398522844910674
osi,0.7682171781860433
control,0.059520642728952
control,0.28885187125288464
control,0.11892641947930035
control,0.3902763253018632
osi,0.8479700479250338
osi,0.6078016098321438
osi,0.872232366725161
osi,0.6632018127906548
osi,0.9525657932563227
osi,0.8924356351597579
osi,0.5066678545513815
control,0.15231144825586
osi,0.9251971847809285
control,0.5719774769343594
osi,0.9371486152587598
control,0.20900777019810146
osi,0.7492495526141167
control,0.24391254590531913
control,0.3703775486913015
osi,0.7566492272465124
control,0.5303975519440028
control,0.10591059956202413
control,0.11405158053150577
osi,0.784605661309944
osi,0.8047112181377247
control,0.10762855319229418
osi,0.7016343581712492
control,0.10601350395808393
control,4.088609924096066e-05
osi,0.9448251219041891
osi,0.8366437723083138
osi,0.9112872699991698
control,0.1841903072615534
control,0.14516980348192604
osi,0.5747855475667161
osi,0.7212743485545613
osi,0.8735023607305488
osi,0.8158491311905938
osi,0.8297311944318453
osi,0.5698832113933575
osi,0.6503027348888679
control,0.07192693665489898
control,0.5628819480274133
osi,0.6603219201094992
osi,0.6991322013215495
osi,0.8300231154235924
osi,0.7373675531968621
control,0.09357161451963121
osi,0.9529668716671635
control,0.08585568142883024
osi,0.6647249214662077
control,0.20561193058808672
osi,0.571256230983988
control,0.1339324349788754
control,0.05421315111337258
control,0.4989777273501854
control,0.3424847254103585
osi,0.5642885876419701
control,0.7793092292453154
control,0.2919478850386429
osi,0.6830654585467131
control,0.5803913692558857
control,0.19694412363051914
control,0.1683195907906913
osi,0.708106236834745
control,0.34085142726509454
control,0.27763078937927543
osi,0.8513375607527601
control,0.1115753301197127
control,0.2299752298380287
control,0.3984260092336157
control,0.14472928910908125
osi,0.7504101029954312
control,0.5637792702634676
control,0.20224294132446272
osi,0.6234815281724277
control,0.07520083721804867
