Label,Predicted_Probability
control,0.3920277902341138
afa,0.6897260565810293
afa,0.6127825323912687
control,0.23260647476981014
control,0.2486914985551702
afa,0.8428534276182635
control,0.24668020393557039
control,0.4024361387531992
control,0.2651805008676555
control,0.16272278852603897
control,0.4661190790573599
control,0.3455683124614382
afa,0.6822066167891233
control,0.0002178910216843244
afa,0.6041096246584118
afa,0.10319165274513642
afa,0.6502455436235699
control,0.24718004503036672
afa,0.6832738301643385
control,0.31715874853852843
afa,0.8647380340481282
afa,0.6347897982049454
afa,0.7822116133270945
control,0.47992013136019773
afa,0.42923017693471044
afa,0.6509736573032294
afa,0.6725953497313697
control,0.2240624860514119
control,0.2809328026486672
afa,0.748131229664678
afa,0.7763489980645177
afa,0.49546148555190134
control,0.46420851865072865
afa,0.839867956788928
afa,0.6982867559511202
afa,0.781513194509199
afa,0.5008604725029611
afa,0.6164810284164381
afa,0.8556021057031321
control,0.23117504657804755
afa,0.787044366361998
control,0.3447826391744157
afa,0.8285253371828103
afa,0.6476512640141165
control,0.49762661842243866
afa,0.7377601979274967
control,0.1770888384852109
control,0.19901601139032538
control,0.13078854741494012
afa,0.8088238456267381
control,0.4282529940780627
control,0.4958946288113843
control,0.491837462849087
control,0.24819704248066107
afa,0.7340289639221661
afa,0.7570433442864134
control,0.37550746012067177
afa,0.8054478519675223
afa,0.6176983693507918
afa,0.807959144880461
control,0.23986036579308126
afa,0.7312675198184548
afa,0.5648848948929573
afa,0.8134491859221367
control,0.23858115496605495
afa,0.6560827548208816
control,0.39882124198858887
control,0.2571862596128584
afa,0.8713497543046985
control,0.1575106047029416
afa,0.6215430120823261
afa,0.7972273135109589
afa,0.7325709571367993
afa,0.8478632439622068
afa,0.8231883063100851
afa,0.46636154935421825
afa,0.5198590152078338
afa,0.5908173736387857
control,0.31025223866216906
afa,0.8157960926131702
afa,0.6940739357516157
afa,0.7603974212858747
afa,0.8261544929629329
control,0.27347882852505345
afa,0.8390291745967493
afa,0.8226610453170554
afa,0.8037370577777901
control,0.2690967481498464
afa,0.8433366970689041
control,0.3500364454141042
control,0.35743265539869495
afa,0.7052312043740367
control,0.2534448823912506
control,0.22009750620240442
control,0.4370861766653972
afa,0.564775673499417
