Label,Predicted_Probability
alm,0.5374137626017312
alm,0.7093852022660396
control,0.27346640013311435
alm,0.6000107655354716
alm,0.7049854062576062
alm,0.7012086203665981
alm,0.5240890845088491
alm,0.6954923436462318
alm,0.7827874185157895
alm,0.6286906626309597
alm,0.6597724683546169
alm,0.7058909289773257
alm,0.4837936350119582
control,0.44448668222167986
control,0.5231334623409721
control,0.5446539791427731
control,0.4705651265416183
alm,0.6520896105847965
alm,0.810692295959454
alm,0.7152317175030035
control,0.22599073225380648
alm,0.6669043633581576
control,0.2817693618910225
alm,0.694355178615796
control,0.550139108311354
alm,0.613478714096369
control,0.38207360600166623
alm,0.6508642137577821
alm,0.7185722474097989
alm,0.7636627096356167
control,0.32236139239930983
alm,0.7408492977684334
control,0.4044689154670971
alm,0.6917036900914182
alm,0.3274840846572457
alm,0.6319071155629287
control,0.26158431912575036
alm,0.4733130939802715
control,0.5726308178866881
alm,0.8254420497318293
control,0.35507904374080357
control,0.5331618758951153
alm,0.5502246170272735
alm,0.662236550631692
control,0.4852428820145748
control,0.1930158522604935
alm,0.7002485281677646
alm,0.6476593147524958
alm,0.6768618693444447
control,0.3246413625681641
control,0.2752223795542278
alm,0.698430877104909
alm,0.42179053186968857
alm,0.7200919975127951
alm,0.6586661728966176
alm,0.6097269312205166
alm,0.5043833285082642
control,0.5182566222759597
control,0.45681418111865646
alm,0.36882134160585034
alm,0.6779787004695061
control,0.6315199455331951
control,0.26828108495225705
alm,0.7492007293555558
alm,0.8070730899022974
alm,0.5723955524964174
control,0.3334149060371864
control,0.5621032057091314
control,0.6185796283593537
alm,0.7800381318054287
control,0.5433957430351666
control,0.39561719878917756
control,0.45436765952584623
alm,0.756502208487766
control,0.266088862344005
alm,0.7639649951559117
alm,0.7329570847436845
alm,0.5633091068631294
control,0.29201111463163454
control,0.5253784641843469
alm,0.7043648388029509
control,0.35847734230091366
control,0.3579478961296584
control,0.3916096189846604
alm,0.5710064897829037
alm,0.6723880411814034
alm,0.7753560933409325
alm,0.563686658494505
alm,0.6021484972582674
control,0.2625479906645717
control,0.7880771026374142
control,0.5152152484774334
alm,0.6531910690754097
control,0.703774014579647
alm,0.68994757001795
control,0.6493472746261953
control,0.47912601957113565
alm,0.6989450448161826
control,0.5486389059183242
alm,0.6201611226244707
alm,0.788773631598309
control,0.3498523635561777
control,0.3879100064152781
control,0.6574873784920138
alm,0.17615729894218718
control,0.23981057237604225
alm,0.685711809749491
control,0.4608937109335073
alm,0.6760358930436718
control,0.3052408762774202
control,0.445214703473931
alm,0.6913091208697797
control,0.23241436454294934
alm,0.7491965523606396
control,0.5115957909548934
alm,0.46053555165406
alm,0.7866282409545636
alm,0.6342570898531035
control,0.36524746366998384
control,0.2636087840902102
control,0.4094518060074882
alm,0.5865550318409427
alm,0.7280057539495869
alm,0.7368974032930149
alm,0.5478819849442411
control,0.1724027614014862
alm,0.6740460863115643
control,0.480992775185773
alm,0.7912713673140228
alm,0.7365663674314111
alm,0.5488103537369369
control,0.451790399123706
alm,0.6749973927895517
alm,0.7864056897898444
alm,0.4715056148375235
control,0.4321966882040173
control,0.12847676037450978
alm,0.7311539794191256
control,0.6431570236632876
alm,0.5625378731704774
control,0.2865752431337946
alm,0.3488659059763565
alm,0.722034515828193
alm,0.5528924974359284
control,0.29702929774933934
control,0.3299873927634189
alm,0.7559173171152065
alm,0.5853224583416357
alm,0.7826955345537561
control,0.42920004314794535
control,0.14844966459216544
alm,0.68414641748361
control,0.38299714059545276
control,0.25538884485555374
control,0.46505705133273506
alm,0.7941135655979211
alm,0.13687394465141914
control,0.3653721397073565
alm,0.5709659079144054
alm,0.7081808671165899
alm,0.8443731027418341
alm,0.6162672845611343
alm,0.4676851147780522
control,0.38832337414133045
