Label,Predicted_Probability
dac,0.5698355170007438
dac,0.799659382797778
dac,0.37304833690440026
dac,0.6911542637189525
dac,0.5790955845907229
dac,0.7825129527534913
control,0.5050206432977424
dac,0.43946106158519277
control,0.18342248651117138
dac,0.6430729180900675
control,0.5525569400008052
dac,0.6826290294899824
control,0.2806668177384555
dac,0.7980944931875931
control,0.5815986266100647
control,0.22500549265157774
dac,0.7404639121513521
control,0.3142505425758851
dac,0.724990765294495
dac,0.5673101555268132
dac,0.6498032159809206
dac,0.6341585777510063
dac,0.6285186247087358
control,0.48532183428856757
dac,0.6496043636262071
dac,0.6345013403171689
control,0.5123657659500707
dac,0.7356293388020217
control,0.11419770794075572
control,0.30452469473552857
dac,0.7716191579384242
control,0.7821216876785332
dac,0.592851120199005
control,0.1639923260635072
dac,0.7572869164314224
dac,0.6163671599310355
dac,0.7450256121548572
control,0.33004619259480367
control,0.456170372398938
control,0.3756406693547746
control,0.5831278225908518
dac,0.26823048602533406
dac,0.6739339560747353
control,0.2550005137196419
control,0.6650642992427379
control,0.5653532874190732
dac,0.3782686798880067
dac,0.6621700022608894
dac,0.8664986690462415
dac,0.5292902292328494
dac,0.7684868853809838
dac,0.7801735031872947
control,0.39443670244958173
dac,0.5028632119655143
dac,0.640168966559471
dac,0.311879968723188
dac,0.6114398363140953
control,0.6909008003245535
control,0.32833730795750415
control,0.7280645680671167
dac,0.5636003836499011
control,0.402822262035054
dac,0.4969918044691208
dac,0.6310248623830431
dac,0.6644116054079984
control,0.5274245004905646
dac,0.7257052399349666
control,0.8341990205466787
control,0.2117340211051149
dac,0.7372528245324446
dac,0.6621081837062699
control,0.4268655346203099
dac,0.5483426818721316
control,0.3584116525334307
control,0.5967433002780334
dac,0.4682132129997421
dac,0.7444833727102681
control,0.18877100126866672
control,0.2939049837540828
control,0.5537803531820166
control,0.39222021764567894
control,0.39619360769329537
dac,0.4271655756717145
dac,0.593264275950217
dac,0.8253216955827802
control,0.661292226504887
dac,0.7362284122087942
control,0.3188348564451016
control,0.21443394626227189
dac,0.6081999547398256
control,0.44810196905888244
dac,0.7076269656655018
control,0.6890646472022228
control,0.32724432082564164
dac,0.37576805334856983
dac,0.5960324068895719
control,0.45346932109577576
control,0.24488468398186392
control,0.38355488346840944
control,0.2398483507921915
control,0.5028007925775098
dac,0.561285826102161
control,0.4759928901938103
control,0.8394091574110017
control,0.4763812165997834
control,0.25000429807737584
dac,0.7811753032414357
dac,0.869893051564308
control,0.5103045050150212
dac,0.3040905025189056
control,0.19017173240720306
dac,0.35601671687083125
dac,0.7184530374313308
dac,0.543651981315633
control,0.46871615586494875
dac,0.5952593657840582
control,0.2911787742265254
control,0.3611824236438861
control,0.5819336014341857
control,0.42099674962841177
control,0.24837921337515684
control,0.7021815033920025
control,0.41988331005941487
control,0.40355159673444685
dac,0.6496653531861056
control,0.6172828701132251
dac,0.6594855036393578
dac,0.6773819862417068
dac,0.6781736478381591
control,0.4464317584022843
dac,0.5505896886598427
control,0.4253777469285631
dac,0.6545299903333881
control,0.6265379619328448
control,0.36439204237827366
dac,0.7056613376022115
dac,0.5898856835424416
dac,0.28031238276398174
control,0.30508653408396824
dac,0.7360521667336217
control,0.30437965483353774
dac,0.7798886059107677
control,0.6612507221403127
control,0.6269532669603084
dac,0.6887639156358327
dac,0.6889958683347451
control,0.38152077483453717
dac,0.6563684325194382
dac,0.6187840675112024
control,0.5054900617388144
control,0.36759587750956035
dac,0.5867041458387379
control,0.4895492792132089
control,0.686087557128517
dac,0.6989696189077395
dac,0.6929438580080641
control,0.22115423488406966
dac,0.3703514405595779
