Label,Predicted_Probability
gef,0.7282240082944916
gef,0.447204952831514
gef,0.30120074884831227
gef,0.34262982059398966
gef,0.49099141219558085
control,0.3266187925281898
gef,0.6240337059354946
control,0.5002955994109994
gef,0.4633916318841771
gef,0.5091870713465796
gef,0.45481497165326923
control,0.336850803287009
control,0.36218878110132674
control,0.5592132776794296
control,0.3892021770705295
control,0.27346711615240876
control,0.316904407417075
control,0.29924910878290156
gef,0.5930936198620728
gef,0.6073089937844728
control,0.32816212571681636
control,0.49207096385590676
gef,0.7117240123506783
gef,0.501458066286437
control,0.3726761075222503
gef,0.5377782248230127
gef,0.5000062856178213
control,0.4028305943330087
control,0.4595383695540586
gef,0.6711648136054309
gef,0.5492545744318097
gef,0.6430284047954768
control,0.29447861393876323
control,0.450607418930635
control,0.35354626934043076
control,0.5234373660962125
control,0.37314352763215997
gef,0.723625465915642
gef,0.5626098408460256
control,0.5773882374702227
control,0.4197018870279578
control,0.47336750553622287
gef,0.517061399180415
control,0.30160111940761053
control,0.5107613717652144
gef,0.6539257095143457
control,0.7204005351894585
gef,0.6230773610618165
control,0.3266912634315455
control,0.307635546774109
control,0.4314789095674868
control,0.40383095432855604
gef,0.7202787442406222
control,0.33695142032965225
gef,0.6531320504278064
control,0.2701290397217997
control,0.40881192144093853
control,0.4869687614921225
control,0.32422494012433406
control,0.40696139811600174
gef,0.6171486069144353
gef,0.6100819664994657
gef,0.5776562969388188
gef,0.5271916617242344
control,0.3752036144136036
gef,0.5892975591947298
gef,0.5105319057573497
gef,0.5618433513343547
gef,0.6483229867233407
gef,0.5177171890369587
gef,0.5716762948322012
gef,0.5294545715020564
control,0.4336248400913014
gef,0.6134353669478491
gef,0.3983556864261554
gef,0.5719401484962647
control,0.4677898526642249
gef,0.5675157552870427
control,0.6423705852110294
gef,0.6606585565550656
gef,0.6197218266002926
control,0.45564702641006427
control,0.39595446236005455
control,0.6082658581271077
control,0.4294277190967867
control,0.39446871321247123
gef,0.6167856058429372
gef,0.5354552376429519
control,0.3594598429886259
control,0.3032632092650863
control,0.5711300710029916
control,0.4375469017727863
gef,0.5151389446700543
gef,0.6655549547757023
gef,0.5814929813643386
control,0.3845008169646964
control,0.10742830197110498
gef,0.5542721230827505
control,0.500700545153903
control,0.4197206752067258
gef,0.555896495730661
control,0.45207361364539933
control,0.3288564160798167
gef,0.4784633486901318
control,0.36237121091666913
control,0.3707134720300831
gef,0.5513897464193696
gef,0.596685079707929
control,0.4291597838117237
gef,0.5958035900040592
control,0.35099484063627656
gef,0.667086482037186
control,0.181593972029845
gef,0.6556218643315972
gef,0.47609866590205197
gef,0.46083674707608663
gef,0.5510277027307214
control,0.35625250601747366
gef,0.5609774389851864
gef,0.7616502888494925
control,0.6924963984673158
gef,0.5469906675672479
control,0.45934997264484495
gef,0.6124013167082405
control,0.3310034639595937
gef,0.6261958067058317
control,0.5124961321009028
control,0.49677387063891343
control,0.4658253222514456
control,0.3911868914456988
gef,0.6625090218603875
control,0.4016698956208799
gef,0.7550809000878066
gef,0.36838086438810835
gef,0.5345975906850411
control,0.3476586194719039
control,0.6819350243682172
gef,0.4886697428317518
gef,0.5350819666864569
control,0.4383424609966802
control,0.41785109685844823
gef,0.5005516790546019
control,0.4639921707604082
control,0.36507999264687446
gef,0.38148541096460714
gef,0.5278405081079167
gef,0.5810211133394971
gef,0.4947505989627995
control,0.4384048236826459
control,0.36309789852733276
control,0.22665569626006202
control,0.3290140924520331
control,0.39818175103480846
control,0.5190613179838464
control,0.3703949703255307
gef,0.5150276314229595
control,0.31404315975360597
gef,0.5514879500522705
gef,0.5745177089728458
gef,0.5484979521918645
control,0.3794941121002933
control,0.49287196138258704
gef,0.6247332002020574
gef,0.5219638524459699
control,0.5704096837274506
control,0.38030745711483877
control,0.33080702020992553
gef,0.5213119821767324
gef,0.6089968939764555
control,0.4924376864561573
control,0.4820713893734734
control,0.3816893374779527
gef,0.7131969889018211
control,0.4688959848146765
control,0.48683370195063985
control,0.4794898373538367
gef,0.5077629781851734
gef,0.589536574959539
control,0.5873850285848581
control,0.32888366501417154
control,0.5343000782952265
gef,0.6718948493526857
gef,0.4032221655903543
gef,0.3983235804727002
gef,0.27063042106421936
control,0.5685653455658145
gef,0.28242361157373386
gef,0.3740369930875582
control,0.3352450744816148
gef,0.2857194808542179
gef,0.6870926294710854
gef,0.549762062080715
gef,0.5938079626246935
gef,0.6502221607546558
gef,0.6121956008153265
control,0.5390129200149416
control,0.2753767694790662
gef,0.6608916497686486
control,0.5584277698448827
gef,0.36099340298636984
gef,0.5847794124849394
control,0.30825537060055236
control,0.45925995123819846
gef,0.7310522249176681
control,0.33729945031218533
control,0.1075891316170847
control,0.45027260018325377
gef,0.54837332530967
gef,0.5735104048394806
control,0.3337679797301899
gef,0.6074071957245806
control,0.4921775045117308
gef,0.6083740836797324
control,0.34919305558078156
gef,0.5157790818162208
control,0.32883120579735187
control,0.5654672503101593
control,0.3415000543425378
control,0.6272337675811127
control,0.43222200203928507
gef,0.523759617995526
control,0.3504320874960082
gef,0.5077131004797815
gef,0.6663497544147304
control,0.536052089426784
gef,0.6334051042056539
gef,0.5819993407663393
control,0.4241510958331761
control,0.549994963758357
gef,0.5054992567687517
