Label,Predicted_Probability
control,0.5098811957854311
control,0.5554358089524787
control,0.552064861601498
control,0.47500727224178896
vin,0.568749749718453
vin,0.6296699277477639
vin,0.5522417234218973
control,0.4142773997843071
vin,0.5955251142950575
vin,0.596452636555896
vin,0.5908285055153535
control,0.5870068975566441
vin,0.6259389403830036
control,0.47558757221205694
control,0.44226624751918503
control,0.48564757721467605
vin,0.5137385233264101
vin,0.5462175643387494
control,0.54785149389515
vin,0.5907369295386438
vin,0.4903066718829073
control,0.3982593105496596
vin,0.6012609337125718
vin,0.5923390767124206
vin,0.6183193872121171
vin,0.5881545767582926
vin,0.5564684786329682
control,0.6070722692236566
vin,0.5512944020033361
vin,0.5632166660611949
control,0.4982582912803437
control,0.5359299595489045
vin,0.580121024167874
control,0.5379750182870071
control,0.6083371747688057
vin,0.5682685481464456
control,0.5527287851779694
vin,0.538980871939181
vin,0.5958707147785617
control,0.48727636489878046
control,0.6487117669892588
vin,0.5352211039425686
control,0.5318601955731287
control,0.5125258231859194
vin,0.6025061318160202
vin,0.6047023494574999
vin,0.5793654912088197
control,0.4194749863062257
control,0.5770952196505387
control,0.4905310466338224
control,0.5247468427228559
vin,0.5909080126854658
vin,0.6016946761968092
control,0.5054554586599275
vin,0.5418220850815911
control,0.4040494075854391
vin,0.5752824190733314
vin,0.5965028299196204
vin,0.6103379247401339
control,0.587213383098199
vin,0.5568482826857313
vin,0.5611709581992111
vin,0.6027684363241577
vin,0.6483262677493424
vin,0.5625786882267352
vin,0.5474112002225638
vin,0.6042430420813674
control,0.583638685543266
control,0.5176222959333588
control,0.5379830546404104
control,0.4520247350647069
vin,0.5216763478797308
control,0.468331977866978
vin,0.5814181197659789
vin,0.5474125839770649
vin,0.5051690985040043
control,0.6084298894205267
vin,0.5143379130034581
control,0.5245153658759699
vin,0.55603440101915
vin,0.5486124318625893
vin,0.6279296350056709
vin,0.565877929929008
control,0.46354637311775926
vin,0.49563591633052795
control,0.5571523050598305
vin,0.5666230602707226
control,0.5476550464751199
vin,0.5069763149741124
vin,0.5514568169256167
control,0.5367180111985721
vin,0.6284891755709876
control,0.5763410424378065
control,0.5883778788000336
control,0.48736980524281365
control,0.5915940668244485
control,0.4661493799222905
vin,0.6067497912918958
vin,0.5557488628775561
vin,0.5037499770162308
control,0.546915075905357
vin,0.66665538463551
control,0.5994135778145209
control,0.5284963187102312
vin,0.5749722643723219
vin,0.6249504011761327
vin,0.5873998747749614
control,0.5614439201683881
