Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,outer_intensity_mean,inner_intensity_mean,intensity_ratio
PC9,4.0,afa,1,1,11.16,1,1016.4773054755043,534.0476857311321,1.9033455862352577
PC9,4.0,afa,1,1,11.16,2,1991.0889423076924,4489.723133116883,0.44347699919870703
PC9,4.0,afa,1,1,11.16,3,947.6329796718973,1352.5498102466793,0.7006270471466534
PC9,4.0,afa,1,1,11.16,4,447.30148216159495,527.6655856918239,0.8476987969096689
PC9,4.0,afa,1,1,11.16,5,399.4809006911058,584.8547708138448,0.6830429033437051
PC9,4.0,afa,10,1,11.16,1,,520.9280450500556,
PC9,4.0,afa,10,1,11.16,2,520.1554845580405,777.3893482490272,0.6691054948586909
PC9,4.0,afa,10,1,11.16,3,2504.34482032566,6983.365084525358,0.3586157661834279
PC9,4.0,afa,10,1,11.16,4,1045.0452621800166,1005.4879115226338,1.0393414482701042
PC9,4.0,afa,10,1,11.16,5,2939.986399956217,8789.84253875969,0.33447543422900383
PC9,4.0,afa,10,1,11.16,6,396.8634896729776,539.5313703465982,0.7355707406189006
PC9,4.0,afa,11,1,11.16,1,,383.5319563522993,
PC9,4.0,afa,11,1,11.16,2,448.5947847682119,512.418043202033,0.8754468948146362
PC9,4.0,afa,11,1,11.16,3,469.15910306704706,604.4536525974027,0.7761705153919075
PC9,4.0,afa,11,1,11.16,4,530.5918917075832,676.5654296875,0.7842432799923862
PC9,4.0,afa,11,1,11.16,5,955.1207400194742,1047.1982923497267,0.9120724766236518
PC9,4.0,afa,11,1,11.16,6,515.2399604072398,683.1307585995086,0.7542332912421291
PC9,4.0,afa,12,1,11.16,1,1076.1896571828358,1509.5380794701987,0.7129264718916831
PC9,4.0,afa,12,1,11.16,2,384.9492753623188,391.00412436548226,0.9845146160210223
PC9,4.0,afa,12,1,11.16,3,692.0959270180612,669.559633027523,1.0336583821348917
PC9,4.0,afa,12,1,11.16,4,555.5897685028726,567.078883898869,0.9797398285808059
PC9,4.0,afa,12,1,11.16,5,755.7312969924812,1099.8677045036766,0.6871110897228413
PC9,4.0,afa,12,1,11.16,6,723.3768602332003,1348.813105620155,0.5363062215358645
PC9,4.0,afa,12,1,11.16,7,2308.170300692695,5011.7520202020205,0.4605515778491479
PC9,4.0,afa,12,1,11.16,8,475.12054480651733,587.5838,0.8086004835506311
PC9,4.0,afa,13,1,11.16,1,611.9264435914553,601.6206153388823,1.0171301115517257
PC9,4.0,afa,13,1,11.16,2,833.6198240971357,2198.37691424196,0.379197861247821
PC9,4.0,afa,13,1,11.16,3,655.257140753828,979.0361726954493,0.6692879783489473
PC9,4.0,afa,13,1,11.16,4,328.0447538240918,327.7483552631579,1.0009043479736028
PC9,4.0,afa,13,1,11.16,5,401.2379807692308,433.259011627907,0.9260926374309864
PC9,4.0,afa,13,1,11.16,6,367.4143859649123,363.38817771084337,1.0110796346745015
PC9,4.0,afa,15,1,11.16,1,413.8048076923077,566.5726080246914,0.7303650085290992
PC9,4.0,afa,15,1,11.16,2,510.4471590909091,978.1936677631579,0.5218262762405241
PC9,4.0,afa,15,1,11.16,3,2359.8674353701526,3428.55062557924,0.6882988449299804
PC9,4.0,afa,16,1,11.16,1,1624.3732926324503,3942.0654823651453,0.41206146876531974
PC9,4.0,afa,16,1,11.16,2,491.90015668523677,633.9897151898734,0.7758803414309611
PC9,4.0,afa,17,1,11.16,1,297.9782873376623,295.2811574531096,1.0091341076681504
PC9,4.0,afa,17,1,11.16,2,392.55540242557885,426.6784682080925,0.9200262766344428
PC9,4.0,afa,17,1,11.16,3,400.8365174672489,390.1365489130435,1.0274262141909454
PC9,4.0,afa,17,1,11.16,4,656.2793620826709,1042.0768625393493,0.6297801876950219
PC9,4.0,afa,17,1,11.16,5,543.2301890756303,517.4587660731949,1.0498038195352362
PC9,4.0,afa,17,1,11.16,6,314.9035904255319,323.70089285714283,0.9728227427673689
PC9,4.0,afa,18,1,11.16,1,573.261696288552,660.282208588957,0.8682070921063124
PC9,4.0,afa,18,1,11.16,2,441.38920895908853,490.9565864389234,0.8990391842191912
PC9,4.0,afa,18,1,11.16,3,671.4319479695431,856.6174042272127,0.7838177751889919
PC9,4.0,afa,18,1,11.16,4,822.2067604006163,1002.4805555555556,0.8201722775011482
PC9,4.0,afa,19,1,11.16,1,494.013859832636,660.2552902621723,0.748216435549459
PC9,4.0,afa,19,1,11.16,2,407.33286830357144,413.790871005456,0.9843930759366623
PC9,4.0,afa,19,1,11.16,3,436.57753661087867,432.21416666666664,1.0100953885381947
PC9,4.0,afa,19,1,11.16,4,427.1297065337763,507.1138871374527,0.8422757044671569
PC9,4.0,afa,2,1,11.16,1,905.2044780750138,2123.6814404432134,0.4262430611467307
PC9,4.0,afa,2,1,11.16,2,675.911244408296,1209.9051767676767,0.5586481134116869
PC9,4.0,afa,2,1,11.16,3,672.2337999216915,1182.0514143730886,0.5687009818250728
PC9,4.0,afa,2,1,11.16,4,538.2497087604846,769.1029027196653,0.6998409534759933
PC9,4.0,afa,20,1,11.16,1,635.8031766857506,694.421913202934,0.9155862806131624
PC9,4.0,afa,20,1,11.16,2,1167.5047838412474,1747.3923651817115,0.6681411725865235
PC9,4.0,afa,3,1,11.16,1,415.8245518410853,527.6825869845361,0.7880202267376906
PC9,4.0,afa,3,1,11.16,2,534.9509186351706,924.8012339055794,0.5784496160066631
PC9,4.0,afa,3,1,11.16,3,631.6750787263821,990.6981115107914,0.6376060188134329
PC9,4.0,afa,3,1,11.16,4,1012.4411667765327,2403.330661180477,0.4212658637156645
PC9,4.0,afa,4,1,11.16,1,411.2170780642023,554.7412576687117,0.7412772574232775
PC9,4.0,afa,4,1,11.16,2,512.4685857424441,811.5507953181273,0.6314682810970037
PC9,4.0,afa,4,1,11.16,3,480.20581271743333,664.0881264236903,0.7231055542334159
PC9,4.0,afa,4,1,11.16,4,358.316638225256,399.805506993007,0.8962273704537125
PC9,4.0,afa,5,1,11.16,1,469.34918387741504,622.5630311614731,0.7538982566982535
PC9,4.0,afa,5,1,11.16,2,418.56614984155726,514.2919864226683,0.8138686988942518
PC9,4.0,afa,5,1,11.16,3,497.5193804176517,933.0631142506143,0.5332108544631864
PC9,4.0,afa,6,1,11.16,1,390.67686701277955,662.2621794871795,0.5899126948715369
PC9,4.0,afa,6,1,11.16,2,568.5647822365919,921.6142833769634,0.6169227110427005
PC9,4.0,afa,6,1,11.16,3,371.66819571865443,556.189295212766,0.6682404694187356
PC9,4.0,afa,6,1,11.16,4,997.0839473026973,456.2953595317726,2.185172227755844
PC9,4.0,afa,6,1,11.16,5,349.3772299903568,383.6438321536906,0.9106812118652637
PC9,4.0,afa,6,1,11.16,6,3332.2611634975065,4990.751260806916,0.6676872858133063
PC9,4.0,afa,7,1,11.16,1,459.5502892895587,,
PC9,4.0,afa,7,1,11.16,2,604.4435253850542,503.79290648246547,1.1997857008454957
PC9,4.0,afa,7,1,11.16,3,2589.293535861885,10154.161115736886,0.2549982717773708
PC9,4.0,afa,7,1,11.16,4,1458.033294068736,3394.50050744249,0.4295280825181724
PC9,4.0,afa,7,1,11.16,5,675.0521616541354,795.3762406947891,0.8487205515020836
PC9,4.0,afa,7,1,11.16,6,759.4167158018868,781.2808388157895,0.972015027212183
PC9,4.0,afa,8,1,11.16,1,6499.841875,10263.24231557377,0.6333127168922956
PC9,4.0,afa,8,1,11.16,2,498.6794642857143,556.3502304147465,0.8963408964780333
PC9,4.0,afa,8,1,11.16,3,699.3982704402516,1080.7805989583333,0.6471232654567804
PC9,4.0,afa,8,1,11.16,4,629.5596973094171,749.4048038229377,0.840079612644388
PC9,4.0,afa,9,1,11.16,1,5484.861938091482,14297.006097560976,0.383637098610959
PC9,4.0,afa,9,1,11.16,2,1600.7523648648648,1822.7911111111111,0.8781874977923833
PC9,4.0,afa,9,1,11.16,3,2869.815484550562,4418.945417466411,0.6494344721270539
PC9,4.0,afa,9,1,11.16,4,505.23125,487.36437559354226,1.0366601977928698
PC9,4.0,afa,9,1,11.16,5,697.0905172413793,850.2026774595267,0.8199109879591785
PC9,4.0,alm,1,2,2.41,1,794.3490408038977,766.08625,1.0368924397271164
PC9,4.0,alm,1,2,2.41,2,460.02162120272783,509.16988548136646,0.9034737409260288
PC9,4.0,alm,1,2,2.41,3,362.00204918032784,379.05941358024694,0.9550008157327874
PC9,4.0,alm,1,2,2.41,4,3476.763064516129,6597.246314496315,0.5270021610192938
PC9,4.0,alm,10,2,2.41,1,1706.971213098309,2924.5529463243874,0.5836691092372427
PC9,4.0,alm,11,2,2.41,1,1016.2153479236813,896.5195880452343,1.1335115946985954
PC9,4.0,alm,11,2,2.41,2,1905.2146058127394,2047.2345723306544,0.9306283860006166
PC9,4.0,alm,11,2,2.41,3,673.4331087584216,675.4876277139208,0.9969584654533904
PC9,4.0,alm,11,2,2.41,4,782.0051343813387,804.4278100775193,0.9721259317302571
PC9,4.0,alm,12,2,2.41,1,1546.327849264706,2154.778201219512,0.7176273866096987
PC9,4.0,alm,12,2,2.41,2,1719.4087256027556,1864.5303442028985,0.9221671993425328
PC9,4.0,alm,12,2,2.41,3,907.8699252136752,1563.7764492753622,0.5805624746646957
PC9,4.0,alm,12,2,2.41,4,792.32223796034,1043.652605459057,0.7591819670797757
PC9,4.0,alm,12,2,2.41,5,322.5218253968254,319.1342780649926,1.0106148024974708
PC9,4.0,alm,12,2,2.41,6,582.6633064516129,557.0078200775946,1.0460594725051515
PC9,4.0,alm,12,2,2.41,7,325.95007396449705,323.3073609431681,1.0081739958336227
PC9,4.0,alm,13,2,2.41,1,341.0242903930131,331.6856737012987,1.028155019743555
PC9,4.0,alm,13,2,2.41,2,328.2481010568032,335.9267266824085,0.9771419627683723
PC9,4.0,alm,13,2,2.41,3,351.73756105006106,361.6887770432692,0.9724867990802554
PC9,4.0,alm,13,2,2.41,4,344.013198757764,336.3177083333333,1.0228816093644508
PC9,4.0,alm,13,2,2.41,5,343.65327598828696,343.6669083526682,0.9999603326242652
PC9,4.0,alm,13,2,2.41,6,355.54964717741933,361.53056880108994,0.983456664139067
PC9,4.0,alm,13,2,2.41,7,343.62638888888887,345.62209020368573,0.9942257703678005
PC9,4.0,alm,13,2,2.41,8,673.9116189427313,1582.3878205128206,0.42588271358429053
PC9,4.0,alm,13,2,2.41,9,1128.3566538882803,1919.9433166058395,0.5877031077579098
PC9,4.0,alm,13,2,2.41,10,350.73682108626195,348.68599947807934,1.0058815714174139
PC9,4.0,alm,13,2,2.41,11,337.19173387096777,335.78161239964317,1.0041995196260072
PC9,4.0,alm,13,2,2.41,12,329.3960682074408,328.19478367062106,1.0036602791896454
PC9,4.0,alm,13,2,2.41,13,341.49417060212517,341.0811870100784,1.001210807302704
PC9,4.0,alm,13,2,2.41,14,374.68055203045685,378.5151171128107,0.9898694532688611
PC9,4.0,alm,14,2,2.41,1,420.5387793176972,416.7694462755438,1.0090441683665585
PC9,4.0,alm,14,2,2.41,2,407.5972590042373,410.5007191422594,0.9929270278890402
PC9,4.0,alm,14,2,2.41,3,444.4289047151277,437.00900702987695,1.0169788209530966
PC9,4.0,alm,14,2,2.41,4,422.33854764638346,422.0509437596302,1.00068144353426
PC9,4.0,alm,14,2,2.41,5,815.907496882793,767.2634785819794,1.0633993662655692
PC9,4.0,alm,14,2,2.41,6,488.23763786764704,489.0841851635514,0.998269117420713
PC9,4.0,alm,14,2,2.41,7,675.7056352459016,700.0166193181818,0.9652708472893697
PC9,4.0,alm,14,2,2.41,8,701.1987847222222,700.8964053468208,1.0004314180713365
PC9,4.0,alm,14,2,2.41,9,404.12728785357734,400.35735428051004,1.0094164214363999
PC9,4.0,alm,14,2,2.41,10,709.5034267345949,689.9214038944724,1.028382976277567
PC9,4.0,alm,14,2,2.41,11,405.63065476190474,402.6088558413719,1.0075055450884653
PC9,4.0,alm,15,2,2.41,1,1349.0936227087577,1695.1412527901787,0.7958591182228434
PC9,4.0,alm,15,2,2.41,2,1130.406704361874,1907.3528001237623,0.5926573753363957
PC9,4.0,alm,15,2,2.41,3,2060.84948542024,2141.264564896755,0.9624450519591013
PC9,4.0,alm,16,2,2.41,1,3230.1216981935922,7068.866131756757,0.4569504695643234
PC9,4.0,alm,16,2,2.41,2,2579.594310035842,4613.067286849711,0.5591928644503821
PC9,4.0,alm,16,2,2.41,3,1673.0140537965406,2368.2470030514387,0.7064356258620387
PC9,4.0,alm,17,2,2.41,1,1603.1034735812134,2000.4878949175825,0.8013562479703279
PC9,4.0,alm,17,2,2.41,2,980.7176674364896,1201.4811222118958,0.816257242253639
PC9,4.0,alm,17,2,2.41,3,530.8230447614363,522.1475376749192,1.0166150493118256
PC9,4.0,alm,17,2,2.41,4,1108.203459517322,2448.6545157068063,0.4525764873765535
PC9,4.0,alm,18,2,2.41,1,753.6037649219468,1122.6503631677601,0.6712720092082081
PC9,4.0,alm,18,2,2.41,2,1416.3945603576751,1104.763555936073,1.2820793668900086
PC9,4.0,alm,18,2,2.41,3,840.400492759453,771.2468700317964,1.0896647045385164
PC9,4.0,alm,18,2,2.41,4,708.814208984375,807.8845347444089,0.877370686652175
PC9,4.0,alm,19,2,2.41,1,664.8322446555819,616.8152204241071,1.0778466915885432
PC9,4.0,alm,19,2,2.41,2,494.4113098440022,487.73634558093346,1.0136855994504947
