Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,outer_intensity_mean,inner_intensity_mean,intensity_ratio
A549,8.0,afa,0,1,25.84,1,676.5519845034788,,
A549,8.0,afa,0,1,25.84,2,913.4125,1431.397062059859,0.638126571732339
A549,8.0,afa,0,1,25.84,3,255.19206204379563,272.09166202672606,0.9378900483129451
A549,8.0,afa,0,1,25.84,4,916.0038265306123,1557.0831584470095,0.5882818920501385
A549,8.0,afa,1,1,25.84,1,3267.0477756892233,8460.528722783825,0.3861517267698897
A549,8.0,afa,1,1,25.84,2,1011.0740413655485,2656.652223109691,0.38058200940658166
A549,8.0,afa,1,1,25.84,3,922.1060779816514,1008.2659914712153,0.9145464448683395
A549,8.0,afa,1,1,25.84,4,3774.8675190267527,15826.721708819714,0.2385122824850798
A549,8.0,afa,10,1,25.84,1,1376.8444957799768,2303.5015658554044,0.5977180637464364
A549,8.0,afa,10,1,25.84,2,666.453125,805.5773739742086,0.827298713359019
A549,8.0,afa,11,1,25.84,1,207.63148584905662,240.12632653061223,0.8646760596763927
A549,8.0,afa,11,1,25.84,2,338.97469810235765,651.1199095022624,0.5206025697501419
A549,8.0,afa,11,1,25.84,3,266.6860222998388,398.81122141997594,0.6687024034837773
A549,8.0,afa,12,1,25.84,1,1040.8905248397436,907.2084771354616,1.147355377593458
A549,8.0,afa,12,1,25.84,2,5259.294320201422,20011.049426450743,0.26281951576460805
A549,8.0,afa,12,1,25.84,3,1938.5750542368555,4603.450914634146,0.4211134408046407
A549,8.0,afa,12,1,25.84,4,1466.5113586798489,2094.56678700361,0.7001502018361381
A549,8.0,afa,13,1,25.84,1,268.6677078726227,362.96996065375305,0.7401926798259545
A549,8.0,afa,13,1,25.84,2,247.1230625717566,269.4381734913793,0.9171791040947779
A549,8.0,afa,13,1,25.84,3,195.56426735218508,208.68560267857143,0.9371239071695975
A549,8.0,afa,14,1,25.84,1,547.2410514541388,771.8623260437375,0.7089879023621751
A549,8.0,afa,14,1,25.84,2,4149.528195488721,5474.0782232704405,0.7580323163540074
