Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish,Metadata_concentration,ObjectNumber,outer_intensity_mean,inner_intensity_mean,intensity_ratio
A549,4.0,afa,0,1,25.84,1,813.119801084991,904.5669642857143,0.8989050376464566
A549,4.0,afa,0,1,25.84,2,1216.6217257765416,1575.0352606951872,0.772440945378931
A549,4.0,afa,0,1,25.84,3,729.975,731.2368297271872,0.998274389806572
A549,4.0,afa,1,1,25.84,1,801.3742055994503,953.8679742388758,0.8401311578144706
A549,4.0,afa,1,1,25.84,2,1309.4542871900826,1192.2453643106458,1.0983093970318827
A549,4.0,afa,1,1,25.84,3,1082.5940441176472,1413.901975235849,0.7656782882257893
A549,4.0,afa,1,1,25.84,4,933.3300638686131,1143.20507518797,0.8164152557800285
A549,4.0,afa,1,1,25.84,5,7227.226899945325,19342.87509204713,0.3736376761754936
A549,4.0,afa,10,1,25.84,1,1338.3356217308606,2699.7544510385756,0.4957249431391854
A549,4.0,afa,10,1,25.84,2,1227.9141369572892,1561.7036229135053,0.7862657926518091
A549,4.0,afa,10,1,25.84,3,898.0555052017654,1116.250347705146,0.8045287574136407
A549,4.0,afa,10,1,25.84,4,838.1539497307002,792.3287575910931,1.0578360834446157
A549,4.0,afa,10,1,25.84,5,770.4099932380217,948.2211622807017,0.8124792230801925
A549,4.0,afa,10,1,25.84,6,663.8072916666666,700.6396276595744,0.9474304128130134
A549,4.0,afa,11,1,25.84,1,2630.1586407103823,3121.0102998878924,0.8427266775777249
A549,4.0,afa,11,1,25.84,2,10004.534172487389,24130.445119974058,0.4146021394444192
A549,4.0,afa,11,1,25.84,3,3031.3560211088507,3801.0721415607986,0.7975002599829935
A549,4.0,afa,11,1,25.84,4,6159.843717263775,3159.071759259259,1.9498904066389864
A549,4.0,afa,11,1,25.84,5,1065.7046875,1158.3494680851063,0.9200200085227652
A549,4.0,afa,12,1,25.84,1,11475.953861813321,35084.95562080537,0.32709044827772515
A549,4.0,afa,12,1,25.84,2,4841.075407900386,11963.599813432837,0.40465039648557816
A549,4.0,afa,12,1,25.84,3,1206.19247454882,2633.4110213204954,0.4580342623249096
A549,4.0,afa,12,1,25.84,4,1441.094820872274,2168.1031788793102,0.6646799999699157
A549,4.0,afa,13,1,25.84,1,9277.50822307975,27967.72551121372,0.33172194211359496
A549,4.0,afa,13,1,25.84,2,3364.450176056338,11948.441532258064,0.2815806703303599
A549,4.0,afa,13,1,25.84,3,1427.5243244468625,1564.1522099447513,0.9126505178784904
A549,4.0,afa,13,1,25.84,4,1278.69213260497,1442.250302907916,0.8865951562130553
A549,4.0,afa,14,1,25.84,1,8034.10859375,7831.75983420026,1.0258369464633108
A549,4.0,afa,14,1,25.84,2,8216.854779800973,8183.5170755968165,1.0040737624051117
A549,4.0,afa,14,1,25.84,3,7893.405839668279,7221.693099273608,1.0930131938813954
A549,4.0,afa,14,1,25.84,4,8043.076472311749,7859.069638694638,1.0234133099815201
A549,4.0,afa,15,1,25.84,1,904.3644538188277,1078.5294368600682,0.8385162452790453
A549,4.0,afa,15,1,25.84,2,5180.447244623656,8729.201903292182,0.5934617278894503
A549,4.0,afa,15,1,25.84,3,1226.9915104883082,1838.2339496370237,0.6674838699016461
A549,4.0,afa,15,1,25.84,4,1226.5547939373298,1649.683801020408,0.7435090246862139
A549,4.0,afa,2,1,25.84,1,1370.9412121644775,1703.1883254716981,0.8049263793449237
A549,4.0,afa,2,1,25.84,2,974.8538455093834,1155.7683316929133,0.8434682096553596
A549,4.0,afa,2,1,25.84,3,4579.471375739645,15436.844964028776,0.29665850673572314
A549,4.0,afa,2,1,25.84,4,1215.1599401321223,1448.1266100702576,0.8391254823175768
A549,4.0,afa,2,1,25.84,5,928.4748263888889,1133.6864632701422,0.8189873095164989
A549,4.0,afa,3,1,25.84,1,3451.6877064187247,9426.313694267516,0.3661757733055098
A549,4.0,afa,3,1,25.84,2,1073.214864864865,1056.982630399348,1.0153571440047071
A549,4.0,afa,3,1,25.84,3,10680.877609672305,28294.639114891517,0.3774876776587315
A549,4.0,afa,3,1,25.84,4,5330.766234013398,1455.3434633027523,3.6628922095927603
A549,4.0,afa,4,1,25.84,1,4596.60934296843,10848.752192982456,0.4236993583411149
A549,4.0,afa,4,1,25.84,2,990.6895551257253,1170.3430507745268,0.8464950122701991
A549,4.0,afa,4,1,25.84,3,1101.79179197995,1389.5585727109515,0.792907772020301
A549,4.0,afa,4,1,25.84,4,924.9202302631579,959.1904891304348,0.9642716861190471
A549,4.0,afa,4,1,25.84,5,1375.7924906716419,2089.3267424242426,0.6584860389406167
A549,4.0,afa,4,1,25.84,6,1676.5016099026902,2724.142260830325,0.6154236634439526
A549,4.0,afa,5,1,25.84,1,10515.95205722393,32023.990817091453,0.328377313036559
A549,4.0,afa,5,1,25.84,2,2147.7637792596624,2745.4671938088827,0.782294461249779
A549,4.0,afa,5,1,25.84,3,1626.9263735420504,2534.8719547563805,0.6418179705248306
A549,4.0,afa,6,1,25.84,1,1862.9323394495414,1899.8274755501222,0.9805797439107478
A549,4.0,afa,6,1,25.84,2,4866.550417714697,12269.050275735293,0.3966525776929413
A549,4.0,afa,6,1,25.84,3,4115.413912185496,9649.066443217665,0.42650902410131325
A549,4.0,afa,6,1,25.84,4,1719.9702419882276,2400.944489247312,0.7163723483367299
A549,4.0,afa,7,1,25.84,1,1259.3565319649347,1382.7484933035714,0.9107632646600563
