ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,25.84,4,afa,0.7971833765009356,False,0.6034428598039687
2,0,25.84,4,afa,0.8012456715011798,True,0.607505154804213
3,0,25.84,4,afa,0.8158056450567657,False,0.6220651283597989
4,0,25.84,4,afa,0.7664561255918174,False,0.5727156088948506
5,0,25.84,4,afa,0.45124500080112073,False,0.2575044841041539
6,0,25.84,4,afa,0.900912160530561,False,0.7071716438335942
7,0,25.84,4,afa,0.7174850623418131,False,0.5237445456448462
8,0,25.84,4,afa,0.4904130538563721,True,0.2966725371594053
9,0,25.84,4,afa,0.5619805860876154,True,0.3682400693906485
10,0,25.84,4,afa,0.8099591704344912,False,0.6162186537375243
11,0,25.84,4,afa,0.8656643472144957,False,0.6719238305175288
12,0,25.84,4,afa,0.775828265126693,False,0.5820877484297262
13,0,25.84,4,afa,0.8001923809104101,False,0.6064518642134433
14,0,25.84,4,afa,0.7158655376553323,True,0.5221250209583654
15,0,25.84,4,afa,0.6885697024303277,True,0.4948291857333608
1,1,25.84,4,afa,0.6617222732513859,False,0.46798175655441904
2,1,25.84,4,afa,0.5537568100844371,False,0.36001629338747027
3,1,25.84,4,afa,0.7156718436248326,True,0.5219313269278658
4,1,25.84,4,afa,0.7526401217638042,False,0.5588996050668373
5,1,25.84,4,afa,0.7278712992470314,False,0.5341307825500645
6,1,25.84,4,afa,0.7519170587317573,True,0.5581765420347904
7,1,25.84,4,afa,0.6617833795283451,True,0.46804286283137825
8,1,25.84,4,afa,0.700570639002767,False,0.5068301223058
9,1,25.84,4,afa,0.7793140572643469,False,0.5855735405673801
1,10,25.84,4,afa,0.7821284131996074,False,0.5883878965026406
2,10,25.84,4,afa,0.5701744099070387,False,0.37643389321007187
3,10,25.84,4,afa,0.6952617017737333,False,0.5015211850767665
4,10,25.84,4,afa,0.7467790505158153,False,0.5530385338188484
5,10,25.84,4,afa,0.7956685477227323,False,0.6019280310257655
6,10,25.84,4,afa,0.48935375521263,False,0.2956132385156632
7,10,25.84,4,afa,0.8812724506064062,False,0.6875319339094395
8,10,25.84,4,afa,0.8564038891682157,False,0.662663372471249
9,10,25.84,4,afa,0.7281414736982311,False,0.5344009570012642
10,10,25.84,4,afa,0.7413143585775466,False,0.5475738418805798
11,10,25.84,4,afa,0.7805264746893003,True,0.5867859579923334
12,10,25.84,4,afa,0.7865440287024825,False,0.5928035120055157
13,10,25.84,4,afa,0.8520967737144749,False,0.6583562570175081
14,10,25.84,4,afa,0.8842680367356411,True,0.6905275200386742
15,10,25.84,4,afa,0.7709354755908082,False,0.5771949588938414
16,10,25.84,4,afa,0.8322961994894496,False,0.6385556827924828
17,10,25.84,4,afa,0.494956909038984,False,0.30121639234201714
1,11,25.84,4,afa,0.8354688576919198,False,0.641728340994953
2,11,25.84,4,afa,0.8268864874568458,False,0.633145970759879
3,11,25.84,4,afa,0.7927968451515068,False,0.59905632845454
4,11,25.84,4,afa,0.7811440576430123,False,0.5874035409460454
5,11,25.84,4,afa,0.7434274968316501,False,0.5496869801346833
6,11,25.84,4,afa,0.673405694675395,False,0.47966517797842817
7,11,25.84,4,afa,0.6116171211004089,False,0.41787660440344204
8,11,25.84,4,afa,0.8025085083420901,True,0.6087679916451232
9,11,25.84,4,afa,0.6966625383648571,True,0.5029220216678902
10,11,25.84,4,afa,0.8566305537321839,True,0.6628900370352171
11,11,25.84,4,afa,0.781953891412481,False,0.588213374715514
12,11,25.84,4,afa,0.8654854549996353,True,0.6717449383026683
13,11,25.84,4,afa,0.8976311096627152,False,0.7038905929657484
14,11,25.84,4,afa,0.5945659960605731,True,0.4008254793636063
15,11,25.84,4,afa,0.8396628599577646,False,0.6459223432607977
16,11,25.84,4,afa,0.8994973877613497,False,0.7057568710643829
17,11,25.84,4,afa,0.8641403577934336,True,0.6703998410964667
18,11,25.84,4,afa,0.8228075078372143,True,0.6290669911402476
19,11,25.84,4,afa,0.8498619593224781,True,0.6561214426255113
20,11,25.84,4,afa,0.6472439315144449,False,0.4535034148174781
1,12,25.84,4,afa,0.7436997054454253,False,0.5499591887484585
2,12,25.84,4,afa,0.7213147046507693,False,0.5275741879538025
3,12,25.84,4,afa,0.7796624627760386,True,0.5859219460790717
4,12,25.84,4,afa,0.8102267635488559,False,0.616486246851889
5,12,25.84,4,afa,0.6052359200077069,False,0.41149540331074
6,12,25.84,4,afa,0.7740887566684911,False,0.5803482399715243
7,12,25.84,4,afa,0.659088111693883,False,0.4653475949969162
8,12,25.84,4,afa,0.6135732628899262,False,0.41983274619295935
9,12,25.84,4,afa,0.7093279859605142,False,0.5155874692635474
10,12,25.84,4,afa,0.6249325507971291,False,0.4311920341001622
11,12,25.84,4,afa,0.8048869567345905,True,0.6111464400376236
1,13,25.84,4,afa,0.7419846539154941,True,0.5482441372185272
2,13,25.84,4,afa,0.7112290331482906,False,0.5174885164513237
3,13,25.84,4,afa,0.6448293123750507,True,0.45108879567808385
4,13,25.84,4,afa,0.7451091635007003,False,0.5513686468037335
5,13,25.84,4,afa,0.8678795066987931,False,0.6741389900018262
6,13,25.84,4,afa,0.8616388849380676,False,0.6678983682411008
7,13,25.84,4,afa,0.6940131013983498,False,0.5002725847013829
8,13,25.84,4,afa,0.9146529526708242,False,0.7209124359738575
9,13,25.84,4,afa,0.44274719394990036,True,0.24900667725293352
10,13,25.84,4,afa,0.7972874924251252,False,0.6035469757281584
11,13,25.84,4,afa,0.7099431942444351,False,0.5162026775474682
12,13,25.84,4,afa,0.9999985108343983,True,0.8062579941374315
13,13,25.84,4,afa,0.916832539812407,False,0.7230920231154401
14,13,25.84,4,afa,0.898132059567079,False,0.7043915428701122
1,15,25.84,4,afa,0.9219357778107877,False,0.7281952611138209
2,15,25.84,4,afa,0.4872804558265395,True,0.29353993912957266
3,15,25.84,4,afa,0.8779489678925211,True,0.6842084511955542
4,15,25.84,4,afa,0.8852294513715723,True,0.6914889346746054
5,15,25.84,4,afa,0.7711575274219837,False,0.5774170107250169
6,15,25.84,4,afa,0.8455405814508902,True,0.6518000647539233
7,15,25.84,4,afa,0.8843195248690456,True,0.6905790081720788
8,15,25.84,4,afa,0.8624990726500199,False,0.6687585559530531
9,15,25.84,4,afa,0.8332302467324977,False,0.6394897300355309
10,15,25.84,4,afa,0.8342215160096703,False,0.6404809993127034
11,15,25.84,4,afa,0.7160612942401952,False,0.5223207775432284
12,15,25.84,4,afa,0.8036588318817298,False,0.6099183151847629
13,15,25.84,4,afa,0.8979073523008323,False,0.7041668356038655
14,15,25.84,4,afa,0.8522695856055034,True,0.6585290689085366
15,15,25.84,4,afa,0.8279126272934267,False,0.63417211059646
1,16,25.84,4,afa,0.8401613487842926,False,0.6464208320873257
2,16,25.84,4,afa,0.7174273770143279,True,0.523686860317361
3,16,25.84,4,afa,0.7214343151575154,True,0.5276937984605485
4,16,25.84,4,afa,0.8424400292149764,False,0.6486995125180095
5,16,25.84,4,afa,0.8533513438236747,False,0.6596108271267078
6,16,25.84,4,afa,0.8060979805002131,True,0.6123574638032463
7,16,25.84,4,afa,0.8045190570702733,True,0.6107785403733064
8,16,25.84,4,afa,0.8461626276299384,False,0.6524221109329715
9,16,25.84,4,afa,0.8067965937272634,False,0.6130560770302966
10,16,25.84,4,afa,0.7956486096469563,True,0.6019080929499894
11,16,25.84,4,afa,0.8430258905121668,False,0.6492853738152
12,16,25.84,4,afa,0.7968397435420544,False,0.6030992268450877
13,16,25.84,4,afa,0.803648215995892,False,0.6099076992989252
14,16,25.84,4,afa,0.8448655212966036,False,0.6511250045996368
15,16,25.84,4,afa,0.645768608835689,False,0.45202809213872214
1,2,25.84,4,afa,0.6967192893148986,True,0.5029787726179318
2,2,25.84,4,afa,0.7816665511646737,False,0.5879260344677069
3,2,25.84,4,afa,0.6440103731990453,False,0.45026985650207846
4,2,25.84,4,afa,0.7128627813497148,False,0.519122264652748
5,2,25.84,4,afa,0.6038627223360604,False,0.4101222056390936
6,2,25.84,4,afa,0.8927632850294362,True,0.6990227683324695
7,2,25.84,4,afa,0.6931112002348442,False,0.49937068353787734
8,2,25.84,4,afa,0.8262730506127353,False,0.6325325339157684
9,2,25.84,4,afa,0.7764141209246949,False,0.5826736042277281
10,2,25.84,4,afa,0.8969902402616888,False,0.7032497235647219
11,2,25.84,4,afa,0.7426271626126056,False,0.5488866459156387
12,2,25.84,4,afa,0.73145389897789,False,0.5377133822809232
1,3,25.84,4,afa,0.5767155404476888,False,0.38297502375072195
2,3,25.84,4,afa,0.47752147059118605,True,0.2837809538942192
3,3,25.84,4,afa,0.7585195804223166,True,0.5647790637253498
4,3,25.84,4,afa,0.3849319814340426,True,0.19119146473707577
5,3,25.84,4,afa,0.455570428720094,False,0.26182991202312716
6,3,25.84,4,afa,0.4323639426287544,False,0.23862342593178754
7,3,25.84,4,afa,0.47511170317413615,True,0.2813711864771693
8,3,25.84,4,afa,0.492347587539712,False,0.2986070708427451
9,3,25.84,4,afa,0.3162666047840069,False,0.12252608808704007
10,3,25.84,4,afa,0.36211533640184623,False,0.16837481970487939
11,3,25.84,4,afa,0.5699206501517944,False,0.37618013345482754
12,3,25.84,4,afa,0.7800222664858005,False,0.5862817497888337
13,3,25.84,4,afa,0.42633925108706927,False,0.23259873439010242
14,3,25.84,4,afa,0.6129595060534976,False,0.41921898935653074
15,3,25.84,4,afa,0.366901101150515,False,0.17316058445354815
1,4,25.84,4,afa,0.9062910481225831,False,0.7125505314256162
2,4,25.84,4,afa,0.6536984822622394,False,0.4599579655652725
3,4,25.84,4,afa,0.7532279679823075,False,0.5594874512853407
4,4,25.84,4,afa,0.6727535946608469,False,0.4790130779638801
5,4,25.84,4,afa,0.5381476547044084,False,0.34440713800744155
6,4,25.84,4,afa,0.7152354102876105,False,0.5214948935906436
7,4,25.84,4,afa,0.7696263361341175,True,0.5758858194371506
8,4,25.84,4,afa,0.7246929503606431,False,0.5309524336636762
9,4,25.84,4,afa,0.8021233953128813,True,0.6083828786159144
10,4,25.84,4,afa,0.40772822449950474,False,0.2139877078025379
11,4,25.84,4,afa,0.7351007262194555,False,0.5413602095224888
12,4,25.84,4,afa,0.854484690444654,False,0.6607441737476871
13,4,25.84,4,afa,0.5519400772834977,False,0.35819956058653085
14,4,25.84,4,afa,0.7838375217951943,False,0.5900970050982275
1,5,25.84,4,afa,0.6153411781807042,True,0.42160066148373737
2,5,25.84,4,afa,0.673099723394577,False,0.4793592066976102
3,5,25.84,4,afa,0.44155036618568494,False,0.2478098494887181
4,5,25.84,4,afa,0.7474110557768082,True,0.5536705390798413
5,5,25.84,4,afa,0.9318578841187435,False,0.7381173674217767
6,5,25.84,4,afa,0.7739870418818426,False,0.5802465251848758
7,5,25.84,4,afa,0.7635874362428192,True,0.5698469195458524
8,5,25.84,4,afa,0.8037788262675096,False,0.6100383095705428
9,5,25.84,4,afa,0.8185538125676184,False,0.6248132958706516
10,5,25.84,4,afa,0.6184648240944706,True,0.4247243073975037
11,5,25.84,4,afa,0.6017491598421636,False,0.40800864314519675
12,5,25.84,4,afa,0.6145945698315843,False,0.4208540531346175
13,5,25.84,4,afa,0.44545350094656866,True,0.2517129842496018
14,5,25.84,4,afa,0.9005116199290037,False,0.706771103232037
15,5,25.84,4,afa,0.5197199019290843,True,0.3259793852321175
1,6,25.84,4,afa,0.7840558177564725,False,0.5903153010595057
2,6,25.84,4,afa,0.6024960566002397,False,0.4087555399032729
3,6,25.84,4,afa,0.9060802911075323,True,0.7123397744105655
4,6,25.84,4,afa,0.7748569965224453,False,0.5811164798254784
5,6,25.84,4,afa,0.8514793448919036,False,0.6577388281949368
6,6,25.84,4,afa,0.6867776127352393,False,0.49303709603827245
7,6,25.84,4,afa,0.7724089875631833,False,0.5786684708662164
8,6,25.84,4,afa,0.7599224899027373,True,0.5661819732057705
9,6,25.84,4,afa,0.7251863483738666,False,0.5314458316768997
10,6,25.84,4,afa,0.5214624138202519,False,0.3277218971232851
11,6,25.84,4,afa,0.8550061177282426,False,0.6612656010312759
12,6,25.84,4,afa,0.6888440625263919,False,0.495103545829425
13,6,25.84,4,afa,0.8381593373794768,False,0.6444188206825099
14,6,25.84,4,afa,0.6552747179234014,False,0.46153420122643457
15,6,25.84,4,afa,0.8451247674169412,False,0.6513842507199743
16,6,25.84,4,afa,0.6028312566579788,True,0.4090907399610119
17,6,25.84,4,afa,0.9439686465522197,True,0.7502281298552529
1,7,25.84,4,afa,0.5942093625990388,True,0.40046884590207193
2,7,25.84,4,afa,0.7579680579947078,False,0.5642275412977409
3,7,25.84,4,afa,0.684953345625454,True,0.4912128289284871
4,7,25.84,4,afa,0.8585109860237289,False,0.664770469326762
5,7,25.84,4,afa,0.7533209861125297,False,0.5595804694155628
6,7,25.84,4,afa,0.8314020365813759,False,0.6376615198844091
7,7,25.84,4,afa,0.6056307551543544,False,0.41189023845738754
8,7,25.84,4,afa,0.7689489892129056,False,0.5752084725159388
9,7,25.84,4,afa,0.9006722017590141,True,0.7069316850620473
10,7,25.84,4,afa,0.7178858746460568,False,0.52414535794909
11,7,25.84,4,afa,0.9224468200442926,False,0.7287063033473258
12,7,25.84,4,afa,0.6968229480878569,True,0.5030824313908902
13,7,25.84,4,afa,0.7922316675740187,True,0.5984911508770518
14,7,25.84,4,afa,0.8780273675128317,True,0.6842868508158648
15,7,25.84,4,afa,0.922162717269279,True,0.7284222005723122
16,7,25.84,4,afa,0.8878857564469083,False,0.6941452397499415
17,7,25.84,4,afa,0.7945590093927238,False,0.6008184926957569
18,7,25.84,4,afa,0.7949880144179196,False,0.6012474977209528
19,7,25.84,4,afa,0.9089094767094867,True,0.71516896001252
20,7,25.84,4,afa,0.7096867309312602,False,0.5159462142342934
1,8,25.84,4,afa,0.8052867200861286,False,0.6115462033891617
2,8,25.84,4,afa,0.8209165307417148,True,0.627176014044748
3,8,25.84,4,afa,0.9076081629000825,False,0.7138676462031157
4,8,25.84,4,afa,0.7602644464279017,True,0.5665239297309348
5,8,25.84,4,afa,0.8093256640820166,True,0.6155851473850498
6,8,25.84,4,afa,0.7909840456963032,True,0.5972435289993363
7,8,25.84,4,afa,0.6217922267835755,True,0.42805171008660864
8,8,25.84,4,afa,0.8080717032832379,False,0.6143311865862711
9,8,25.84,4,afa,0.913196251968753,False,0.7194557352717861
10,8,25.84,4,afa,0.8568093273125005,False,0.6630688106155336
11,8,25.84,4,afa,0.7428799618171307,False,0.5491394451201639
12,8,25.84,4,afa,0.6712680517728966,True,0.47752753507592977
13,8,25.84,4,afa,0.8798708696930617,False,0.6861303529960949
14,8,25.84,4,afa,0.5296202329846957,True,0.3358797162877289
15,8,25.84,4,afa,0.7303338963605313,False,0.5365933796635645
16,8,25.84,4,afa,0.8622788816250715,True,0.6685383649281047
17,8,25.84,4,afa,0.8378138606508705,False,0.6440733439539037
18,8,25.84,4,afa,0.7227601686648767,False,0.5290196519679098
1,9,25.84,4,afa,0.9174276599661793,True,0.7236871432692125
2,9,25.84,4,afa,0.7535303594115325,False,0.5597898427145656
3,9,25.84,4,afa,0.5988687082745019,False,0.40512819157753505
4,9,25.84,4,afa,0.6414144872421558,False,0.4476739705451889
5,9,25.84,4,afa,0.7626066595938376,False,0.5688661428968707
6,9,25.84,4,afa,0.6546170175117642,False,0.4608765008147973
7,9,25.84,4,afa,0.8388458346417664,False,0.6451053179447996
8,9,25.84,4,afa,0.8729383087099137,True,0.6791977920129468
9,9,25.84,4,afa,0.8275062848466842,False,0.6337657681497173
10,9,25.84,4,afa,0.8804167528317384,False,0.6866762361347716
11,9,25.84,4,afa,0.7472632027808503,False,0.5535226860838836
12,9,25.84,4,afa,0.7720421398157509,True,0.5783016231187841
13,9,25.84,4,afa,0.6837254534138595,False,0.48998493671689264
14,9,25.84,4,afa,0.8610601460280977,False,0.6673196293311308
15,9,25.84,4,afa,0.7757154128786734,True,0.5819748961817066
1,0,0.0,2,control,0.2070661595086321,False,0.013325642811665261
2,0,0.0,2,control,0.16853797920148378,True,-0.02520253749548307
3,0,0.0,2,control,0.26034177195541214,False,0.06660125525844529
4,0,0.0,2,control,0.35546753056082825,True,0.1617270138638614
5,0,0.0,2,control,0.11439836524258078,False,-0.07934215145438607
6,0,0.0,2,control,0.12011749884842415,True,-0.0736230178485427
7,0,0.0,2,control,0.09909315898513275,False,-0.0946473577118341
8,0,0.0,2,control,0.1768017251161327,False,-0.01693879158083414
9,0,0.0,2,control,0.08981566964891433,True,-0.10392484704805252
10,0,0.0,2,control,0.12311135379839326,False,-0.07062916289857359
