ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,39.29,2,vin,0.6402815933099084,False,0.27965672099064526
2,0,39.29,2,vin,0.5655597087495645,False,0.20493483643030136
3,0,39.29,2,vin,0.4758314437590627,False,0.11520657143979957
4,0,39.29,2,vin,0.6724071675957489,True,0.31178229527648577
5,0,39.29,2,vin,0.6347394062627351,False,0.2741145339434719
6,0,39.29,2,vin,0.5393169451034682,True,0.178692072784205
7,0,39.29,2,vin,0.721724701062656,False,0.3610998287433928
8,0,39.29,2,vin,0.5297993928684919,True,0.1691745205492287
9,0,39.29,2,vin,0.6155839649363375,False,0.25495909261707433
10,0,39.29,2,vin,0.7035112883806429,False,0.34288641606137976
11,0,39.29,2,vin,0.43336313244117275,False,0.07273826012190959
12,0,39.29,2,vin,0.5590157505009186,False,0.1983908781816554
13,0,39.29,2,vin,0.6361892397368736,True,0.2755643674176104
14,0,39.29,2,vin,0.6044556587001642,False,0.243830786380901
15,0,39.29,2,vin,0.6015943327786127,False,0.24096946045934958
16,0,39.29,2,vin,0.6511574385063572,False,0.29053256618709405
17,0,39.29,2,vin,0.7273762105796072,True,0.36675133826034406
18,0,39.29,2,vin,0.6906136857870712,True,0.329988813467808
19,0,39.29,2,vin,0.6264962118347888,False,0.2658713395155256
20,0,39.29,2,vin,0.6740865139060652,True,0.31346164158680206
21,0,39.29,2,vin,0.7178796436185534,False,0.35725477129929023
22,0,39.29,2,vin,0.5015704971322206,False,0.14094562481295742
23,0,39.29,2,vin,0.6394398369160204,False,0.2788149645967572
1,1,39.29,2,vin,0.7723713762174781,True,0.41174650389821493
2,1,39.29,2,vin,0.5567467333254279,False,0.19612186100616474
3,1,39.29,2,vin,0.7016988464001669,True,0.34107397408090373
4,1,39.29,2,vin,0.5017652854552663,False,0.14114041313600317
5,1,39.29,2,vin,0.706070976024651,False,0.3454461037053878
6,1,39.29,2,vin,0.5808907037756721,False,0.22026583145640893
7,1,39.29,2,vin,0.6613183114622304,False,0.30069343914296726
8,1,39.29,2,vin,0.621096605664466,False,0.26047173334520285
9,1,39.29,2,vin,0.755558407474249,True,0.3949335351549858
10,1,39.29,2,vin,0.7180145235254561,False,0.357389651206193
11,1,39.29,2,vin,0.5869792517824322,False,0.226354379463169
1,10,39.29,2,vin,0.5950204213866698,True,0.23439554906740662
2,10,39.29,2,vin,0.4928791592184055,True,0.13225428689914237
3,10,39.29,2,vin,0.6287739424858613,True,0.2681490701665981
4,10,39.29,2,vin,0.3523715295037955,False,-0.008253342815467635
5,10,39.29,2,vin,0.49767443735120265,True,0.1370495650319395
6,10,39.29,2,vin,0.5799656198024723,False,0.21934074748320914
7,10,39.29,2,vin,0.43234906292399067,False,0.07172419060472751
8,10,39.29,2,vin,0.6710753605304628,False,0.31045048821119964
1,11,39.29,2,vin,0.31363328336473917,True,-0.04699158895452399
2,11,39.29,2,vin,0.40037452072823176,False,0.03974964840896861
3,11,39.29,2,vin,0.41048076489952556,False,0.049855892580262406
4,11,39.29,2,vin,0.24794500516407245,True,-0.11267986715519071
5,11,39.29,2,vin,0.5378125791107978,False,0.17718770679153467
6,11,39.29,2,vin,0.3362500742703026,False,-0.024374798048960533
1,12,39.29,2,vin,0.521001218677292,True,0.16037634635802883
2,12,39.29,2,vin,0.5234957477180722,True,0.162870875398809
3,12,39.29,2,vin,0.5993148261273191,True,0.23868995380805597
4,12,39.29,2,vin,0.47526850186885883,False,0.11464362954959567
5,12,39.29,2,vin,0.7308559298245612,False,0.370231057505298
6,12,39.29,2,vin,0.34286474889287305,True,-0.017760123426390106
7,12,39.29,2,vin,0.4445219572257245,False,0.08389708490646136
8,12,39.29,2,vin,0.5445785982600579,False,0.1839537259407948
9,12,39.29,2,vin,0.4620746059570446,True,0.10144973363778143
10,12,39.29,2,vin,0.4812933997403871,True,0.12066852742112394
1,13,39.29,2,vin,0.48042186226882694,False,0.11979698994956378
2,13,39.29,2,vin,0.5825479158726313,True,0.22192304355336817
3,13,39.29,2,vin,0.5259402519720996,False,0.16531537965283644
4,13,39.29,2,vin,0.6806827533489443,False,0.3200578810296812
5,13,39.29,2,vin,0.6726177246862356,True,0.31199285236697244
6,13,39.29,2,vin,0.38421918367605323,False,0.023594311356790076
7,13,39.29,2,vin,0.6458469376438474,True,0.2852220653245842
8,13,39.29,2,vin,0.7568723092185479,True,0.3962474368992847
9,13,39.29,2,vin,0.6611490101490956,True,0.3005241378298324
10,13,39.29,2,vin,0.5168752712599662,False,0.15625039894070308
11,13,39.29,2,vin,0.6196298992286284,False,0.2590050269093653
1,14,39.29,2,vin,0.4650509546300424,False,0.10442608231077927
2,14,39.29,2,vin,0.5613448430003386,False,0.20071997068107544
3,14,39.29,2,vin,0.3298114602483898,False,-0.030813412070873347
4,14,39.29,2,vin,0.5091658398318277,False,0.14854096751256457
5,14,39.29,2,vin,0.5074590456586324,False,0.14683417333936927
6,14,39.29,2,vin,0.3521925476090616,False,-0.008432324710201555
7,14,39.29,2,vin,0.7219048401583025,False,0.3612799678390393
8,14,39.29,2,vin,0.49714497105897626,False,0.1365200987397131
1,15,39.29,2,vin,0.4731937564058799,False,0.11256888408661675
2,15,39.29,2,vin,0.6707365030675645,False,0.31011163074830134
3,15,39.29,2,vin,0.5862873860914518,False,0.22566251377218866
4,15,39.29,2,vin,0.5099927022321853,False,0.14936782991292213
5,15,39.29,2,vin,0.5016222943842193,False,0.1409974220649562
6,15,39.29,2,vin,0.6239002062533434,False,0.26327533393408026
7,15,39.29,2,vin,0.5915287413828446,False,0.23090386906358146
8,15,39.29,2,vin,0.6779112039479157,False,0.31728633162865255
9,15,39.29,2,vin,0.4484602630843727,True,0.08783539076510954
10,15,39.29,2,vin,0.5325237658706895,False,0.17189889355142635
11,15,39.29,2,vin,0.5475602122810005,False,0.18693533996173733
12,15,39.29,2,vin,0.679733747867398,False,0.3191088755481349
1,16,39.29,2,vin,0.771772298885004,False,0.4111474265657408
2,16,39.29,2,vin,0.684084170004031,False,0.32345929768476783
3,16,39.29,2,vin,0.5777041129117741,True,0.217079240592511
4,16,39.29,2,vin,0.6590735530176771,False,0.29844868069841396
5,16,39.29,2,vin,0.6739926713715734,False,0.3133677990523102
6,16,39.29,2,vin,0.7646185631540049,True,0.40399369083474174
7,16,39.29,2,vin,0.7191965685744764,False,0.3585716962552133
8,16,39.29,2,vin,0.698488163405891,False,0.3378632910866279
9,16,39.29,2,vin,0.6712469601425612,True,0.3106220878232981
10,16,39.29,2,vin,0.7728485045441207,True,0.41222363222485753
11,16,39.29,2,vin,0.7687629315417378,False,0.40813805922247465
12,16,39.29,2,vin,0.7970412632139698,False,0.4364163908947067
13,16,39.29,2,vin,0.697822372329213,False,0.3371975000099498
14,16,39.29,2,vin,0.5953076909793298,False,0.23468281866006663
15,16,39.29,2,vin,0.727054001503091,True,0.3664291291838278
16,16,39.29,2,vin,0.6238193068585192,False,0.263194434539256
17,16,39.29,2,vin,0.7359434568336524,False,0.3753185845143892
18,16,39.29,2,vin,0.7857691969674105,False,0.4251443246481474
19,16,39.29,2,vin,0.5878100164113553,False,0.22718514409209217
20,16,39.29,2,vin,0.7128435740448477,False,0.3522187017255845
1,17,39.29,2,vin,0.5971280282315471,False,0.23650315591228394
2,17,39.29,2,vin,0.5323384476040216,False,0.17171357528475845
3,17,39.29,2,vin,0.5858972137946358,False,0.22527234147537262
4,17,39.29,2,vin,0.5181660674885141,False,0.15754119516925097
5,17,39.29,2,vin,0.6985247648258269,True,0.33789989250656377
6,17,39.29,2,vin,0.4863005573844494,True,0.12567568506518623
7,17,39.29,2,vin,0.5749372527260987,True,0.2143123804068356
8,17,39.29,2,vin,0.6027248252045697,False,0.24209995288530656
9,17,39.29,2,vin,0.5474517148827076,False,0.18682684256344445
10,17,39.29,2,vin,0.3679564855196837,False,0.007331613200420528
11,17,39.29,2,vin,0.6656077755995257,False,0.3049829032802625
12,17,39.29,2,vin,0.5649674798227775,False,0.20434260750351435
13,17,39.29,2,vin,0.6043743305818714,False,0.24374945826260824
14,17,39.29,2,vin,0.6346053559062619,False,0.2739804835869987
1,18,39.29,2,vin,0.6221206369316681,False,0.2614957646124049
2,18,39.29,2,vin,0.5500912071416598,True,0.18946633482239666
3,18,39.29,2,vin,0.3987990387078046,False,0.03817416638854143
4,18,39.29,2,vin,0.5741685817409306,True,0.2135437094216674
5,18,39.29,2,vin,0.3884132954129136,True,0.027788423093650427
