ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,25.84,2,afa,0.7975530980414709,False,0.612623140915471
2,0,25.84,2,afa,0.8725226631935987,True,0.6875927060675988
3,0,25.84,2,afa,0.8657243477116147,False,0.6807943905856148
4,0,25.84,2,afa,0.6469528809880857,False,0.46202292386208577
5,0,25.84,2,afa,0.8692972088507804,False,0.6843672517247805
6,0,25.84,2,afa,0.8455946849749949,False,0.660664727848995
7,0,25.84,2,afa,0.9002747428225824,False,0.7153447856965824
8,0,25.84,2,afa,0.8676180404617024,False,0.6826880833357025
9,0,25.84,2,afa,0.8857143601254436,True,0.7007844029994437
10,0,25.84,2,afa,0.7971905223338875,False,0.6122605652078876
11,0,25.84,2,afa,0.8765241655661725,False,0.6915942084401726
12,0,25.84,2,afa,0.8340540785949143,False,0.6491241214689144
13,0,25.84,2,afa,0.8702298110558091,False,0.6852998539298092
14,0,25.84,2,afa,0.8812728714168129,True,0.696342914290813
15,0,25.84,2,afa,0.6390242689150369,True,0.45409431178903703
16,0,25.84,2,afa,0.7520257348326027,False,0.5670957777066028
17,0,25.84,2,afa,0.8584231884542287,False,0.6734932313282288
18,0,25.84,2,afa,0.8285795247025105,False,0.6436495675765106
19,0,25.84,2,afa,0.8837173785473038,False,0.6987874214213039
20,0,25.84,2,afa,0.6475719961152504,False,0.4626420389892505
21,0,25.84,2,afa,0.7569506634772238,True,0.5720207063512239
1,1,25.84,2,afa,0.8891144666903742,True,0.7041845095643743
2,1,25.84,2,afa,0.8918240504420252,False,0.7068940933160253
3,1,25.84,2,afa,0.8931978940662454,True,0.7082679369402455
4,1,25.84,2,afa,0.8747068512827733,False,0.6897768941567733
5,1,25.84,2,afa,0.8463825854560962,False,0.6614526283300963
6,1,25.84,2,afa,0.8710906802854975,False,0.6861607231594976
7,1,25.84,2,afa,0.7785502137726983,False,0.5936202566466984
8,1,25.84,2,afa,0.8727707859380818,False,0.6878408288120819
9,1,25.84,2,afa,0.8694515108750531,False,0.6845215537490532
10,1,25.84,2,afa,0.8777919841950199,False,0.69286202706902
11,1,25.84,2,afa,0.8290312441300014,False,0.6441012870040015
12,1,25.84,2,afa,0.8599783723569552,False,0.6750484152309553
13,1,25.84,2,afa,0.8197928925651039,False,0.634862935439104
14,1,25.84,2,afa,0.8712775750790159,True,0.686347617953016
15,1,25.84,2,afa,0.8617846745684344,False,0.6768547174424345
16,1,25.84,2,afa,0.8885909613473337,False,0.7036610042213338
17,1,25.84,2,afa,0.8823175714770481,False,0.6973876143510482
18,1,25.84,2,afa,0.884123671224763,False,0.6991937140987631
19,1,25.84,2,afa,0.8472832962986508,True,0.6623533391726509
20,1,25.84,2,afa,0.8983316579692909,True,0.713401700843291
21,1,25.84,2,afa,0.8782060501042981,False,0.6932760929782982
22,1,25.84,2,afa,0.805307041520748,False,0.620377084394748
23,1,25.84,2,afa,0.8943739837786226,True,0.7094440266526227
24,1,25.84,2,afa,0.7223502762715619,True,0.537420319145562
25,1,25.84,2,afa,0.8901255767089395,False,0.7051956195829396
26,1,25.84,2,afa,0.8694840775503501,False,0.6845541204243502
27,1,25.84,2,afa,0.877513488301247,True,0.6925835311752471
1,10,25.84,2,afa,0.8852434041118871,True,0.7003134469858872
2,10,25.84,2,afa,0.3691517732907637,True,0.18422181616476382
3,10,25.84,2,afa,0.7842617854529517,True,0.5993318283269518
4,10,25.84,2,afa,0.8742106411643835,False,0.6892806840383836
5,10,25.84,2,afa,0.6849460917130917,True,0.5000161345870918
6,10,25.84,2,afa,0.8261919627365844,True,0.6412620056105844
7,10,25.84,2,afa,0.8888493177524681,True,0.7039193606264682
8,10,25.84,2,afa,0.8583045544278451,False,0.6733745973018452
9,10,25.84,2,afa,0.8523527844785587,False,0.6674228273525588
10,10,25.84,2,afa,0.8138807037925126,False,0.6289507466665127
11,10,25.84,2,afa,0.8859233374208791,True,0.7009933802948792
12,10,25.84,2,afa,0.7966072065964468,False,0.6116772494704469
13,10,25.84,2,afa,0.8608328483806709,False,0.675902891254671
14,10,25.84,2,afa,0.871683066661188,False,0.6867531095351881
15,10,25.84,2,afa,0.8559980840718957,True,0.6710681269458958
16,10,25.84,2,afa,0.8696737328732546,False,0.6847437757472546
17,10,25.84,2,afa,0.8274898325155388,True,0.6425598753895388
1,11,25.84,2,afa,0.8752772269712319,False,0.690347269845232
2,11,25.84,2,afa,0.8474284498597712,False,0.6624984927337713
3,11,25.84,2,afa,0.8776188023271757,False,0.6926888452011758
4,11,25.84,2,afa,0.8790801152431371,False,0.6941501581171372
5,11,25.84,2,afa,0.8853466731336234,False,0.7004167160076235
6,11,25.84,2,afa,0.8489085171079997,True,0.6639785599819998
7,11,25.84,2,afa,0.8260687583739674,True,0.6411388012479675
8,11,25.84,2,afa,0.7015992541704719,False,0.516669297044472
9,11,25.84,2,afa,0.8446395657628034,False,0.6597096086368035
10,11,25.84,2,afa,0.872998708644497,False,0.6880687515184971
11,11,25.84,2,afa,0.8732311038886145,False,0.6883011467626146
12,11,25.84,2,afa,0.8462151113796244,False,0.6612851542536244
13,11,25.84,2,afa,0.8542405500875105,False,0.6693105929615106
14,11,25.84,2,afa,0.8477165255642859,False,0.662786568438286
15,11,25.84,2,afa,0.8860099147057534,False,0.7010799575797535
16,11,25.84,2,afa,0.8038913239809503,True,0.6189613668549504
17,11,25.84,2,afa,0.8939667075521287,True,0.7090367504261288
18,11,25.84,2,afa,0.8764988718940145,False,0.6915689147680146
19,11,25.84,2,afa,0.859014463387356,False,0.6740845062613561
20,11,25.84,2,afa,0.8522244558684292,False,0.6672944987424293
21,11,25.84,2,afa,0.8730922831324358,False,0.6881623260064359
1,12,25.84,2,afa,0.8513523507674892,False,0.6664223936414893
2,12,25.84,2,afa,0.8556363967918165,True,0.6707064396658166
3,12,25.84,2,afa,0.8446132878531586,True,0.6596833307271587
4,12,25.84,2,afa,0.8635406396885863,False,0.6786106825625864
5,12,25.84,2,afa,0.8492389023606586,False,0.6643089452346587
6,12,25.84,2,afa,0.8744871807464911,True,0.6895572236204912
7,12,25.84,2,afa,0.7291791975876633,False,0.5442492404616633
8,12,25.84,2,afa,0.8638925288076441,False,0.6789625716816442
9,12,25.84,2,afa,0.685853787005256,True,0.5009238298792561
10,12,25.84,2,afa,0.7250647108491363,False,0.5401347537231364
11,12,25.84,2,afa,0.8773873803608602,False,0.6924574232348603
12,12,25.84,2,afa,0.8536214006434293,False,0.6686914435174294
13,12,25.84,2,afa,0.8607642992125099,False,0.6758343420865099
14,12,25.84,2,afa,0.829072648194292,True,0.6441426910682921
15,12,25.84,2,afa,0.8463398518355124,False,0.6614098947095125
1,13,25.84,2,afa,0.7672394063386999,False,0.5823094492127
2,13,25.84,2,afa,0.7259332429238906,True,0.5410032857978907
3,13,25.84,2,afa,0.8683156818967859,False,0.683385724770786
4,13,25.84,2,afa,0.8209014683524218,False,0.6359715112264219
5,13,25.84,2,afa,0.3909354270505919,True,0.20600546992459204
6,13,25.84,2,afa,0.8308122707742218,True,0.6458823136482219
7,13,25.84,2,afa,0.8581665601817494,False,0.6732366030557495
8,13,25.84,2,afa,0.6583479678329487,False,0.4734180107069488
9,13,25.84,2,afa,0.8602338933024946,False,0.6753039361764946
10,13,25.84,2,afa,0.8030519408217129,True,0.618121983695713
11,13,25.84,2,afa,0.8594361859162873,False,0.6745062287902874
12,13,25.84,2,afa,0.8637648070214526,False,0.6788348498954527
13,13,25.84,2,afa,0.8630932156757293,False,0.6781632585497294
14,13,25.84,2,afa,0.7682836043437309,False,0.583353647217731
15,13,25.84,2,afa,0.8065166137348866,False,0.6215866566088867
16,13,25.84,2,afa,0.8325566272010416,False,0.6476266700750417
17,13,25.84,2,afa,0.8275302313189357,False,0.6426002741929357
18,13,25.84,2,afa,0.8653394989438304,False,0.6804095418178305
19,13,25.84,2,afa,0.8144766263493409,False,0.629546669223341
20,13,25.84,2,afa,0.8454137381969191,False,0.6604837810709192
21,13,25.84,2,afa,0.7687259372281583,True,0.5837959801021584
1,15,25.84,2,afa,0.8570250144469954,False,0.6720950573209955
2,15,25.84,2,afa,0.8247826287328868,True,0.6398526716068869
3,15,25.84,2,afa,0.8349896219292056,False,0.6500596648032057
4,15,25.84,2,afa,0.8390071257577532,False,0.6540771686317532
5,15,25.84,2,afa,0.8200544138852578,False,0.6351244567592579
6,15,25.84,2,afa,0.814751912424045,False,0.6298219552980451
7,15,25.84,2,afa,0.7281188371818776,True,0.5431888800558777
8,15,25.84,2,afa,0.8785068821999239,False,0.693576925073924
9,15,25.84,2,afa,0.8249755177461019,True,0.640045560620102
10,15,25.84,2,afa,0.8533277269848469,False,0.668397769858847
11,15,25.84,2,afa,0.8580616766003818,False,0.6731317194743819
12,15,25.84,2,afa,0.8576856869191085,False,0.6727557297931086
13,15,25.84,2,afa,0.6608678268985476,True,0.4759378697725477
14,15,25.84,2,afa,0.8675262433284707,True,0.6825962862024708
15,15,25.84,2,afa,0.8873132762833794,False,0.7023833191573795
16,15,25.84,2,afa,0.879403363389774,False,0.6944734062637741
17,15,25.84,2,afa,0.8369845420792419,True,0.652054584953242
18,15,25.84,2,afa,0.7152051863980782,False,0.5302752292720783
19,15,25.84,2,afa,0.8857478683469854,False,0.7008179112209855
20,15,25.84,2,afa,0.8685621747504708,False,0.6836322176244709
21,15,25.84,2,afa,0.8654565843358663,False,0.6805266272098663
22,15,25.84,2,afa,0.8208946340554762,False,0.6359646769294763
23,15,25.84,2,afa,0.8294129606052248,False,0.6444830034792249
1,2,25.84,2,afa,0.8562009663703757,False,0.6712710092443758
2,2,25.84,2,afa,0.8528517509310465,False,0.6679217938050466
3,2,25.84,2,afa,0.7834070223976514,False,0.5984770652716515
4,2,25.84,2,afa,0.8916702970794057,False,0.7067403399534058
5,2,25.84,2,afa,0.810967270402825,True,0.6260373132768251
6,2,25.84,2,afa,0.68929314120466,False,0.5043631840786601
7,2,25.84,2,afa,0.6650090427728333,True,0.48007908564683344
8,2,25.84,2,afa,0.8273168500150309,False,0.642386892889031
9,2,25.84,2,afa,0.5251100751360218,True,0.3401801180100219
10,2,25.84,2,afa,0.8478296167055049,False,0.662899659579505
11,2,25.84,2,afa,0.8269950638768829,False,0.642065106750883
12,2,25.84,2,afa,0.6427994383783039,True,0.457869481252304
13,2,25.84,2,afa,0.8683499373860293,False,0.6834199802600294
14,2,25.84,2,afa,0.8391339110472668,False,0.6542039539212668
15,2,25.84,2,afa,0.8057060377651533,False,0.6207760806391533
16,2,25.84,2,afa,0.805602622440501,True,0.620672665314501
17,2,25.84,2,afa,0.37338447049362006,True,0.18845451336762017
18,2,25.84,2,afa,0.7864370457767029,False,0.601507088650703
19,2,25.84,2,afa,0.788222726946642,False,0.6032927698206421
20,2,25.84,2,afa,0.770026024253356,False,0.5850960671273561
21,2,25.84,2,afa,0.8459130745433452,False,0.6609831174173453
22,2,25.84,2,afa,0.7747157876982029,True,0.589785830572203
23,2,25.84,2,afa,0.5813984145779743,False,0.39646845745197434
24,2,25.84,2,afa,0.8411927328030352,False,0.6562627756770353
25,2,25.84,2,afa,0.5818585485686628,True,0.3969285914426629
1,3,25.84,2,afa,0.8489393846702191,False,0.6640094275442192
2,3,25.84,2,afa,0.8537660969667715,False,0.6688361398407716
3,3,25.84,2,afa,0.7883070253312114,False,0.6033770682052115
4,3,25.84,2,afa,0.8636295948251383,False,0.6786996376991384
5,3,25.84,2,afa,0.5112366145219848,True,0.32630665739598486
6,3,25.84,2,afa,0.8737593430024324,False,0.6888293858764325
7,3,25.84,2,afa,0.8137089997265331,False,0.6287790426005332
8,3,25.84,2,afa,0.8672350444757878,False,0.6823050873497879
9,3,25.84,2,afa,0.872580869257715,False,0.6876509121317151
10,3,25.84,2,afa,0.8084025923969037,False,0.6234726352709038
11,3,25.84,2,afa,0.8640639599207669,False,0.679134002794767
12,3,25.84,2,afa,0.8047641422421752,False,0.6198341851161753
13,3,25.84,2,afa,0.8779957286609571,False,0.6930657715349572
14,3,25.84,2,afa,0.7853517913678405,False,0.6004218342418406
15,3,25.84,2,afa,0.8514136086753357,False,0.6664836515493358
16,3,25.84,2,afa,0.8295327638517913,False,0.6446028067257914
17,3,25.84,2,afa,0.8248099583031105,False,0.6398800011771106
18,3,25.84,2,afa,0.8093721987445921,True,0.6244422416185922
19,3,25.84,2,afa,0.8648852301925176,True,0.6799552730665177
20,3,25.84,2,afa,0.4055602718902681,True,0.22063031476426823
21,3,25.84,2,afa,0.8797931682205704,True,0.6948632110945705
22,3,25.84,2,afa,0.8525342370267346,True,0.6676042799007347
23,3,25.84,2,afa,0.8688859039857725,False,0.6839559468597726
1,4,25.84,2,afa,0.8118798099250277,False,0.6269498527990278
2,4,25.84,2,afa,0.8640181451058069,False,0.679088187979807
3,4,25.84,2,afa,0.8480358831954373,False,0.6631059260694374
4,4,25.84,2,afa,0.7581779132746889,False,0.573247956148689
5,4,25.84,2,afa,0.7964231006201128,False,0.6114931434941129
6,4,25.84,2,afa,0.8261681631763252,False,0.6412382060503253
7,4,25.84,2,afa,0.8664198751990988,True,0.6814899180730989
8,4,25.84,2,afa,0.8657462710862418,False,0.6808163139602419
9,4,25.84,2,afa,0.5386139923921462,True,0.35368403526614633
10,4,25.84,2,afa,0.8508428105893155,False,0.6659128534633156
11,4,25.84,2,afa,0.8755814092829697,False,0.6906514521569698
12,4,25.84,2,afa,0.8736441128314081,False,0.6887141557054082
13,4,25.84,2,afa,0.7494577866679591,True,0.5645278295419592
14,4,25.84,2,afa,0.8703765389456688,False,0.6854465818196689
15,4,25.84,2,afa,0.8596063547896776,True,0.6746763976636777
16,4,25.84,2,afa,0.8134432206386727,False,0.6285132635126728
17,4,25.84,2,afa,0.8506042223609487,False,0.6656742652349488
18,4,25.84,2,afa,0.8148821851177288,False,0.6299522279917289
19,4,25.84,2,afa,0.6820316955606358,False,0.4971017384346359
20,4,25.84,2,afa,0.8647974539767592,True,0.6798674968507593
21,4,25.84,2,afa,0.6576592634450148,False,0.4727293063190149
22,4,25.84,2,afa,0.5752459053052446,True,0.39031594817924464
23,4,25.84,2,afa,0.8770234402478307,True,0.6920934831218308
1,5,25.84,2,afa,0.49355509059565233,True,0.3086251334696525
2,5,25.84,2,afa,0.5078157415871238,True,0.3228857844611239
3,5,25.84,2,afa,0.8599816760613386,False,0.6750517189353387
4,5,25.84,2,afa,0.8436951636661355,False,0.6587652065401356
5,5,25.84,2,afa,0.7238335726356216,True,0.5389036155096217
6,5,25.84,2,afa,0.5762784894220816,False,0.3913485322960817
7,5,25.84,2,afa,0.8482503375344855,False,0.6633203804084856
8,5,25.84,2,afa,0.844398064211313,False,0.6594681070853131
9,5,25.84,2,afa,0.852174128684506,False,0.6672441715585061
10,5,25.84,2,afa,0.8818571110719248,False,0.6969271539459249
11,5,25.84,2,afa,0.8663377785076867,False,0.6814078213816868
12,5,25.84,2,afa,0.872442008887146,True,0.687512051761146
13,5,25.84,2,afa,0.7705812108645532,False,0.5856512537385533
14,5,25.84,2,afa,0.8030351810007087,False,0.6181052238747088
1,6,25.84,2,afa,0.8908182926172609,False,0.705888335491261
2,6,25.84,2,afa,0.8393157447221663,False,0.6543857875961664
3,6,25.84,2,afa,0.856574913300064,False,0.6716449561740641
4,6,25.84,2,afa,0.7885852166186851,False,0.6036552594926852
5,6,25.84,2,afa,0.8596711768470786,False,0.6747412197210787
6,6,25.84,2,afa,0.5056734759157985,True,0.32074351878979857
7,6,25.84,2,afa,0.6840209264953827,True,0.4990909693693828
8,6,25.84,2,afa,0.8421282177635774,False,0.6571982606375775
9,6,25.84,2,afa,0.8127252969110066,False,0.6277953397850067
10,6,25.84,2,afa,0.8581436823575664,False,0.6732137252315665
11,6,25.84,2,afa,0.8220370324579198,False,0.6371070753319199
12,6,25.84,2,afa,0.8884973045908865,True,0.7035673474648866
13,6,25.84,2,afa,0.8188675920464241,False,0.6339376349204242
14,6,25.84,2,afa,0.8730645938184562,True,0.6881346366924563
15,6,25.84,2,afa,0.8157074182350442,False,0.6307774611090443
16,6,25.84,2,afa,0.6909952193625575,False,0.5060652622365576
17,6,25.84,2,afa,0.8395307036250894,False,0.6546007464990895
18,6,25.84,2,afa,0.8594738315246666,True,0.6745438743986667
19,6,25.84,2,afa,0.8749574830342265,False,0.6900275259082266
1,7,25.84,2,afa,0.7802632245899997,False,0.5953332674639998
2,7,25.84,2,afa,0.878993164449253,False,0.6940632073232531
3,7,25.84,2,afa,0.8944803184576344,False,0.7095503613316345
4,7,25.84,2,afa,0.8543581737571742,True,0.6694282166311742
5,7,25.84,2,afa,0.8601514102215994,False,0.6752214530955994
6,7,25.84,2,afa,0.8591718054886277,False,0.6742418483626278
7,7,25.84,2,afa,0.8799527603266363,False,0.6950228032006364
8,7,25.84,2,afa,0.8463820783354341,False,0.6614521212094342
9,7,25.84,2,afa,0.8704030472334109,True,0.685473090107411
10,7,25.84,2,afa,0.8803583579861856,False,0.6954284008601856
11,7,25.84,2,afa,0.8952960927876596,False,0.7103661356616597
12,7,25.84,2,afa,0.8865557823199015,False,0.7016258251939016
13,7,25.84,2,afa,0.8775580515872363,False,0.6926280944612364
14,7,25.84,2,afa,0.8963631670914225,True,0.7114332099654226
15,7,25.84,2,afa,0.858486432730061,True,0.6735564756040611
16,7,25.84,2,afa,0.8949177293262416,True,0.7099877722002417
17,7,25.84,2,afa,0.8945930952781234,True,0.7096631381521235
18,7,25.84,2,afa,0.8913491066146093,False,0.7064191494886094
1,8,25.84,2,afa,0.8922539429086325,True,0.7073239857826326
2,8,25.84,2,afa,0.8494981440278087,False,0.6645681869018087
3,8,25.84,2,afa,0.8854533977639314,False,0.7005234406379315
4,8,25.84,2,afa,0.8813819092367972,True,0.6964519521107972
5,8,25.84,2,afa,0.8316905070079852,True,0.6467605498819853
6,8,25.84,2,afa,0.8417726821656636,False,0.6568427250396637
7,8,25.84,2,afa,0.7855457989559091,False,0.6006158418299092
8,8,25.84,2,afa,0.883141192582694,False,0.6982112354566941
9,8,25.84,2,afa,0.8674119778036825,False,0.6824820206776826
10,8,25.84,2,afa,0.8920124059668801,True,0.7070824488408802
11,8,25.84,2,afa,0.8474825502628335,False,0.6625525931368336
12,8,25.84,2,afa,0.8713173229545184,False,0.6863873658285184
13,8,25.84,2,afa,0.8632276490771587,False,0.6782976919511587
14,8,25.84,2,afa,0.834989939715941,True,0.6500599825899411
15,8,25.84,2,afa,0.894787242988972,True,0.7098572858629721
16,8,25.84,2,afa,0.8074745218843413,True,0.6225445647583414
17,8,25.84,2,afa,0.860579197016348,False,0.6756492398903481
18,8,25.84,2,afa,0.8546090493196041,False,0.6696790921936042
19,8,25.84,2,afa,0.8608817684737827,False,0.6759518113477828
20,8,25.84,2,afa,0.8418598024516072,False,0.6569298453256073
21,8,25.84,2,afa,0.8907360141961946,True,0.7058060570701947
22,8,25.84,2,afa,0.8790696160597793,False,0.6941396589337794
1,9,25.84,2,afa,0.7604784248168786,False,0.5755484676908786
2,9,25.84,2,afa,0.7995336570215598,False,0.6146036998955599
3,9,25.84,2,afa,0.7197549722585546,False,0.5348250151325546
4,9,25.84,2,afa,0.8664191218304962,False,0.6814891647044963
5,9,25.84,2,afa,0.7583241851274988,False,0.5733942280014989
6,9,25.84,2,afa,0.5105956711740347,True,0.3256657140480348
7,9,25.84,2,afa,0.8248032715661037,False,0.6398733144401038
8,9,25.84,2,afa,0.8549802882582895,False,0.6700503311322896
9,9,25.84,2,afa,0.8860527360353918,True,0.7011227789093919
10,9,25.84,2,afa,0.8291998676893421,True,0.6442699105633422
11,9,25.84,2,afa,0.5704058517865993,False,0.3854758946605994
12,9,25.84,2,afa,0.5715066912867075,False,0.3865767341607076
13,9,25.84,2,afa,0.5921545810509238,True,0.40722462392492387
