ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,39.29,6,vin,0.7628516099120428,True,0.5848199891924428
2,0,39.29,6,vin,0.8652289769194486,False,0.6871973561998486
3,0,39.29,6,vin,0.6378620420884871,False,0.4598304213688871
4,0,39.29,6,vin,0.8687485159967162,False,0.6907168952771162
5,0,39.29,6,vin,0.8589205689784324,True,0.6808889482588324
6,0,39.29,6,vin,0.8824180356047329,False,0.7043864148851329
7,0,39.29,6,vin,0.8779413974976633,True,0.6999097767780633
8,0,39.29,6,vin,0.8632718423012834,True,0.6852402215816834
9,0,39.29,6,vin,0.8616188722776122,True,0.6835872515580123
10,0,39.29,6,vin,0.8362797588326242,False,0.6582481381130242
11,0,39.29,6,vin,0.8506598015148,False,0.6726281807952
12,0,39.29,6,vin,0.7402490848708412,True,0.5622174641512412
13,0,39.29,6,vin,0.8467331399765587,False,0.6687015192569588
14,0,39.29,6,vin,0.7354590045303339,True,0.5574273838107339
15,0,39.29,6,vin,0.8398480121789559,False,0.6618163914593559
16,0,39.29,6,vin,0.8797436820839859,False,0.7017120613643859
17,0,39.29,6,vin,0.877304483486884,False,0.699272862767284
18,0,39.29,6,vin,0.8802939054021854,False,0.7022622846825854
19,0,39.29,6,vin,0.8167162446507137,True,0.6386846239311137
20,0,39.29,6,vin,0.6259040406690988,True,0.4478724199494988
21,0,39.29,6,vin,0.786309382035654,False,0.608277761316054
22,0,39.29,6,vin,0.8755914172830451,False,0.6975597965634451
23,0,39.29,6,vin,0.4409565256596533,False,0.26292490494005333
24,0,39.29,6,vin,0.8894534197197055,False,0.7114217990001055
25,0,39.29,6,vin,0.4992497858922575,False,0.3212181651726575
26,0,39.29,6,vin,0.7559536377904281,False,0.5779220170708281
27,0,39.29,6,vin,0.5722546034450084,False,0.39422298272540846
28,0,39.29,6,vin,0.7950313753138051,True,0.6169997545942051
29,0,39.29,6,vin,0.78302190014888,True,0.60499027942928
1,1,39.29,6,vin,0.8516495461168138,False,0.6736179253972138
2,1,39.29,6,vin,0.8104335225227081,False,0.6324019018031081
3,1,39.29,6,vin,0.7298724947703896,False,0.5518408740507896
4,1,39.29,6,vin,0.6396538203692428,False,0.4616221996496428
5,1,39.29,6,vin,0.746766988685698,False,0.568735367966098
6,1,39.29,6,vin,0.7322779999610901,True,0.5542463792414901
7,1,39.29,6,vin,0.5245350223344755,False,0.3465034016148755
8,1,39.29,6,vin,0.8544738930913436,False,0.6764422723717436
9,1,39.29,6,vin,0.7770336446765244,False,0.5990020239569244
10,1,39.29,6,vin,0.8859596295656041,True,0.7079280088460042
11,1,39.29,6,vin,0.6475328458353117,False,0.4695012251157117
12,1,39.29,6,vin,0.874205770411093,True,0.696174149691493
13,1,39.29,6,vin,0.8629729204803548,True,0.6849412997607548
14,1,39.29,6,vin,0.7976354715777243,False,0.6196038508581243
15,1,39.29,6,vin,0.8824027395833193,True,0.7043711188637193
16,1,39.29,6,vin,0.871008130413174,False,0.692976509693574
17,1,39.29,6,vin,0.8047460385123115,True,0.6267144177927115
18,1,39.29,6,vin,0.8618303149280206,True,0.6837986942084207
19,1,39.29,6,vin,0.8739815114914539,False,0.6959498907718539
20,1,39.29,6,vin,0.8700044294791253,False,0.6919728087595253
21,1,39.29,6,vin,0.8481372042408776,False,0.6701055835212776
22,1,39.29,6,vin,0.85513483514772,False,0.67710321442812
23,1,39.29,6,vin,0.7730987281608941,False,0.5950671074412941
24,1,39.29,6,vin,0.8713802362715182,True,0.6933486155519182
25,1,39.29,6,vin,0.8881975384602347,True,0.7101659177406348
26,1,39.29,6,vin,0.8668904606948329,False,0.6888588399752329
27,1,39.29,6,vin,0.8674869002494944,False,0.6894552795298944
28,1,39.29,6,vin,0.5370353700860683,True,0.3590037493664683
29,1,39.29,6,vin,0.8432576452898525,True,0.6652260245702525
30,1,39.29,6,vin,0.8559387518359255,False,0.6779071311163255
31,1,39.29,6,vin,0.7135000499139746,False,0.5354684291943747
32,1,39.29,6,vin,0.7996734731232131,False,0.6216418524036131
33,1,39.29,6,vin,0.8572690007336329,False,0.6792373800140329
34,1,39.29,6,vin,0.7638759970554961,False,0.5858443763358961
35,1,39.29,6,vin,0.8442316103400236,False,0.6661999896204236
36,1,39.29,6,vin,0.6262288639917508,False,0.4481972432721508
37,1,39.29,6,vin,0.8274783749980908,False,0.6494467542784909
38,1,39.29,6,vin,0.6502279612379656,False,0.47219634051836556
1,10,39.29,6,vin,0.8878562245919642,False,0.7098246038723642
