ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,39.29,6,vin,0.9155407812965258,True,0.8020448839763888
2,0,39.29,6,vin,0.5955935188833216,False,0.4820976215631846
3,0,39.29,6,vin,0.716284822076439,False,0.602788924756302
4,0,39.29,6,vin,0.9243692541342255,False,0.8108733568140886
5,0,39.29,6,vin,0.920757611788377,True,0.80726171446824
6,0,39.29,6,vin,0.8460905073586696,False,0.7325946100385327
7,0,39.29,6,vin,0.9649290351260781,True,0.8514331378059411
8,0,39.29,6,vin,0.9519440528559938,True,0.8384481555358568
9,0,39.29,6,vin,0.948528994472519,True,0.835033097152382
10,0,39.29,6,vin,0.8468297984518831,False,0.7333339011317461
11,0,39.29,6,vin,0.796894328667521,False,0.683398431347384
12,0,39.29,6,vin,0.5134070432534079,True,0.39991114593327093
13,0,39.29,6,vin,0.8812590503237534,False,0.7677631530036164
14,0,39.29,6,vin,0.5664450789067623,True,0.45294918158662534
15,0,39.29,6,vin,0.8421387229978304,False,0.7286428256776935
16,0,39.29,6,vin,0.9515021094889171,False,0.8380062121687801
17,0,39.29,6,vin,0.8478208921288937,False,0.7343249948087567
18,0,39.29,6,vin,0.8796811707355182,False,0.7661852734153812
19,0,39.29,6,vin,0.7766549546024031,True,0.6631590572822661
20,0,39.29,6,vin,0.4395247813584525,True,0.32602888403831554
21,0,39.29,6,vin,0.7127542906350034,False,0.5992583933148664
22,0,39.29,6,vin,0.9245831141291786,False,0.8110872168090416
23,0,39.29,6,vin,0.741591912259345,False,0.628096014939208
24,0,39.29,6,vin,0.9884989665688604,False,0.8750030692487234
25,0,39.29,6,vin,0.4204289981760601,True,0.3069331008559232
26,0,39.29,6,vin,0.9200450200030531,False,0.8065491226829161
27,0,39.29,6,vin,0.8157464160137582,False,0.7022505186936212
28,0,39.29,6,vin,0.8480769490971726,True,0.7345810517770356
29,0,39.29,6,vin,0.942647115753884,True,0.8291512184337471
1,1,39.29,6,vin,0.9160892903218135,False,0.8025933930016765
2,1,39.29,6,vin,0.9622958293208107,False,0.8487999320006737
3,1,39.29,6,vin,0.7783275330955063,False,0.6648316357753693
4,1,39.29,6,vin,0.7818267629588386,False,0.6683308656387016
5,1,39.29,6,vin,0.9507555624959793,False,0.8372596651758423
6,1,39.29,6,vin,0.9963702059337223,False,0.8828743086135853
7,1,39.29,6,vin,0.9554583751487705,False,0.8419624778286335
8,1,39.29,6,vin,0.8117351610501086,False,0.6982392637299716
9,1,39.29,6,vin,0.9422036387565456,False,0.8287077414364086
10,1,39.29,6,vin,0.9909890577431216,True,0.8774931604229846
11,1,39.29,6,vin,0.8611164122813093,False,0.7476205149611723
12,1,39.29,6,vin,0.9225481003118029,True,0.8090522029916659
13,1,39.29,6,vin,0.9736211437089626,True,0.8601252463888256
14,1,39.29,6,vin,0.8226401256065154,False,0.7091442282863785
15,1,39.29,6,vin,0.9566524917743273,True,0.8431565944541903
16,1,39.29,6,vin,0.9127596214595485,False,0.7992637241394115
17,1,39.29,6,vin,0.9658098963485413,False,0.8523139990284043
18,1,39.29,6,vin,0.9506812970173417,True,0.8371853996972047
19,1,39.29,6,vin,0.9553087528844472,False,0.8418128555643102
20,1,39.29,6,vin,0.9393566529474618,False,0.8258607556273249
21,1,39.29,6,vin,0.964536468179239,False,0.851040570859102
22,1,39.29,6,vin,0.6679312419349712,False,0.5544353446148342
23,1,39.29,6,vin,0.9574859387242952,True,0.8439900414041582
24,1,39.29,6,vin,0.5615469614449442,True,0.4480510641248072
25,1,39.29,6,vin,0.685255408099399,True,0.571759510779262
26,1,39.29,6,vin,0.9646889018468261,False,0.8511930045266891
27,1,39.29,6,vin,0.9875595007164906,False,0.8740636033963536
28,1,39.29,6,vin,0.7371101577138425,True,0.6236142603937055
29,1,39.29,6,vin,0.9512259844662136,True,0.8377300871460767
30,1,39.29,6,vin,0.8551535881920765,False,0.7416576908719396
31,1,39.29,6,vin,0.9556881524531071,False,0.8421922551329701
32,1,39.29,6,vin,0.7363663523104131,False,0.6228704549902762
33,1,39.29,6,vin,0.9713131564709918,False,0.8578172591508548
34,1,39.29,6,vin,0.9628064615509615,False,0.8493105642308245
35,1,39.29,6,vin,0.8474984574509594,False,0.7340025601308224
36,1,39.29,6,vin,0.9370418555447817,False,0.8235459582246447
37,1,39.29,6,vin,0.9564568388350155,False,0.8429609415148785
