ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,2.41,1,alm,0.916520694301977,False,0.7908240891590284
2,0,2.41,1,alm,0.8777511065214243,True,0.7520545013784756
3,0,2.41,1,alm,0.9709258570329329,False,0.8452292518899842
4,0,2.41,1,alm,0.8880374896083213,False,0.7623408844653726
5,0,2.41,1,alm,0.9108721568837789,True,0.7851755517408302
6,0,2.41,1,alm,0.8112395633391408,False,0.6855429581961922
7,0,2.41,1,alm,0.9581727512740331,False,0.8324761461310844
8,0,2.41,1,alm,0.9906807836893329,False,0.8649841785463842
9,0,2.41,1,alm,0.5893387150176396,True,0.4636421098746909
10,0,2.41,1,alm,0.9913416026268553,False,0.8656449974839067
11,0,2.41,1,alm,0.9299283049834577,False,0.804231699840509
12,0,2.41,1,alm,0.9836253447357303,False,0.8579287395927816
13,0,2.41,1,alm,0.938390249309556,False,0.8126936441666073
14,0,2.41,1,alm,0.9479355315251178,True,0.8222389263821691
15,0,2.41,1,alm,0.8903397297259177,True,0.764643124582969
16,0,2.41,1,alm,0.915683268549687,False,0.7899866634067383
17,0,2.41,1,alm,0.961895080949765,False,0.8361984758068163
18,0,2.41,1,alm,0.906612330541749,False,0.7809157253988003
19,0,2.41,1,alm,0.8988003286214742,False,0.7731037234785255
20,0,2.41,1,alm,0.9370144377888071,False,0.8113178326458584
21,0,2.41,1,alm,0.9697559190638444,True,0.8440593139208957
22,0,2.41,1,alm,0.9810823236484648,True,0.8553857185055161
23,0,2.41,1,alm,0.9896784442380728,False,0.8639818390951242
24,0,2.41,1,alm,0.9890002252716352,False,0.8633036201286866
25,0,2.41,1,alm,0.9647023820866831,False,0.8390057769437345
26,0,2.41,1,alm,0.9421515642268693,False,0.8164549590839206
27,0,2.41,1,alm,0.9747875553754666,False,0.8490909502325179
28,0,2.41,1,alm,0.9579104642979568,True,0.8322138591550081
29,0,2.41,1,alm,0.9379909188817503,False,0.8122943137388017
30,0,2.41,1,alm,0.951700101407129,False,0.8260034962641803
31,0,2.41,1,alm,0.9958573394265298,False,0.8701607342835811
32,0,2.41,1,alm,0.8207710181014471,False,0.6950744129584985
33,0,2.41,1,alm,0.9705635706111005,True,0.8448669654681519
34,0,2.41,1,alm,0.9343495092466003,False,0.8086529041036516
35,0,2.41,1,alm,0.8103590343964381,True,0.6846624292534894
36,0,2.41,1,alm,0.9342896162140486,False,0.8085930110710999
37,0,2.41,1,alm,0.9388168224790749,False,0.8131202173361263
38,0,2.41,1,alm,0.8567498760772707,False,0.731053270934322
1,1,2.41,1,alm,0.9975806278534367,False,0.871884022710488
2,1,2.41,1,alm,0.7135067983513481,False,0.5878101932083994
3,1,2.41,1,alm,0.9739037652573087,True,0.84820716011436
4,1,2.41,1,alm,0.8971303485219133,False,0.7714337433789646
5,1,2.41,1,alm,0.4649171940549436,False,0.3392205889119949
6,1,2.41,1,alm,0.9807710632418146,True,0.855074458098866
7,1,2.41,1,alm,0.7252713734881225,False,0.5995747683451739
8,1,2.41,1,alm,0.9207370434539586,False,0.7950404383110099
9,1,2.41,1,alm,0.8397545828089346,False,0.7140579776659859
10,1,2.41,1,alm,0.7971667041800057,True,0.671470099037057
11,1,2.41,1,alm,0.9429131875991148,True,0.8172165824561661
12,1,2.41,1,alm,0.8579018008525224,True,0.7322051957095738
13,1,2.41,1,alm,0.9907585886851802,True,0.8650619835422315
14,1,2.41,1,alm,0.9506103732591843,False,0.8249137681162356
15,1,2.41,1,alm,0.9364827330245662,True,0.8107861278816175
16,1,2.41,1,alm,0.9733277638320089,True,0.8476311586890602
17,1,2.41,1,alm,0.9587667927344838,True,0.8330701875915352
18,1,2.41,1,alm,0.8805315724176163,False,0.7548349672746676
19,1,2.41,1,alm,0.9706826067541771,False,0.8449860016112284
20,1,2.41,1,alm,0.9630611903256954,False,0.8373645851827467
21,1,2.41,1,alm,0.9087959394927413,True,0.7830993343497926
22,1,2.41,1,alm,0.8128074029381167,False,0.687110797795168
23,1,2.41,1,alm,0.9422685109930088,False,0.8165719058500601
24,1,2.41,1,alm,0.9923753029434226,True,0.8666786978004739
25,1,2.41,1,alm,0.9743481307141991,True,0.8486515255712505
26,1,2.41,1,alm,0.5463931932279946,False,0.42069658808504595
27,1,2.41,1,alm,0.8977941718426236,True,0.7720975666996749
28,1,2.41,1,alm,0.9603841010721752,False,0.8346874959292265
29,1,2.41,1,alm,0.9719896517612139,False,0.8462930466182652
30,1,2.41,1,alm,0.9217238520149131,False,0.7960272468719645
31,1,2.41,1,alm,0.9506686367257527,False,0.8249720315828041
32,1,2.41,1,alm,0.8339294852226917,False,0.708232880079743
33,1,2.41,1,alm,0.8125039990473372,False,0.6868073939043885
34,1,2.41,1,alm,0.8757174942815199,True,0.7500208891385712
35,1,2.41,1,alm,0.9507752615425756,False,0.825078656399627
36,1,2.41,1,alm,0.9707387921908902,False,0.8450421870479415
37,1,2.41,1,alm,0.7985611887895807,False,0.672864583646632
38,1,2.41,1,alm,0.9769495150224585,False,0.8512529098795099
39,1,2.41,1,alm,0.9955737735260787,False,0.86987716838313
40,1,2.41,1,alm,0.9805824303377554,False,0.8548858251948067
41,1,2.41,1,alm,0.9107086790770363,False,0.7850120739340877
42,1,2.41,1,alm,0.9905883492098116,False,0.864891744066863
43,1,2.41,1,alm,0.8569605222032916,True,0.7312639170603429
44,1,2.41,1,alm,0.8935893453277576,False,0.7678927401848089
45,1,2.41,1,alm,0.9181224500216327,False,0.7924258448786841
46,1,2.41,1,alm,0.9785509112641645,False,0.8528543061212158
47,1,2.41,1,alm,0.9696544687398448,False,0.8439578635968962
48,1,2.41,1,alm,0.7108180422086108,False,0.5851214370656621
49,1,2.41,1,alm,0.9206790734442215,False,0.7949824683012728
50,1,2.41,1,alm,0.6677915072654886,True,0.54209490212254
1,11,2.41,1,alm,0.9828683398084375,True,0.8571717346654888
2,11,2.41,1,alm,0.9432397724547263,False,0.8175431673117777
3,11,2.41,1,alm,0.9833204968482905,False,0.8576238917053418
4,11,2.41,1,alm,0.9986860650484161,True,0.8729894599054674
5,11,2.41,1,alm,0.9883518432711206,False,0.8626552381281719
6,11,2.41,1,alm,0.8757550439817008,False,0.7500584388387521
7,11,2.41,1,alm,0.9255100281589705,False,0.7998134230160219
8,11,2.41,1,alm,0.8183260796030792,False,0.6926294744601306
