ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,11.16,1,afa,0.7536414593539023,False,0.3680108562858425
2,0,11.16,1,afa,0.663139068246793,True,0.2775084651787333
3,0,11.16,1,afa,0.788980996206288,False,0.4033503931382283
4,0,11.16,1,afa,0.6072680431886857,False,0.22163744012062592
5,0,11.16,1,afa,0.5952972383879878,True,0.20966663531992802
6,0,11.16,1,afa,0.7077426585430189,False,0.32211205547495914
7,0,11.16,1,afa,0.7144609904256958,False,0.32883038735763603
8,0,11.16,1,afa,0.7610931536139919,False,0.37546255054593214
9,0,11.16,1,afa,0.7589856666852061,True,0.3733550636171463
10,0,11.16,1,afa,0.7640844165530167,False,0.378453813484957
11,0,11.16,1,afa,0.6336511442626607,False,0.24802054119460093
12,0,11.16,1,afa,0.6490573383525289,False,0.26342673528446914
13,0,11.16,1,afa,0.6951148959895742,False,0.30948429292151447
14,0,11.16,1,afa,0.7312294780523938,True,0.34559887498433406
15,0,11.16,1,afa,0.8036729035170846,True,0.4180423004490249
16,0,11.16,1,afa,0.5525204331348967,False,0.166889830066837
17,0,11.16,1,afa,0.6248442893118172,False,0.2392136862437575
18,0,11.16,1,afa,0.480910548036609,False,0.09527994496854925
19,0,11.16,1,afa,0.49496752393219917,False,0.10933692086413943
20,0,11.16,1,afa,0.7672376877137534,False,0.3816070846456937
21,0,11.16,1,afa,0.4393718555418348,True,0.053741252473775036
22,0,11.16,1,afa,0.6908811341947626,True,0.30525053112670286
23,0,11.16,1,afa,0.703407628473663,False,0.31777702540560326
24,0,11.16,1,afa,0.4919287542191241,False,0.10629815115106434
25,0,11.16,1,afa,0.6619484353778669,False,0.2763178323098071
26,0,11.16,1,afa,0.731472574850254,False,0.3458419717821942
27,0,11.16,1,afa,0.7782190849122891,False,0.39258848184422934
28,0,11.16,1,afa,0.4398658852398863,True,0.05423528217182655
29,0,11.16,1,afa,0.6770080951167236,False,0.2913774920486638
30,0,11.16,1,afa,0.5010028579588413,False,0.11537225489078151
31,0,11.16,1,afa,0.7248141943031777,False,0.339183591235118
