ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,6.06,1,osi,0.9799316206621717,True,0.8764044707976677
2,0,6.06,1,osi,0.9906312869680203,False,0.8871041371035163
3,0,6.06,1,osi,0.9896013801126153,False,0.8860742302481114
4,0,6.06,1,osi,0.9956916244760929,False,0.892164474611589
5,0,6.06,1,osi,0.926622145679368,True,0.823094995814864
6,0,6.06,1,osi,0.9884553586079627,False,0.8849282087434588
7,0,6.06,1,osi,0.9981361202591298,False,0.8946089703946258
8,0,6.06,1,osi,0.9898651002453661,True,0.8863379503808622
9,0,6.06,1,osi,0.9681198739274521,True,0.8645927240629482
10,0,6.06,1,osi,0.9633731203142621,True,0.8598459704497582
11,0,6.06,1,osi,0.9979639089462792,False,0.8944367590817752
12,0,6.06,1,osi,0.994270017513443,True,0.8907428676489391
13,0,6.06,1,osi,0.9771841868539453,False,0.8736570369894413
14,0,6.06,1,osi,0.9905661037550626,False,0.8870389538905586
15,0,6.06,1,osi,0.9862788227960056,False,0.8827516729315017
16,0,6.06,1,osi,0.995328110426645,False,0.8918009605621411
17,0,6.06,1,osi,0.9969887826883808,False,0.8934616328238768
18,0,6.06,1,osi,0.9902304238366882,False,0.8867032739721843
19,0,6.06,1,osi,0.9964455768106288,False,0.8929184269461249
20,0,6.06,1,osi,0.9990336577607287,False,0.8955065078962248
21,0,6.06,1,osi,0.9934914228547189,False,0.889964272990215
22,0,6.06,1,osi,0.9960590921243364,False,0.8925319422598325
23,0,6.06,1,osi,0.9942163119354953,True,0.8906891620709914
24,0,6.06,1,osi,0.9930830636073456,False,0.8895559137428416
25,0,6.06,1,osi,0.9997591284938823,True,0.8962319786293783
26,0,6.06,1,osi,0.9848713881849009,False,0.881344238320397
27,0,6.06,1,osi,0.9983803591143919,False,0.894853209249888
28,0,6.06,1,osi,0.9802907461902315,False,0.8767635963257275
29,0,6.06,1,osi,0.9833333428040383,True,0.8798061929395343
30,0,6.06,1,osi,0.9998028740855027,False,0.8962757242209988
31,0,6.06,1,osi,0.9996940782809919,False,0.8961669284164879
32,0,6.06,1,osi,0.9994963380816841,False,0.8959691882171802
33,0,6.06,1,osi,0.9917343232691687,False,0.8882071734046647
34,0,6.06,1,osi,0.9987158050896146,True,0.8951886552251106
35,0,6.06,1,osi,0.9945547744889328,True,0.8910276246244289
36,0,6.06,1,osi,0.9944803786755416,False,0.8909532288110377
37,0,6.06,1,osi,0.9992729311826538,True,0.8957457813181499
38,0,6.06,1,osi,0.9955386154827405,False,0.8920114656182365
39,0,6.06,1,osi,0.9961672584540683,True,0.8926401085895643
40,0,6.06,1,osi,0.9964745073987288,False,0.8929473575342248
41,0,6.06,1,osi,0.8831779550497121,True,0.7796508051852081
42,0,6.06,1,osi,0.9982119997172235,True,0.8946848498527196
43,0,6.06,1,osi,0.9988316811484509,False,0.8953045312839469
44,0,6.06,1,osi,0.9978606547687079,False,0.8943335049042039
45,0,6.06,1,osi,0.9976704888894206,False,0.8941433390249166
46,0,6.06,1,osi,0.999560814527865,False,0.8960336646633611
47,0,6.06,1,osi,0.9979648535015009,True,0.8944377036369969
48,0,6.06,1,osi,0.9979553939401988,False,0.8944282440756949
49,0,6.06,1,osi,0.9505540873901703,False,0.8470269375256664
50,0,6.06,1,osi,0.9921540063836041,False,0.8886268565191001
51,0,6.06,1,osi,0.9945532175592293,True,0.8910260676947254
52,0,6.06,1,osi,0.985780744156119,False,0.8822535942916151
53,0,6.06,1,osi,0.9998153931413931,False,0.8962882432768892
54,0,6.06,1,osi,0.9989295786061572,True,0.8954024287416532
55,0,6.06,1,osi,0.9818067368999259,False,0.878279587035422
56,0,6.06,1,osi,0.9951398952095667,False,0.8916127453450627
57,0,6.06,1,osi,0.9867908242901734,False,0.8832636744256694
58,0,6.06,1,osi,0.9975645472454305,True,0.8940373973809266
59,0,6.06,1,osi,0.9837022093822606,False,0.8801750595177567
60,0,6.06,1,osi,0.9976264757003195,False,0.8940993258358155
61,0,6.06,1,osi,0.9913056430253212,False,0.8877784931608173
62,0,6.06,1,osi,0.9942737240460822,True,0.8907465741815782
63,0,6.06,1,osi,0.9871148259844083,True,0.8835876761199043
64,0,6.06,1,osi,0.9928855149687857,False,0.8893583651042818
65,0,6.06,1,osi,0.9996316666406484,True,0.8961045167761444
66,0,6.06,1,osi,0.9898846932153361,False,0.8863575433508322
67,0,6.06,1,osi,0.9638615043025924,False,0.8603343544380885
68,0,6.06,1,osi,0.9902391393513608,False,0.8867119894868568
69,0,6.06,1,osi,0.9966810988297559,True,0.8931539489652519
1,1,6.06,1,osi,0.9271279914784214,True,0.8236008416139174
2,1,6.06,1,osi,0.7400378009089,False,0.6365106510443961
3,1,6.06,1,osi,0.8459183851087468,True,0.7423912352442429
4,1,6.06,1,osi,0.8170031947944618,False,0.7134760449299579
5,1,6.06,1,osi,0.9302473410956464,True,0.8267201912311425
6,1,6.06,1,osi,0.8894501298823971,True,0.7859229800178932
7,1,6.06,1,osi,0.9593910971611992,True,0.8558639472966952
8,1,6.06,1,osi,0.9834478605576734,False,0.8799207106931695
9,1,6.06,1,osi,0.8838192256064679,True,0.7802920757419639
10,1,6.06,1,osi,0.9137751669421406,False,0.8102480170776366
11,1,6.06,1,osi,0.9605386753678848,True,0.8570115255033809
12,1,6.06,1,osi,0.9060233119814185,False,0.8024961621169145
13,1,6.06,1,osi,0.87413934344358,False,0.7706121935790761
14,1,6.06,1,osi,0.9949005188918767,True,0.8913733690273727
15,1,6.06,1,osi,0.971737713317328,False,0.868210563452824
16,1,6.06,1,osi,0.9700330690627812,True,0.8665059191982772
17,1,6.06,1,osi,0.9832878075331942,False,0.8797606576686903
18,1,6.06,1,osi,0.9556262795701451,False,0.8520991297056412
19,1,6.06,1,osi,0.9509607426213792,False,0.8474335927568752
20,1,6.06,1,osi,0.8310185196062395,False,0.7274913697417356
21,1,6.06,1,osi,0.9943925136724001,True,0.8908653638078962
22,1,6.06,1,osi,0.9928848560081729,True,0.8893577061436689
23,1,6.06,1,osi,0.9382697652920537,False,0.8347426154275498
24,1,6.06,1,osi,0.8801632267541366,False,0.7766360768896327
25,1,6.06,1,osi,0.9864188940482101,False,0.8828917441837062
26,1,6.06,1,osi,0.8726219802531168,True,0.7690948303886128
27,1,6.06,1,osi,0.9869714292157115,True,0.8834442793512075
28,1,6.06,1,osi,0.9646203241044511,False,0.8610931742399471
29,1,6.06,1,osi,0.9852509094232564,True,0.8817237595587525
30,1,6.06,1,osi,0.9895672736648671,True,0.8860401238003631
31,1,6.06,1,osi,0.9358120575580688,False,0.8322849076935649
32,1,6.06,1,osi,0.9760678700911847,False,0.8725407202266807
33,1,6.06,1,osi,0.9484273159783289,False,0.8449001661138249
34,1,6.06,1,osi,0.9836812123052884,True,0.8801540624407844
35,1,6.06,1,osi,0.9745432785553423,False,0.8710161286908383
36,1,6.06,1,osi,0.9736802676641754,True,0.8701531177996714
37,1,6.06,1,osi,0.9548062698332664,False,0.8512791199687625
38,1,6.06,1,osi,0.9430684817255053,False,0.8395413318610013
39,1,6.06,1,osi,0.9804341988931498,False,0.8769070490286458
40,1,6.06,1,osi,0.9102144958008553,True,0.8066873459363514
41,1,6.06,1,osi,0.9736016104526495,False,0.8700744605881455
42,1,6.06,1,osi,0.9498520990899261,False,0.8463249492254221
43,1,6.06,1,osi,0.9774573637452374,False,0.8739302138807334
44,1,6.06,1,osi,0.985927404958469,False,0.882400255093965
45,1,6.06,1,osi,0.9984016121065545,False,0.8948744622420506
46,1,6.06,1,osi,0.9397678302802216,True,0.8362406804157176
47,1,6.06,1,osi,0.9717106780746352,False,0.8681835282101312
48,1,6.06,1,osi,0.6245592798063109,True,0.5210321299418069
49,1,6.06,1,osi,0.9187505483263128,True,0.8152233984618088
50,1,6.06,1,osi,0.9367072319501523,True,0.8331800820856483
51,1,6.06,1,osi,0.9950872191091318,False,0.8915600692446278
52,1,6.06,1,osi,0.9783611520815132,False,0.8748340022170092
53,1,6.06,1,osi,0.8178450672792928,True,0.7143179174147889
54,1,6.06,1,osi,0.947748691328313,False,0.844221541463809
55,1,6.06,1,osi,0.9383137832248363,False,0.8347866333603323
56,1,6.06,1,osi,0.33798915276395036,False,0.2344620028994464
57,1,6.06,1,osi,0.8238246646782159,True,0.720297514813712
58,1,6.06,1,osi,0.9896980033077589,False,0.886170853443255
59,1,6.06,1,osi,0.9794950949960196,False,0.8759679451315157
60,1,6.06,1,osi,0.9893393251937528,False,0.8858121753292488
1,10,6.06,1,osi,0.9736114686192472,False,0.8700843187547432
2,10,6.06,1,osi,0.9946424482705553,False,0.8911152984060513
3,10,6.06,1,osi,0.7041327425347678,True,0.6006055926702638
4,10,6.06,1,osi,0.9830693708466072,True,0.8795422209821032
5,10,6.06,1,osi,0.9902002697207269,True,0.886673119856223
6,10,6.06,1,osi,0.9914316564550326,False,0.8879045065905287
