ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,55.5,1,vin,0.4123305143331682,False,0.134978161874095
2,0,55.5,1,vin,0.4952020578024337,False,0.2178497053433605
3,0,55.5,1,vin,0.788163172705534,False,0.5108108202464609
4,0,55.5,1,vin,0.20040974641414028,False,-0.07694260604493292
5,0,55.5,1,vin,0.27612263866777675,True,-0.0012297137912964384
6,0,55.5,1,vin,0.8833235722031398,False,0.6059712197440666
7,0,55.5,1,vin,0.8438013806823108,False,0.5664490282232376
8,0,55.5,1,vin,0.48423293807848494,True,0.20688058561941175
9,0,55.5,1,vin,0.769739018948257,False,0.49238666648918383
10,0,55.5,1,vin,0.7089746810889378,True,0.4316223286298646
11,0,55.5,1,vin,0.751375914403055,False,0.47402356194398176
12,0,55.5,1,vin,0.3713716821271329,False,0.0940193296680597
13,0,55.5,1,vin,0.5626980800917185,False,0.2853457276326453
14,0,55.5,1,vin,0.6576351196061918,False,0.3802827671471186
15,0,55.5,1,vin,0.4713569382239478,False,0.19400458576487462
16,0,55.5,1,vin,0.6053455992144469,True,0.32799324675537367
17,0,55.5,1,vin,0.6114427645034408,False,0.3340904120443676
18,0,55.5,1,vin,0.8949688178346682,False,0.617616465375595
19,0,55.5,1,vin,0.4489232281194691,False,0.17157087566039592
20,0,55.5,1,vin,0.6836141230409939,True,0.4062617705819207
21,0,55.5,1,vin,0.6615456852894305,False,0.3841933328303573
22,0,55.5,1,vin,0.8419948128338215,False,0.5646424603747483
23,0,55.5,1,vin,0.7341403725178299,False,0.45678802005875674
24,0,55.5,1,vin,0.5837264497159315,True,0.30637409725685827
25,0,55.5,1,vin,0.7990316113445803,False,0.5216792588855071
26,0,55.5,1,vin,0.8441088735670093,True,0.5667565211079361
27,0,55.5,1,vin,0.5576830977025544,False,0.2803307452434812
28,0,55.5,1,vin,0.4615528373083637,False,0.18420048484929052
29,0,55.5,1,vin,0.5243862546839549,True,0.24703390222488175
30,0,55.5,1,vin,0.6421299784089951,True,0.3647776259499219
31,0,55.5,1,vin,0.5399602334213551,True,0.26260788096228194
32,0,55.5,1,vin,0.8176562369369881,False,0.5403038844779149
33,0,55.5,1,vin,0.6703019852150328,False,0.3929496327559596
34,0,55.5,1,vin,0.8753873887289918,True,0.5980350362699186
35,0,55.5,1,vin,0.8552713575445796,False,0.5779190050855064
36,0,55.5,1,vin,0.8294863218899298,False,0.5521339694308566
37,0,55.5,1,vin,0.7614972496681152,False,0.48414489720904197
38,0,55.5,1,vin,0.6455507912087463,True,0.36819843874967306
39,0,55.5,1,vin,0.6220135353792128,True,0.3446611829201396
40,0,55.5,1,vin,0.7808790124171936,True,0.5035266599581204
41,0,55.5,1,vin,0.6949093158389387,False,0.4175569633798655
42,0,55.5,1,vin,0.8485139837665987,True,0.5711616313075255
43,0,55.5,1,vin,0.6654791795063401,False,0.38812682704726686
44,0,55.5,1,vin,0.8000655584421619,False,0.5227132059830887
45,0,55.5,1,vin,0.9381370310848632,False,0.66078467862579
46,0,55.5,1,vin,0.6970173976824239,True,0.4196650452233507
47,0,55.5,1,vin,0.83046651956424,True,0.5531141671051668
48,0,55.5,1,vin,0.7184694567016505,False,0.44111710424257733
49,0,55.5,1,vin,0.8107440151874309,False,0.5333916627283577
50,0,55.5,1,vin,0.9428098139611769,False,0.6654574615021037
51,0,55.5,1,vin,0.7311114300878124,True,0.45375907762873924
52,0,55.5,1,vin,0.6715236881523582,False,0.394171335693285
53,0,55.5,1,vin,0.7410743814399589,False,0.46372202898088566
1,1,55.5,1,vin,0.915118202039573,True,0.6377658495804998
2,1,55.5,1,vin,0.7601280216562702,False,0.48277566919719705
3,1,55.5,1,vin,0.6218783640534948,False,0.34452601159442164
4,1,55.5,1,vin,0.6720497666582199,False,0.3946974141991467
5,1,55.5,1,vin,0.310494998425703,False,0.0331426459666298
6,1,55.5,1,vin,0.616417079007842,False,0.33906472654876885
7,1,55.5,1,vin,0.7724034352671685,False,0.4950510828080953
8,1,55.5,1,vin,0.6681057135427546,True,0.3907533610836814
9,1,55.5,1,vin,0.7873784730358264,False,0.5100261205767532
10,1,55.5,1,vin,0.7244978723080001,False,0.4471455198489269
11,1,55.5,1,vin,0.42965759280685223,True,0.15230524034777904
12,1,55.5,1,vin,0.5634106311620257,False,0.28605827870295253
13,1,55.5,1,vin,0.5754601073923014,True,0.29810775493322816
14,1,55.5,1,vin,0.6168340346038496,False,0.33948168214477636
15,1,55.5,1,vin,0.8564024343333951,False,0.5790500818743219
16,1,55.5,1,vin,0.7186874499822851,False,0.4413350975232119
17,1,55.5,1,vin,0.8260458602173344,False,0.5486935077582612
18,1,55.5,1,vin,0.7866252675459137,False,0.5092729150868405
19,1,55.5,1,vin,0.6333878684485852,False,0.356035515989512
20,1,55.5,1,vin,0.6157602640681331,False,0.3384079116090599
21,1,55.5,1,vin,0.7699220294310732,False,0.49256967697200005
22,1,55.5,1,vin,0.8667561151977894,False,0.5894037627387162
23,1,55.5,1,vin,0.8907422208210969,False,0.6133898683620237
24,1,55.5,1,vin,0.8919933310821483,True,0.6146409786230751
25,1,55.5,1,vin,0.44912248307232316,True,0.17177013061324997
26,1,55.5,1,vin,0.616140020803525,False,0.33878766834445184
27,1,55.5,1,vin,0.8326291134545706,True,0.5552767609954974
28,1,55.5,1,vin,0.7756167553513518,False,0.4982644028922786
29,1,55.5,1,vin,0.5570030045432999,True,0.2796506520842267
30,1,55.5,1,vin,0.7986951032253315,False,0.5213427507662584
31,1,55.5,1,vin,0.7978505996939725,False,0.5204982472348993
32,1,55.5,1,vin,0.8567077294668104,False,0.5793553770077372
33,1,55.5,1,vin,0.5333172992618916,False,0.25596494680281845
1,10,55.5,1,vin,0.6951043161030082,False,0.41775196364393496
2,10,55.5,1,vin,0.7146595477841307,False,0.43730719532505746
3,10,55.5,1,vin,0.7608543535011593,False,0.48350200104208607
4,10,55.5,1,vin,0.39634626256711847,False,0.11899391010804528
5,10,55.5,1,vin,0.4256595206253383,False,0.1483071681662651
6,10,55.5,1,vin,0.6059069392301644,False,0.3285545867710912
7,10,55.5,1,vin,0.5251541784596144,False,0.24780182600054124
8,10,55.5,1,vin,0.7835682969051658,True,0.5062159444460926
9,10,55.5,1,vin,0.5541773874521182,True,0.276825034993045
10,10,55.5,1,vin,0.5322896420890304,True,0.2549372896299572
11,10,55.5,1,vin,0.8001469294724229,True,0.5227945770133497
12,10,55.5,1,vin,0.49470897594027613,True,0.21735662348120294
13,10,55.5,1,vin,0.5446613848456138,False,0.2673090323865406
14,10,55.5,1,vin,0.666920190198716,True,0.38956783773964276
15,10,55.5,1,vin,0.607380962286818,True,0.33002860982774485
16,10,55.5,1,vin,0.8386989164846665,True,0.5613465640255934
17,10,55.5,1,vin,0.7631561661188456,False,0.48580381365977243
18,10,55.5,1,vin,0.8329095625479571,False,0.5555572100888839
19,10,55.5,1,vin,0.6848344607800919,False,0.4074821083210187
20,10,55.5,1,vin,0.8714506367620853,False,0.5940982843030121
21,10,55.5,1,vin,0.8122371332169747,False,0.5348847807579015
22,10,55.5,1,vin,0.8999803070099788,True,0.6226279545509056
23,10,55.5,1,vin,0.7859856502937299,False,0.5086332978346567
24,10,55.5,1,vin,0.8489375908064721,False,0.5715852383473989
25,10,55.5,1,vin,0.718443271454658,True,0.44109091899558484
26,10,55.5,1,vin,0.8015739307734119,False,0.5242215783143387
27,10,55.5,1,vin,0.7874436648788502,False,0.510091312419777
28,10,55.5,1,vin,0.867151706485281,True,0.5897993540262078
29,10,55.5,1,vin,0.4606406505569808,False,0.1832882980979076
1,11,55.5,1,vin,0.9390755824000578,False,0.6617232299409846
2,11,55.5,1,vin,0.8871511860353053,False,0.6097988335762321
3,11,55.5,1,vin,0.9459900213354443,False,0.6686376688763711
4,11,55.5,1,vin,0.8660448439805322,False,0.588692491521459
5,11,55.5,1,vin,0.9281322623492689,False,0.6507799098901957
6,11,55.5,1,vin,0.9242511364010232,False,0.64689878394195
7,11,55.5,1,vin,0.9281987137066023,False,0.6508463612475291
8,11,55.5,1,vin,0.9434537212129908,True,0.6661013687539176
9,11,55.5,1,vin,0.917803626678946,True,0.6404512742198728
10,11,55.5,1,vin,0.9510255918526973,False,0.6736732393936241
11,11,55.5,1,vin,0.9510941170147141,False,0.6737417645556409
12,11,55.5,1,vin,0.9087875473844551,False,0.6314351949253819
13,11,55.5,1,vin,0.922587913601058,False,0.6452355611419848
14,11,55.5,1,vin,0.7600543385295626,False,0.4827019860704894
15,11,55.5,1,vin,0.9677954625423146,True,0.6904431100832414
16,11,55.5,1,vin,0.9461200355303034,False,0.6687676830712302
17,11,55.5,1,vin,0.950377109956843,False,0.6730247574977698
18,11,55.5,1,vin,0.9524201349218115,False,0.6750677824627384
19,11,55.5,1,vin,0.9004505607115869,True,0.6230982082525137
20,11,55.5,1,vin,0.936999130141758,False,0.6596467776826848
21,11,55.5,1,vin,0.7919033263162871,False,0.5145509738572139
22,11,55.5,1,vin,0.8009374295129664,False,0.5235850770538932
