ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,11.16,1,afa,0.7184485592228306,False,0.37616491517420064
2,0,11.16,1,afa,0.8134434184490942,True,0.47115977440046425
3,0,11.16,1,afa,0.5995850508459938,False,0.25730140679736385
4,0,11.16,1,afa,0.44207014023566626,False,0.09978649618703633
5,0,11.16,1,afa,0.5692646842885166,True,0.2269810402398867
6,0,11.16,1,afa,0.6870188928045005,False,0.3447352487558705
7,0,11.16,1,afa,0.47381479390533093,False,0.131531149856701
8,0,11.16,1,afa,0.7447443866416179,False,0.402460742592988
9,0,11.16,1,afa,0.6541987550497488,True,0.31191511100111885
10,0,11.16,1,afa,0.612212464420397,False,0.2699288203717671
11,0,11.16,1,afa,0.741531472764354,False,0.3992478287157241
12,0,11.16,1,afa,0.624252640182406,False,0.2819689961337761
13,0,11.16,1,afa,0.38831496256392367,False,0.04603131851529374
14,0,11.16,1,afa,0.8294687413575552,True,0.4871850973089253
15,0,11.16,1,afa,0.41623351763781996,True,0.07394987358919003
16,0,11.16,1,afa,0.6844989026815558,False,0.34221525863292585
17,0,11.16,1,afa,0.8092462542121691,False,0.4669626101635392
18,0,11.16,1,afa,0.43752611774305034,False,0.0952424736944204
19,0,11.16,1,afa,0.495450360565194,False,0.15316671651656405
20,0,11.16,1,afa,0.6245708606676544,False,0.2822872166190245
21,0,11.16,1,afa,0.541359819129996,True,0.19907617508136605
22,0,11.16,1,afa,0.6365494058279666,True,0.29426576177933667
23,0,11.16,1,afa,0.588292270580491,False,0.24600862653186112
24,0,11.16,1,afa,0.7463218234189803,False,0.4040381793703504
25,0,11.16,1,afa,0.6769128518471069,False,0.334629207798477
26,0,11.16,1,afa,0.7829530511942686,False,0.4406694071456387
27,0,11.16,1,afa,0.5730278692244526,False,0.23074422517582266
28,0,11.16,1,afa,0.24846242997653728,True,-0.09382121407209265
29,0,11.16,1,afa,0.6663346100342009,False,0.324050965985571
30,0,11.16,1,afa,0.4809802530633749,False,0.13869660901474495
31,0,11.16,1,afa,0.7341093494835125,False,0.39182570543488254
32,0,11.16,1,afa,0.5301160675659957,False,0.1878324235173658
33,0,11.16,1,afa,0.5926110314116939,True,0.250327387363064
34,0,11.16,1,afa,0.4472310368668608,False,0.10494739281823084
35,0,11.16,1,afa,0.7791246896467923,True,0.43684104559816234
1,1,11.16,1,afa,0.3768343267627031,False,0.03455068271407319
2,1,11.16,1,afa,0.4979990216353466,False,0.15571537758671666
3,1,11.16,1,afa,0.6327212257813584,False,0.29043758173272843
4,1,11.16,1,afa,0.73436139260745,False,0.3920777485588201
5,1,11.16,1,afa,0.4164865410343923,False,0.07420289698576238
6,1,11.16,1,afa,0.6546022174517697,True,0.3123185734031398
