ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,8.93,1,dac,0.985046026338052,True,0.8029307323560517
2,0,8.93,1,dac,0.9493952772908811,False,0.7672799833088808
3,0,8.93,1,dac,0.9675264444120886,False,0.7854111504300882
4,0,8.93,1,dac,0.8476627571376651,False,0.6655474631556648
5,0,8.93,1,dac,0.926047755640776,True,0.7439324616587757
6,0,8.93,1,dac,0.8393848420605352,False,0.6572695480785349
7,0,8.93,1,dac,0.9347890802598812,False,0.7526737862778807
8,0,8.93,1,dac,0.3882427065812302,True,0.20612741259922984
9,0,8.93,1,dac,0.9900885268433184,True,0.8079732328613181
10,0,8.93,1,dac,0.9558323127958264,True,0.773717018813826
11,0,8.93,1,dac,0.9869057698935222,False,0.8047904759115219
12,0,8.93,1,dac,0.9415630955607494,True,0.7594478015787489
13,0,8.93,1,dac,0.9635366807070479,False,0.7814213867250475
14,0,8.93,1,dac,0.9603154311788297,False,0.7782001371968292
15,0,8.93,1,dac,0.9445148048397902,False,0.7623995108577899
16,0,8.93,1,dac,0.9031894276422008,False,0.7210741336602005
17,0,8.93,1,dac,0.9694809265275636,False,0.7873656325455631
18,0,8.93,1,dac,0.966033256375183,False,0.7839179623931827
19,0,8.93,1,dac,0.9581915841667721,True,0.7760762901847718
20,0,8.93,1,dac,0.9646319941050413,False,0.7825167001230409
21,0,8.93,1,dac,0.9753287924695263,False,0.7932134984875259
22,0,8.93,1,dac,0.8699331501441808,False,0.6878178561621804
23,0,8.93,1,dac,0.9304867675402659,True,0.7483714735582656
24,0,8.93,1,dac,0.9944290573411457,False,0.8123137633591453
25,0,8.93,1,dac,0.979918673602247,True,0.7978033796202466
26,0,8.93,1,dac,0.8303154747490845,False,0.6482001807670841
27,0,8.93,1,dac,0.9795319552560338,False,0.7974166612740334
28,0,8.93,1,dac,0.9736254832859281,False,0.7915101893039278
29,0,8.93,1,dac,0.9232244069516143,True,0.7411091129696139
30,0,8.93,1,dac,0.963864321397789,False,0.7817490274157886
31,0,8.93,1,dac,0.9862638126226656,False,0.8041485186406652
32,0,8.93,1,dac,0.9570107799184717,False,0.7748954859364714
33,0,8.93,1,dac,0.9844877218754611,False,0.8023724278934607
34,0,8.93,1,dac,0.9769025946147163,False,0.794787300632716
35,0,8.93,1,dac,0.9721160842137916,True,0.7900007902317912
36,0,8.93,1,dac,0.9763630242720467,False,0.7942477302900464
37,0,8.93,1,dac,0.916264430183027,True,0.7341491362010266
38,0,8.93,1,dac,0.884425484343291,False,0.7023101903612907
39,0,8.93,1,dac,0.976539057236449,True,0.7944237632544486
40,0,8.93,1,dac,0.9333435602231136,False,0.7512282662411132
41,0,8.93,1,dac,0.9803706928004263,True,0.798255398818426
42,0,8.93,1,dac,0.9904565846915261,True,0.8083412907095258
43,0,8.93,1,dac,0.9765377397069216,True,0.7944224457249212
44,0,8.93,1,dac,0.9558934007650874,False,0.7737781067830871
45,0,8.93,1,dac,0.974675860419849,False,0.7925605664378486
46,0,8.93,1,dac,0.9860882440278722,False,0.8039729500458719
47,0,8.93,1,dac,0.9824569531009144,True,0.8003416591189141
48,0,8.93,1,dac,0.8720241588111624,False,0.689908864829162
49,0,8.93,1,dac,0.9773137474078926,False,0.7951984534258922
50,0,8.93,1,dac,0.9931076679766646,False,0.8109923739946643
51,0,8.93,1,dac,0.9929864728503185,True,0.810871178868318
52,0,8.93,1,dac,0.9842226278325645,False,0.8021073338505642
53,0,8.93,1,dac,0.979522485215249,False,0.7974071912332485
54,0,8.93,1,dac,0.9839438985831629,False,0.8018286046011625
55,0,8.93,1,dac,0.9452119615925987,False,0.7630966676105984
56,0,8.93,1,dac,0.9940873750903325,False,0.8119720811083322
57,0,8.93,1,dac,0.7991776998823309,False,0.6170624059003305
58,0,8.93,1,dac,0.7559696615057556,True,0.5738543675237553
59,0,8.93,1,dac,0.9809542027186076,False,0.7988389087366072
60,0,8.93,1,dac,0.9255653859229926,False,0.7434500919409923
61,0,8.93,1,dac,0.9764291833449391,False,0.7943138893629387
62,0,8.93,1,dac,0.9972261348431257,True,0.8151108408611254
