ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,1,6.06,6,gef,0.8435111381672791,True,0.33519831974346204
2,1,6.06,6,gef,0.7868447245285246,False,0.27853190610470757
3,1,6.06,6,gef,0.8026833606990662,False,0.29437054227524917
4,1,6.06,6,gef,0.7209177537615054,False,0.21260493533768832
5,1,6.06,6,gef,0.7888104717097394,False,0.28049765328592235
6,1,6.06,6,gef,0.789565165698584,False,0.281252347274767
7,1,6.06,6,gef,0.8279543476919834,False,0.31964152926816636
8,1,6.06,6,gef,0.8115897417907412,False,0.30327692336692413
9,1,6.06,6,gef,0.8339282416477316,True,0.32561542322391457
10,1,6.06,6,gef,0.8758455133115804,False,0.3675326948877634
11,1,6.06,6,gef,0.9147523244773422,False,0.4064395060535252
12,1,6.06,6,gef,0.717179335484324,True,0.20886651706050696
13,1,6.06,6,gef,0.6156647765580336,False,0.10735195813421661
14,1,6.06,6,gef,0.8165739786354935,False,0.3082611602116765
15,1,6.06,6,gef,0.8162365801267748,False,0.30792376170295777
16,1,6.06,6,gef,0.7417806771937736,True,0.23346785876995657
17,1,6.06,6,gef,0.7543261395858478,False,0.24601332116203078
18,1,6.06,6,gef,0.48787633083601645,False,-0.02043648758780059
19,1,6.06,6,gef,0.604866111651995,True,0.09655329322817796
20,1,6.06,6,gef,0.7408175141341495,False,0.2325046957103325
21,1,6.06,6,gef,0.900655423440997,False,0.39234260501718
1,10,6.06,6,gef,0.5658003748362417,False,0.057487556412424645
2,10,6.06,6,gef,0.8424502270981163,True,0.3341374086742993
3,10,6.06,6,gef,0.712062085282008,False,0.20374926685819095
4,10,6.06,6,gef,0.8698267294804083,True,0.36151391105659125
5,10,6.06,6,gef,0.6141590867225953,False,0.1058462682987783
6,10,6.06,6,gef,0.8338917353117893,False,0.32557891688797225
7,10,6.06,6,gef,0.7752381008726517,False,0.2669252824488346
8,10,6.06,6,gef,0.7901130513371413,True,0.28180023291332423
9,10,6.06,6,gef,0.785762585012242,False,0.277449766588425
10,10,6.06,6,gef,0.7429106088424021,False,0.23459779041858508
11,10,6.06,6,gef,0.8186181938220963,False,0.3103053753982793
12,10,6.06,6,gef,0.683389048898048,False,0.17507623047423093
13,10,6.06,6,gef,0.7496650199651473,False,0.2413522015413303
14,10,6.06,6,gef,0.7481181322836489,True,0.23980531385983184
15,10,6.06,6,gef,0.8145051117759868,False,0.3061922933521698
16,10,6.06,6,gef,0.5518309236425966,True,0.043518105218779524
17,10,6.06,6,gef,0.7997791338425181,False,0.29146631541870105
18,10,6.06,6,gef,0.7683367586239198,True,0.2600239402001028
19,10,6.06,6,gef,0.5527239435480416,False,0.044411125124224515
20,10,6.06,6,gef,0.32133991497508607,False,-0.18697290344873096
21,10,6.06,6,gef,0.8101842534010112,True,0.30187143497719415
22,10,6.06,6,gef,0.5832794405633338,True,0.07496662213951677
23,10,6.06,6,gef,0.3141107173499944,False,-0.19420210107382263
24,10,6.06,6,gef,0.7702514660071011,False,0.2619386475832841
25,10,6.06,6,gef,0.6233513805232053,False,0.11503856209938823
