ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,6.06,6,osi,0.7528844881497327,False,0.3386338568826112
2,0,6.06,6,osi,0.6347474204513454,False,0.22049678918422383
3,0,6.06,6,osi,0.6171940184814371,False,0.20294338721431554
4,0,6.06,6,osi,0.8889148451778637,True,0.47466421391074215
5,0,6.06,6,osi,0.7108471555635678,True,0.2965965242964463
6,0,6.06,6,osi,0.7002423972831362,True,0.28599176601601467
7,0,6.06,6,osi,0.7595601439202315,False,0.34530951265311
8,0,6.06,6,osi,0.683603490528693,True,0.26935285926157143
9,0,6.06,6,osi,0.6491847313185776,False,0.23493410005145604
10,0,6.06,6,osi,0.607726466093379,False,0.19347583482625746
11,0,6.06,6,osi,0.6503669690145603,False,0.23611633774743873
12,0,6.06,6,osi,0.6049413308786724,False,0.19069069961155088
13,0,6.06,6,osi,0.761074984285037,True,0.3468243530179154
14,0,6.06,6,osi,0.6374935751639679,False,0.22324294389684635
15,0,6.06,6,osi,0.389084326273465,True,-0.02516630499365652
16,0,6.06,6,osi,0.6521840470346995,False,0.23793341576757793
17,0,6.06,6,osi,0.6794016740146144,True,0.26515104274749285
1,1,6.06,6,osi,0.48560029414131556,True,0.07134966287419403
2,1,6.06,6,osi,0.7501356248890986,False,0.33588499362197705
3,1,6.06,6,osi,0.6987166565832379,True,0.28446602531611637
4,1,6.06,6,osi,0.680209626768292,False,0.26595899550117047
5,1,6.06,6,osi,0.7009764755160656,False,0.28672584424894404
6,1,6.06,6,osi,0.5270045282682558,False,0.1127538970011343
7,1,6.06,6,osi,0.5290130145593117,False,0.11476238329219018
8,1,6.06,6,osi,0.38973737184876434,False,-0.02451325941835719
9,1,6.06,6,osi,0.41556633403394905,True,0.00131570276682752
10,1,6.06,6,osi,0.5011356970811264,False,0.08688506581400485
11,1,6.06,6,osi,0.5908120200276301,False,0.1765613887605086
12,1,6.06,6,osi,0.5488456028660578,False,0.13459497159893624
13,1,6.06,6,osi,0.5658818369147163,False,0.15163120564759475
14,1,6.06,6,osi,0.6549299104311384,False,0.24067927916401682
15,1,6.06,6,osi,0.7847950556764104,False,0.37054442440928886
16,1,6.06,6,osi,0.5880054350238545,False,0.17375480375673297
17,1,6.06,6,osi,0.6202822723615647,False,0.20603164109444322
18,1,6.06,6,osi,0.7621305536396573,True,0.3478799223725358
19,1,6.06,6,osi,0.419056255850556,True,0.004805624583434476
20,1,6.06,6,osi,0.8043931967928206,True,0.3901425655256991
1,10,6.06,6,osi,0.758883360181623,False,0.3446327289145014
2,10,6.06,6,osi,0.5024995572982813,True,0.0882489260311598
3,10,6.06,6,osi,0.7219233435902973,False,0.3076727123231758
4,10,6.06,6,osi,0.6833575399547522,False,0.2691069086876307
5,10,6.06,6,osi,0.6584169557562811,False,0.2441663244891596
6,10,6.06,6,osi,0.567568365537009,False,0.15331773426988743
7,10,6.06,6,osi,0.5331392687946279,False,0.11888863752750639
8,10,6.06,6,osi,0.6746863776354924,False,0.2604357463683709
9,10,6.06,6,osi,0.6101539808270748,True,0.1959033495599533
10,10,6.06,6,osi,0.5153901481981296,True,0.10113951693100803
11,10,6.06,6,osi,0.5615769567522687,False,0.14732632548514718
12,10,6.06,6,osi,0.49732852710310793,True,0.0830778958359864
13,10,6.06,6,osi,0.5256746891432321,False,0.1114240578761106
14,10,6.06,6,osi,0.49307250234022354,True,0.07882187107310201
15,10,6.06,6,osi,0.7577743478303023,True,0.34352371656318076
16,10,6.06,6,osi,0.49959815207693453,True,0.085347520809813
17,10,6.06,6,osi,0.5188824846045861,True,0.10463185333746455
18,10,6.06,6,osi,0.657386646758697,True,0.24313601549157543
19,10,6.06,6,osi,0.46397578366561437,False,0.049725152398492845
20,10,6.06,6,osi,0.6521079832240058,False,0.23785735195688423
21,10,6.06,6,osi,0.6648448779210288,True,0.2505942466539072
22,10,6.06,6,osi,0.5715772487524546,False,0.1573266174853331
