ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,8.93,4,dac,0.9454154333405327,True,0.8172429024087967
2,0,8.93,4,dac,0.9657689102959596,False,0.8375963793642236
3,0,8.93,4,dac,0.9400391710978682,False,0.8118666401661322
4,0,8.93,4,dac,0.7969673256549864,True,0.6687947947232504
5,0,8.93,4,dac,0.9867374871880626,False,0.8585649562563267
6,0,8.93,4,dac,0.9945555444704969,False,0.8663830135387609
7,0,8.93,4,dac,0.9918420273405382,False,0.8636694964088022
8,0,8.93,4,dac,0.9094350343432727,False,0.7812625034115367
9,0,8.93,4,dac,0.8755290522988182,False,0.7473565213670822
10,0,8.93,4,dac,0.4385544649334291,True,0.3103819340016931
11,0,8.93,4,dac,0.968282676255037,False,0.840110145323301
12,0,8.93,4,dac,0.9922751824791509,True,0.864102651547415
13,0,8.93,4,dac,0.9952244007829588,True,0.8670518698512228
14,0,8.93,4,dac,0.9830169706771612,False,0.8548444397454252
15,0,8.93,4,dac,0.9646951056314397,False,0.8365225746997037
16,0,8.93,4,dac,0.9884750718857503,True,0.8603025409540144
17,0,8.93,4,dac,0.9875718959392348,False,0.8593993650074988
18,0,8.93,4,dac,0.9750334587868263,False,0.8468609278550904
19,0,8.93,4,dac,0.9885593459412586,True,0.8603868150095226
20,0,8.93,4,dac,0.9621481243651727,False,0.8339755934334367
21,0,8.93,4,dac,0.8794910022826947,False,0.7513184713509587
22,0,8.93,4,dac,0.9817174915449616,False,0.8535449606132256
23,0,8.93,4,dac,0.9565670244387606,True,0.8283944935070247
1,10,8.93,4,dac,0.970939300080776,False,0.84276676914904
2,10,8.93,4,dac,0.7779716928622795,False,0.6497991619305435
3,10,8.93,4,dac,0.8789354462145959,False,0.7507629152828599
4,10,8.93,4,dac,0.8187213017869999,False,0.6905487708552639
5,10,8.93,4,dac,0.95005792391723,False,0.821885392985494
6,10,8.93,4,dac,0.8912261285771459,False,0.7630535976454099
7,10,8.93,4,dac,0.5605713849815467,False,0.4323988540498107
8,10,8.93,4,dac,0.9570798437832069,False,0.8289073128514709
9,10,8.93,4,dac,0.9293936679538731,False,0.8012211370221372
10,10,8.93,4,dac,0.9841138335704631,True,0.8559413026387271
11,10,8.93,4,dac,0.9558484916966222,False,0.8276759607648863
12,10,8.93,4,dac,0.9503716170214986,True,0.8221990860897627
13,10,8.93,4,dac,0.8770018439111145,True,0.7488293129793785
14,10,8.93,4,dac,0.7229056142601845,True,0.5947330833284485
15,10,8.93,4,dac,0.5546069071456988,False,0.42643437621396285
16,10,8.93,4,dac,0.9968515468782366,True,0.8686790159465007
17,10,8.93,4,dac,0.9745707315133538,False,0.8463982005816179
18,10,8.93,4,dac,0.8880953941050492,False,0.7599228631733133
19,10,8.93,4,dac,0.7062179387188671,False,0.5780454077871311
20,10,8.93,4,dac,0.8610925390276227,True,0.7329200080958868
21,10,8.93,4,dac,0.9384235748297787,True,0.8102510438980427
1,11,8.93,4,dac,0.9026016973276411,False,0.7744291663959051
2,11,8.93,4,dac,0.8884323247569459,False,0.7602597938252099
3,11,8.93,4,dac,0.9912568641295773,True,0.8630843331978413
4,11,8.93,4,dac,0.9687974841571887,True,0.8406249532254527
5,11,8.93,4,dac,0.8878400031592986,False,0.7596674722275626
6,11,8.93,4,dac,0.9393140478772801,False,0.8111415169455441
7,11,8.93,4,dac,0.9968762149299664,False,0.8687036839982304
8,11,8.93,4,dac,0.9965343965442681,False,0.8683618656125321
9,11,8.93,4,dac,0.9702370023946616,False,0.8420644714629256
10,11,8.93,4,dac,0.9973026579075179,False,0.869130126975782
11,11,8.93,4,dac,0.9797377751861926,False,0.8515652442544567
12,11,8.93,4,dac,0.9960909222618902,False,0.8679183913301542
13,11,8.93,4,dac,0.9801009557473861,False,0.8519284248156501
14,11,8.93,4,dac,0.9351403483548293,True,0.8069678174230933
15,11,8.93,4,dac,0.9872039425857198,False,0.8590314116539838
16,11,8.93,4,dac,0.743334626917773,False,0.615162095986037
17,11,8.93,4,dac,0.9715321683558731,False,0.8433596374241371
1,12,8.93,4,dac,0.9829218763862517,True,0.8547493454545158
2,12,8.93,4,dac,0.8589969178595631,False,0.7308243869278271
3,12,8.93,4,dac,0.9392482930267747,False,0.8110757620950387
4,12,8.93,4,dac,0.30226016842016507,True,0.1740876374884291
5,12,8.93,4,dac,0.9072148031050384,False,0.7790422721733025
6,12,8.93,4,dac,0.9335370760879599,False,0.8053645451562239
7,12,8.93,4,dac,0.8735691082635993,False,0.7453965773318634
8,12,8.93,4,dac,0.8705911245253276,True,0.7424185935935916
9,12,8.93,4,dac,0.9310387796902155,False,0.8028662487584796
10,12,8.93,4,dac,0.5287911695351065,False,0.40061863860337055
11,12,8.93,4,dac,0.8824165747746759,False,0.75424404384294
12,12,8.93,4,dac,0.9558272059928765,False,0.8276546750611405
1,13,8.93,4,dac,0.5049080124738344,False,0.37673548154209846
2,13,8.93,4,dac,0.7335610927035545,True,0.6053885617718185
3,13,8.93,4,dac,0.1919306340129155,True,0.06375810308117952
4,13,8.93,4,dac,0.37533898148989253,False,0.24716645055815656
5,13,8.93,4,dac,0.7769155768440079,False,0.6487430459122719
6,13,8.93,4,dac,0.360851225422022,False,0.23267869449028605
7,13,8.93,4,dac,0.830835285718902,False,0.702662754787166
8,13,8.93,4,dac,0.3060958864750471,False,0.17792335554331112
9,13,8.93,4,dac,0.9479014969006416,False,0.8197289659689057
10,13,8.93,4,dac,0.6331750375574801,False,0.5050025066257441
11,13,8.93,4,dac,0.5505757525943946,True,0.42240322166265865
12,13,8.93,4,dac,0.7916745011320397,False,0.6635019702003038
13,13,8.93,4,dac,0.5687339811007711,True,0.44056145016903514
14,13,8.93,4,dac,0.7444224556294372,False,0.6162499246977012
15,13,8.93,4,dac,0.5237928956055957,False,0.39562036467385975
16,13,8.93,4,dac,0.12443206823478699,True,-0.0037404626969489846
17,13,8.93,4,dac,0.463154993947836,True,0.3349824630161
18,13,8.93,4,dac,0.5258247560674023,False,0.39765222513566634
19,13,8.93,4,dac,0.724030330282728,False,0.595857799350992
1,14,8.93,4,dac,0.9513449383159089,True,0.823172407384173
2,14,8.93,4,dac,0.9942377070008449,True,0.8660651760691089
3,14,8.93,4,dac,0.31337520630437476,True,0.1852026753726388
4,14,8.93,4,dac,0.46959670099018824,True,0.34142417005845227
5,14,8.93,4,dac,0.7133117706936533,False,0.5851392397619173
6,14,8.93,4,dac,0.9857035209108391,False,0.8575309899791032
7,14,8.93,4,dac,0.6491524878911276,True,0.5209799569593916
8,14,8.93,4,dac,0.8284291910113618,True,0.7002566600796258
9,14,8.93,4,dac,0.6963026061462243,True,0.5681300752144883
10,14,8.93,4,dac,0.4123797202147147,False,0.2842071892829787
11,14,8.93,4,dac,0.9605568074364964,False,0.8323842765047604
12,14,8.93,4,dac,0.7290207435108579,False,0.6008482125791219
13,14,8.93,4,dac,0.9700138771263846,True,0.8418413461946487
14,14,8.93,4,dac,0.3272139130104816,False,0.1990413820787456
15,14,8.93,4,dac,0.9257775258835904,False,0.7976049949518544
16,14,8.93,4,dac,0.6213292474224736,False,0.49315671649073767
17,14,8.93,4,dac,0.9675666174745304,False,0.8393940865427945
18,14,8.93,4,dac,0.9046104723779939,False,0.7764379414462579
19,14,8.93,4,dac,0.7472558448686175,False,0.6190833139368815
20,14,8.93,4,dac,0.9700747649642494,False,0.8419022340325134
21,14,8.93,4,dac,0.8804012851622872,False,0.7522287542305512
22,14,8.93,4,dac,0.06888959514746272,True,-0.05928293578427325
23,14,8.93,4,dac,0.45241676550133836,True,0.3242442345696024
24,14,8.93,4,dac,0.9785467630988594,False,0.8503742321671234
25,14,8.93,4,dac,0.9324135670534506,False,0.8042410361217146
26,14,8.93,4,dac,0.996958516348087,True,0.868785985416351
27,14,8.93,4,dac,0.9090877350106898,False,0.7809152040789539
28,14,8.93,4,dac,0.874143459246666,False,0.7459709283149301
29,14,8.93,4,dac,0.8380454053858019,False,0.7098728744540659
30,14,8.93,4,dac,0.8697802607927428,True,0.7416077298610069
31,14,8.93,4,dac,0.9653019305083543,False,0.8371293995766184
32,14,8.93,4,dac,0.9525043629983708,False,0.8243318320666349
33,14,8.93,4,dac,0.9369796664531552,False,0.8088071355214193
34,14,8.93,4,dac,0.6489081546033587,True,0.5207356236716227
35,14,8.93,4,dac,0.903937135626584,False,0.775764604694848
36,14,8.93,4,dac,0.8505330696208608,False,0.7223605386891249
37,14,8.93,4,dac,0.9452600809526327,False,0.8170875500208967
38,14,8.93,4,dac,0.963986059041025,False,0.835813528109289
39,14,8.93,4,dac,0.8768564950187333,False,0.7486839640869973
40,14,8.93,4,dac,0.9948843149996307,False,0.8667117840678947
41,14,8.93,4,dac,0.8987928499395335,False,0.7706203190077975
42,14,8.93,4,dac,0.35972559242542196,False,0.23155306149368599
43,14,8.93,4,dac,0.9346913742713493,False,0.8065188433396133
1,15,8.93,4,dac,0.984665410441673,False,0.856492879509937
2,15,8.93,4,dac,0.6765472860537761,False,0.5483747551220401
3,15,8.93,4,dac,0.9684575014730189,False,0.8402849705412829
4,15,8.93,4,dac,0.9698430475936763,False,0.8416705166619404
5,15,8.93,4,dac,0.9468723313925145,False,0.8186998004607785
6,15,8.93,4,dac,0.9898336843093011,False,0.8616611533775651
7,15,8.93,4,dac,0.5707756648857181,False,0.4426031339539821
8,15,8.93,4,dac,0.9416854496076645,False,0.8135129186759286
9,15,8.93,4,dac,0.6566891630000781,True,0.5285166320683421
10,15,8.93,4,dac,0.9473712347162833,False,0.8191987037845473
11,15,8.93,4,dac,0.7166278813073862,False,0.5884553503756502
12,15,8.93,4,dac,0.9414359623241791,True,0.8132634313924432
13,15,8.93,4,dac,0.9540970777734481,False,0.8259245468417121
14,15,8.93,4,dac,0.979021767820063,False,0.850849236888327
15,15,8.93,4,dac,0.8722088412943485,False,0.7440363103626125
16,15,8.93,4,dac,0.2672533087715114,True,0.1390807778397754
17,15,8.93,4,dac,0.9097795577599289,True,0.7816070268281929
18,15,8.93,4,dac,0.7779772146047205,False,0.6498046836729845
19,15,8.93,4,dac,0.8918897501112555,True,0.7637172191795195
20,15,8.93,4,dac,0.9878373953595038,False,0.8596648644277678
21,15,8.93,4,dac,0.7773545264073468,False,0.6491819954756108
22,15,8.93,4,dac,0.7217649079765884,False,0.5935923770448525
23,15,8.93,4,dac,0.8568998648057372,False,0.7287273338740012
24,15,8.93,4,dac,0.8985914326948057,False,0.7704189017630697
25,15,8.93,4,dac,0.9594965475164008,True,0.8313240165846648
26,15,8.93,4,dac,0.9800963870008049,False,0.851923856069069
