ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,6.06,4,gef,0.9972553276682973,True,0.9780070456473976
2,0,6.06,4,gef,0.987757839365063,False,0.9685095573441633
3,0,6.06,4,gef,0.992750455518791,True,0.9735021734978914
4,0,6.06,4,gef,0.9984013217701374,True,0.9791530397492377
5,0,6.06,4,gef,0.9685998085275246,True,0.9493515265066249
6,0,6.06,4,gef,0.9983416493405028,True,0.9790933673196032
7,0,6.06,4,gef,0.9950352977587142,True,0.9757870157378146
8,0,6.06,4,gef,0.9989173533867117,True,0.979669071365812
9,0,6.06,4,gef,0.998503371312532,False,0.9792550892916323
10,0,6.06,4,gef,0.9906496387572318,True,0.9714013567363321
11,0,6.06,4,gef,0.9954004621000859,False,0.9761521800791862
12,0,6.06,4,gef,0.9961842917345824,False,0.9769360097136828
13,0,6.06,4,gef,0.9983695735944208,True,0.9791212915735211
14,0,6.06,4,gef,0.9902493761791666,False,0.971001094158267
15,0,6.06,4,gef,0.9987047511207805,True,0.9794564690998808
16,0,6.06,4,gef,0.9665633685025453,False,0.9473150864816456
17,0,6.06,4,gef,0.9983369119993496,False,0.9790886299784499
18,0,6.06,4,gef,0.9991188645089941,False,0.9798705824880944
19,0,6.06,4,gef,0.9994991863800726,False,0.980250904359173
20,0,6.06,4,gef,0.9957174547378049,False,0.9764691727169053
21,0,6.06,4,gef,0.891091375644009,False,0.8718430936231093
22,0,6.06,4,gef,0.9933930469404302,False,0.9741447649195305
23,0,6.06,4,gef,0.9905623036152724,True,0.9713140215943727
24,0,6.06,4,gef,0.9893863089826093,False,0.9701380269617096
25,0,6.06,4,gef,0.9621657563812672,True,0.9429174743603675
26,0,6.06,4,gef,0.9963516515160238,True,0.9771033694951241
27,0,6.06,4,gef,0.99851466388314,False,0.9792663818622404
28,0,6.06,4,gef,0.9976995407358258,True,0.9784512587149261
29,0,6.06,4,gef,0.9981458246937684,False,0.9788975426728688
30,0,6.06,4,gef,0.9977477101472761,False,0.9784994281263765
31,0,6.06,4,gef,0.8893447019464533,False,0.8700964199255536
32,0,6.06,4,gef,0.9494309771176164,False,0.9301826950967167
33,0,6.06,4,gef,0.9942651382529538,False,0.9750168562320541
34,0,6.06,4,gef,0.972823087140956,True,0.9535748051200563
35,0,6.06,4,gef,0.9884925858672682,False,0.9692443038463685
36,0,6.06,4,gef,0.9889840700171467,False,0.969735787996247
37,0,6.06,4,gef,0.9962927968713347,False,0.977044514850435
38,0,6.06,4,gef,0.9481019288945969,False,0.9288536468736972
39,0,6.06,4,gef,0.9963707821699836,True,0.977122500149084
40,0,6.06,4,gef,0.6800393841833882,True,0.6607911021624885
41,0,6.06,4,gef,0.991804462004953,False,0.9725561799840533
42,0,6.06,4,gef,0.9828048537993361,True,0.9635565717784365
43,0,6.06,4,gef,0.9975933817226128,False,0.9783450997017131
44,0,6.06,4,gef,0.994483575575258,False,0.9752352935543583
45,0,6.06,4,gef,0.9798488997119833,False,0.9606006176910836
46,0,6.06,4,gef,0.9866539277480848,True,0.9674056457271851
47,0,6.06,4,gef,0.9015118608842423,True,0.8822635788633426
48,0,6.06,4,gef,0.9840496650939347,True,0.964801383073035
49,0,6.06,4,gef,0.9363458461261456,False,0.9170975641052459
50,0,6.06,4,gef,0.9924518061075563,False,0.9732035240866567
51,0,6.06,4,gef,0.9969153347287568,True,0.9776670527078571
52,0,6.06,4,gef,0.9858440901180229,False,0.9665958080971232
53,0,6.06,4,gef,0.9960962260760355,False,0.9768479440551359
54,0,6.06,4,gef,0.9780055911983213,False,0.9587573091774216
55,0,6.06,4,gef,0.9913027874901428,False,0.9720545054692431
56,0,6.06,4,gef,0.9973425367166959,True,0.9780942546957963
57,0,6.06,4,gef,0.9897093351288164,False,0.9704610531079167
58,0,6.06,4,gef,0.9873914040770316,False,0.968143122056132
59,0,6.06,4,gef,0.9936431572959116,False,0.9743948752750119
60,0,6.06,4,gef,0.9976798308609883,False,0.9784315488400886
61,0,6.06,4,gef,0.9786467653322518,True,0.9593984833113521
62,0,6.06,4,gef,0.993748008530226,False,0.9744997265093264
63,0,6.06,4,gef,0.9934183956259697,False,0.97417011360507
64,0,6.06,4,gef,0.9947580831824148,False,0.9755098011615151
65,0,6.06,4,gef,0.9789754350207807,False,0.959727152999881
66,0,6.06,4,gef,0.992261330440145,False,0.9730130484192453
67,0,6.06,4,gef,0.999507109691149,True,0.9802588276702493
68,0,6.06,4,gef,0.9971245142264351,False,0.9778762322055354
69,0,6.06,4,gef,0.9627379329689317,False,0.943489650948032
70,0,6.06,4,gef,0.9956269897673474,False,0.9763787077464477
71,0,6.06,4,gef,0.9284334430885401,False,0.9091851610676405
72,0,6.06,4,gef,0.9818129937338869,False,0.9625647117129872
73,0,6.06,4,gef,0.9960550073203682,True,0.9768067252994685
74,0,6.06,4,gef,0.9848626593507406,False,0.9656143773298409
75,0,6.06,4,gef,0.9895918289024881,True,0.9703435468815884
76,0,6.06,4,gef,0.9977620703316786,False,0.978513788310779
77,0,6.06,4,gef,0.9694802519283681,False,0.9502319699074684
78,0,6.06,4,gef,0.964813244482334,True,0.9455649624614343
79,0,6.06,4,gef,0.9979116947830425,False,0.9786634127621429
80,0,6.06,4,gef,0.9974898247373126,False,0.978241542716413
81,0,6.06,4,gef,0.9935159118549091,False,0.9742676298340094
82,0,6.06,4,gef,0.9987279263899687,False,0.979479644369069
83,0,6.06,4,gef,0.9911717494285183,False,0.9719234674076186
84,0,6.06,4,gef,0.9900399237968568,False,0.9707916417759571
85,0,6.06,4,gef,0.9954931048287523,False,0.9762448228078526
86,0,6.06,4,gef,0.9959279900955158,True,0.9766797080746161
87,0,6.06,4,gef,0.9878352533205529,False,0.9685869712996532
88,0,6.06,4,gef,0.9991700969915154,False,0.9799218149706157
89,0,6.06,4,gef,0.9880288195966948,True,0.9687805375757951
90,0,6.06,4,gef,0.997070895066894,True,0.9778226130459943
1,1,6.06,4,gef,0.9949846493852629,False,0.9757363673643632
2,1,6.06,4,gef,0.9901169736915507,False,0.970868691670651
3,1,6.06,4,gef,0.9991910063014089,True,0.9799427242805092
4,1,6.06,4,gef,0.9976456542363324,False,0.9783973722154328
5,1,6.06,4,gef,0.9913360226371646,True,0.9720877406162649
6,1,6.06,4,gef,0.9992259005422337,False,0.979977618521334
7,1,6.06,4,gef,0.999764123161597,True,0.9805158411406973
8,1,6.06,4,gef,0.9996861593462661,False,0.9804378773253665
9,1,6.06,4,gef,0.9955480858144734,False,0.9762998037935737
10,1,6.06,4,gef,0.9992557768982009,False,0.9800074948773012
11,1,6.06,4,gef,0.9993709108024925,False,0.9801226287815928
12,1,6.06,4,gef,0.9978509145533309,False,0.9786026325324312
13,1,6.06,4,gef,0.9986024782158494,False,0.9793541961949497
14,1,6.06,4,gef,0.990197140608211,True,0.9709488585873113
15,1,6.06,4,gef,0.9980516356667184,False,0.9788033536458187
16,1,6.06,4,gef,0.9981121754677525,False,0.9788638934468529
17,1,6.06,4,gef,0.9987362730544425,True,0.9794879910335428
18,1,6.06,4,gef,0.9878745134977613,False,0.9686262314768617
19,1,6.06,4,gef,0.9999396152834649,True,0.9806913332625652
20,1,6.06,4,gef,0.9987180558796037,False,0.979469773858704
21,1,6.06,4,gef,0.9971069738144951,True,0.9778586917935954
22,1,6.06,4,gef,0.9974336618423958,False,0.9781853798214961
23,1,6.06,4,gef,0.9808834523831367,True,0.961635170362237
24,1,6.06,4,gef,0.9984040624588051,False,0.9791557804379054
25,1,6.06,4,gef,0.9989330098945425,False,0.9796847278736428
26,1,6.06,4,gef,0.9850426128113925,False,0.9657943307904928
27,1,6.06,4,gef,0.9951400235721308,False,0.9758917415512312
28,1,6.06,4,gef,0.9968064081946227,True,0.9775581261737231
29,1,6.06,4,gef,0.9941404899478179,False,0.9748922079269182
30,1,6.06,4,gef,0.9971653551327359,False,0.9779170731118362
31,1,6.06,4,gef,0.9963671477862134,True,0.9771188657653137
32,1,6.06,4,gef,0.9959033920160854,False,0.9766551099951857
33,1,6.06,4,gef,0.9935824107706811,False,0.9743341287497814
34,1,6.06,4,gef,0.9998742556479847,False,0.980625973627085
35,1,6.06,4,gef,0.998329729666926,False,0.9790814476460263
36,1,6.06,4,gef,0.9822235438003213,True,0.9629752617794216
37,1,6.06,4,gef,0.9964998434061391,False,0.9772515613852394
38,1,6.06,4,gef,0.987376759044506,False,0.9681284770236063
39,1,6.06,4,gef,0.9950230499937949,False,0.9757747679728952
40,1,6.06,4,gef,0.9932392690977243,False,0.9739909870768246
41,1,6.06,4,gef,0.9850137487255137,False,0.965765466704614
42,1,6.06,4,gef,0.9970996645823555,True,0.9778513825614559
43,1,6.06,4,gef,0.9899026548958056,False,0.970654372874906
44,1,6.06,4,gef,0.9773230585294452,False,0.9580747765085456
45,1,6.06,4,gef,0.9936013382771165,False,0.9743530562562168
46,1,6.06,4,gef,0.9988350114574228,False,0.9795867294365231
47,1,6.06,4,gef,0.993627682197209,True,0.9743794001763093
48,1,6.06,4,gef,0.9922899386866548,False,0.9730416566657552
49,1,6.06,4,gef,0.9979696650009224,True,0.9787213829800228
50,1,6.06,4,gef,0.9840688140060069,True,0.9648205319851072
51,1,6.06,4,gef,0.99963567576113,False,0.9803873937402303
52,1,6.06,4,gef,0.9858878238262113,False,0.9666395418053116
53,1,6.06,4,gef,0.9932285753774728,True,0.9739802933565731
54,1,6.06,4,gef,0.9937760367066245,False,0.9745277546857248
55,1,6.06,4,gef,0.9761590588100864,True,0.9569107767891867
56,1,6.06,4,gef,0.9962134071565677,True,0.976965125135668
57,1,6.06,4,gef,0.9932021505368649,False,0.9739538685159652
58,1,6.06,4,gef,0.9876941841033741,False,0.9684459020824744
59,1,6.06,4,gef,0.9966491373529236,False,0.9774008553320239
60,1,6.06,4,gef,0.9990292957237703,False,0.9797810137028706
61,1,6.06,4,gef,0.998708612497573,False,0.9794603304766734
62,1,6.06,4,gef,0.97983863928397,False,0.9605903572630703
63,1,6.06,4,gef,0.9811355704091792,False,0.9618872883882795
