ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,6.06,4,gef,0.9933417588161862,True,0.9820184846895642
2,0,6.06,4,gef,0.9933960700503508,False,0.9820727959237288
3,0,6.06,4,gef,0.9886475191653197,True,0.9773242450386976
4,0,6.06,4,gef,0.9958791471561461,True,0.9845558730295241
5,0,6.06,4,gef,0.9935070202355979,True,0.9821837461089759
6,0,6.06,4,gef,0.9936007238644633,True,0.9822774497378413
7,0,6.06,4,gef,0.9906469659043587,True,0.9793236917777367
8,0,6.06,4,gef,0.9968027346923332,True,0.9854794605657111
9,0,6.06,4,gef,0.994994996613863,False,0.983671722487241
10,0,6.06,4,gef,0.9858638586297106,True,0.9745405845030886
11,0,6.06,4,gef,0.9880538742008065,False,0.9767306000741844
12,0,6.06,4,gef,0.9844507065676185,False,0.9731274324409964
13,0,6.06,4,gef,0.9952597235322387,True,0.9839364494056166
14,0,6.06,4,gef,0.9829534953575687,False,0.9716302212309467
15,0,6.06,4,gef,0.9861320870530967,True,0.9748088129264747
16,0,6.06,4,gef,0.9792969920207014,False,0.9679737178940794
17,0,6.06,4,gef,0.9914316664862535,False,0.9801083923596314
18,0,6.06,4,gef,0.9967504387493703,False,0.9854271646227483
19,0,6.06,4,gef,0.9940951185183347,False,0.9827718443917126
20,0,6.06,4,gef,0.9899411157056962,False,0.9786178415790742
21,0,6.06,4,gef,0.9335920894086562,False,0.9222688152820342
22,0,6.06,4,gef,0.9854600083638634,False,0.9741367342372413
23,0,6.06,4,gef,0.9953375202105292,True,0.9840142460839072
24,0,6.06,4,gef,0.9245377758500245,False,0.9132145017234025
25,0,6.06,4,gef,0.9876910478294783,True,0.9763677737028562
26,0,6.06,4,gef,0.9944191921716017,True,0.9830959180449796
27,0,6.06,4,gef,0.9915160321948424,False,0.9801927580682204
28,0,6.06,4,gef,0.9926665557778032,True,0.9813432816511811
29,0,6.06,4,gef,0.9948846706596299,False,0.9835613965330079
30,0,6.06,4,gef,0.9700424891915,False,0.958719215064878
31,0,6.06,4,gef,0.9781290622154464,False,0.9668057880888243
32,0,6.06,4,gef,0.9592226194437641,False,0.947899345317142
33,0,6.06,4,gef,0.9932788636098863,False,0.9819555894832642
34,0,6.06,4,gef,0.9957878282777199,True,0.9844645541510979
35,0,6.06,4,gef,0.995550865103662,False,0.9842275909770399
36,0,6.06,4,gef,0.9954360670907783,False,0.9841127929641562
37,0,6.06,4,gef,0.968330285132932,False,0.9570070110063099
38,0,6.06,4,gef,0.9469952810287057,False,0.9356720069020836
39,0,6.06,4,gef,0.989716378906213,True,0.978393104779591
40,0,6.06,4,gef,0.9869315684679532,True,0.9756082943413311
41,0,6.06,4,gef,0.9955577559302169,False,0.9842344818035949
42,0,6.06,4,gef,0.993872763012136,True,0.982549488885514
43,0,6.06,4,gef,0.990060351466521,False,0.978737077339899
44,0,6.06,4,gef,0.992347201302642,False,0.9810239271760199
45,0,6.06,4,gef,0.9920583648143915,False,0.9807350906877694
46,0,6.06,4,gef,0.9652826449517338,True,0.9539593708251117
47,0,6.06,4,gef,0.9853598695635268,True,0.9740365954369048
48,0,6.06,4,gef,0.9955349847141374,True,0.9842117105875153
49,0,6.06,4,gef,0.9780777500664835,False,0.9667544759398614
50,0,6.06,4,gef,0.9857180297653818,False,0.9743947556387598
51,0,6.06,4,gef,0.993738186975845,True,0.982414912849223
52,0,6.06,4,gef,0.9959747471901442,False,0.9846514730635222
53,0,6.06,4,gef,0.9902879261487149,False,0.9789646520220928
54,0,6.06,4,gef,0.9937542744432205,False,0.9824310003165985
55,0,6.06,4,gef,0.9933742506186597,False,0.9820509764920377
56,0,6.06,4,gef,0.9969197695050458,True,0.9855964953784238
57,0,6.06,4,gef,0.9966550332264437,False,0.9853317590998216
58,0,6.06,4,gef,0.9915769844232285,False,0.9802537102966065
59,0,6.06,4,gef,0.9625019381680074,False,0.9511786640413854
60,0,6.06,4,gef,0.9891465916337555,False,0.9778233175071335
61,0,6.06,4,gef,0.9847125466614355,True,0.9733892725348134
62,0,6.06,4,gef,0.9946265014457302,False,0.9833032273191081
63,0,6.06,4,gef,0.9952466555708515,False,0.9839233814442294
64,0,6.06,4,gef,0.9947711075258379,False,0.9834478333992158
