ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,11.16,2,afa,0.6792078454933852,False,0.30455300447923617
2,0,11.16,2,afa,0.6075690899407471,True,0.23291424892659807
3,0,11.16,2,afa,0.6959713632918296,False,0.3213165222776806
4,0,11.16,2,afa,0.38032070413079555,False,0.005665863116646519
5,0,11.16,2,afa,0.40222290245476894,True,0.027568061440619906
6,0,11.16,2,afa,0.3334236351478862,False,-0.04123120586626283
7,0,11.16,2,afa,0.45679537793560676,False,0.08214053692145773
8,0,11.16,2,afa,0.6301926477064391,False,0.2555378066922901
9,0,11.16,2,afa,0.6473722342583086,False,0.27271739324415956
10,0,11.16,2,afa,0.6270000574325856,False,0.25234521641843655
11,0,11.16,2,afa,0.21549905918414117,False,-0.15915578183000786
12,0,11.16,2,afa,0.7712872396579665,False,0.3966323986438175
13,0,11.16,2,afa,0.6202625645241865,False,0.24560772351003746
14,0,11.16,2,afa,0.6179013331537899,True,0.2432464921396409
15,0,11.16,2,afa,0.6065411495587592,True,0.23188630854461012
16,0,11.16,2,afa,0.662541400072441,False,0.28788655905829197
17,0,11.16,2,afa,0.5151461928495671,False,0.14049135183541805
18,0,11.16,2,afa,0.6943403555167798,False,0.3196855145026307
19,0,11.16,2,afa,0.606721715074654,False,0.23206687406050497
20,0,11.16,2,afa,0.7194644936982371,False,0.34480965268408803
21,0,11.16,2,afa,0.5100248767018621,True,0.1353700356877131
22,0,11.16,2,afa,0.5914466831596452,True,0.21679184214549618
23,0,11.16,2,afa,0.6567027909649825,False,0.2820479499508335
24,0,11.16,2,afa,0.6143165528650754,False,0.23966171185092633
25,0,11.16,2,afa,0.65949949681009,False,0.284844655795941
26,0,11.16,2,afa,0.6876390328916903,False,0.31298419187754123
27,0,11.16,2,afa,0.3194098366392189,False,-0.05524500437493013
28,0,11.16,2,afa,0.30108719944764023,True,-0.0735676415665088
29,0,11.16,2,afa,0.8636499439033358,False,0.4889951028891868
30,0,11.16,2,afa,0.792233090023403,False,0.417578249009254
31,0,11.16,2,afa,0.6233067188695874,False,0.2486518778554384
32,0,11.16,2,afa,0.4737463521308666,False,0.09909151111671755
33,0,11.16,2,afa,0.6229930998808948,True,0.24833825886674576
34,0,11.16,2,afa,0.444066219011045,False,0.06941137799689595
35,0,11.16,2,afa,0.5928396791353021,True,0.21818483812115308
36,0,11.16,2,afa,0.6743939644913506,True,0.29973912347720155
37,0,11.16,2,afa,0.613032025013629,True,0.23837718399947994
38,0,11.16,2,afa,0.6968419017524325,False,0.3221870607382835
39,0,11.16,2,afa,0.4492415429994058,False,0.07458670198525674
40,0,11.16,2,afa,0.6712402357146313,False,0.2965853947004823
41,0,11.16,2,afa,0.39838884501215815,True,0.023734003998009123
42,0,11.16,2,afa,0.5521985636830916,False,0.17754372266894258
43,0,11.16,2,afa,0.7169179384949795,False,0.3422630974808305
44,0,11.16,2,afa,0.5670199367085063,False,0.19236509569435722
45,0,11.16,2,afa,0.6449925466687978,False,0.27033770565464876
46,0,11.16,2,afa,0.4122549496058319,False,0.03760010859168289
47,0,11.16,2,afa,0.6635654523503668,False,0.28891061133621776
48,0,11.16,2,afa,0.5578772878745131,True,0.18322244686036404
49,0,11.16,2,afa,0.6358284742901316,False,0.26117363327598253
50,0,11.16,2,afa,0.7361726093105728,False,0.3615177682964238
51,0,11.16,2,afa,0.6107397878751326,False,0.23608494686098358
52,0,11.16,2,afa,0.6412643270446164,False,0.2666094860304674
53,0,11.16,2,afa,0.6043131046703297,True,0.2296582636561807
54,0,11.16,2,afa,0.6931489867063514,False,0.31849414569220236
55,0,11.16,2,afa,0.6682706498709118,False,0.29361580885676275
1,1,11.16,2,afa,0.5279759640452684,False,0.15332112303111933
2,1,11.16,2,afa,0.6387768976849352,False,0.26412205667078614
3,1,11.16,2,afa,0.4475603388742203,False,0.07290549786007128
4,1,11.16,2,afa,0.7161938999557267,True,0.34153905894157766
5,1,11.16,2,afa,0.6773424960469845,False,0.30268765503283546
6,1,11.16,2,afa,0.4663719105559084,False,0.09171706954175934
7,1,11.16,2,afa,0.6479222361198851,False,0.27326739510573606
8,1,11.16,2,afa,0.5276826622853574,True,0.1530278212712084
9,1,11.16,2,afa,0.531308999735025,False,0.15665415872087596
10,1,11.16,2,afa,0.48733618853769645,True,0.11268134752354741
11,1,11.16,2,afa,0.8367525596551886,False,0.46209771864103955
12,1,11.16,2,afa,0.46720256631755974,False,0.09254772530341071
13,1,11.16,2,afa,0.7592933681779362,False,0.3846385271637872
14,1,11.16,2,afa,0.7990122742883485,False,0.4243574332741995
15,1,11.16,2,afa,0.7338744667799825,False,0.35921962576583344
16,1,11.16,2,afa,0.4365950218666065,False,0.06194018085245745
17,1,11.16,2,afa,0.4383043862340224,True,0.06364954521987337
18,1,11.16,2,afa,0.5923068107922804,False,0.2176519697781314
19,1,11.16,2,afa,0.5875995454333374,False,0.21294470441918834
20,1,11.16,2,afa,0.5852204350101855,False,0.21056559399603647
21,1,11.16,2,afa,0.744206262007809,False,0.36955142099366
22,1,11.16,2,afa,0.647825299635581,False,0.27317045862143197
23,1,11.16,2,afa,0.8306423819566572,False,0.45598754094250815
24,1,11.16,2,afa,0.5436564857015284,False,0.16900164468737933
25,1,11.16,2,afa,0.6187196998897984,False,0.24406485887564933
26,1,11.16,2,afa,0.38056554449131247,True,0.005910703477163437
27,1,11.16,2,afa,0.2976289363774941,False,-0.07702590463665493
28,1,11.16,2,afa,0.3909702295252127,False,0.016315388511063678
29,1,11.16,2,afa,0.49167445782594055,False,0.11701961681179152
30,1,11.16,2,afa,0.6104148304979379,False,0.23575998948378885
31,1,11.16,2,afa,0.8241144138227974,True,0.44945957280864834
32,1,11.16,2,afa,0.6549720651197838,False,0.28031722410563475
33,1,11.16,2,afa,0.36124885416312824,True,-0.01340598685102079
34,1,11.16,2,afa,0.7170250178296994,False,0.3423701768155504
35,1,11.16,2,afa,0.22591665631485586,False,-0.14873818469929317
36,1,11.16,2,afa,0.6611491351246965,False,0.2864942941105475
37,1,11.16,2,afa,0.39403627028189636,True,0.01938142926774733
38,1,11.16,2,afa,0.5510195947075325,False,0.17636475369338345
39,1,11.16,2,afa,0.8439435074442286,False,0.4692886664300796
40,1,11.16,2,afa,0.31949879600662373,False,-0.0551560450075253
41,1,11.16,2,afa,0.8348071271974918,True,0.4601522861833428
42,1,11.16,2,afa,0.7668944701478903,False,0.3922396291337412
43,1,11.16,2,afa,0.7777773156648976,False,0.4031224746507486
44,1,11.16,2,afa,0.5753589252525412,True,0.20070408423839214
45,1,11.16,2,afa,0.7165296682541198,True,0.34187482723997076
46,1,11.16,2,afa,0.4922223233039166,False,0.11756748228976754
47,1,11.16,2,afa,0.8219263063504952,False,0.4472714653363462
48,1,11.16,2,afa,0.7174627119665337,True,0.34280787095238463
49,1,11.16,2,afa,0.5393863324016774,False,0.1647314913875284
50,1,11.16,2,afa,0.47581665448212374,False,0.1011618134679747
51,1,11.16,2,afa,0.46000227367368424,True,0.0853474326595352
52,1,11.16,2,afa,0.5799455126745191,True,0.20529067166037007
53,1,11.16,2,afa,0.5936952953472712,False,0.21904045433312214
54,1,11.16,2,afa,0.6731520053214508,False,0.2984971643073018
55,1,11.16,2,afa,0.7194839082547847,False,0.34482906724063567
56,1,11.16,2,afa,0.7806491462775578,False,0.40599430526340874
57,1,11.16,2,afa,0.7227389908054985,False,0.3480841497913495
58,1,11.16,2,afa,0.3727444717703993,True,-0.00191036924374971
59,1,11.16,2,afa,0.3551681483513189,False,-0.019486692662830152
60,1,11.16,2,afa,0.5923278529493033,False,0.21767301193515431
61,1,11.16,2,afa,0.755097694318254,False,0.380442853304105
62,1,11.16,2,afa,0.24765778019792162,False,-0.12699706081622741
63,1,11.16,2,afa,0.476626173945237,False,0.10197133293108795
64,1,11.16,2,afa,0.5686149994551231,False,0.19396015844097403
65,1,11.16,2,afa,0.6467334900390342,False,0.2720786490248852
1,10,11.16,2,afa,0.5643997714263218,False,0.18974493041217277
2,10,11.16,2,afa,0.8186277382897087,True,0.44397289727555966
3,10,11.16,2,afa,0.8384134643675774,True,0.4637586233534283
4,10,11.16,2,afa,0.6945023600037453,True,0.3198475189895963
5,10,11.16,2,afa,0.5218728830915514,False,0.1472180420774024
6,10,11.16,2,afa,0.7639339369765287,False,0.38927909596237964
7,10,11.16,2,afa,0.6397920671570062,False,0.2651372261428572
8,10,11.16,2,afa,0.49534344724869916,False,0.12068860623455013
9,10,11.16,2,afa,0.2071315259186015,True,-0.16752331509554752
10,10,11.16,2,afa,0.40328894881006183,True,0.0286341077959128
11,10,11.16,2,afa,0.5702824652903097,True,0.19562762427616065
12,10,11.16,2,afa,0.7598249023539275,False,0.3851700613397785
13,10,11.16,2,afa,0.8875534574321889,False,0.5128986164180399
14,10,11.16,2,afa,0.7736814511331986,False,0.3990266101190496
15,10,11.16,2,afa,0.843448100323962,True,0.46879325930981297
16,10,11.16,2,afa,0.7680477859811378,False,0.39339294496698873
17,10,11.16,2,afa,0.7189986621846101,False,0.34434382117046103
18,10,11.16,2,afa,0.49499380635464696,False,0.12033896534049793
19,10,11.16,2,afa,0.9269931084598898,True,0.5523382674457408
20,10,11.16,2,afa,0.8511168075704412,False,0.47646196655629214
21,10,11.16,2,afa,0.690412728834773,False,0.315757887820624
22,10,11.16,2,afa,0.6120560579117283,False,0.23740121689757931
23,10,11.16,2,afa,0.731298567057294,False,0.356643726043145
24,10,11.16,2,afa,0.7034268225023034,True,0.32877198148815434
25,10,11.16,2,afa,0.5504438635937243,False,0.1757890225795753
26,10,11.16,2,afa,0.8768396396833584,False,0.5021847986692094
27,10,11.16,2,afa,0.7946666199328886,True,0.42001177891873953
28,10,11.16,2,afa,0.6575428257303481,True,0.282887984716199
29,10,11.16,2,afa,0.7614490888580383,False,0.38679424784388927
30,10,11.16,2,afa,0.7318552531596785,False,0.35720041214552944
31,10,11.16,2,afa,0.5361690188068577,True,0.1615141777927087
32,10,11.16,2,afa,0.6450661741312158,False,0.2704113331170668
33,10,11.16,2,afa,0.5822578607418774,False,0.20760301972772832
34,10,11.16,2,afa,0.6421195228988352,False,0.2674646818846862
35,10,11.16,2,afa,0.7264084450442254,False,0.3517536040300764
36,10,11.16,2,afa,0.729477836043089,False,0.35482299502894
37,10,11.16,2,afa,0.7204486469668209,True,0.34579380595267184
38,10,11.16,2,afa,0.905865418267568,False,0.5312105772534189
39,10,11.16,2,afa,0.8604385991543048,False,0.48578375814015573
40,10,11.16,2,afa,0.7781491006330474,True,0.4034942596188984
41,10,11.16,2,afa,0.3688175641052326,True,-0.0058372769089164445
42,10,11.16,2,afa,0.7775367940100623,True,0.40288195299591323
43,10,11.16,2,afa,0.7079879593520623,False,0.33333311833791324
44,10,11.16,2,afa,0.9027721473160989,False,0.5281173063019499
45,10,11.16,2,afa,0.680665819161313,False,0.30601097814716394
46,10,11.16,2,afa,0.8220529127798841,False,0.4473980717657351
47,10,11.16,2,afa,0.7232516638687746,True,0.34859682285462557
48,10,11.16,2,afa,0.5692023523108201,False,0.19454751129667103
49,10,11.16,2,afa,0.707175041991782,False,0.332520200977633
50,10,11.16,2,afa,0.7492363110104417,False,0.3745814699962927
51,10,11.16,2,afa,0.7688589182078926,True,0.3942040771937436
52,10,11.16,2,afa,0.8099205417553559,False,0.43526570074120685
53,10,11.16,2,afa,0.531511761691792,False,0.156856920677643
54,10,11.16,2,afa,0.726017819056876,False,0.351362978042727
55,10,11.16,2,afa,0.5850313009356125,False,0.21037645992146348
56,10,11.16,2,afa,0.7678251245131438,False,0.39317028349899474
57,10,11.16,2,afa,0.8827607841102918,False,0.5081059430961428
58,10,11.16,2,afa,0.3759933223999288,False,0.001338481385779744
59,10,11.16,2,afa,0.3668415148103902,False,-0.007813326203758852
60,10,11.16,2,afa,0.632753583218092,False,0.258098742203943
61,10,11.16,2,afa,0.6325922298199672,False,0.2579373888058182
62,10,11.16,2,afa,0.6875193894317553,False,0.31286454841760625
63,10,11.16,2,afa,0.49454455059320956,False,0.11988970957906053
64,10,11.16,2,afa,0.8650440668407905,True,0.49038922582664146
65,10,11.16,2,afa,0.5207314594203603,False,0.14607661840621122
1,11,11.16,2,afa,0.3850579597531617,False,0.010403118739012673
2,11,11.16,2,afa,0.41980057328295056,True,0.04514573226880153
3,11,11.16,2,afa,0.7838194328347942,True,0.40916459182064513
4,11,11.16,2,afa,0.1616728526494991,False,-0.21298198836464993
5,11,11.16,2,afa,0.42648632412323834,True,0.051831483109089305
6,11,11.16,2,afa,0.5351727971283541,False,0.16051795611420505
7,11,11.16,2,afa,0.6890968675795099,True,0.3144420265653609
8,11,11.16,2,afa,0.45114139153007216,False,0.07648655051592312
9,11,11.16,2,afa,0.4574906236327717,False,0.08283578261862268
10,11,11.16,2,afa,0.8083222558392776,False,0.4336674148251286
11,11,11.16,2,afa,0.5348193041591097,False,0.1601644631449607
12,11,11.16,2,afa,0.7602735324980003,False,0.3856186914838513
13,11,11.16,2,afa,0.3165654321689962,True,-0.058089408845152846
14,11,11.16,2,afa,0.6434518130872364,False,0.2687969720730874
15,11,11.16,2,afa,0.6316525660925183,False,0.25699772507836927
16,11,11.16,2,afa,0.6203569030931101,True,0.24570206207896106
17,11,11.16,2,afa,0.5043835417183129,True,0.12972870070416387
18,11,11.16,2,afa,0.5971891755633155,True,0.2225343345491665
