ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,8.93,2,dac,0.9567998368425339,True,0.9020751358284111
2,0,8.93,2,dac,0.9704853303865146,False,0.9157606293723919
3,0,8.93,2,dac,0.6931705964890652,True,0.6384458954749425
4,0,8.93,2,dac,0.9391918587640861,False,0.8844671577499633
5,0,8.93,2,dac,0.8616058983552509,True,0.8068811973411282
6,0,8.93,2,dac,0.9371227766420498,False,0.882398075627927
7,0,8.93,2,dac,0.9634623174899722,True,0.9087376164758495
8,0,8.93,2,dac,0.8773427875770121,True,0.8226180865628894
9,0,8.93,2,dac,0.9737836920298003,False,0.9190589910156776
10,0,8.93,2,dac,0.9870979229368659,True,0.9323732219227432
11,0,8.93,2,dac,0.9958701093636897,False,0.941145408349567
12,0,8.93,2,dac,0.5487253156724525,True,0.4940006146583298
13,0,8.93,2,dac,0.9397220100115617,False,0.884997308997439
14,0,8.93,2,dac,0.8542589364022751,True,0.7995342353881524
15,0,8.93,2,dac,0.9902108946999274,False,0.9354861936858047
16,0,8.93,2,dac,0.9805934336482324,False,0.9258687326341096
17,0,8.93,2,dac,0.9926578228139062,False,0.9379331217997835
18,0,8.93,2,dac,0.9585305020968926,False,0.9038058010827699
19,0,8.93,2,dac,0.9989685706950912,False,0.9442438696809684
20,0,8.93,2,dac,0.9884511099093555,False,0.9337264088952327
21,0,8.93,2,dac,0.9829522071284691,False,0.9282275061143463
22,0,8.93,2,dac,0.9845513048618132,True,0.9298266038476904
23,0,8.93,2,dac,0.9178153599775598,True,0.8630906589634371
24,0,8.93,2,dac,0.9948242544246199,False,0.9400995534104971
25,0,8.93,2,dac,0.9737654808584875,False,0.9190407798443647
26,0,8.93,2,dac,0.7955939613644445,True,0.7408692603503217
27,0,8.93,2,dac,0.9837989241960831,False,0.9290742231819603
28,0,8.93,2,dac,0.9961970105145802,True,0.9414723095004575
29,0,8.93,2,dac,0.9917072828725834,False,0.9369825818584606
30,0,8.93,2,dac,0.9871588833551987,False,0.932434182341076
31,0,8.93,2,dac,0.9929935151638407,False,0.938268814149718
32,0,8.93,2,dac,0.9956295231326313,False,0.9409048221185086
33,0,8.93,2,dac,0.984496594264311,False,0.9297718932501883
34,0,8.93,2,dac,0.9660772353342605,True,0.9113525343201377
35,0,8.93,2,dac,0.990587911173116,False,0.9358632101589932
36,0,8.93,2,dac,0.9506151464370298,False,0.8958904454229071
37,0,8.93,2,dac,0.9946977546240989,False,0.9399730536099762
38,0,8.93,2,dac,0.982564787450469,False,0.9278400864363463
39,0,8.93,2,dac,0.9663386309499253,False,0.9116139299358026
40,0,8.93,2,dac,0.9977283190297037,False,0.943003618015581
41,0,8.93,2,dac,0.991546134974992,True,0.9368214339608693
42,0,8.93,2,dac,0.9839200758337808,False,0.9291953748196581
43,0,8.93,2,dac,0.9803629756304367,True,0.925638274616314
44,0,8.93,2,dac,0.9857846015153022,False,0.9310599005011795
45,0,8.93,2,dac,0.974667954133339,False,0.9199432531192162
46,0,8.93,2,dac,0.9881951589601723,True,0.9334704579460495
1,1,8.93,2,dac,0.9924739473962457,True,0.937749246382123
2,1,8.93,2,dac,0.9537167226928756,True,0.8989920216787528
3,1,8.93,2,dac,0.9951254725533623,False,0.9404007715392395
4,1,8.93,2,dac,0.9817689222242061,False,0.9270442212100833
5,1,8.93,2,dac,0.8809436356656584,True,0.8262189346515356
6,1,8.93,2,dac,0.9358468187901575,False,0.8811221177760348
7,1,8.93,2,dac,0.9957403282900025,True,0.9410156272758797
8,1,8.93,2,dac,0.9772367875336675,True,0.9225120865195447
9,1,8.93,2,dac,0.9826741955817451,False,0.9279494945676223
10,1,8.93,2,dac,0.9477559738144011,True,0.8930312728002784
11,1,8.93,2,dac,0.9934048474258905,False,0.9386801464117678
12,1,8.93,2,dac,0.9908206084069793,False,0.9360959073928565
13,1,8.93,2,dac,0.9725835864078606,False,0.9178588853937378
14,1,8.93,2,dac,0.8563018673352341,False,0.8015771663211113
15,1,8.93,2,dac,0.9901221754517089,True,0.9353974744375861
16,1,8.93,2,dac,0.9960180997754448,False,0.941293398761322
17,1,8.93,2,dac,0.9532163521090411,True,0.8984916510949184
18,1,8.93,2,dac,0.9885262431235524,False,0.9338015421094297
19,1,8.93,2,dac,0.9754445617486658,True,0.920719860734543
20,1,8.93,2,dac,0.9715843578179021,False,0.9168596568037793
21,1,8.93,2,dac,0.9688711866147621,False,0.9141464856006394
22,1,8.93,2,dac,0.9596741498240204,False,0.9049494488098977
23,1,8.93,2,dac,0.9054339326565387,True,0.850709231642416
24,1,8.93,2,dac,0.9908597354349166,False,0.9361350344207938
25,1,8.93,2,dac,0.9120156795770242,False,0.8572909785629015
26,1,8.93,2,dac,0.9798558828759626,True,0.9251311818618398
27,1,8.93,2,dac,0.6298278945095344,True,0.5751031934954116
28,1,8.93,2,dac,0.9892910838751187,False,0.9345663828609959
29,1,8.93,2,dac,0.9900512591158593,True,0.9353265581017366
30,1,8.93,2,dac,0.9941237038312114,False,0.9393990028170887
31,1,8.93,2,dac,0.9703621809172901,False,0.9156374799031674
32,1,8.93,2,dac,0.9733102910391681,True,0.9185855900250454
33,1,8.93,2,dac,0.9884472041776204,False,0.9337225031634977
34,1,8.93,2,dac,0.9689892613748368,False,0.914264560360714
35,1,8.93,2,dac,0.988444812227074,True,0.9337201112129513
36,1,8.93,2,dac,0.9935116336262633,False,0.9387869326121405
37,1,8.93,2,dac,0.7939295193436294,True,0.7392048183295067
38,1,8.93,2,dac,0.9909734667155519,False,0.9362487657014291
39,1,8.93,2,dac,0.9978711517036286,True,0.9431464506895059
40,1,8.93,2,dac,0.9880150193186671,False,0.9332903183045443
41,1,8.93,2,dac,0.9855545252669196,False,0.9308298242527968
1,10,8.93,2,dac,0.927765138408847,False,0.8730404373947243
2,10,8.93,2,dac,0.7530082588757585,False,0.6982835578616358
3,10,8.93,2,dac,0.8646911714468886,True,0.8099664704327658
4,10,8.93,2,dac,0.9034743620355187,False,0.8487496610213959
5,10,8.93,2,dac,0.8216377600308851,True,0.7669130590167623
6,10,8.93,2,dac,0.94375686022189,True,0.8890321592077672
7,10,8.93,2,dac,0.9909918977868335,False,0.9362671967727108
8,10,8.93,2,dac,0.925448957906862,True,0.8707242568927392
9,10,8.93,2,dac,0.9583267230389059,False,0.9036020220247831
10,10,8.93,2,dac,0.9751111998457953,False,0.9203864988316726
11,10,8.93,2,dac,0.9233470673906149,True,0.8686223663764921
12,10,8.93,2,dac,0.9783953082336649,True,0.9236706072195422
13,10,8.93,2,dac,0.9735021815166924,False,0.9187774805025697
14,10,8.93,2,dac,0.9841551002753818,False,0.929430399261259
15,10,8.93,2,dac,0.9810442046999832,False,0.9263195036858605
16,10,8.93,2,dac,0.7763809825183011,True,0.7216562815041784
17,10,8.93,2,dac,0.8532646699181736,False,0.7985399689040509
18,10,8.93,2,dac,0.8161586735080846,True,0.7614339724939618
19,10,8.93,2,dac,0.9898484567966477,True,0.9351237557825249
20,10,8.93,2,dac,0.9916588952990933,True,0.9369341942849706
21,10,8.93,2,dac,0.9881400132503817,False,0.933415312236259
22,10,8.93,2,dac,0.9900799103958213,False,0.9353552093816986
23,10,8.93,2,dac,0.9822927902087184,False,0.9275680891945957
24,10,8.93,2,dac,0.9747886056966628,True,0.9200639046825401
25,10,8.93,2,dac,0.9868387800526792,False,0.9321140790385565
26,10,8.93,2,dac,0.9902866908155525,True,0.9355619898014298
27,10,8.93,2,dac,0.9956015669216255,False,0.9408768659075027
28,10,8.93,2,dac,0.9916151548798796,False,0.9368904538657569
29,10,8.93,2,dac,0.9734090535551202,False,0.9186843525409975
30,10,8.93,2,dac,0.9839577364987638,False,0.9292330354846411
31,10,8.93,2,dac,0.871606238348423,True,0.8168815373343002
32,10,8.93,2,dac,0.977944247672716,True,0.9232195466585933
33,10,8.93,2,dac,0.9928680893131085,False,0.9381433882989858
34,10,8.93,2,dac,0.9914135087057587,True,0.936688807691636
35,10,8.93,2,dac,0.9872597523434372,True,0.9325350513293145
36,10,8.93,2,dac,0.9913177439448022,False,0.9365930429306795
37,10,8.93,2,dac,0.8309095039495074,False,0.7761848029353846
38,10,8.93,2,dac,0.9294623533636536,False,0.8747376523495308
39,10,8.93,2,dac,0.9788600244956088,True,0.9241353234814861
1,11,8.93,2,dac,0.9840482681245433,True,0.9293235671104205
2,11,8.93,2,dac,0.7649666710754234,False,0.7102419700613006
3,11,8.93,2,dac,0.9955651455657681,False,0.9408404445516454
