ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,55.5,2,vin,0.6273455001668511,True,0.46698041216451924
2,0,55.5,2,vin,0.9360756159847501,False,0.7757105279824182
3,0,55.5,2,vin,0.5709794381120754,False,0.41061435010974356
4,0,55.5,2,vin,0.93029752915375,True,0.7699324411514181
5,0,55.5,2,vin,0.8185064106715958,True,0.658141322669264
6,0,55.5,2,vin,0.9029426528818647,False,0.7425775648795329
7,0,55.5,2,vin,0.8760226907612662,False,0.7156576027589343
8,0,55.5,2,vin,0.8045017941081843,False,0.6441367061058525
9,0,55.5,2,vin,0.9700808667568621,False,0.8097157787545303
10,0,55.5,2,vin,0.9538186860381593,True,0.7934535980358275
11,0,55.5,2,vin,0.9541635908781494,False,0.7937985028758175
12,0,55.5,2,vin,0.7961927076929708,False,0.635827619690639
13,0,55.5,2,vin,0.9323986734842862,False,0.7720335854819543
14,0,55.5,2,vin,0.9641547567945807,False,0.8037896687922489
15,0,55.5,2,vin,0.9029555911977477,False,0.7425905031954159
16,0,55.5,2,vin,0.9186925945476535,True,0.7583275065453217
17,0,55.5,2,vin,0.7989211587807559,False,0.638556070778424
18,0,55.5,2,vin,0.9773692464734836,False,0.8170041584711517
19,0,55.5,2,vin,0.9299377373242329,False,0.7695726493219011
20,0,55.5,2,vin,0.9497997569168704,True,0.7894346689145385
21,0,55.5,2,vin,0.9579274545241578,False,0.797562366521826
22,0,55.5,2,vin,0.9251216960879312,False,0.7647566080855993
23,0,55.5,2,vin,0.9245193970399173,True,0.7641543090375854
24,0,55.5,2,vin,0.9828014807870471,False,0.8224363927847153
25,0,55.5,2,vin,0.8920648568726091,False,0.7316997688702772
26,0,55.5,2,vin,0.8580104475098291,False,0.6976453595074973
27,0,55.5,2,vin,0.9236580039021562,False,0.7632929158998244
28,0,55.5,2,vin,0.9425196398920827,False,0.7821545518897508
29,0,55.5,2,vin,0.9341393457325926,False,0.7737742577302608
30,0,55.5,2,vin,0.9545952344230525,False,0.7942301464207207
31,0,55.5,2,vin,0.8504680400522207,False,0.6901029520498888
32,0,55.5,2,vin,0.9850744919924839,False,0.824709403990152
33,0,55.5,2,vin,0.7301667445692019,False,0.5698016565668701
34,0,55.5,2,vin,0.9742297695914924,False,0.8138646815891606
35,0,55.5,2,vin,0.6248163346482689,False,0.46445124664593707
36,0,55.5,2,vin,0.9208515705065123,True,0.7604864825041805
37,0,55.5,2,vin,0.876635892055569,False,0.7162708040532372
38,0,55.5,2,vin,0.7096120871169911,False,0.5492469991146592
39,0,55.5,2,vin,0.9417327295260257,True,0.7813676415236939
40,0,55.5,2,vin,0.8275071380127585,False,0.6671420500104267
41,0,55.5,2,vin,0.9239414550838753,False,0.7635763670815434
42,0,55.5,2,vin,0.9104089658217924,False,0.7500438778194606
43,0,55.5,2,vin,0.6837644033696682,False,0.5233993153673363
44,0,55.5,2,vin,0.9664734322907244,False,0.8061083442883925
45,0,55.5,2,vin,0.8097472379361763,False,0.6493821499338445
46,0,55.5,2,vin,0.9156576351110978,False,0.7552925471087659
47,0,55.5,2,vin,0.7756448392927293,True,0.6152797512903975
48,0,55.5,2,vin,0.7926093550263894,True,0.6322442670240576
49,0,55.5,2,vin,0.8213198964111571,False,0.6609548084088253
50,0,55.5,2,vin,0.9554352498531907,False,0.7950701618508589
51,0,55.5,2,vin,0.9004213754464825,True,0.7400562874441506
52,0,55.5,2,vin,0.8924719801444111,False,0.7321068921420792
53,0,55.5,2,vin,0.9873527488801607,True,0.8269876608778288
54,0,55.5,2,vin,0.9320114648611847,True,0.7716463768588528
55,0,55.5,2,vin,0.7530733915422042,False,0.5927083035398724
56,0,55.5,2,vin,0.9709548546794201,False,0.8105897666770883
57,0,55.5,2,vin,0.9674397000020823,False,0.8070746119997505
58,0,55.5,2,vin,0.8941731690138649,True,0.733808081011533
59,0,55.5,2,vin,0.8925635151975528,False,0.732198427195221
60,0,55.5,2,vin,0.8803991493597193,True,0.7200340613573875
61,0,55.5,2,vin,0.922201545248471,False,0.7618364572461391
62,0,55.5,2,vin,0.7498009716126586,False,0.5894358836103267
63,0,55.5,2,vin,0.8800286567649941,True,0.7196635687626622
1,1,55.5,2,vin,0.9439834935133785,False,0.7836184055110467
2,1,55.5,2,vin,0.9258824480226062,False,0.7655173600202744
3,1,55.5,2,vin,0.9523575580575179,False,0.791992470055186
4,1,55.5,2,vin,0.893768796238577,False,0.7334037082362451
5,1,55.5,2,vin,0.7990678972503846,False,0.6387028092480528
6,1,55.5,2,vin,0.9398541030477681,True,0.7794890150454362
7,1,55.5,2,vin,0.8151075581489989,False,0.6547424701466671
8,1,55.5,2,vin,0.83975311333467,False,0.6793880253323381
9,1,55.5,2,vin,0.8991334344861397,False,0.7387683464838078
10,1,55.5,2,vin,0.8831898391608114,False,0.7228247511584796
11,1,55.5,2,vin,0.8983597849669376,False,0.7379946969646057
12,1,55.5,2,vin,0.5728059174332579,False,0.4124408294309261
13,1,55.5,2,vin,0.9217047633172182,True,0.7613396753148863
14,1,55.5,2,vin,0.946911329863199,False,0.7865462418608672
15,1,55.5,2,vin,0.8051386129757553,False,0.6447735249734234
16,1,55.5,2,vin,0.9453410018442078,False,0.7849759138418759
17,1,55.5,2,vin,0.8271691961615912,False,0.6668041081592594
18,1,55.5,2,vin,0.9589714357095961,False,0.7986063477072642
19,1,55.5,2,vin,0.6951935890224679,False,0.534828501020136
20,1,55.5,2,vin,0.844475883617666,False,0.6841107956153342
21,1,55.5,2,vin,0.958953261902155,False,0.7985881738998232
22,1,55.5,2,vin,0.9916189528206019,False,0.83125386481827
23,1,55.5,2,vin,0.9228865567151618,True,0.76252146871283
24,1,55.5,2,vin,0.9480244152231352,False,0.7876593272208033
25,1,55.5,2,vin,0.807243904770899,False,0.6468788167685672
26,1,55.5,2,vin,0.7976914890284795,True,0.6373264010261477
1,10,55.5,2,vin,0.9550147546269911,False,0.7946496666246593
2,10,55.5,2,vin,0.9198663559338953,False,0.7595012679315635
3,10,55.5,2,vin,0.4945283360098087,True,0.3341632480074769
4,10,55.5,2,vin,0.9264097883564022,False,0.7660447003540704
5,10,55.5,2,vin,0.7044780718384024,True,0.5441129838360705
6,10,55.5,2,vin,0.9201560005658471,False,0.7597909125635153
7,10,55.5,2,vin,0.7583270497271066,True,0.5979619617247748
8,10,55.5,2,vin,0.9620608276350058,False,0.8016957396326739
9,10,55.5,2,vin,0.9514047235610403,False,0.7910396355587085
10,10,55.5,2,vin,0.8351279172815744,False,0.6747628292792426
11,10,55.5,2,vin,0.6724101950521761,True,0.5120451070498443
12,10,55.5,2,vin,0.0011711798183052142,True,-0.1591939081840266
13,10,55.5,2,vin,0.8936912613833276,False,0.7333261733809957
14,10,55.5,2,vin,0.8866586729592546,True,0.7262935849569228
15,10,55.5,2,vin,0.9544029483631669,False,0.794037860360835
16,10,55.5,2,vin,0.8018699850508316,False,0.6415048970484998
17,10,55.5,2,vin,0.8898040594790227,True,0.7294389714766909
18,10,55.5,2,vin,0.9194755382205446,False,0.7591104502182128
19,10,55.5,2,vin,0.8446248221515784,True,0.6842597341492466
20,10,55.5,2,vin,0.8234084417428116,False,0.6630433537404797
21,10,55.5,2,vin,0.8961525756557924,False,0.7357874876534606
22,10,55.5,2,vin,0.9411356988512634,False,0.7807706108489315
23,10,55.5,2,vin,0.7892161959555362,False,0.6288511079532043
1,11,55.5,2,vin,0.8954429430223758,False,0.735077855020044
2,11,55.5,2,vin,0.9470888184500021,False,0.7867237304476703
3,11,55.5,2,vin,0.8961744111785954,False,0.7358093231762636
4,11,55.5,2,vin,0.918320435490054,False,0.7579553474877222
5,11,55.5,2,vin,0.6969335058366359,True,0.5365684178343041
6,11,55.5,2,vin,0.8910329231638645,True,0.7306678351615327
7,11,55.5,2,vin,0.9523702456695536,False,0.7920051576672218
8,11,55.5,2,vin,0.927906840931551,True,0.7675417529292191
9,11,55.5,2,vin,0.9432231443227416,False,0.7828580563204097
10,11,55.5,2,vin,0.7512687131680427,True,0.5909036251657108
11,11,55.5,2,vin,0.9582449737346621,False,0.7978798857323303
