ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,55.5,4,vin,0.9206272914725346,True,0.632056102474946
2,0,55.5,4,vin,0.7475531789336806,False,0.45898198993609196
3,0,55.5,4,vin,0.8685432726972996,False,0.579972083699711
4,0,55.5,4,vin,0.6607099410360021,True,0.3721387520384135
5,0,55.5,4,vin,0.9441705065646753,True,0.6555993175670867
6,0,55.5,4,vin,0.7340877752965665,False,0.44551658629897795
7,0,55.5,4,vin,0.7090138392441486,False,0.42044265024656
8,0,55.5,4,vin,0.8482203021998259,False,0.5596491132022373
9,0,55.5,4,vin,0.8843447193892271,False,0.5957735303916385
10,0,55.5,4,vin,0.0012873487969477684,True,-0.28728384020064085
11,0,55.5,4,vin,0.9401844967948451,False,0.6516133077972565
12,0,55.5,4,vin,0.6951079177777872,True,0.40653672878019864
13,0,55.5,4,vin,0.8813589390326925,False,0.5927877500351039
14,0,55.5,4,vin,0.6192615071227797,False,0.3306903181251911
15,0,55.5,4,vin,0.922016206926967,False,0.6334450179293784
16,0,55.5,4,vin,0.8237681263690639,True,0.5351969373714753
17,0,55.5,4,vin,0.8169924201524659,False,0.5284212311548773
18,0,55.5,4,vin,0.7213879601278201,False,0.43281677113023154
19,0,55.5,4,vin,0.8454988378436085,False,0.5569276488460199
20,0,55.5,4,vin,0.7967786849458717,False,0.5082074959482831
21,0,55.5,4,vin,0.6447551877843587,False,0.3561839987867701
22,0,55.5,4,vin,0.6734724744223575,False,0.38490128542476887
23,0,55.5,4,vin,0.661527192813213,True,0.37295600381562444
24,0,55.5,4,vin,0.7240392658608621,False,0.4354680768632735
25,0,55.5,4,vin,0.7964606210711642,False,0.5078894320735756
26,0,55.5,4,vin,0.8805792983796333,False,0.5920081093820447
27,0,55.5,4,vin,0.878547100737886,False,0.5899759117402974
28,0,55.5,4,vin,0.7247171744867713,False,0.4361459854891827
29,0,55.5,4,vin,0.47402761259304826,False,0.18545642359545966
30,0,55.5,4,vin,0.7741270457509521,False,0.48555585675336355
31,0,55.5,4,vin,0.7204386178588909,False,0.43186742886130225
32,0,55.5,4,vin,0.9907689616289345,False,0.7021977726313459
33,0,55.5,4,vin,0.9619808425860586,True,0.67340965358847
34,0,55.5,4,vin,0.8922866601485525,False,0.6037154711509639
35,0,55.5,4,vin,0.7468148168102334,True,0.4582436278126448
36,0,55.5,4,vin,0.5664044100910663,False,0.27783322109347774
37,0,55.5,4,vin,0.9679063208366221,False,0.6793351318390335
38,0,55.5,4,vin,0.6833855071938745,False,0.3948143181962859
39,0,55.5,4,vin,0.6699314551050948,True,0.3813602661075062
40,0,55.5,4,vin,0.7412038215223029,False,0.4526326325247143
41,0,55.5,4,vin,0.908200943018293,False,0.6196297540207044
42,0,55.5,4,vin,0.8250225956064966,False,0.536451406608908
43,0,55.5,4,vin,0.8262617643760681,True,0.5376905753784795
44,0,55.5,4,vin,0.6113384596735674,True,0.32276727067597877
45,0,55.5,4,vin,0.59330348930564,False,0.30473230030805143
46,0,55.5,4,vin,0.8177480038692041,False,0.5291768148716155
47,0,55.5,4,vin,0.7880793750168011,True,0.49950818601921254
48,0,55.5,4,vin,0.9280194566011272,True,0.6394482676035386
49,0,55.5,4,vin,0.8713209350585652,False,0.5827497460609766
50,0,55.5,4,vin,0.9733039350606616,False,0.684732746063073
51,0,55.5,4,vin,0.9026869844628178,False,0.6141157954652292
52,0,55.5,4,vin,0.839855938270011,False,0.5512847492724224
53,0,55.5,4,vin,0.6904687440747176,True,0.401897555077129
54,0,55.5,4,vin,0.9422989470049006,True,0.653727758007312
55,0,55.5,4,vin,0.8916910005929026,False,0.603119811595314
56,0,55.5,4,vin,0.6262362037134166,False,0.337665014715828
57,0,55.5,4,vin,0.7183149762564087,False,0.4297437872588201
58,0,55.5,4,vin,0.2863784663959552,True,-0.00219272260163339
59,0,55.5,4,vin,0.5420128888806214,False,0.2534416998830328
60,0,55.5,4,vin,0.645552468459692,True,0.35698127946210345
61,0,55.5,4,vin,0.9625464431864248,False,0.6739752541888362
62,0,55.5,4,vin,0.7375375323761633,False,0.44896634337857466
63,0,55.5,4,vin,0.8678819739263606,False,0.579310784928772
64,0,55.5,4,vin,0.5490246459425286,False,0.26045345694494004
65,0,55.5,4,vin,0.8086798203253533,True,0.5201086313277647
66,0,55.5,4,vin,0.6958026360545333,False,0.4072314470569447
67,0,55.5,4,vin,0.8382254255832498,False,0.5496542365856611
68,0,55.5,4,vin,0.5107180730865521,False,0.22214688408896355
69,0,55.5,4,vin,0.7829219652686259,True,0.4943507762710373
70,0,55.5,4,vin,0.8655424344128793,False,0.5769712454152907
71,0,55.5,4,vin,0.8139760203226688,False,0.5254048313250802
72,0,55.5,4,vin,0.7055021600998217,False,0.4169309711022331
1,1,55.5,4,vin,0.907390368889236,False,0.6188191798916474
2,1,55.5,4,vin,0.8487412610407358,False,0.5601700720431472
3,1,55.5,4,vin,0.941928351117603,False,0.6533571621200144
4,1,55.5,4,vin,0.7881666884481429,True,0.49959549945055426
5,1,55.5,4,vin,0.9753885552386787,False,0.6868173662410901
6,1,55.5,4,vin,0.8643175492724835,False,0.5757463602748949
7,1,55.5,4,vin,0.962674160387957,False,0.6741029713903683
8,1,55.5,4,vin,0.9227345996877208,False,0.6341634106901322
9,1,55.5,4,vin,0.8472931532137045,False,0.5587219642161159
10,1,55.5,4,vin,0.9437355811213276,False,0.655164392123739
11,1,55.5,4,vin,0.8916504890412436,False,0.603079300043655
12,1,55.5,4,vin,0.9205480988321206,False,0.631976909834532
13,1,55.5,4,vin,0.979738648321012,False,0.6911674593234234
14,1,55.5,4,vin,0.3905420634250679,True,0.10197087442747932
15,1,55.5,4,vin,0.8182268935981382,False,0.5296557046005496
16,1,55.5,4,vin,0.8580532767515286,False,0.56948208775394
17,1,55.5,4,vin,0.7117024545938347,True,0.42313126559624614
18,1,55.5,4,vin,0.8799062114750009,True,0.5913350224774123
19,1,55.5,4,vin,0.9731757058288846,False,0.684604516831296
20,1,55.5,4,vin,0.8933495726759201,True,0.6047783836783315
21,1,55.5,4,vin,0.9261031526939132,True,0.6375319636963246
22,1,55.5,4,vin,0.9766979123662003,True,0.6881267233686117
23,1,55.5,4,vin,0.9655188892521563,True,0.6769477002545677
24,1,55.5,4,vin,0.7665616211858878,True,0.4779904321882992
25,1,55.5,4,vin,0.9980955215067064,False,0.7095243325091178
