ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,2.41,4,alm,0.7921811135316157,False,0.6324669311360668
2,0,2.41,4,alm,0.9909776757513861,True,0.8312634933558372
3,0,2.41,4,alm,0.7540564085571839,False,0.594342226161635
4,0,2.41,4,alm,0.5709558454322512,True,0.4112416630367023
5,0,2.41,4,alm,0.746216222531095,False,0.5865020401355461
6,0,2.41,4,alm,0.9124071895524299,False,0.752693007156881
7,0,2.41,4,alm,0.8617335591100831,False,0.7020193767145342
8,0,2.41,4,alm,0.8877876786187814,False,0.7280734962232325
9,0,2.41,4,alm,0.6969121690432728,True,0.5371979866477239
10,0,2.41,4,alm,0.9813490562074592,False,0.8216348738119102
11,0,2.41,4,alm,0.760026653009062,False,0.6003124706135131
12,0,2.41,4,alm,0.8270787411579267,False,0.6673645587623778
13,0,2.41,4,alm,0.7350100785095715,False,0.5752958961140225
14,0,2.41,4,alm,0.9154928973291072,True,0.7557787149335583
15,0,2.41,4,alm,0.7661286259978093,True,0.6064144436022604
16,0,2.41,4,alm,0.8533679530089657,False,0.6936537706134168
17,0,2.41,4,alm,0.5772534027230879,False,0.417539220327539
18,0,2.41,4,alm,0.9632475903433182,False,0.8035334079477693
19,0,2.41,4,alm,0.7746389736583492,False,0.6149247912628003
20,0,2.41,4,alm,0.8610449234706816,False,0.7013307410751327
21,0,2.41,4,alm,0.7971554601568716,True,0.6374412777613226
22,0,2.41,4,alm,0.7678589925151963,True,0.6081448101196474
23,0,2.41,4,alm,0.9151174755545298,False,0.7554032931589809
24,0,2.41,4,alm,0.9214292225071625,True,0.7617150401116136
25,0,2.41,4,alm,0.917675408968428,False,0.7579612265728791
26,0,2.41,4,alm,0.9732550220908186,False,0.8135408396952697
27,0,2.41,4,alm,0.9015050303703298,False,0.7417908479747809
28,0,2.41,4,alm,0.960767383427832,False,0.8010532010322831
29,0,2.41,4,alm,0.8017351105330544,False,0.6420209281375054
30,0,2.41,4,alm,0.9248229273401722,False,0.7651087449446233
31,0,2.41,4,alm,0.9447620415977959,False,0.785047859202247
32,0,2.41,4,alm,0.8996355153234564,False,0.7399213329279075
33,0,2.41,4,alm,0.8524411738699789,False,0.69272699147443
34,0,2.41,4,alm,0.8213272487552485,False,0.6616130663596996
35,0,2.41,4,alm,0.6532423027588099,True,0.493528120363261
36,0,2.41,4,alm,0.8263567697251929,False,0.666642587329644
37,0,2.41,4,alm,0.9699941531815769,False,0.810279970786028
38,0,2.41,4,alm,0.8742651986918816,False,0.7145510162963327
39,0,2.41,4,alm,0.7693861950117856,False,0.6096720126162367
40,0,2.41,4,alm,0.26257108065163326,True,0.10285689825608435
41,0,2.41,4,alm,0.5375083251594546,True,0.37779414276390566
42,0,2.41,4,alm,0.9137810284674692,False,0.7540668460719203
43,0,2.41,4,alm,0.9350042576311196,False,0.7752900752355707
44,0,2.41,4,alm,0.7990942428404417,True,0.6393800604448928
45,0,2.41,4,alm,0.7806378874060443,True,0.6209237050104954
46,0,2.41,4,alm,0.9570611261348148,False,0.7973469437392658
47,0,2.41,4,alm,0.8002608196548204,False,0.6405466372592715
1,1,2.41,4,alm,0.7825120093731098,True,0.6227978269775609
2,1,2.41,4,alm,0.9644186081772339,True,0.804704425781685
3,1,2.41,4,alm,0.9286448576325272,True,0.7689306752369783
4,1,2.41,4,alm,0.9888592688231572,True,0.8291450864276083
5,1,2.41,4,alm,0.8986674926152262,False,0.7389533102196773
6,1,2.41,4,alm,0.9664561328421748,True,0.8067419504466259
