ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,2.41,4,alm,0.6013277490649583,False,0.41065966838087964
2,0,2.41,4,alm,0.944069834079629,True,0.7534017533955503
3,0,2.41,4,alm,0.862783128165993,False,0.6721150474819143
4,0,2.41,4,alm,0.23283586171550336,True,0.042167781031424684
5,0,2.41,4,alm,0.899972716529167,False,0.7093046358450883
6,0,2.41,4,alm,0.7422761249560155,False,0.5516080442719368
7,0,2.41,4,alm,0.8373587060607275,False,0.6466906253766488
8,0,2.41,4,alm,0.8773229324061841,False,0.6866548517221054
9,0,2.41,4,alm,0.8081364995021649,True,0.6174684188180862
10,0,2.41,4,alm,0.8913545852291973,False,0.7006865045451186
11,0,2.41,4,alm,0.7521882749920898,False,0.5615201943080111
12,0,2.41,4,alm,0.8791181801993133,False,0.6884500995152346
13,0,2.41,4,alm,0.7134212939487617,False,0.522753213264683
14,0,2.41,4,alm,0.7388341880589987,True,0.54816610737492
15,0,2.41,4,alm,0.25931747477689826,True,0.06864939409281959
16,0,2.41,4,alm,0.8793691504391102,False,0.6887010697550315
17,0,2.41,4,alm,0.7214277388818382,False,0.5307596581977595
18,0,2.41,4,alm,0.8243789146851974,False,0.6337108340011187
19,0,2.41,4,alm,0.7127110976012379,False,0.5220430169171592
20,0,2.41,4,alm,0.6466394723770348,False,0.4559713916929561
21,0,2.41,4,alm,0.9044903801735078,True,0.7138222994894291
22,0,2.41,4,alm,0.7222046409978736,True,0.5315365603137949
23,0,2.41,4,alm,0.909534931700415,False,0.7188668510163363
24,0,2.41,4,alm,0.843551838140678,True,0.6528837574565993
25,0,2.41,4,alm,0.757088661398778,False,0.5664205807146993
26,0,2.41,4,alm,0.9152942815819799,False,0.7246262008979012
27,0,2.41,4,alm,0.7589216053141843,False,0.5682535246301056
28,0,2.41,4,alm,0.8727790950830988,False,0.6821110143990201
29,0,2.41,4,alm,0.8893447867572544,False,0.6986767060731757
30,0,2.41,4,alm,0.8959457992249756,False,0.7052777185408969
31,0,2.41,4,alm,0.8386590643363109,False,0.6479909836522322
32,0,2.41,4,alm,0.8525230259636685,False,0.6618549452795898
33,0,2.41,4,alm,0.8506175240993745,False,0.6599494434152958
34,0,2.41,4,alm,0.82314802502066,False,0.6324799443365813
35,0,2.41,4,alm,0.8995042524326182,True,0.7088361717485395
36,0,2.41,4,alm,0.8928314609736698,False,0.7021633802895911
37,0,2.41,4,alm,0.9205797088298461,False,0.7299116281457674
38,0,2.41,4,alm,0.8762845280633513,False,0.6856164473792726
39,0,2.41,4,alm,0.8805567299586035,False,0.6898886492745248
40,0,2.41,4,alm,0.5155980933198621,True,0.32493001263578336
41,0,2.41,4,alm,0.7910045085210455,True,0.6003364278369668
42,0,2.41,4,alm,0.8645013397997301,False,0.6738332591156514
43,0,2.41,4,alm,0.8464730963506459,False,0.6558050156665672
44,0,2.41,4,alm,0.7266995779109455,True,0.5360314972268668
45,0,2.41,4,alm,0.632935973663576,True,0.4422678929794973
46,0,2.41,4,alm,0.8810688451768778,False,0.6904007644927991
47,0,2.41,4,alm,0.6267040437150981,False,0.43603596303101944
1,1,2.41,4,alm,0.6194107530122587,True,0.42874267232818
2,1,2.41,4,alm,0.8606316237815976,True,0.6699635430975189
3,1,2.41,4,alm,0.8722730469262745,True,0.6816049662421958
4,1,2.41,4,alm,0.9839800909935826,True,0.7933120103095039
5,1,2.41,4,alm,0.824232764263704,False,0.6335646835796253
6,1,2.41,4,alm,0.8563123767297043,True,0.6656442960456256
7,1,2.41,4,alm,0.684011492749629,True,0.4933434120655503
8,1,2.41,4,alm,0.6034190399793145,True,0.41275095929523575
9,1,2.41,4,alm,0.8758132957095401,False,0.6851452150254614
10,1,2.41,4,alm,0.8323885018780182,False,0.6417204211939395
11,1,2.41,4,alm,0.9226758391934119,False,0.7320077585093332
12,1,2.41,4,alm,0.898163224147358,True,0.7074951434632794
13,1,2.41,4,alm,0.7372025792615418,False,0.5465344985774631
14,1,2.41,4,alm,0.9356304698435839,False,0.7449623891595052
15,1,2.41,4,alm,0.7865635503426016,False,0.5958954696585229
16,1,2.41,4,alm,0.8920721600758637,False,0.701404079391785
17,1,2.41,4,alm,0.8662744392623841,False,0.6756063585783054
18,1,2.41,4,alm,0.8603189038325224,True,0.6696508231484437
19,1,2.41,4,alm,0.7494792248329054,False,0.5588111441488267
20,1,2.41,4,alm,0.8858223007382898,False,0.6951542200542111
21,1,2.41,4,alm,0.8755957476132746,False,0.6849276669291959
22,1,2.41,4,alm,0.8886809121128657,False,0.698012831428787
23,1,2.41,4,alm,0.8834597445633277,False,0.692791663879249
24,1,2.41,4,alm,0.9231061012481983,True,0.7324380205641196
25,1,2.41,4,alm,0.9094871762386763,True,0.7188190955545976
26,1,2.41,4,alm,0.9185148784233134,False,0.7278467977392347
27,1,2.41,4,alm,0.8497845121820855,False,0.6591164314980068
28,1,2.41,4,alm,0.86004393771792,False,0.6693758570338413
29,1,2.41,4,alm,0.756463732079176,False,0.5657956513950974
30,1,2.41,4,alm,0.7799814822837856,False,0.5893134015997069
31,1,2.41,4,alm,0.8930757905648854,False,0.7024077098808067
32,1,2.41,4,alm,0.7955658361294968,False,0.6048977554454181
33,1,2.41,4,alm,0.7493796824602836,False,0.5587116017762049
34,1,2.41,4,alm,0.9753048593968433,True,0.7846367787127646
35,1,2.41,4,alm,0.9658846972369582,True,0.7752166165528795
36,1,2.41,4,alm,0.9213932402272711,False,0.7307251595431924
37,1,2.41,4,alm,0.8647839965203264,False,0.6741159158362477
38,1,2.41,4,alm,0.8112006982489497,False,0.620532617564871
39,1,2.41,4,alm,0.9320742241676226,False,0.741406143483544
40,1,2.41,4,alm,0.9576471641027107,False,0.766979083418632
41,1,2.41,4,alm,0.5377709941139052,True,0.34710291342982647
42,1,2.41,4,alm,0.3529014730498439,True,0.1622333923657652
43,1,2.41,4,alm,0.7271759541450561,False,0.5365078734609774
44,1,2.41,4,alm,0.8167699290363677,False,0.626101848352289
45,1,2.41,4,alm,0.9199678681412419,True,0.7292997874571632
46,1,2.41,4,alm,0.831758832079427,False,0.6410907513953483
47,1,2.41,4,alm,0.8354463984877067,False,0.644778317803628
1,2,2.41,4,alm,0.8734926170744352,True,0.6828245363903565
2,2,2.41,4,alm,0.9246421475868083,False,0.7339740669027296
3,2,2.41,4,alm,0.9010623443588571,False,0.7103942636747784
4,2,2.41,4,alm,0.8911071460284482,False,0.7004390653443695
5,2,2.41,4,alm,0.8431892421150305,False,0.6525211614309518
6,2,2.41,4,alm,0.9599573947215221,True,0.7692893140374434
7,2,2.41,4,alm,0.8458207445258162,False,0.6551526638417375
8,2,2.41,4,alm,0.9133427041277132,False,0.7226746234436345
9,2,2.41,4,alm,0.9318401505375389,True,0.7411720698534602
10,2,2.41,4,alm,0.8816486723624679,True,0.6909805916783892
11,2,2.41,4,alm,0.7803996815883545,False,0.5897316009042758
12,2,2.41,4,alm,0.7683424374285082,True,0.5776743567444295
13,2,2.41,4,alm,0.5261250875599379,True,0.3354570068758592
14,2,2.41,4,alm,0.9496019507775182,False,0.7589338700934395
15,2,2.41,4,alm,0.8685406042705865,False,0.6778725235865078
16,2,2.41,4,alm,0.9402695692990208,False,0.7496014886149421
17,2,2.41,4,alm,0.9485965352314585,True,0.7579284545473798
18,2,2.41,4,alm,0.8543751533313291,False,0.6637070726472504
19,2,2.41,4,alm,0.917857363019305,False,0.7271892823352263
20,2,2.41,4,alm,0.7980672786336542,False,0.6073991979495755
21,2,2.41,4,alm,0.9226931787372266,False,0.7320250980531479
22,2,2.41,4,alm,0.8976031163857978,False,0.7069350357017191
23,2,2.41,4,alm,0.8949879443141875,False,0.7043198636301088
24,2,2.41,4,alm,0.8349807211220013,False,0.6443126404379226
25,2,2.41,4,alm,0.9350523202243342,False,0.7443842395402555
26,2,2.41,4,alm,0.7796520809668234,False,0.5889840002827447
1,3,2.41,4,alm,0.6884043915914846,False,0.4977363109074059
2,3,2.41,4,alm,0.4086567922809225,True,0.21798871159684383
3,3,2.41,4,alm,0.6722624849047714,False,0.48159440422069266
4,3,2.41,4,alm,0.452769519914361,True,0.2621014392302823
5,3,2.41,4,alm,0.49867631497693754,False,0.30800823429285884
6,3,2.41,4,alm,0.7310815806490853,False,0.5404134999650066
7,3,2.41,4,alm,0.648417485068527,False,0.45774940438444833
8,3,2.41,4,alm,0.7427776892794025,False,0.5521096085953238
9,3,2.41,4,alm,0.7469086928309376,False,0.5562406121468589
10,3,2.41,4,alm,0.5998157825672543,False,0.4091477018831756
11,3,2.41,4,alm,0.30807666238371156,True,0.11740858169963289
12,3,2.41,4,alm,0.804897506752203,True,0.6142294260681243
13,3,2.41,4,alm,0.8018604449379456,False,0.6111923642538669
14,3,2.41,4,alm,0.9099860625477921,True,0.7193179818637134
15,3,2.41,4,alm,0.4999980248220023,True,0.3093299441379236
16,3,2.41,4,alm,0.7360923941770835,False,0.5454243134930048
17,3,2.41,4,alm,0.5584510470115627,False,0.367782966327484
18,3,2.41,4,alm,0.7965362939799719,False,0.6058682132958932
19,3,2.41,4,alm,0.680690447582035,False,0.4900223668979563
20,3,2.41,4,alm,0.8548613399252307,False,0.664193259241152
21,3,2.41,4,alm,0.8252227121768136,False,0.6345546314927349
22,3,2.41,4,alm,0.955914397327426,False,0.7652463166433473
23,3,2.41,4,alm,0.7044489689666091,False,0.5137808882825304
