ObjectNumber,Metadata_site,Metadata_concentration,Metadata_hour,Metadata_treatment,Predicted_Probability,Is_Test,S
1,0,6.06,4,osi,0.9404819301895293,True,0.7799562280696966
2,0,6.06,4,osi,0.8675299980417203,False,0.7070042959218876
3,0,6.06,4,osi,0.9302059745730455,False,0.7696802724532128
4,0,6.06,4,osi,0.9597040565298446,True,0.799178354410012
5,0,6.06,4,osi,0.9489726342770556,True,0.788446932157223
6,0,6.06,4,osi,0.9400663522405954,False,0.7795406501207627
7,0,6.06,4,osi,0.9102485430522353,False,0.7497228409324026
8,0,6.06,4,osi,0.9126481553734755,False,0.7521224532536428
9,0,6.06,4,osi,0.9077415550570059,False,0.7472158529371733
10,0,6.06,4,osi,0.8937779022729437,True,0.733252200153111
11,0,6.06,4,osi,0.9521523852394763,False,0.7916266831196437
12,0,6.06,4,osi,0.8940399564959967,True,0.7335142543761639
13,0,6.06,4,osi,0.9297714877606268,False,0.7692457856407942
14,0,6.06,4,osi,0.9393745688127568,False,0.7788488666929241
15,0,6.06,4,osi,0.9423684658238688,False,0.7818427637040362
16,0,6.06,4,osi,0.9295700627958849,True,0.7690443606760522
17,0,6.06,4,osi,0.947171353376412,False,0.7866456512565794
18,0,6.06,4,osi,0.9712468724795545,False,0.8107211703597219
19,0,6.06,4,osi,0.9679053211924202,False,0.8073796190725875
20,0,6.06,4,osi,0.8451808219347867,False,0.684655119814954
21,0,6.06,4,osi,0.9187017505060157,False,0.758176048386183
22,0,6.06,4,osi,0.9791662171870357,False,0.8186405150672029
23,0,6.06,4,osi,0.5914179287859743,True,0.43089222666614163
24,0,6.06,4,osi,0.9571527583433369,False,0.7966270562235043
25,0,6.06,4,osi,0.9367567481260531,False,0.7762310460062205
26,0,6.06,4,osi,0.9609082681791226,False,0.8003825660592898
27,0,6.06,4,osi,0.9352631252037122,False,0.7747374230838795
28,0,6.06,4,osi,0.7468982015038625,False,0.5863724993840298
29,0,6.06,4,osi,0.9222613832383484,False,0.7617356811185156
30,0,6.06,4,osi,0.8844885364454852,False,0.7239628343256526
31,0,6.06,4,osi,0.9285564117343753,False,0.7680307096145427
32,0,6.06,4,osi,0.9236722388637754,False,0.7631465367439427
33,0,6.06,4,osi,0.9493207761381367,True,0.7887950740183041
34,0,6.06,4,osi,0.9409339649202163,False,0.7804082628003837
35,0,6.06,4,osi,0.9695856014021619,True,0.8090598992823292
36,0,6.06,4,osi,0.944009272610707,False,0.7834835704908742
37,0,6.06,4,osi,0.8498944778599192,False,0.6893687757400866
38,0,6.06,4,osi,0.9619984107915771,False,0.8014727086717444
39,0,6.06,4,osi,0.6015924559468973,True,0.44106675382706456
40,0,6.06,4,osi,0.9289359936894817,False,0.7684102915696489
41,0,6.06,4,osi,0.8062105675414143,False,0.6456848654215817
42,0,6.06,4,osi,0.9759717382460288,False,0.8154460361261961
43,0,6.06,4,osi,0.8006679130234782,True,0.6401422109036454
1,1,6.06,4,osi,0.9108397958789165,True,0.7503140937590838
2,1,6.06,4,osi,0.9195728771102838,False,0.759047174990451
3,1,6.06,4,osi,0.9000982578543862,False,0.7395725557345536
4,1,6.06,4,osi,0.707400809777263,True,0.5468751076574303
5,1,6.06,4,osi,0.9187358560322618,True,0.7582101539124291
6,1,6.06,4,osi,0.8019749175490578,False,0.6414492154292251
7,1,6.06,4,osi,0.9350545715810122,False,0.7745288694611796
8,1,6.06,4,osi,0.8685493105329025,False,0.7080236084130698
9,1,6.06,4,osi,0.6283276831753479,False,0.46780198105551524
10,1,6.06,4,osi,0.7865758598350745,True,0.6260501577152418
11,1,6.06,4,osi,0.7550038927314342,True,0.5944781906116015
12,1,6.06,4,osi,0.8254670717129595,False,0.6649413695931268
13,1,6.06,4,osi,0.898698743204789,False,0.7381730410849563
14,1,6.06,4,osi,0.7804131824957369,False,0.6198874803759042
15,1,6.06,4,osi,0.6578605432980785,True,0.49733484117824583
16,1,6.06,4,osi,0.795000930405194,False,0.6344752282853614
17,1,6.06,4,osi,0.4460229868459522,True,0.2854972847261195
18,1,6.06,4,osi,0.7215885213899157,False,0.5610628192700831
19,1,6.06,4,osi,0.8564445967197274,False,0.6959188945998946
20,1,6.06,4,osi,0.596568134983872,False,0.43604243286403926
21,1,6.06,4,osi,0.8419424765704013,False,0.6814167744505686
22,1,6.06,4,osi,0.840914093299074,True,0.6803883911792412
23,1,6.06,4,osi,0.5321826050073752,False,0.37165690288754255
24,1,6.06,4,osi,0.6300560892219245,False,0.4695303871020918
25,1,6.06,4,osi,0.7494858665676224,False,0.5889601644477898
26,1,6.06,4,osi,0.7454356625413674,True,0.5849099604215346
27,1,6.06,4,osi,0.7071349133708494,False,0.5466092112510168
28,1,6.06,4,osi,0.8158114484400197,False,0.6552857463201871
29,1,6.06,4,osi,0.7379700082627297,False,0.5774443061428971
30,1,6.06,4,osi,0.6982513870155874,False,0.5377256848957548
31,1,6.06,4,osi,0.8210619454561814,False,0.6605362433363486
32,1,6.06,4,osi,0.743660357571813,False,0.5831346554519803
33,1,6.06,4,osi,0.23538293027352925,True,0.07485722815369655
34,1,6.06,4,osi,0.7764767984681621,False,0.6159510963483295
35,1,6.06,4,osi,0.8679376626727947,False,0.7074119605529621
36,1,6.06,4,osi,0.8748571534859829,False,0.7143314513661503
37,1,6.06,4,osi,0.6690269471900309,False,0.5085012450701982
38,1,6.06,4,osi,0.7663192977699435,False,0.6057935956501108
39,1,6.06,4,osi,0.6219673752883246,False,0.4614416731684919
40,1,6.06,4,osi,0.6595567364769017,False,0.499031034357069
41,1,6.06,4,osi,0.777090197382161,False,0.6165644952623284
42,1,6.06,4,osi,0.6623110179949179,False,0.5017853158750851
43,1,6.06,4,osi,0.946203350982494,True,0.7856776488626613
1,10,6.06,4,osi,0.8741709729903693,False,0.7136452708705365
2,10,6.06,4,osi,0.9113887129488262,False,0.7508630108289935
3,10,6.06,4,osi,0.9520148075517592,True,0.7914891054319264
4,10,6.06,4,osi,0.8991706503224869,True,0.7386449482026543
5,10,6.06,4,osi,0.9388227499601953,False,0.7782970478403626
6,10,6.06,4,osi,0.9761400583526767,True,0.815614356232844
7,10,6.06,4,osi,0.9768204329594546,True,0.816294730839622
8,10,6.06,4,osi,0.976271160263179,True,0.8157454581433463
9,10,6.06,4,osi,0.959030471409911,True,0.7985047692900784
10,10,6.06,4,osi,0.751328298434484,True,0.5908025963146513
11,10,6.06,4,osi,0.9092254971060918,False,0.748699794986259
12,10,6.06,4,osi,0.9566170273040215,False,0.7960913251841888
13,10,6.06,4,osi,0.9771955830061717,False,0.8166698808863391
14,10,6.06,4,osi,0.9796058185239038,True,0.8190801164040711
15,10,6.06,4,osi,0.907993198212069,True,0.7474674960922363
16,10,6.06,4,osi,0.8785313374130848,False,0.718005635293252
17,10,6.06,4,osi,0.8617889846319781,True,0.7012632825121454
18,10,6.06,4,osi,0.9666266884483754,False,0.8061009863285427
19,10,6.06,4,osi,0.9619609193585339,False,0.8014352172387011
20,10,6.06,4,osi,0.9755770564427311,True,0.8150513543228983
1,11,6.06,4,osi,0.9554942325958358,False,0.794968530476003
2,11,6.06,4,osi,0.8267164397559181,True,0.6661907376360854
3,11,6.06,4,osi,0.8892608070900861,False,0.7287351049702535
4,11,6.06,4,osi,0.8946708410623735,False,0.7341451389425409
5,11,6.06,4,osi,0.9098440258595237,False,0.749318323739691
6,11,6.06,4,osi,0.7522020794901085,False,0.5916763773702758
7,11,6.06,4,osi,0.9123025374953093,False,0.7517768353754766
8,11,6.06,4,osi,0.6736306048942247,False,0.5131049027743919
9,11,6.06,4,osi,0.9044279848082544,False,0.7439022826884216
1,12,6.06,4,osi,0.9436872916184991,False,0.7831615894986663
2,12,6.06,4,osi,0.9086281422033275,True,0.7481024400834948
