Metadata_hour,Metadata_treatment,Ed
8,control,1.899209478
8,control,1.810663571
8,control,1.557503245
8,control,1.451137853
8,control,1.136398198
8,control,1.118264847
8,control,1.092309234
8,control,1.018140745
8,control,0.994322006
8,control,0.989576398
8,control,0.97859757
8,control,0.977911395
8,control,0.948227681
8,control,0.898163261
8,control,0.883959642
8,control,0.869518902
8,control,0.863367526
8,control,0.863159904
8,control,0.824791084
8,control,0.822042445
8,control,0.807093751
8,control,0.798864153
8,control,0.798092031
8,control,0.77471847
8,control,0.768901237
8,control,0.734076597
8,control,0.728201956
8,control,0.726318256
8,control,0.699650192
8,control,0.698248713
8,control,0.691370584
8,control,0.687137393
8,control,0.684538905
8,control,0.649659228
8,control,0.648617757
8,control,0.645608102
8,control,0.636725274
8,control,0.592504926
8,control,0.586748284
8,control,0.571282042
8,control,0.553048587
8,control,0.549059867
8,control,0.531550484
8,control,0.522040908
8,control,0.510380766
8,control,0.501425458
8,control,0.475442034
8,control,0.472743171
8,control,0.38044188
8,gef,3.99947196
8,gef,2.005873859
8,gef,1.755836212
8,gef,1.676582728
8,gef,1.664663987
8,gef,1.445974206
8,gef,1.328335414
8,gef,1.286043842
8,gef,1.284691475
8,gef,1.271494678
8,gef,1.247889855
8,gef,1.221185777
8,gef,1.179663947
8,gef,1.158659429
8,gef,1.109524078
8,gef,1.09321266
8,gef,1.063610839
8,gef,1.049674188
8,gef,1.038763807
8,gef,1.028643199
8,gef,1.027252636
8,gef,1.012092165
8,gef,1.009299144
8,gef,0.995521856
8,gef,0.992592278
8,gef,0.990954092
8,gef,0.978199189
8,gef,0.97587599
8,gef,0.944091191
8,gef,0.933524643
8,gef,0.910779667
8,gef,0.901773911
8,gef,0.892253731
8,gef,0.883178501
8,gef,0.881819135
8,gef,0.869327468
8,gef,0.864649614
8,gef,0.858678308
8,gef,0.85863364
8,gef,0.855558875
8,gef,0.855313386
8,gef,0.830929683
8,gef,0.824905502
8,gef,0.814700942
8,gef,0.804148102
8,gef,0.803885475
8,gef,0.789991921
8,gef,0.788495273
8,gef,0.787226138
8,gef,0.786517931
8,gef,0.749033154
8,gef,0.746020033
8,gef,0.745127764
8,gef,0.744201662
8,gef,0.740001603
8,gef,0.729958492
8,gef,0.72356674
8,gef,0.707644963
8,gef,0.675189631
8,gef,0.618558344
8,gef,0.609514176
8,gef,0.606003559
8,gef,0.591472838
8,gef,0.559409315
8,gef,0.553678248
8,gef,0.512358375
8,afa,2.734876944
8,afa,2.601082087
8,afa,2.524448081
8,afa,2.508460306
8,afa,2.451448038
8,afa,2.413563277
8,afa,1.840482284
