Metadata_hour,Metadata_treatment,Ed
4,control,0.243584231
4,control,0.233888896
4,control,0.222899029
4,control,0.226078078
4,control,0.146922497
4,control,0.133232519
4,control,0.154070177
4,control,0.142491222
4,control,0.120272915
4,control,0.10157675
4,control,0.103118052
4,control,0.131225958
4,control,0.143645028
4,control,0.262379747
4,control,0.289920416
4,control,0.27466978
4,control,0.293857804
4,control,0.292943567
4,control,0.188328261
4,control,0.185784007
4,control,0.181605452
4,control,0.198431441
4,control,0.187592849
4,control,0.167419221
4,control,0.132300889
4,control,0.159457813
4,control,0.136554701
4,control,0.152373155
4,control,0.117107329
4,control,0.125480434
4,control,0.093608231
4,control,0.107470085
4,control,0.072909343
4,control,0.056855094
4,control,0.173362
4,control,0.148339939
4,control,0.16346128
4,control,0.473217722
4,control,0.523099705
4,control,0.273941004
4,control,0.314517779
4,control,0.266029573
4,control,0.130140207
4,control,0.165565133
4,control,0.154127009
4,control,0.147719773
4,control,0.15449383
4,control,0.244384329
4,control,0.274916893
4,control,0.246861402
4,control,0.243627731
4,control,0.277607022
4,control,0.260928072
4,control,0.160503458
4,control,0.194784704
4,control,0.199213496
4,control,0.200043639
4,control,0.208537154
4,control,0.101842403
4,control,0.10766122
4,control,0.084771387
4,control,0.130445762
4,control,0.241485221
4,control,0.239891589
4,control,0.235188699
4,control,0.191318729
4,control,0.172344106
4,control,0.177769798
4,control,0.05656315
4,control,0.096037576
4,control,0.097377844
4,control,0.095177136
4,control,0.032935657
4,control,0.017739479
4,control,0.020357551
4,control,0.146633296
4,control,0.165727816
4,control,0.191093656
4,control,0.201038843
4,control,0.245981376
4,control,0.11830656
4,control,0.191479848
4,control,0.185170115
4,control,0.162322208
4,control,0.037736849
4,control,0.113261944
4,control,0.106686743
4,control,0.082136082
4,control,0.185295171
4,control,0.12181688
4,control,0.167184775
4,control,0.191150921
4,control,0.138008987
4,control,0.150121178
4,control,0.13553759
4,control,0.214613821
4,control,0.224217892
4,control,0.201646876
4,control,0.099261425
4,control,0.141881158
4,control,0.152231901
4,control,0.123382438
4,control,0.098066039
4,control,0.111499994
4,control,0.080333097
4,control,0.024111167
4,control,0.028811607
4,control,0.141320533
4,control,0.109478725
4,control,0.187687361
4,control,0.245459188
4,control,0.195421577
4,control,0.184126781
4,control,0.261577597
4,control,0.280320008
4,control,0.085083431
4,control,0.133015777
4,control,0.104729317
4,control,0.140662181
4,control,0.216588727
4,control,0.175737495
4,control,0.16757742
4,control,0.209807592
4,control,0.067791374
4,control,0.064479238
4,control,0.081018662
4,control,0.133914725
4,control,0.124143185
4,control,0.125742905
4,control,0.108552699
4,control,0.10451675
4,control,0.17388868
4,control,0.128229414
4,control,0.149595893
4,control,0.164350484
4,control,0.126727881
4,control,0.238204378
4,control,0.048482044
4,control,0.052912903
4,control,0.045760189
4,control,0.183166701
4,control,0.190107357
4,control,0.210905477
4,control,0.130363264
4,control,0.098450668
4,control,0.110365664
4,control,0.138464944
4,control,0.213382771
4,control,0.258720611
4,control,0.264572563
4,control,0.011656887
4,control,0.024903249
