Label,Predicted_Probability
control,0.2399460764957385
osimertinib,0.8395555386217692
control,0.5013703114936612
osimertinib,0.8626834440906963
osimertinib,0.724217425693373
control,0.5149449828402931
osimertinib,0.7184037703348077
control,0.41107110199035024
osimertinib,0.5888386395644164
osimertinib,0.38598758307192477
osimertinib,0.4536318120189785
control,0.20717188194746092
osimertinib,0.8441180077080401
osimertinib,0.6791945616675585
control,0.5145080412464712
osimertinib,0.7788758751384692
osimertinib,0.5717113528197555
osimertinib,0.5441817865508799
osimertinib,0.12595474256487085
control,0.24208271696974554
osimertinib,0.8507208539647785
osimertinib,0.558826607500676
control,0.29029829707256266
control,0.13214837779129102
control,0.191739847078147
osimertinib,0.4964015334400447
osimertinib,0.5986986296664587
control,0.4362275305687223
control,0.25115546162567115
control,0.2482581201765562
control,0.29596185753725035
osimertinib,0.7219910574623242
control,0.23800377394324723
control,0.3585108705374819
osimertinib,0.7940673533963241
osimertinib,0.6970351398418232
control,0.2375584300898553
osimertinib,0.7329720874452014
control,0.2093630255566156
osimertinib,0.8025592648331635
control,0.10855272857613388
control,0.09821719603700266
control,0.9039509782505242
control,0.3922732476233715
control,0.35533131074839575
control,0.20933747565756847
control,0.17102719942026212
control,0.41315977576959434
osimertinib,0.8080198180526643
osimertinib,0.21684994241523112
osimertinib,0.4441209494266463
osimertinib,0.8755432410293024
osimertinib,0.41578842178804754
osimertinib,0.5882635770391386
control,0.5381353797526429
control,0.4545416048616479
control,0.2367340875232026
control,0.06159890909533412
osimertinib,0.6141371202851843
control,0.3444585972519086
control,0.5869796892202742
control,0.19695551941702868
control,0.21274935154695074
control,0.16292554606442455
control,0.643956920210106
control,0.27118877540416664
control,0.22251418283610963
osimertinib,0.7515139396166866
osimertinib,0.5059211113828546
control,0.34203592158114976
osimertinib,0.2252273045309415
osimertinib,0.352456461475901
control,0.4571630375803225
osimertinib,0.6592095796336833
osimertinib,0.7666018773992219
osimertinib,0.48654809818444866
osimertinib,0.7436424768882605
control,0.5863411684660632
control,0.14577378270612873
osimertinib,0.3707993967723503
osimertinib,0.3498416230853293
osimertinib,0.48241971368192693
osimertinib,0.623014285742649
control,0.40323435887307724
osimertinib,0.5235413915055295
control,0.5495192229007311
control,0.3843159882285583
osimertinib,0.5017993664994493
osimertinib,0.19227678651258892
osimertinib,0.6332963763389177
osimertinib,0.7215777871688401
osimertinib,0.5052469819719946
osimertinib,0.7582429455812718
osimertinib,0.5832760111176187
control,0.37351659893701106
control,0.4791602493334389
osimertinib,0.755894640457678
