Label,Predicted_Probability
control,0.1121754721496008
control,0.7402117944513046
gefitinib,0.8176388168670636
control,0.08319281192278213
control,0.13371391505421315
control,0.04041411463905879
control,0.07642199190546711
gefitinib,0.9147717404040474
gefitinib,0.9665267118683435
gefitinib,0.8269613363148798
control,0.05861453052348581
control,0.11410810349939297
gefitinib,0.9814731669086638
gefitinib,0.9096014844885356
gefitinib,0.9720618841188446
gefitinib,0.8993994259852591
gefitinib,0.7137673516989803
control,0.9190842115482036
gefitinib,0.9837220361114435
gefitinib,0.9799106675425907
gefitinib,0.2246720798144332
gefitinib,0.925065651473697
control,0.7136474190504971
gefitinib,0.8784412765818473
control,0.33113247989947125
control,0.04636761317109602
control,0.38151665315374744
gefitinib,0.8291814159056742
gefitinib,0.9981216078357992
control,0.6462584371892467
control,0.20613802058791894
gefitinib,0.7265793106605765
control,0.023955297552393163
gefitinib,0.898533024263106
gefitinib,0.19860775529994562
control,0.06362042950036206
control,0.2770415261577696
control,0.515532348891059
control,0.2810760953085804
gefitinib,0.9742903835835348
control,0.26475365110802185
gefitinib,0.5879917361013043
control,0.04748508643332114
control,0.08784983321039345
gefitinib,0.9808150844704644
gefitinib,0.9408074260621463
gefitinib,0.8005989256010247
control,0.3562980611152364
gefitinib,0.9447206549357858
gefitinib,0.9904378510003733
gefitinib,0.7701792405700059
control,0.7398123351349476
control,0.0409124667968198
control,0.5549729688272965
control,0.10667785632969969
gefitinib,0.7361489654748155
control,0.1412264569310731
gefitinib,0.5191724669951954
control,0.4038952946434232
control,0.2005096854701242
control,0.06509408719007406
control,0.3255634759164998
control,0.1667272057785733
control,0.22364022504879646
gefitinib,0.8915647386771306
control,0.00312264835480133
gefitinib,0.8367695319406634
control,0.057981650983585806
control,0.0798612187448448
gefitinib,0.7123511477559015
gefitinib,0.919732604339534
control,0.6996633511595582
gefitinib,0.9363861800045837
control,0.6013935771603116
control,0.3703261832170576
control,0.07574202034961822
gefitinib,0.8808923298494771
control,0.6043642802297816
control,0.45873059183699805
gefitinib,0.6139652546857868
gefitinib,0.9301356458186497
gefitinib,0.8105018359761139
control,0.4039279387190316
control,0.23923200286575894
gefitinib,0.9837964959401513
control,0.448373388998706
control,0.3066358378993962
