Label,Predicted_Probability
control,0.029046799606931732
control,0.02845672560054322
control,0.017929264913975597
regorafenib,0.9553400432546848
regorafenib,0.9506797519096859
control,0.0009702700477536655
control,0.016857506547552584
control,0.012425999550689426
regorafenib,0.9429105772426392
control,0.006721553956214335
control,0.011723183900829206
regorafenib,0.9825416137970346
regorafenib,0.9879384773941439
control,0.02552253782479863
regorafenib,0.9898759206448418
control,0.010025597666709204
regorafenib,0.9882135830062369
control,0.01444313958571436
control,0.025487370378440836
control,0.0045172689811311
control,0.03638545950848688
regorafenib,0.9919922785641504
control,0.007975918621551807
regorafenib,0.9764538662728747
control,0.030015473441562922
regorafenib,0.9911604672990795
control,0.010616565732466474
regorafenib,0.6842282557840832
control,0.011062565967307264
control,0.022505309302168954
control,0.018711565532113904
control,0.0163585756706218
regorafenib,0.9878469554004357
regorafenib,0.9830999205310244
control,0.0032666717566458684
regorafenib,0.9920194107003839
regorafenib,0.9827267333318254
control,0.011537351243401064
control,0.03423799651351689
control,0.017698002109236072
control,0.006396344682380375
regorafenib,0.9483463016654072
control,0.015363289071737568
control,0.017387441995706972
regorafenib,0.9848610016760653
control,0.026006650485758082
regorafenib,0.9870125516210149
control,0.010179497191181485
control,0.024222142120099845
regorafenib,0.9873996844526655
control,0.02324071763973066
control,0.021296083517215035
control,0.010503829355173938
control,0.016096729122407942
regorafenib,0.9312122729996574
regorafenib,0.9834059311244057
control,0.09136642738688246
regorafenib,0.9535848985677031
regorafenib,0.8841641463909891
control,0.015424936701679364
control,0.016632332284354883
control,0.010544732508793253
control,0.013864785224739992
control,0.04217475925471267
regorafenib,0.9791447398722262
control,0.012281913597141958
control,0.01450143174200631
regorafenib,0.9926082220145422
regorafenib,0.9829951536871115
control,0.017749262508769296
regorafenib,0.9780331828538257
control,0.008798976203204394
control,0.005530854210977853
regorafenib,0.9877183505797511
control,0.00852571208320289
control,0.009239736338022171
control,0.017848443476478005
regorafenib,0.9389290785993719
control,0.010875124871254561
regorafenib,0.9924296045747927
regorafenib,0.9927327642868529
control,0.010738763380887736
control,0.017751383800391332
regorafenib,0.9927003688677786
