Label,Predicted_Probability
control,0.003797774784171263
control,0.009036179981217123
control,0.005787007649057168
sorafenib,0.9934597748151409
control,0.013915286612390674
sorafenib,0.9927619740761834
control,0.004354635272387101
control,0.010872700143976222
sorafenib,0.9862921282197197
sorafenib,0.9713647117873603
control,0.005227498266564742
sorafenib,0.9936906397603547
sorafenib,0.9894181539035298
control,0.007626252266197292
sorafenib,0.9766184040370527
sorafenib,0.9904400058575993
control,0.0026307072556229667
control,0.011175563604669111
control,0.012593923391981562
control,0.009377543757064118
control,0.006227628120640387
sorafenib,0.9954775471621724
control,0.005355923117005184
sorafenib,0.993371673787076
control,0.009626028188448859
control,0.006389659850205157
control,0.005732402639978373
control,0.004303734124429642
control,0.006726169299907575
sorafenib,0.9789968654375981
sorafenib,0.9820922853372871
sorafenib,0.9918057255855691
control,0.005603879942850526
sorafenib,0.9952102463054258
control,0.0046795040406074915
control,0.006879431820849177
control,0.010029577551706388
control,0.006609776695638378
control,0.01147678150505958
control,0.0051071999291359745
sorafenib,0.9811975087634961
control,0.00823044803140574
control,0.005039539234982389
control,0.0060361736677826735
sorafenib,0.9865428985187614
control,0.018057628747009113
control,0.006024415367308829
control,0.007700726384408168
sorafenib,0.9844407840473824
control,0.0054905107342829145
sorafenib,0.9954413708873056
control,0.0072358087636944695
sorafenib,0.9877357477854728
sorafenib,0.9964800357749131
sorafenib,0.9911811442873425
control,0.006063808970258514
sorafenib,0.988978773847516
control,0.007754070556608629
sorafenib,0.990501653392017
control,0.012483528256500679
sorafenib,0.9809188300185943
control,0.005266535561083114
control,0.0064291408067080795
sorafenib,0.9870458868320862
sorafenib,0.9948939092647973
sorafenib,0.9885247910716313
sorafenib,0.994260532506823
control,0.006131935804014711
control,0.005571837153507736
sorafenib,0.9916587137919143
sorafenib,0.9899202572490173
control,0.014141927518683184
control,0.0018874612407732178
control,0.008093331820340204
sorafenib,0.9093589129830539
control,0.008269937530476569
control,0.007047194394086136
sorafenib,0.9955454435119853
control,0.0076072364087013886
control,0.008859562736997308
control,0.005622987825495886
sorafenib,0.9913537481974417
control,0.010816083138492196
control,0.007135238041882837
