Label,Predicted_Probability
sorafenib,0.9128166450609025
control,0.07843125282889446
control,0.04898532438270371
control,0.11696869273626605
control,0.08673198999355952
control,0.1729417493191347
control,0.1455917719485776
sorafenib,0.3649326936515836
control,0.13263520166786044
control,0.12658582318261077
control,0.05177282628705578
sorafenib,0.8957723134716788
control,0.19190946362553551
sorafenib,0.4771950608489749
control,0.09091476960836825
control,0.028534900301308973
control,0.04626808276096305
sorafenib,0.8809056533013259
control,0.07353542086981325
sorafenib,0.7358671887810588
control,0.08812980963553195
control,0.07060430874413413
control,0.21434516162481732
control,0.08213962927310876
sorafenib,0.35403233506516896
sorafenib,0.8541544308234188
sorafenib,0.8829991893801091
control,0.07033468155312697
control,0.06905097488556457
control,0.06906494145143906
control,0.126651467315205
control,0.10721177358437631
control,0.7674002554670653
sorafenib,0.9251350227897299
control,0.0847255365935052
sorafenib,0.8869940598982122
control,0.07439376197660383
control,0.33666015108327685
control,0.28754672203208903
control,0.06096568042889646
control,0.2058497289276761
control,0.055941468264331974
control,0.09219536645093544
sorafenib,0.8742248820349536
control,0.07790758143187107
control,0.3859260267989766
control,0.05492000575222752
sorafenib,0.8820596152621494
sorafenib,0.7575944781759321
sorafenib,0.5952432788950215
control,0.5358017007380325
control,0.11703365314770994
control,0.03313476256892472
control,0.21654619951113802
sorafenib,0.8446899174053433
control,0.06571251044615747
control,0.15324172017195647
sorafenib,0.921857191938237
control,0.14140231406723847
sorafenib,0.6249189235683461
sorafenib,0.7662506072016968
control,0.07815694197567793
control,0.09497125525302083
control,0.37497119020405323
sorafenib,0.4360216897417878
sorafenib,0.4530091385599292
sorafenib,0.20544080772550238
sorafenib,0.14096866274156236
sorafenib,0.48294434379154805
sorafenib,0.48208735662059843
control,0.07529449404816538
control,0.07572526718631739
control,0.061863520288245856
control,0.06988877772827244
control,0.05727073196553384
control,0.12560814454137734
control,0.05880884910359054
sorafenib,0.8676123256833573
sorafenib,0.112605148563295
control,0.6461299464862273
sorafenib,0.8542190838485727
sorafenib,0.7741589005176485
control,0.1394374831411467
control,0.09285634199781158
sorafenib,0.6917826196243911
control,0.08974110678252441
control,0.3238677790260662
control,0.10823718438049383
control,0.07591925433790966
sorafenib,0.9057537680418882
control,0.07774419510150349
control,0.04369969403826925
sorafenib,0.8314610626606594
control,0.04968202749037936
sorafenib,0.4732009621204794
control,0.040671928299965555
control,0.4138473554905854
control,0.10621438133047297
control,0.1101532971516738
control,0.2504153884611406
sorafenib,0.880282193472482
control,0.05824682730805303
control,0.11054222351541085
control,0.32906009533569724
control,0.04429710791653798
control,0.20291998981589238
control,0.15184691901155944
sorafenib,0.7314736387493948
sorafenib,0.6926848028788208
control,0.20460758471091464
control,0.0891431707279933
control,0.3340080494469831
control,0.13119954548456428
sorafenib,0.8114994142102517
control,0.07212762687543871
control,0.15356631537051946
control,0.25679502568585777
control,0.10190730410442857
sorafenib,0.15121455230772382
sorafenib,0.2280123547453468
control,0.349566544254362
sorafenib,0.41787070660420733
control,0.09365677299713522
sorafenib,0.8484027611417906
control,0.32174217937724564
control,0.1794343086951795
sorafenib,0.393486293233995
sorafenib,0.31326672608460615
sorafenib,0.7685891780481475
control,0.33369048343262175
sorafenib,0.8863103847390257
control,0.41568513624194703
control,0.1424639273119399
control,0.2760299807433185
control,0.06343795851149156
sorafenib,0.645820588564408
control,0.07839607669749901
control,0.10689670697110268
sorafenib,0.8938268960090614
sorafenib,0.8071578402585583
control,0.3329531593623985
sorafenib,0.4639514426366026
sorafenib,0.5509292658144689
control,0.05549821497409961
sorafenib,0.8508132464363779
sorafenib,0.8092117624537799
control,0.26496085340820613
control,0.03846488912409905
control,0.14815069054958235
control,0.14110206813183976
control,0.3480680991109847
control,0.2539873284998142
control,0.11553454789959217
sorafenib,0.2315298158138328
control,0.048543094339069295
control,0.08476499336949615
control,0.12031000737669659
control,0.09007704442547981
control,0.050858803549472455
control,0.038550321295342194
control,0.03707468219897335
control,0.046440546260943974
sorafenib,0.8754097936150359
sorafenib,0.5861680054952756
control,0.030005502949706893
sorafenib,0.7456895496910371
control,0.0794101709984811
control,0.06186089524277218
control,0.08207195414799381
control,0.12136202603634846
control,0.12832289009480985
control,0.09438755918393923
sorafenib,0.9414617086595205
sorafenib,0.8687941665302923
control,0.042367440524894426
control,0.05194545177006622
sorafenib,0.7826631619900799
control,0.2571583785647199
control,0.13346623039404623
sorafenib,0.6292936795399038
control,0.15811212868191554
sorafenib,0.4132495344764494
control,0.0626732022303655
sorafenib,0.6851503522633662
control,0.1763951465413676
control,0.052931772906877506
sorafenib,0.8334698830750478
control,0.17870883452528394
sorafenib,0.6950209241544878
control,0.03830773760392856
control,0.3157472786833918
sorafenib,0.8140427213450654
control,0.054592048527976646
control,0.15559246052619763
sorafenib,0.07597983299059924
control,0.16037308665532254
control,0.08051737170000543
control,0.11299492924431738
control,0.16073449199375775
control,0.10393569160451333
control,0.4156159988725167
control,0.05356061986314191
control,0.5863993760438914
control,0.22675897676737383
control,0.05175669806014863
control,0.0739109178952157
control,0.06154863431406201
control,0.04905000961962824
control,0.33422790871883673
sorafenib,0.7182168561880845
control,0.08638081128468258
sorafenib,0.7259722830273452
control,0.0659445123471468
control,0.04639578450552871
sorafenib,0.3035636344515146
control,0.22363639872475255
sorafenib,0.6454462841093422
sorafenib,0.09448735136343858
sorafenib,0.6257910168412513
sorafenib,0.46617397203937017
control,0.325625404642151
sorafenib,0.8990109154134576
control,0.038207591249001555
control,0.12883923153605742
control,0.30328752045018703
control,0.44157454293215015
sorafenib,0.73036391510687
control,0.08570850821782025
sorafenib,0.7267022604180381
control,0.4814261884995713
control,0.4059354916911618
control,0.22069908586005998
control,0.4396663907469359
control,0.09488267812552184
control,0.07700827495121397
control,0.04165686468665563
control,0.03289748328687293
control,0.14588866493281996
control,0.03813317168336518
control,0.08996207761258307
control,0.05912181087250688
control,0.16793903747507793
control,0.03985688152618314
control,0.3396708745502591
control,0.1315708368411822
control,0.6147219153659778
control,0.3439313797071169
control,0.17775705923231833
control,0.30427706618763745
sorafenib,0.33477002010211887
sorafenib,0.5381337154780216
control,0.31280960630670807
control,0.2083249871153831
control,0.05264678064409336
sorafenib,0.29928965121883705
control,0.07353100590971744
