Label,Predicted_Probability
regorafenib,0.9352678777831154
control,0.013192501250096206
control,0.031721428064093185
control,0.00654379663982634
control,0.017859742066899748
control,0.02421418485581086
control,0.0013967277158332563
regorafenib,0.9973768850743643
regorafenib,0.991636912518507
control,0.01620773028098627
control,0.017954585227827013
control,0.009985629489023479
control,0.007610908893578609
control,0.013995371388366642
control,0.0009268174934821332
regorafenib,0.9947634259136423
control,0.0015108585446749875
regorafenib,0.9833540573492595
control,0.0008091475439592009
control,0.007347461812301145
control,0.015611502020192855
control,0.23263656499446358
control,0.0020834706243672806
control,0.0033313621458448475
regorafenib,0.9744936670402693
control,0.0028695759818312657
control,0.024025942740644263
regorafenib,0.8818616504392309
control,0.014995721441852159
control,0.0015694533511282124
regorafenib,0.9860423757953667
control,0.03263739335887354
control,0.04175339143740657
control,0.01816396261506259
control,0.02035380987629222
regorafenib,0.9819783862963065
regorafenib,0.9383909786500564
regorafenib,0.9907276312501099
control,0.012752191375781088
regorafenib,0.9942303868054662
regorafenib,0.9978928430056591
control,0.0005048500197069427
regorafenib,0.8873590565709873
regorafenib,0.9968133733884763
control,0.0053688112394227
control,0.016080038408927612
control,0.02468930541360637
regorafenib,0.939738151504731
control,0.09763039729592846
regorafenib,0.9927212626387558
regorafenib,0.9903814320775817
control,0.003758849965065601
control,0.003311946311087135
regorafenib,0.9969652209624297
control,0.004226969445414208
regorafenib,0.9803191646319244
control,0.008371439448729704
regorafenib,0.9675520273737265
control,0.003844748543314601
regorafenib,0.9786115800685099
control,0.00468781424434216
control,0.019281753013021617
regorafenib,0.9821190124364797
control,0.022878351945319585
regorafenib,0.9916591546411455
control,0.013105705615331262
control,0.006467767123864422
control,0.2711941001759025
control,0.04578059670310629
control,0.0035868984046331944
regorafenib,0.8943918798722157
control,0.001642088369581714
control,0.004942549146536576
regorafenib,0.7563305587292651
regorafenib,0.9866374903536339
control,0.016162115883705728
control,0.0016972811438230617
regorafenib,0.9831114080976748
control,0.0005401830593310317
control,0.054653232374371405
control,0.004770333342374625
control,0.0653165918795074
control,0.01523305883940905
regorafenib,0.9828566639219101
control,0.004336727697431516
control,0.04570603115985798
regorafenib,0.9806518441809156
regorafenib,0.9915247149823531
control,0.024412557560767843
regorafenib,0.9962527138363397
control,0.006848426882384341
control,0.001340315173840488
regorafenib,0.996267851264227
control,0.005201397014918881
control,0.002382433410870367
control,0.005431217131308757
regorafenib,0.9954700362511923
regorafenib,0.9949422379000967
control,0.0018063017924230481
control,0.0027285328816354657
control,0.10268375330782778
control,0.004282388686538713
regorafenib,0.9817155729920015
regorafenib,0.9570131130276627
control,0.004282351075599854
regorafenib,0.9682394149232119
control,0.008144586367351743
control,0.13716484085980474
control,0.037614275721714704
regorafenib,0.9748747900635577
control,0.01494125723030911
regorafenib,0.9806850674836636
regorafenib,0.9813560129449467
control,0.014723348764063653
control,0.014852778133349462
control,0.00704345422322703
control,0.03896339968253399
regorafenib,0.9715381748034856
control,0.0016152919932860082
control,0.02411557783053735
regorafenib,0.9874325324629523
control,0.00737008238990505
control,0.06122402745104295
control,0.024825935028871877
control,0.01671220260846195
regorafenib,0.9974132591558666
control,0.026372624621628225
control,0.0031253673347722707
control,0.00042570523670541137
regorafenib,0.9674767763211423
regorafenib,0.9538716292119419
regorafenib,0.9755836051702316
regorafenib,0.9924320482445028
regorafenib,0.9627560551693104
regorafenib,0.9947265504866305
control,0.0036423896461893605
control,0.0673532794777775
control,0.0031418784650377755
control,0.003960319259633831
control,0.0055948771556519165
control,0.006366213282427683
regorafenib,0.9686045394299146
regorafenib,0.850159161681695
regorafenib,0.9979478827224149
control,0.010095117102159013
control,0.0024655933460450427
control,0.030119849404465195
control,0.19227607945861025
control,0.023412843362251322
regorafenib,0.998583219705047
control,0.010137796148798343
regorafenib,0.9575392929855889
regorafenib,0.9866462331412386
control,0.001999182487293588
control,0.0021758678902218873
control,0.003600236861432453
control,0.0007028908963365055
control,0.0034350848667325483
control,0.005384755638784386
regorafenib,0.998914754395758
regorafenib,0.9834942599334184
regorafenib,0.9862491969058542
control,0.001340465221820446
