Label,Predicted_Probability
control,0.013635870996313183
control,0.007324609240965852
control,0.008617681787101133
sorafenib,0.9914597810187529
sorafenib,0.98393676770671
sorafenib,0.9792210289063858
control,0.01730336128692939
control,0.010511614579208932
sorafenib,0.9823148046979266
sorafenib,0.9194831130947472
sorafenib,0.9170179295179732
control,0.008503865543481988
control,0.005547642619201272
control,0.02014880616502148
control,0.01019840442947616
control,0.006066547060577538
sorafenib,0.9978542191614622
control,0.006256923263045197
control,0.007051697051770231
control,0.006426987992981102
sorafenib,0.9941713311870594
sorafenib,0.9802883176386954
sorafenib,0.9504357715501872
control,0.007845443964530881
control,0.00946684004811063
control,0.010830859868637771
control,0.009813311520549239
sorafenib,0.9909661382573605
control,0.012603620334390142
control,0.013536497659491008
sorafenib,0.9917561857671698
control,0.011191866758544031
control,0.01427477595307097
sorafenib,0.9904357515563366
sorafenib,0.9871291588954282
sorafenib,0.9750580563725304
control,0.007673265330301051
control,0.04179338636970818
control,0.01345336779793807
control,0.013786793315846516
control,0.013139917958890954
sorafenib,0.9907135557638181
sorafenib,0.9666711208916319
control,0.007185619050250158
control,0.006908951062476477
control,0.006713323829882859
sorafenib,0.9764527678959931
control,0.013463456083519898
control,0.01459182894622513
sorafenib,0.9733934922990033
control,0.007577680868591223
control,0.005791962910919351
control,0.01641108155756766
control,0.008571491804585085
control,0.009544344587284703
control,0.00723505732071042
control,0.010039079942582256
sorafenib,0.9889336339707523
control,0.011247409694393069
sorafenib,0.9700840546228674
control,0.006291870428393481
sorafenib,0.9892782665446157
control,0.0118612400025404
sorafenib,0.984299374757257
control,0.012512447116842716
sorafenib,0.9821660669264514
control,0.00972105573423387
control,0.006234690231799996
control,0.007076963489248661
sorafenib,0.9959684155770919
sorafenib,0.9485720762361833
control,0.006951231477818939
sorafenib,0.9846489790929628
control,0.010339157712971885
control,0.01116068202715336
control,0.010857182472961148
sorafenib,0.9855640954023761
sorafenib,0.988516866051385
control,0.009812016373189392
control,0.01261809103325584
control,0.007388427764590316
control,0.007810544282861232
sorafenib,0.9786143535612266
control,0.006564880898036829
control,0.006450586558173474
control,0.0073320892367394214
control,0.013349418169172242
control,0.009350911024772948
sorafenib,0.9802879375946901
control,0.007493088729431212
control,0.010912479210551202
control,0.007714664362701797
control,0.008986652330055678
control,0.007087894483838982
control,0.03755663083005871
control,0.018859130548551206
sorafenib,0.9944284587639899
control,0.0061281404455063825
control,0.011302595835776285
sorafenib,0.9771989253380742
sorafenib,0.9892316019393712
control,0.004232157328592467
control,0.032383673439726875
control,0.007956174288271915
control,0.008053172300102687
control,0.009074362595941032
control,0.0059798649567731985
control,0.010503713665467278
sorafenib,0.991494837298965
control,0.00553794935694879
sorafenib,0.9950097356717921
sorafenib,0.9843755274250612
control,0.0072822619721684785
sorafenib,0.9922871338377819
control,0.004736609104894557
control,0.02005363294027278
sorafenib,0.9890622407345037
sorafenib,0.998238114894321
sorafenib,0.9891906803708516
control,0.007657811848693101
control,0.006802370556551851
control,0.008710898227240624
control,0.0054754048807462265
sorafenib,0.995584526640975
control,0.006678266370571136
sorafenib,0.974011485888451
control,0.018628900216489164
control,0.0099460996141706
control,0.013284104302294463
sorafenib,0.9946094527075955
control,0.024090625872634573
control,0.007550124295522494
sorafenib,0.9907393378529307
sorafenib,0.9905533050743719
sorafenib,0.979556960787271
control,0.0151565990978574
control,0.00938827695004433
sorafenib,0.9877643511357779
sorafenib,0.10412682004711296
control,0.007111686295417132
control,0.008150677799276924
control,0.001763659359736817
sorafenib,0.9930884821073768
control,0.013235118536172142
sorafenib,0.991517256382364
control,0.009302546188988185
control,0.009451412239415877
control,0.008006619901324404
control,0.004623512214129286
control,0.007975940432660707
control,0.005840986605536743
sorafenib,0.992289285240858
sorafenib,0.9693795393385332
control,0.007636705907357322
control,0.004888880628946898
control,0.008795201441291766
sorafenib,0.9643227133556904
sorafenib,0.9726817687764646
sorafenib,0.991349707391089
control,0.008641745599114436
control,0.006649093202843084
control,0.015057479112924751
control,0.006037892724680097
sorafenib,0.9931921538847275
sorafenib,0.992677943605042
sorafenib,0.9968661305228268
control,0.004741255694080048
sorafenib,0.9885115557979554
control,0.011654279034363632
control,0.012542317182313712
sorafenib,0.9899456798470505
control,0.005177221874554139
sorafenib,0.9887308858706586
control,0.007538317329774971
control,0.008799668763897744
control,0.007417754711676917
sorafenib,0.9838403775830964
sorafenib,0.9922159612977852
control,0.007503737907341492
control,0.009676774459155973
control,0.0070300137337737535
control,0.004753181245602558
sorafenib,0.9880003433467476
control,0.005902681136487226
sorafenib,0.9869609263998262
control,0.007870187363313654
sorafenib,0.986625267521319
control,0.006671379318242384
sorafenib,0.9844105151498823
control,0.007128985516084302
control,0.0031537081662304234
control,0.007903074397172655
sorafenib,0.9951534239616432
control,0.06068962390101902
sorafenib,0.9559159463097355
control,0.006884515268876899
control,0.008542883874245547
sorafenib,0.9906826417749608
sorafenib,0.9947171333235648
sorafenib,0.9830183180612181
control,0.005537544247538653
control,0.007834459405489803
sorafenib,0.9971003721223612
sorafenib,0.985862428142718
control,0.004342867927568665
control,0.01100347421504044
control,0.009235298066418846
sorafenib,0.9920207226687182
sorafenib,0.9854705358981398
control,0.007041085660223748
sorafenib,0.9929065438822287
control,0.025973027189902336
control,0.008077842043085284
sorafenib,0.9946517269972499
sorafenib,0.9393973108847804
control,0.0058222763590677976
control,0.008913323136969669
control,0.0240954922683023
control,0.012530899858646865
sorafenib,0.9776446349034792
control,0.009068606552729494
control,0.008473906135226458
control,0.0446855060463048
sorafenib,0.986126707448452
sorafenib,0.9930162386048099
sorafenib,0.989153167814678
control,0.018227287863274017
control,0.006776761749503516
sorafenib,0.987964001924472
control,0.009870619377717485
control,0.011465652764861802
control,0.012354393655581516
control,0.01341297924844766
sorafenib,0.989472518444007
control,0.006339920626298841
control,0.006563470616175318
sorafenib,0.9966105817845771
control,0.006890106793084605
sorafenib,0.9835500404772576
sorafenib,0.9671041210212067
control,0.009995992072783236
control,0.018533682753993412
control,0.007916748744954304
control,0.006375393337006691
control,0.006572094070585341
sorafenib,0.9902191902210336
control,0.004882030201150634
sorafenib,0.9869992723782703
sorafenib,0.9880957989053153
control,0.011126854727663933
sorafenib,0.9756274880298493
control,0.009825686143061837
control,0.0072311546534969285
control,0.004821419877883628
control,0.01491009955590287
control,0.0204274626746509
control,0.012225008705575378
control,0.010552988516716863
control,0.007401898710218929
control,0.006082621761902528
sorafenib,0.9862533687713959
control,0.007724269766812145
control,0.010306503913027697
sorafenib,0.9797315689028354
sorafenib,0.9869657804996725
control,0.995622468714541
control,0.007995366371833974
control,0.008506528902218377
control,0.012302946696237053
control,0.007930801619802383
sorafenib,0.9960932809699777
control,0.007880180919801
control,0.007122530250816857
control,0.00809728738487393
sorafenib,0.9941869210229992
control,0.004923666737525404
sorafenib,0.9883191004140605
control,0.007968025931779841
control,0.006390866310889263
sorafenib,0.9886507858807336
control,0.00735129443723242
control,0.006192396074638768
control,0.010675834353026452
sorafenib,0.9761380009223218
control,0.006707768312998584
control,0.006501272199117959
sorafenib,0.9811549763491245
sorafenib,0.9864058507363088
control,0.01386367837200137
sorafenib,0.9907254648195967
control,0.0031421872252893395
control,0.00717275557359665
control,0.011892314073342977
control,0.0069708546965662225
control,0.006098895650688017
control,0.010731228823794752
control,0.00567943156285407
control,0.011946994889093121
sorafenib,0.9787712905334983
sorafenib,0.9890804159308173
sorafenib,0.987446663929374
control,0.007368185326060102
sorafenib,0.9841916709348422
control,0.018588986163305145
control,0.009153839303562266
sorafenib,0.9901053978249674
sorafenib,0.9867372169667992
control,0.0071173542531764306
control,0.010680761715328228
control,0.008580652243335814
control,0.016451609163589183
control,0.006436269329094647
sorafenib,0.9935244933752305
control,0.018657261484362385
sorafenib,0.9810456738853712
control,0.009188326812173858
sorafenib,0.9938679981741437
control,0.008251758801867954
control,0.0076399375662165895
sorafenib,0.9608310371398492
sorafenib,0.969177803676948
control,0.009247656092082434
control,0.00701699216310985
control,0.008189372533341758
control,0.0060355542130301
control,0.01101702205922952
control,0.007652500042710152
control,0.011423202894029353
sorafenib,0.9941297274688099
sorafenib,0.9977938322811116
sorafenib,0.991548226148564
control,0.009528995697879673
sorafenib,0.998853632055436
control,0.018951887898702773
sorafenib,0.9877452126167363
sorafenib,0.9946227368706717
sorafenib,0.9938312999875208
control,0.01469101861715157
control,0.0766886935819125
sorafenib,0.9941434937720471
control,0.011563321104658585
sorafenib,0.9933253445634387
control,0.008540760244299853
control,0.002666851626902324
control,0.0029426275610496965
sorafenib,0.9951332643714089
sorafenib,0.9913582417982081
control,0.010151818518367646
sorafenib,0.995526201882796
sorafenib,0.9820706080637528
control,0.00896249522050087
control,0.0031937117385038238
control,0.010034235712094625
sorafenib,0.9992522376295083
control,0.011634042501859192
control,0.013921351915169106
sorafenib,0.9777050810788648
control,0.004499657438820098
sorafenib,0.9867703213613469
sorafenib,0.9792382448262243
sorafenib,0.9881547291649599
control,0.013060234063124784
control,0.009085377262850294
control,0.011384628248668233
control,0.011722046642914664
control,0.010234373861066374
sorafenib,0.9947403330276536
sorafenib,0.9723819899275703
control,0.009902703518903013
control,0.011205913189280017
control,0.008380870102624999
sorafenib,0.9852837684870377
control,0.027248047331663566
control,0.003417461582155798
sorafenib,0.9809451413666352
control,0.011350276952539505
sorafenib,0.9856360790296981
control,0.008309983444312325
sorafenib,0.9909054136243644
control,0.007550575567210798
control,0.005184415502776841
sorafenib,0.9923372964250634
sorafenib,0.9821884673267505
sorafenib,0.9871220824249575
sorafenib,0.9801556964820396
sorafenib,0.9870918217081289
sorafenib,0.9894332998757749
control,0.0038697077249905286
control,0.007992138328897915
control,0.007387480873591509
sorafenib,0.9842279157409968
sorafenib,0.9673803395574512
control,0.008068087403173083
control,0.0057770471628126735
control,0.009492683029553776
sorafenib,0.9840368771968973
sorafenib,0.9816816582812835
control,0.009831519167530316
control,0.017155979342726228
control,0.011004834018500465
sorafenib,0.9914235084908002
control,0.010261288832709995
control,0.0054845364701235
control,0.005672712831526515
control,0.010334939636969968
sorafenib,0.9944102941924351
control,0.007553281778823781
control,0.023797692639852975
sorafenib,0.993371408994288
control,0.005065367009206471
sorafenib,0.9831451704291435
control,0.006956507124495542
sorafenib,0.9952713111830033
control,0.008248551583515897
sorafenib,0.9891829349323278
sorafenib,0.9936662402742703
control,0.005116270258858064
control,0.01498925047412343
control,0.008284755994079442
sorafenib,0.9918595573305696
sorafenib,0.9672882822130597
sorafenib,0.9901567321232909
control,0.0074471188485159805
control,0.006820783313215938
control,0.008754890090993377
control,0.0076347729828463535
control,0.010086709507984617
sorafenib,0.986352087967445
control,0.006607179228433418
control,0.010441843691734606
control,0.004748045858391573
control,0.007591880741911123
control,0.8226809610841803
control,0.010212906924578373
control,0.005763647194003405
sorafenib,0.9857360321614586
sorafenib,0.9913481354779735
sorafenib,0.9601057037146908
control,0.007896255528928028
sorafenib,0.9974611459349536
control,0.010465715208710074
sorafenib,0.9865929104157765
sorafenib,0.9976116672323367
sorafenib,0.9913386062397859
control,0.008708304786777147
control,0.01941379088174252
sorafenib,0.9360298774526663
control,0.009155179692514172
sorafenib,0.9906109111709626
control,0.007031424010593699
control,0.0018646215370117128
control,0.008117082850546173
sorafenib,0.9519497122499528
sorafenib,0.9824957928826363
control,0.010090601929690754
control,0.0041324399189609
control,0.01468975170393869
control,0.028184809189914794
control,0.009976142723310284
control,0.006511490371330664
control,0.008649484169954477
control,0.010378220898506964
control,0.011258120070544213
sorafenib,0.9751568956980142
control,0.00558925333786899
control,0.009295227044057537
control,0.008415865423247062
sorafenib,0.9973546001381808
control,0.008045764917882128
sorafenib,0.9885812996204077
control,0.007587747937079353
control,0.0050069151722865485
sorafenib,0.9575852630280399
control,0.009628293904043834
sorafenib,0.9852441000602354
sorafenib,0.972253746412934
sorafenib,0.9937992419687502
control,0.012877804916585241
sorafenib,0.9893171709974707
sorafenib,0.9968119614418907
control,0.005275639215451456
control,0.00528654634131707
control,0.004580667327090411
sorafenib,0.9940575378030332
sorafenib,0.9688777758159371
sorafenib,0.9949518807752753
control,0.003519830057467417
control,0.010949633330225278
control,0.008941321776464117
control,0.01500716341676917
control,0.0072544852829520955
control,0.009990050525877118
control,0.0072205826336968785
control,0.00907539011247938
control,0.015598719908337744
control,0.00742585602432932
control,0.006373081730582921
control,0.010198546073748756
control,0.012201136292284752
control,0.006952494820950661
control,0.011511786712965748
sorafenib,0.9924908661557703
control,0.0068835418072048975
control,0.005844662736537916
control,0.019403876129875715
control,0.01003407321484018
control,0.00778779898932983
control,0.007775908768113631
control,0.003410755145923533
control,0.013714578671582512
sorafenib,0.990332701601977
control,0.006881680601868281
control,0.011443726102594545
sorafenib,0.98938314181152
control,0.007360313539903296
control,0.008365175189404505
sorafenib,0.9727018028929422
sorafenib,0.9715999505188325
control,0.005011853760449278
sorafenib,0.9950174233853035
sorafenib,0.8504757514619928
control,0.007457131714912128
sorafenib,0.9875213587720507
control,0.007719805707303703
control,0.006807735601318796
control,0.0058163302406326325
control,0.009046784059039366
control,0.003366937648826316
control,0.00930554186147017
sorafenib,0.988024701733959
control,0.007364983233134633
sorafenib,0.9929189315727032
sorafenib,0.9888095448787462
sorafenib,0.9966617362021027
control,0.014095936841654621
sorafenib,0.946082897713054
control,0.007100426525001147
control,0.0066909406252689315
control,0.005330844484272855
control,0.007464758315232205
sorafenib,0.9945435930527335
sorafenib,0.9836423491275283
control,0.007493075390775626
sorafenib,0.9872230738116177
control,0.012141282434637444
sorafenib,0.9942526027404716
control,0.008561596074937752
sorafenib,0.9894295675544844
control,0.012891678626902539
sorafenib,0.965673338750643
sorafenib,0.984343049046343
control,0.021143072330408477
sorafenib,0.9980041788709597
control,0.008718099698212727
control,0.005386019418024449
control,0.009720216459215465
control,0.005013236163137947
sorafenib,0.9130702736867823
control,0.019490846078670822
control,0.012522795661612584
control,0.006660132121011933
control,0.006741030526530936
control,0.0031907903707456735
control,0.007815198950250063
control,0.010241553221708659
control,0.008553551313663605
sorafenib,0.9831263126927468
sorafenib,0.9624585320966966
control,0.010679135127742979
control,0.005044538671833653
control,0.006376154187148762
control,0.008239925206785632
control,0.010865109886914843
control,0.009800234087868898
sorafenib,0.9769840799722658
control,0.007313815885510691
control,0.008998474902071464
sorafenib,0.9915410776256707
control,0.007841015225117869
control,0.014125477741600148
control,0.00109669396343226
sorafenib,0.9856969651702924
sorafenib,0.9641916457356793
sorafenib,0.9659656266218981
sorafenib,0.9979551307425206
sorafenib,0.9698699053620137
control,0.030636357901466304
control,0.01139993961743704
sorafenib,0.9922593270854344
sorafenib,0.9927259034496988
control,0.009753863599600883
control,0.010296667219446361
sorafenib,0.9922502026409241
control,0.0067574896787355315
control,0.007791209602401139
control,0.013906189912630646
sorafenib,0.9908078540375769
sorafenib,0.9924942864170493
sorafenib,0.9879346645501952
control,0.00567647357706666
control,0.007110625978908315
sorafenib,0.9842101842799306
sorafenib,0.9946902169392751
sorafenib,0.9972173810881548
control,0.009799125570893375
control,0.0064650051560847955
control,0.01330345850212214
sorafenib,0.993510412326132
sorafenib,0.9766149783274962
sorafenib,0.9947328785794285
sorafenib,0.9919512654701726
control,0.01027205812071518
control,0.012705954314061319
control,0.0069244058664176735
control,0.012175838888663562
control,0.005293258527971278
control,0.004250679496390098
control,0.009094594385244747
control,0.007219022588625165
control,0.008599470992721733
sorafenib,0.9861495781236116
