Label,Predicted_Probability
control,0.057462059202110984
sorafenib,0.9803373056719629
control,0.461506261972187
sorafenib,0.9345232450815659
sorafenib,0.9742881761593623
control,0.006390271082062388
sorafenib,0.9665506200284609
sorafenib,0.4886571084241348
sorafenib,0.9681098135567391
control,0.8750633708320444
sorafenib,0.9613215502400612
control,0.18343193361571375
sorafenib,0.6107495716173081
sorafenib,0.9611782560660039
sorafenib,0.8929978125627411
sorafenib,0.9572533390893705
control,0.12398859929977576
sorafenib,0.9328468200068919
control,0.017990111067719923
sorafenib,0.7850616632642333
control,0.032027006532875844
control,0.3357928274475005
sorafenib,0.6308478557286602
sorafenib,0.8476734485373816
control,0.0354784588449595
sorafenib,0.32037841100375203
sorafenib,0.6044220870392389
sorafenib,0.7951524332900594
sorafenib,0.9009323808758756
sorafenib,0.9752103689815268
sorafenib,0.9499548431260207
sorafenib,0.8001123619978205
control,0.02852241643143902
sorafenib,0.9596423907861368
sorafenib,0.11350759511641888
control,0.3138968656430496
control,0.11549824600554512
sorafenib,0.8332257259398576
sorafenib,0.9824723333904272
sorafenib,0.7703612625548535
control,0.2862199527163583
sorafenib,0.8911738306969996
sorafenib,0.9606818842990806
sorafenib,0.7079080515388407
sorafenib,0.7164637084182695
sorafenib,0.842051544475359
sorafenib,0.9536199719676887
sorafenib,0.99782833095169
sorafenib,0.7828736247837125
control,0.05148201260383354
control,0.04183505570528202
sorafenib,0.9812053170384194
control,0.1655470463166231
sorafenib,0.8704816687991638
control,0.4115593636956249
control,0.5502276199407093
sorafenib,0.8948745484940407
sorafenib,0.9405134010143474
sorafenib,0.7226348937815562
control,0.22373258605239207
control,0.6942714250659202
sorafenib,0.7313964339286905
control,0.4631757607498274
sorafenib,0.976721810302655
control,0.05719830982369062
sorafenib,0.7323525241458626
sorafenib,0.8862671847271759
sorafenib,0.7384700876631585
control,0.070381881122217
control,0.32474117769938493
control,0.1310347340420196
sorafenib,0.8004619431180464
sorafenib,0.7224185615478037
control,0.039897113292067174
control,0.2381887518452647
control,0.04168887153300753
control,0.3771263433587313
sorafenib,0.8488536765582697
sorafenib,0.44450566031460764
sorafenib,0.3634470878022416
control,0.013007604384682545
control,0.300332622731515
control,0.06183621071541582
control,0.17716675757759548
sorafenib,0.8947746953284991
sorafenib,0.9100315231983199
sorafenib,0.38414483203363303
control,0.1673178255415662
sorafenib,0.5329049001204484
sorafenib,0.5802585117532406
sorafenib,0.9593137061180986
control,0.04360335679074336
control,0.1444447491848166
control,0.4035055768143311
sorafenib,0.9868592701981964
control,0.060045812280407854
sorafenib,0.9929642210898617
sorafenib,0.913899797741955
control,0.10855224935521848
control,0.09980902477433842
control,0.012595689139747549
control,0.4967512032942464
sorafenib,0.795742001083345
control,0.08693820531687763
sorafenib,0.7869135990037893
control,0.352772672707531
sorafenib,0.9627041626743047
sorafenib,0.9753352832595512
sorafenib,0.9612973967145937
sorafenib,0.952591699321025
control,0.23765619844639482
sorafenib,0.6607749492669222
sorafenib,0.830700433884404
control,0.1257501236269964
sorafenib,0.7186624811459701
sorafenib,0.9264152411524247
sorafenib,0.27958252857989585
sorafenib,0.9606349669328225
control,0.0057332698438194735
sorafenib,0.42003927550500375
control,0.07671657283807018
sorafenib,0.6092503946270342
sorafenib,0.9885472445520586
sorafenib,0.7881128419354225
sorafenib,0.856374644973663
control,0.3844708616638449
sorafenib,0.931275860544717
control,0.10076550624490274
sorafenib,0.7246727128320556
sorafenib,0.943154877179747
control,0.06779183387758989
control,0.5598062351355313
control,0.27473125531136733
sorafenib,0.8108822574486393
control,0.2997528224184486
control,0.19861663975180854
control,0.3663455587157327
control,0.251992521055596
control,0.32052172990406985
sorafenib,0.8185063274946257
sorafenib,0.7972494549168966
sorafenib,0.6372999997957856
sorafenib,0.9035501498099888
sorafenib,0.46914433629720576
control,0.3366317123128107
control,0.0863225038621569
sorafenib,0.9899842860438912
sorafenib,0.8028023819422959
control,0.03651814276294622
control,0.7913730548142647
sorafenib,0.8947625730891978
sorafenib,0.27205251276712755
control,0.1574128739980791
control,0.020767744195334722
sorafenib,0.8344243127186546
sorafenib,0.9557477579359193
control,0.046524088065004035
sorafenib,0.8071523039751938
sorafenib,0.9581969312502441
control,0.7936628897378583
control,0.3750013641659997
sorafenib,0.9773202961862317
sorafenib,0.9348533558492184
control,0.39912587821469686
sorafenib,0.9743737024532587
control,0.2593258820580655
sorafenib,0.9871050844773691
sorafenib,0.7888248368222363
sorafenib,0.47466611153316657
sorafenib,0.8329683387977056
control,0.45950784862083455
sorafenib,0.7535142684534374
control,0.0242193353171748
control,0.26750435431543956
sorafenib,0.8684931556809709
sorafenib,0.8479176165587367
control,0.35479963730757885
control,0.3168228606217335
sorafenib,0.875426081582528
sorafenib,0.5243377174471922
sorafenib,0.34284019141170574
sorafenib,0.9071689405340597
sorafenib,0.994866319142439
control,0.4027250468221032
control,0.4253104910740868
sorafenib,0.08631058850609272
sorafenib,0.7947784130673868
sorafenib,0.9862083068206436
control,0.20385405555362118
sorafenib,0.8466160899608172
control,0.5157324919444045
sorafenib,0.7616320428504
control,0.02915614909689817
control,0.4828572301103725
sorafenib,0.4721998045725586
control,0.08147611250282014
control,0.11528487415687302
control,0.923361744397884
control,0.004524834255217913
sorafenib,0.8026461229421189
control,0.16548901253821685
sorafenib,0.7310637882664882
control,0.12282940477091997
sorafenib,0.6549941205209148
sorafenib,0.9602452992134557
control,0.23810351334167415
sorafenib,0.9764733227838814
control,0.10290656192976164
sorafenib,0.9336344830973129
sorafenib,0.7190163297946525
sorafenib,0.6769424923187699
control,0.3196223226214938
control,0.4139350112105612
sorafenib,0.954730051713023
sorafenib,0.4344804309999903
control,0.03777413647980396
control,0.26322657309676956
control,0.6769199268844897
sorafenib,0.8180752037667809
control,0.06385639749882427
control,0.1605115307156429
control,0.01207596014891653
control,0.6588449193715887
control,0.05037830652068888
sorafenib,0.3301000150271828
sorafenib,0.9128196248256872
sorafenib,0.6473901451470552
control,0.22406625232988361
sorafenib,0.9889409889226549
control,0.5700072209267338
control,0.031335933923226575
sorafenib,0.8897834594701404
control,0.6649455832672476
control,0.41655478445045147
control,0.058817950830962584
sorafenib,0.5447268803772043
sorafenib,0.7826790257725467
control,0.053397511450470295
sorafenib,0.8376472495752976
control,0.08023211199359959
control,0.22961744539078882
control,0.059028155859191564
control,0.019250601974794612
sorafenib,0.9749117363331873
control,0.6170563140372975
control,0.4979551628381892
sorafenib,0.8573094108020755
control,0.5146460933808177
sorafenib,0.6665921969429217
control,0.6853712945730805
sorafenib,0.9840972191026642
control,0.22701600643987466
control,0.03140513728628002
sorafenib,0.9720728770624147
control,0.04341003233647603
control,0.022973146641882537
control,0.07612880419771323
control,0.011009261285158153
sorafenib,0.5192629194973505
sorafenib,0.7412685379967949
control,0.624566607543555
sorafenib,0.8694892573980113
control,0.02910217076397184
control,0.07264454981218257
sorafenib,0.8582339633255742
control,0.536342219430757
sorafenib,0.6897562045704474
sorafenib,0.9793673565658965
control,0.002406139430881774
sorafenib,0.8581586111972974
control,0.08522795858984947
control,0.5589712133253059
control,0.07472862886307806
sorafenib,0.3521877265074165
control,0.4340669986073653
sorafenib,0.847049012563836
sorafenib,0.9005949865162262
sorafenib,0.9912214868817548
control,0.08620180953769717
control,0.19270706000008686
control,0.2397454047319873
sorafenib,0.94038829544493
control,0.7734207587845606
control,0.01070161071121999
sorafenib,0.701504741772693
sorafenib,0.9394218858733797
control,0.8250045745410087
sorafenib,0.9071189953351142
sorafenib,0.5322970147427474
sorafenib,0.8315866966701929
control,0.25594089943373327
sorafenib,0.9811706587304471
sorafenib,0.6020602868039456
control,0.6541374384020122
control,0.06432866562283704
control,0.14607754152842473
sorafenib,0.8717246651081162
sorafenib,0.12767468768981333
control,0.6987116822490075
sorafenib,0.9682540545611626
sorafenib,0.7069080352159547
sorafenib,0.8158784860117807
sorafenib,0.8626229563781693
sorafenib,0.5814486390552036
sorafenib,0.9115916141843445
sorafenib,0.8182533207871348
sorafenib,0.9100118768073029
sorafenib,0.9655104423791734
control,0.14245563774565786
sorafenib,0.8496869136418344
control,0.046656389111795885
sorafenib,0.4191030408428421
control,0.08043369441282068
control,0.0978727995639568
sorafenib,0.9922155021032995
control,0.017234814584511374
control,0.41443989604161874
control,0.15950101194484742
control,0.4855377320509994
control,0.03052932944293484
sorafenib,0.369854205506551
control,0.16504176648305285
sorafenib,0.9860415810857523
control,0.414307820654545
control,0.29644257173098604
sorafenib,0.8225180105589267
sorafenib,0.9711439795729208
control,0.028656489631298764
sorafenib,0.9638328612040199
sorafenib,0.7952733077030333
sorafenib,0.9956562533732392
control,0.13353755261043385
sorafenib,0.5339195730924335
control,0.2633059535747009
control,0.08839675481122648
control,0.022582528885562614
sorafenib,0.8097900656468171
sorafenib,0.8439328470302991
sorafenib,0.5658120802267204
control,0.750648865821841
sorafenib,0.9287274799513472
sorafenib,0.7981233718922818
control,0.35874025565868783
sorafenib,0.9423447987960992
control,0.6234089818011245
sorafenib,0.9956375178651824
control,0.1196454609813716
sorafenib,0.10317482393271511
sorafenib,0.7534076635273768
control,0.24334585126636615
sorafenib,0.8182120125549031
sorafenib,0.6159751280114822
sorafenib,0.9793306390727986
control,0.5488038846588357
sorafenib,0.8955139160739064
sorafenib,0.952461604002863
control,0.35885560874544026
sorafenib,0.7563204903848948
sorafenib,0.7365305759990313
control,0.045811278292464466
sorafenib,0.9029855248270577
sorafenib,0.3929220096364672
sorafenib,0.1107534205746455
sorafenib,0.25286820407250055
sorafenib,0.560701566129573
control,0.04847233393796405
control,0.07965274206347352
sorafenib,0.9348941020308711
sorafenib,0.9320710270145127
sorafenib,0.9142833412453026
control,0.05238077443087404
control,0.6209496922482127
control,0.12493345828336247
sorafenib,0.9598320120167816
sorafenib,0.5825580112795982
sorafenib,0.8537015949262245
control,0.34992896879310414
sorafenib,0.5604529737146335
control,0.3718349420102202
sorafenib,0.8200671457484559
sorafenib,0.638179099101847
sorafenib,0.33873530305732447
sorafenib,0.9783035492259424
sorafenib,0.9064491561680106
control,0.31999116533915306
sorafenib,0.9697299901729896
sorafenib,0.9891384495465964
control,0.02797998044170875
sorafenib,0.9857461824254872
control,0.19808798192398672
control,0.12478779945874612
control,0.8360385027652499
control,0.393752643121427
control,0.5793943825662737
control,0.1315875295427368
sorafenib,0.9661327097933302
sorafenib,0.9408911236388772
sorafenib,0.9175151939450975
control,0.05926814450332578
sorafenib,0.7677624951706883
control,0.42509739657201406
control,0.05681056275690418
sorafenib,0.6879049152129288
sorafenib,0.19734840500821607
sorafenib,0.9209698420797563
sorafenib,0.8787233927766949
sorafenib,0.9228592098678133
sorafenib,0.7592221664798011
sorafenib,0.9279399355707023
control,0.00408189244088101
control,0.25232922344247777
sorafenib,0.46169097805887666
control,0.11110129853068222
sorafenib,0.943946952156104
control,0.5386027994522333
control,0.0866557040577757
sorafenib,0.9974058444589164
sorafenib,0.45105557025732973
sorafenib,0.3803866753352792
control,0.259291427329034
