Label,Predicted_Probability
control,0.05256482068303288
control,0.03896760090052
control,0.12009299291013467
control,0.05431498463089224
control,0.03647876476014396
control,0.10881300337794828
regorafenib,0.9922574229051945
control,0.008088110310309163
control,0.025027318008334687
control,0.008168959252970384
regorafenib,0.9922399327810956
regorafenib,0.9978201787926608
control,0.018471845673119526
control,0.025250483550947184
control,0.11924997403280532
regorafenib,0.994920430951367
regorafenib,0.9972885277941556
regorafenib,0.9564909186881903
control,0.012110784100538948
regorafenib,0.9687363639103059
control,0.017454631177516982
control,0.0988628061764811
control,0.024998063868721384
control,0.5209843652707782
control,0.07595102449891503
regorafenib,0.9892428291890145
control,0.03738723979361081
control,0.06756448778621722
control,0.004431406107432548
control,0.04283082850511919
regorafenib,0.9525799181935459
regorafenib,0.9681869096227288
regorafenib,0.9261452790200648
control,0.07362208069229778
control,0.018321557698643933
control,0.048746234516072455
control,0.012533675577550845
control,0.06032474256842687
regorafenib,0.9656678012315304
regorafenib,0.9506405927995688
control,0.10703754204887124
regorafenib,0.8538230610373934
control,0.012576813614403576
control,0.05328606590104734
control,0.005769795473050832
regorafenib,0.9868806149286652
control,0.08801133420041436
regorafenib,0.9820715423783548
regorafenib,0.9896934080359193
control,0.027049114203068585
control,0.0177536980616282
regorafenib,0.9978894881494866
control,0.022463996150341975
control,0.023614456492559888
regorafenib,0.408359483158229
control,0.545010544829451
control,0.030159511068741967
regorafenib,0.87832390455162
control,0.05383607289350385
regorafenib,0.9995974340094824
regorafenib,0.9359207819751679
regorafenib,0.9719502015867437
control,0.03022238067863144
control,0.019009574895189337
control,0.354360796838909
regorafenib,0.8591057769679624
control,0.012372576860218032
control,0.00762995509968332
control,0.029335897572621995
regorafenib,0.9897230394295807
control,0.012090045180246766
regorafenib,0.8179538800455571
control,0.013704019871028716
control,0.035389212667121604
control,0.1168054239816286
control,0.028971037265114557
regorafenib,0.8963357085127758
regorafenib,0.4089431446305314
control,0.4238021011213443
control,0.2604728582064147
control,0.005985899124141221
control,0.010323637556172147
control,0.009051282146206594
control,0.016278773641355843
regorafenib,0.9682274563890136
control,0.029492855910570076
control,0.058371565198532635
control,0.009538634045105054
control,0.23501715179925955
regorafenib,0.9917613405180452
control,0.01139529467256216
control,0.0656933882803249
control,0.008654672825634011
control,0.005183596602049699
regorafenib,0.933779234998689
regorafenib,0.8845085586990814
control,0.16444214244526725
regorafenib,0.9621298830469712
control,0.011702636845032593
regorafenib,0.9912341009191916
control,0.004322482689897414
control,0.02943040197647373
control,0.0028309722291802323
regorafenib,0.6537080646554754
control,0.10890911530557415
control,0.013904353315172225
regorafenib,0.839777492979328
control,0.01436597645530765
control,0.04388633414178612
regorafenib,0.9192203976367941
regorafenib,0.9876172043781585
regorafenib,0.7753606220640452
regorafenib,0.5059922086160322
control,0.022773652358099392
control,0.030269515380546314
control,0.017031751244158917
regorafenib,0.9663798914064904
control,0.024764906767330185
control,0.017931632740394974
control,0.032333616759040354
control,0.21326991657556169
control,0.007630020380281724
control,0.013526406828838367
control,0.010300353051169034
regorafenib,0.9577615477450634
control,0.11872907639649175
regorafenib,0.6418696508019491
control,0.01794070357834749
control,0.2200522334231218
control,0.13837673108310522
control,0.012126826435983366
regorafenib,0.8413563163085567
control,0.08412989616104813
control,0.09391913857918
control,0.010315904306313493
control,0.008405805936902776
regorafenib,0.8320509636409923
control,0.5995945270139511
regorafenib,0.6780625205400831
regorafenib,0.9603273099453815
regorafenib,0.794186197919695
control,0.021258265462974248
regorafenib,0.9600982676484321
control,0.02133963217061107
control,0.02628989027718976
control,0.03278407016550714
control,0.6668667525372202
regorafenib,0.8717701586330495
control,0.0037569638122213916
control,0.031836154548215874
control,0.025536261261752957
regorafenib,0.8847769046652549
control,0.01181253315192723
regorafenib,0.9996563629565074
control,0.2076546346587722
control,0.08808678060540508
regorafenib,0.9557544133578377
control,0.010133172005529508
control,0.15090040967032664
control,0.027989522228263546
control,0.01905544304605538
regorafenib,0.9859072385126957
control,0.03503001308645406
control,0.05087988824119385
control,0.009175350933677967
control,0.23892800154703897
regorafenib,0.6733261312254951
control,0.043684510583370716
regorafenib,0.9147501281056206
control,0.005894343420517972
regorafenib,0.8205728198323079
control,0.005870879652368408
regorafenib,0.9763833481829506
control,0.025467802054149846
control,0.030221397094996938
regorafenib,0.7113125648853079
control,0.01101312869681632
control,0.3459139968626019
control,0.05116209543484469
regorafenib,0.975410218508116
regorafenib,0.9915955274583592
control,0.00534586058728642
control,0.06598640429299563
control,0.00801035976666517
regorafenib,0.811875557796969
control,0.021227982371827856
regorafenib,0.99866098400752
regorafenib,0.7365724959715796
regorafenib,0.9620241447856479
control,0.03473725938646183
regorafenib,0.7323321461505532
regorafenib,0.9752934707574148
regorafenib,0.799096208800305
regorafenib,0.9004174752479116
control,0.029350662411213056
control,0.01079481864876341
control,0.04207009254026568
regorafenib,0.9888821793600137
control,0.020270607432984058
control,0.01838502606181109
control,0.06815993851533406
regorafenib,0.9869993497060537
control,0.004904544126383018
control,0.004974384274426944
