Label,Predicted_Probability
control,0.03092367299628556
control,0.01979910206260268
control,0.018804639724660104
control,0.18729564967630905
control,0.032923916654415034
control,0.2232751402611052
regorafenib,0.8937696542025378
control,0.18845418947784956
control,0.07540875552149898
control,0.020477091013854108
regorafenib,0.6682115079747517
regorafenib,0.6842020888213698
control,0.029491356525895733
control,0.23995946183569025
control,0.1521267958263826
regorafenib,0.580760906785102
regorafenib,0.9152006528434914
regorafenib,0.7970899623860819
control,0.08098650173375462
regorafenib,0.3997911322407134
control,0.007472345026850349
control,0.27380308165142075
control,0.04623788018705916
control,0.012544898225441989
control,0.009421547936161373
regorafenib,0.45445305880276343
control,0.01694535635184382
control,0.10303963531965658
control,0.09259431718676261
control,0.022102005048197683
regorafenib,0.9772397394295822
regorafenib,0.929598063948289
regorafenib,0.38763933366632114
control,0.1042139952722956
control,0.05803579996458981
control,0.05635362706771978
control,0.033998149673614066
control,0.10111921885783666
regorafenib,0.8888683539158275
regorafenib,0.9549421280310163
control,0.16485441324299116
regorafenib,0.012237076269095235
control,0.007288510076768155
control,0.542035440884322
control,0.009464834978677446
regorafenib,0.9774492579185422
control,0.01974749536728978
regorafenib,0.4901562341251422
regorafenib,0.6605607912957053
control,0.1305861203969804
control,0.2762175807249606
regorafenib,0.7810074469183792
control,0.03891121357745872
control,0.02171272985871402
regorafenib,0.9978535468657999
control,0.058614874050538356
control,0.01759840458291322
regorafenib,0.8974496909171176
control,0.04649011823875232
regorafenib,0.9815696651992271
regorafenib,0.9838170463437947
regorafenib,0.9941578049953772
control,0.11813834831871743
control,0.04202250520699965
control,0.012829731493565404
regorafenib,0.8983214083183153
control,0.023460931653569626
control,0.03987079926066481
control,0.012109441685185195
regorafenib,0.8518583384604277
control,0.014396806377774065
regorafenib,0.9653649941161164
control,0.11750021941722315
control,0.443810526336324
control,0.0422120668032719
control,0.34798077161980673
regorafenib,0.7729724269188611
regorafenib,0.9388786171481787
control,0.02137479730051928
control,0.1816941604122559
control,0.1576324697862772
control,0.051023292645340355
control,0.06389596111831566
control,0.0627497977887042
regorafenib,0.9843283349370541
control,0.007942646812962176
control,0.18073769263408243
control,0.042587673752068574
control,0.4743777724903797
regorafenib,0.9340405535503841
control,0.11134032449475817
control,0.019237604300627483
control,0.14712892417893203
control,0.08278584930077487
regorafenib,0.23204431573013076
regorafenib,0.8456266544541361
control,0.4070519127253617
regorafenib,0.9044803517852402
control,0.04482793972554928
regorafenib,0.9264763727378043
control,0.07908117876965404
control,0.01991489601526771
control,0.09315988781477533
regorafenib,0.7311761380477781
control,0.013096440254171712
control,0.09579030967283834
regorafenib,0.7361333677344933
control,0.05843179349911456
control,0.08997615931957544
regorafenib,0.8071391156227936
regorafenib,0.984386202319555
regorafenib,0.2685330331396819
regorafenib,0.9765001228091359
control,0.003136936095386881
control,0.06922903270580427
control,0.15519679789749047
regorafenib,0.862239359765171
control,0.03943423885184081
control,0.0597392387409529
control,0.4038466706793645
control,0.0193669344005011
control,0.36636325279246373
control,0.08875658949730415
control,0.02803762063688775
regorafenib,0.8122154150699537
control,0.12037407908170192
regorafenib,0.8875980536386565
control,0.040318246264666534
control,0.12044367381981828
control,0.03698984791253147
control,0.08259348390408987
regorafenib,0.9790521938810978
control,0.15111659571003305
control,0.06428363526607463
control,0.02066981160572758
control,0.04706898643051795
regorafenib,0.9010610424859908
control,0.2682748844092641
regorafenib,0.9430016735008918
regorafenib,0.7723627937323201
regorafenib,0.7486216968551561
control,0.03241428442328868
regorafenib,0.983760534968612
control,0.0490848098228646
control,0.012838562133543216
control,0.060980083370440384
control,0.015209228084311568
regorafenib,0.9777351383846
control,0.03721709648972686
control,0.07806667871533475
control,0.011217670339349721
regorafenib,0.8727804023697763
control,0.12257064989062808
regorafenib,0.9937926643360084
control,0.05200098476886367
control,0.252095274139745
regorafenib,0.938460755133345
control,0.05375919753455479
control,0.0737870845859756
control,0.09265881024700154
control,0.42897390951217423
regorafenib,0.6955983737915533
control,0.1563123810198412
control,0.24415305903102918
control,0.020433929880729926
control,0.1056872102544236
regorafenib,0.9759951224340773
control,0.07871220995754838
regorafenib,0.9943735092702328
control,0.020674134676835407
regorafenib,0.9884521947879182
control,0.07855890012192807
regorafenib,0.12228279928737733
control,0.09856427730251792
control,0.5370660590498656
regorafenib,0.9022700996188648
control,0.030803579024239202
control,0.04871650131125774
control,0.027412128101963234
regorafenib,0.782197935650313
regorafenib,0.5953264510883148
control,0.068873010158445
control,0.10248525281762
control,0.019779276532413466
regorafenib,0.5375909284766444
control,0.05368900110812162
regorafenib,0.07408429898120536
regorafenib,0.9518049410434966
regorafenib,0.9765955055138396
control,0.18561416891302868
regorafenib,0.8766742312526098
regorafenib,0.9107433982226109
regorafenib,0.7348214944248459
regorafenib,0.9773937282968115
control,0.08065829852794772
control,0.04276538966164058
control,0.12358751142686683
regorafenib,0.8227291715580438
control,0.08927329806850977
control,0.0012294197797807313
control,0.006847293804423954
regorafenib,0.9642745711932461
control,0.056006255329300744
control,0.22089274122971864
control,0.09264228334739419
regorafenib,0.9444698574720217
control,0.02265906150121447
regorafenib,0.8765573388021503
regorafenib,0.05140269163713218
control,0.03555848552798459
control,0.07140182380532832
control,0.22553101415066285
regorafenib,0.4868448487120302
regorafenib,0.48437816581263854
regorafenib,0.788833024998236
regorafenib,0.569055431696117
control,0.00808406921413179
regorafenib,0.9924757564402643
control,0.09421042661675935
control,0.10439535328250744
regorafenib,0.9413352547268172
regorafenib,0.8580169240876355
control,0.02527530644685303
control,0.09825694250509283
control,0.0784256711710066
control,0.17740937803485077
regorafenib,0.9025538664930866
regorafenib,0.543319096232368
control,0.18813419156116493
control,0.03176651958701959
regorafenib,0.23099569268103887
control,0.06748210539655436
control,0.8100163415132036
control,0.03999983672410338
regorafenib,0.9629124370649009
control,0.014548869761274846
control,0.1247732868727249
control,0.011917857681167937
control,0.0032967395822152716
regorafenib,0.6965792103679208
control,0.35306541768038613
regorafenib,0.23651808441576722
control,0.04133685926186724
control,0.018485310910698355
regorafenib,0.9746694427020245
control,0.2025625505322552
control,0.14917296150395357
control,0.0284589522391031
control,0.015962449522073242
control,0.12345425480440235
control,0.04874495423800547
regorafenib,0.9336774456992787
control,0.11615902878960227
control,0.21363393580715653
control,0.4146202666762987
regorafenib,0.9088568665396306
control,0.01631739798308402
control,0.04059703288709675
control,0.6199635495208142
regorafenib,0.8107885247073442
regorafenib,0.6825357527936002
control,0.017196898929578763
control,0.01555526010632923
control,0.07187954843288098
control,0.05387590400195138
control,0.051962733333942454
control,0.011369558080631973
control,0.023956064883911728
regorafenib,0.9548482956261173
control,0.08779873555040171
regorafenib,0.910881938989127
control,0.06513472817706133
control,0.10985506135422385
regorafenib,0.7530674761512308
control,0.07011413040113046
regorafenib,0.8765178501364932
control,0.16005464638518196
control,0.08398959773849468
regorafenib,0.81030016863649
control,0.023507350379046332
