Label,Predicted_Probability
control,0.05356134644781696
control,0.0765872691715809
control,0.007566385807720401
control,0.09065730497241711
control,0.15119734254798328
control,0.015581732802126453
control,0.008202957773272686
control,0.061350170651762084
control,0.08767529884691655
regorafenib,0.4157966104968467
control,0.018476690536191356
control,0.024503125241565567
regorafenib,0.09004120291142073
regorafenib,0.3653248167363637
control,0.004468659929983936
control,0.039758983493603454
regorafenib,0.7552522431227421
regorafenib,0.6844840575573308
control,0.013747675745758872
regorafenib,0.8759300988828542
control,0.012760518864452248
control,0.033607659027980484
control,0.05463463242223038
control,0.5779227901067674
control,0.0545077279570488
control,0.027147089868143293
control,0.08055414591274107
control,0.26586948484674655
regorafenib,0.633017562433593
control,0.015570620146507569
control,0.034881567087688116
control,0.038146554745555006
control,0.04896669061344409
control,0.3691210264771845
control,0.020508191450630812
control,0.23103319277993895
control,0.2970588582980719
control,0.012557547658566356
control,0.06535245985425052
control,0.024199941430878377
control,0.025051523384250964
control,0.08554307914342983
regorafenib,0.2925593232131347
control,0.31294491736832014
control,0.005741727948175692
control,0.02665715264989832
control,0.05901535160372575
control,0.06833944152507608
regorafenib,0.5300931536118648
control,0.0390279320794959
control,0.021955425613830015
control,0.06478119757912788
control,0.006612231884592608
control,0.03488873616123373
control,0.02931450035432891
control,0.02095554882605653
control,0.02328600303009984
control,0.358982841920038
control,0.1203336725186575
control,0.007511460861597183
regorafenib,0.7657002377982565
control,0.08306909217089302
control,0.1299789105420607
control,0.03980197890950351
control,0.10656099049816212
control,0.07655027753266616
control,0.025936146455811337
control,0.3947195750851032
control,0.03385611289320469
regorafenib,0.03953351659437839
control,0.006733661284064697
control,0.43972493224706033
control,0.009748836531024114
regorafenib,0.42940473046999655
control,0.0836251059960213
control,0.3957898854450987
control,0.0500849313201555
control,0.012033199809294052
control,0.031164494004226866
regorafenib,0.09752192712433719
control,0.28568982676895305
control,0.04631395268561803
control,0.018549347734788623
control,0.006066061711319982
control,0.16768206443212846
control,0.006550900035208064
control,0.02227155821764455
control,0.08261066924962804
control,0.04006714521779216
control,0.04309071221012674
control,0.1128981639202419
control,0.02070814190465617
control,0.024973166664599193
control,0.03784211736185098
control,0.10345499545840946
control,0.005492191864514234
control,0.008199293480536399
control,0.018391128043878695
control,0.015313250320833416
control,0.6722343730304031
regorafenib,0.1362005226605188
regorafenib,0.527717762402952
control,0.008639137151961695
control,0.10570609803964706
control,0.01577462937189076
regorafenib,0.6370040085381714
control,0.2719547402229335
regorafenib,0.3544226219555857
control,0.06883711564091079
control,0.03841013152153977
regorafenib,0.9364650245043332
control,0.042830992613531085
regorafenib,0.24979265185797322
control,0.023801073364010394
control,0.016320490467709992
control,0.021179270611201822
control,0.08311099057853798
control,0.023212109404671923
control,0.2996093203506557
regorafenib,0.47047948753579816
control,0.06547692376339243
regorafenib,0.74355550161726
control,0.011192748253625517
control,0.023582656449312938
control,0.0033831717517759674
control,0.08203047743046114
control,0.175377960469779
control,0.006511171438491508
control,0.05252218162990687
control,0.05211264519365222
control,0.013723194070205924
control,0.026165862500032416
control,0.13490190255276274
control,0.018630088337917843
control,0.013479867446501712
control,0.01277321747125015
control,0.02896884191802162
control,0.025186743671114925
control,0.2768922122508649
control,0.03364903220201666
control,0.021769887056828245
control,0.0635668378180008
control,0.02801872373178127
regorafenib,0.1530641832061389
control,0.02265109767408725
control,0.013134442088908344
control,0.00886918071846857
control,0.16760339268461324
control,0.09563301862308785
control,0.041843104465677385
control,0.12117304104128164
control,0.02060790156464517
control,0.2790082992686633
control,0.007585837828123156
regorafenib,0.11073522629167827
regorafenib,0.22173293772279531
control,0.00772307626247892
control,0.016399555987880697
control,0.014446640772579209
control,0.00792002905231436
control,0.4047742539982111
control,0.010285457024804026
control,0.0013586023936049216
control,0.23145637628471585
control,0.03499080023733737
control,0.013330577798946483
control,0.00569133826518288
control,0.009447170669504044
control,0.022052708964437468
control,0.005129783152266097
control,0.10513981153544624
control,0.15549959140611702
control,0.013982479466106177
control,0.003615953403543596
control,0.07775973400092426
control,0.062439259576758666
control,0.02866250072954361
control,0.03005850776304057
regorafenib,0.07388175844472789
control,0.01236889819297066
control,0.031763549429820494
control,0.00039983921502786143
control,0.006585494982233109
control,0.00705496722117035
control,0.01697829705182371
control,0.40953575821216226
control,0.03659126281615812
regorafenib,0.8557806104784623
control,0.19860096489885726
regorafenib,0.7753782670222631
control,0.07240778846704095
control,0.018501419035280298
regorafenib,0.035175736601841937
control,0.09592589064334918
control,0.010325314049707001
control,0.2682819137229799
control,0.36575198529952146
control,0.03314094861602121
control,0.1597223464461015
control,0.034342911555447345
control,0.8949670248016132
control,0.057035182388586944
control,0.008541892321381379
control,0.020735250297169893
control,0.06165945164954585
control,0.06895617866854888
control,0.040674688249998925
control,0.04766727644950383
control,0.02912045870579556
control,0.1742459916999008
control,0.27166011186984995
control,0.010579279577677972
control,0.815384932270568
control,0.027673615577374265
control,0.4027164728794051
regorafenib,0.23547288436844394
control,0.1933945504180781
control,0.023525542559634488
control,0.03429334421060885
regorafenib,0.4833036910996763
control,0.03639271570406346
control,0.02555823267584086
control,0.035261548029316137
control,0.008243156225029444
control,0.007349259818001304
regorafenib,0.6058179496474146
control,0.08453640702354412
control,0.030801184521730408
control,0.21321804152326518
control,0.030900832589117817
control,0.5805611390711235
regorafenib,0.10248486310635248
control,0.01590709699023278
control,0.029126991478353143
control,0.12219038326458671
control,0.22564123244582546
control,0.22147869287355734
control,0.03150822724905667
regorafenib,0.561022082604243
control,0.02102076851612502
control,0.027061863365082713
control,0.03243037573152201
control,0.37886852144702204
control,0.02586106319517577
regorafenib,0.29334776219056574
regorafenib,0.44349973817507105
control,0.009193476883027778
control,0.02999908777532815
control,0.02427996969353252
control,0.10747374369469476
control,0.018978264061564446
control,0.0882569149634401
control,0.04840671858028915
control,0.4190955387351142
control,0.021383196745055476
regorafenib,0.4639126708737692
control,0.010454540192130416
control,0.029332718474331176
regorafenib,0.757663715200916
regorafenib,0.6305785010839255
control,0.02298985381612351
regorafenib,0.9951497817910664
control,0.004279873993111966
regorafenib,0.7405459932255299
control,0.11111029979552445
regorafenib,0.436890593877422
control,0.10453108147238925
control,0.26532372606575605
control,0.059293304869811825
control,0.06720640969724466
control,0.3455676293006896
control,0.05567587767479435
regorafenib,0.8207558730918615
control,0.0608891044898171
control,0.01309014394628506
control,0.13805112677783266
control,0.06916088570829537
control,0.1051138458911163
control,0.012073967874398864
regorafenib,0.6587553012452856
control,0.25167994667231564
control,0.0048983467639244025
control,0.017049216080494874
regorafenib,0.30830554176993086
control,0.07541924944244646
control,0.013093537768283595
control,0.032072462517606065
control,0.0061347240264228425
control,0.026732915198009098
control,0.31975690405655477
control,0.014576247408303378
regorafenib,0.8165457405594164
control,0.010917719742871534
control,0.1018039703344378
control,0.01845622370696181
control,0.3660950994990236
control,0.272039634207946
regorafenib,0.6098305219457073
control,0.016815614660280982
control,0.014027689659108389
control,0.23926780366913958
control,0.7501885963138368
control,0.02377454795084861
control,0.01892787374827178
control,0.016103984696510677
control,0.2341359047758087
regorafenib,0.8398685623284038
regorafenib,0.40251237422985986
control,0.07112785522852846
control,0.020557583502179406
control,0.02463834897883804
control,0.008723276119860412
control,0.0305231200697021
control,0.05123285125710135
control,0.5849171691611827
control,0.016739800354152467
control,0.005180216296364337
control,0.0037277155833330836
control,0.03031738403750711
control,0.009720111730369916
control,0.013658548766818148
control,0.020446898654640427
control,0.0033562227092758233
control,0.03297137628521019
control,0.04107870354008326
control,0.006427328352715087
regorafenib,0.3107208928820815
control,0.13428245633214508
control,0.012375877374147812
control,0.01787586501465522
control,0.023397061350023608
control,0.007181314041236989
control,0.05603782738790501
control,0.007779334949697185
control,0.011087740021412856
control,0.0576223249789117
control,0.02382208435219428
control,0.29265806043557885
control,0.13425069047344007
regorafenib,0.6864319376210847
control,0.024443671744861138
control,0.42691455337004813
control,0.011857523078487836
control,0.023751854364151913
control,0.1430545228872612
control,0.0650889954422452
control,0.08267821947482583
control,0.010334968147882994
control,0.7428518186244775
regorafenib,0.026128323827439674
control,0.11416144397856567
control,0.020703078876000144
regorafenib,0.45110892088499455
control,0.08496671164737686
control,8.664546825998821e-06
control,0.02557895921074036
regorafenib,0.23362559350741896
control,0.013535813800318191
regorafenib,0.7817242093356256
control,0.16124103206538384
control,0.011822242756252262
control,0.5448556333582013
control,0.02064553944328269
control,0.008619907120293433
control,0.01100972856646482
control,0.1683135356669733
control,0.045425990187560925
control,0.22947031917334043
control,0.36265983911588756
control,0.010645490329124898
control,0.019174120686239936
control,0.10274240481011498
control,0.015300537928344946
control,0.011150940606786643
control,0.039847156586199306
control,0.06908939521349988
control,0.06657582507577675
control,0.12324951323051558
control,0.06337684440218694
control,0.23264775298233617
control,0.3567034988193716
control,0.02918634614851897
control,0.03971130373858396
control,0.04805109064768513
control,0.05527852859930573
control,0.02846574101444619
control,0.023110066409299655
regorafenib,0.6533490164797884
control,0.06208577431412562
control,0.011905088773729852
control,0.0764842274128608
control,0.005748979573978334
control,0.0065579742635280425
regorafenib,0.7881195770379833
control,0.4113506403335059
control,0.015912282106999
control,0.02556619141061441
control,0.010523879125372247
control,0.007243808373930237
control,0.15526327777895813
control,0.03862794992115827
regorafenib,0.6248745883076927
control,0.022327562621120282
control,0.34074487919134694
control,0.026217169581804433
control,0.01465455429313742
regorafenib,0.920158340111126
control,0.038119347639626947
control,0.008078650943275109
control,0.004925463865435074
control,0.07458469060648817
control,0.14906489383210628
control,0.150602445240116
control,0.04443803101171885
control,0.09733172534696384
control,0.0306610438973568
regorafenib,0.6890366676904499
control,0.07593709296383791
control,0.016702419397893277
control,0.011643386878211578
control,0.09448092580735021
control,0.029892074276331504
control,0.006556619561129157
control,0.004552878842105807
control,0.05059671443700829
control,0.019918417546725777
control,0.027529382988698607
control,0.0031904512300655226
control,0.043625095143370485
control,0.04679822714646724
control,0.009689966277206136
control,0.02662010677966261
control,0.10264076143904936
control,0.07449096465905877
control,0.01781761835454575
control,0.029397082858169093
control,0.02444093934455094
control,0.027591799154842493
control,0.008839422661367042
regorafenib,0.4468987192890991
control,0.2382057318232706
control,0.011009083739604214
control,0.20361516179543226
control,0.033989804166004584
control,0.019534581699497
control,0.041922563874866633
control,0.02285841340252163
control,0.02932865789552893
control,0.014528156291273122
control,0.4640003601805093
control,0.0885267422822261
regorafenib,0.8287695508609172
control,0.014594973378860515
control,0.022542443542749608
control,0.022845674898371037
control,0.08988606027704696
control,0.025292617810498352
control,0.04817314325641878
control,0.025239794851377395
control,0.07303476174785167
control,0.04678269663529944
control,0.08717391319818557
regorafenib,0.28001747276805045
control,0.015837650017725115
control,0.04882522894879621
control,0.010646179075650292
control,0.1022002044131685
control,0.019464847516214336
control,0.010729056817963089
regorafenib,0.43846538417659014
control,0.04099881303263499
regorafenib,0.7512190242319571
control,0.022025227770046733
control,0.009126021932365534
regorafenib,0.5481171320989136
control,0.024559458942002725
control,0.1164064014070989
control,0.05616687528721013
control,0.15810348935255508
control,0.036530457146163695
control,0.011468308078178266
control,0.03247700302465663
control,0.005169158403219116
regorafenib,0.05155958625698233
control,0.04105600315416627
control,0.03329138718889429
regorafenib,0.6407954146386161
control,0.04715815803741112
control,0.014294221045764258
control,0.012739650243095244
control,0.012378601280153044
control,0.009465443978706094
control,0.023257468570825966
regorafenib,0.8055972723726164
control,0.02403388179573867
control,0.012987836079802726
control,0.674167871436493
regorafenib,0.2371224661658315
control,0.05288616963745496
control,0.07793357322551786
control,0.006161294472087499
control,0.19084532700627083
control,0.5615253555986028
control,0.2341659302932723
control,0.11731538968293495
control,0.02363053089297385
control,0.01706182870209477
control,0.030337811320105202
control,0.011314402685079189
control,0.013026040456337647
control,0.009991446078938288
control,0.025054756885323652
regorafenib,0.2808883193889495
control,0.12180107583312585
control,0.022203448176225722
control,0.022106259651838746
control,0.020920719766982496
control,0.03942331458142622
regorafenib,0.6065208059473537
control,0.04238962373172149
regorafenib,0.44331330833797794
control,0.06846894150388907
control,0.17081581789077444
control,0.005104504377668083
control,0.2606673296932926
